Year,type of proceeding,sector,land,GeoCode,COMMENT_OBS_0,COMMENT_OBS_1,COMMENT_OBS_2,Value
2025,administrative offense proceedings,,north rhine-westphalia,code05,,,,11214
2024,administrative offense proceedings,construction sector,north rhine-westphalia,code05,,,,1402
2025,administrative offense proceedings,construction sector,north rhine-westphalia,code05,,,,1414
2024,administrative offense proceedings,catering and hotel sector,north rhine-westphalia,code05,,,,2313
2025,administrative offense proceedings,catering and hotel sector,north rhine-westphalia,code05,,,,2586
2024,administrative offense proceedings,hairdressing and beauty sector,north rhine-westphalia,code05,,,,354
2025,administrative offense proceedings,hairdressing and beauty sector,north rhine-westphalia,code05,,,,402
2024,administrative offense proceedings,"haulage, transport and associated logistics sector",north rhine-westphalia,code05,,,,572
2025,administrative offense proceedings,"haulage, transport and associated logistics sector",north rhine-westphalia,code05,,,,737
2024,administrative offense proceedings,,rhineland palatinate,code07,,,,2230
2025,administrative offense proceedings,,rhineland palatinate,code07,,,,2407
2024,administrative offense proceedings,construction sector,rhineland palatinate,code07,,,,379
2025,administrative offense proceedings,construction sector,rhineland palatinate,code07,,,,346
2024,administrative offense proceedings,catering and hotel sector,rhineland palatinate,code07,,,,505
2025,administrative offense proceedings,catering and hotel sector,rhineland palatinate,code07,,,,631
2024,administrative offense proceedings,hairdressing and beauty sector,rhineland palatinate,code07,,,,46
2025,administrative offense proceedings,hairdressing and beauty sector,rhineland palatinate,code07,,,,67
2024,administrative offense proceedings,"haulage, transport and associated logistics sector",rhineland palatinate,code07,,,,91
2025,administrative offense proceedings,"haulage, transport and associated logistics sector",rhineland palatinate,code07,,,,84
2024,administrative offense proceedings,,saarland,code10,,,,1349
2025,administrative offense proceedings,,saarland,code10,,,,1349
2024,administrative offense proceedings,construction sector,saarland,code10,,,,89
2025,administrative offense proceedings,construction sector,saarland,code10,,,,77
2024,administrative offense proceedings,catering and hotel sector,saarland,code10,,,,249
2025,administrative offense proceedings,catering and hotel sector,saarland,code10,,,,214
2024,administrative offense proceedings,hairdressing and beauty sector,saarland,code10,,,,18
2025,administrative offense proceedings,hairdressing and beauty sector,saarland,code10,,,,15
2024,administrative offense proceedings,"haulage, transport and associated logistics sector",saarland,code10,,,,83
2025,administrative offense proceedings,"haulage, transport and associated logistics sector",saarland,code10,,,,96
2024,administrative offense proceedings,,saxony,code14,,,,1525
2025,administrative offense proceedings,,saxony,code14,,,,1413
2024,administrative offense proceedings,construction sector,saxony,code14,,,,334
2025,administrative offense proceedings,construction sector,saxony,code14,,,,303
2024,administrative offense proceedings,catering and hotel sector,saxony,code14,,,,519
2025,administrative offense proceedings,catering and hotel sector,saxony,code14,,,,521
2024,administrative offense proceedings,hairdressing and beauty sector,saxony,code14,,,,31
2025,administrative offense proceedings,hairdressing and beauty sector,saxony,code14,,,,54
2024,administrative offense proceedings,"haulage, transport and associated logistics sector",saxony,code14,,,,65
2025,administrative offense proceedings,"haulage, transport and associated logistics sector",saxony,code14,,,,72
2024,administrative offense proceedings,,saxony-anhalt,code15,,,,1194
2025,administrative offense proceedings,,saxony-anhalt,code15,,,,1296
2024,administrative offense proceedings,construction sector,saxony-anhalt,code15,,,,202
2025,administrative offense proceedings,construction sector,saxony-anhalt,code15,,,,185
2024,administrative offense proceedings,catering and hotel sector,saxony-anhalt,code15,,,,254
2025,administrative offense proceedings,catering and hotel sector,saxony-anhalt,code15,,,,223
2024,administrative offense proceedings,hairdressing and beauty sector,saxony-anhalt,code15,,,,15
2025,administrative offense proceedings,hairdressing and beauty sector,saxony-anhalt,code15,,,,36
2024,administrative offense proceedings,"haulage, transport and associated logistics sector",saxony-anhalt,code15,,,,46
2025,administrative offense proceedings,"haulage, transport and associated logistics sector",saxony-anhalt,code15,,,,42
2024,administrative offense proceedings,,schleswig-holstein,code01,,,,2344
2025,administrative offense proceedings,,schleswig-holstein,code01,,,,1947
2024,administrative offense proceedings,construction sector,schleswig-holstein,code01,,,,242
2025,administrative offense proceedings,construction sector,schleswig-holstein,code01,,,,159
2024,administrative offense proceedings,catering and hotel sector,schleswig-holstein,code01,,,,539
2025,administrative offense proceedings,catering and hotel sector,schleswig-holstein,code01,,,,494
2024,administrative offense proceedings,hairdressing and beauty sector,schleswig-holstein,code01,,,,49
2025,administrative offense proceedings,hairdressing and beauty sector,schleswig-holstein,code01,,,,59
2024,administrative offense proceedings,"haulage, transport and associated logistics sector",schleswig-holstein,code01,,,,187
2025,administrative offense proceedings,"haulage, transport and associated logistics sector",schleswig-holstein,code01,,,,177
2024,administrative offense proceedings,,thuringia,code16,,,,1642
2025,administrative offense proceedings,,thuringia,code16,,,,1663
2024,administrative offense proceedings,construction sector,thuringia,code16,,,,213
2025,administrative offense proceedings,construction sector,thuringia,code16,,,,208
2024,administrative offense proceedings,catering and hotel sector,thuringia,code16,,,,504
2025,administrative offense proceedings,catering and hotel sector,thuringia,code16,,,,526
2024,administrative offense proceedings,hairdressing and beauty sector,thuringia,code16,,,,85
2025,administrative offense proceedings,hairdressing and beauty sector,thuringia,code16,,,,91
2024,administrative offense proceedings,"haulage, transport and associated logistics sector",thuringia,code16,,,,59
2025,administrative offense proceedings,"haulage, transport and associated logistics sector",thuringia,code16,,,,63
2024,criminal proceedings,,,,,,,96813
2025,criminal proceedings,,,,,,,98186
2024,criminal proceedings,construction sector,,,,,,9946
2025,criminal proceedings,construction sector,,,,,,9075
2024,criminal proceedings,catering and hotel sector,,,,,,10019
2025,criminal proceedings,catering and hotel sector,,,,,,9568
2024,criminal proceedings,hairdressing and beauty sector,,,,,,1353
2025,criminal proceedings,hairdressing and beauty sector,,,,,,1720
2024,criminal proceedings,"haulage, transport and associated logistics sector",,,,,,4176
2025,criminal proceedings,"haulage, transport and associated logistics sector",,,,,,4735
2024,criminal proceedings,,baden-württemberg,code08,,,,11522
2025,criminal proceedings,,baden-württemberg,code08,,,,11395
2024,criminal proceedings,construction sector,baden-württemberg,code08,,,,1338
2025,criminal proceedings,construction sector,baden-württemberg,code08,,,,1239
2024,criminal proceedings,catering and hotel sector,baden-württemberg,code08,,,,1334
2025,criminal proceedings,catering and hotel sector,baden-württemberg,code08,,,,1168
2024,criminal proceedings,hairdressing and beauty sector,baden-württemberg,code08,,,,183
2025,criminal proceedings,hairdressing and beauty sector,baden-württemberg,code08,,,,227
2024,criminal proceedings,"haulage, transport and associated logistics sector",baden-württemberg,code08,,,,462
2025,criminal proceedings,"haulage, transport and associated logistics sector",baden-württemberg,code08,,,,461
2024,criminal proceedings,,bavaria,code09,,,,12558
2025,criminal proceedings,,bavaria,code09,,,,12441
2024,criminal proceedings,construction sector,bavaria,code09,,,,1228
2025,criminal proceedings,construction sector,bavaria,code09,,,,1235
2024,criminal proceedings,catering and hotel sector,bavaria,code09,,,,1774
2025,criminal proceedings,catering and hotel sector,bavaria,code09,,,,1614
2024,criminal proceedings,hairdressing and beauty sector,bavaria,code09,,,,126
2025,criminal proceedings,hairdressing and beauty sector,bavaria,code09,,,,149
2024,criminal proceedings,"haulage, transport and associated logistics sector",bavaria,code09,,,,530
2025,criminal proceedings,"haulage, transport and associated logistics sector",bavaria,code09,,,,581
2024,criminal proceedings,,berlin,code11,,,,4200
2025,criminal proceedings,,berlin,code11,,,,4530
2024,criminal proceedings,construction sector,berlin,code11,,,,216
2025,criminal proceedings,construction sector,berlin,code11,,,,208
2024,criminal proceedings,catering and hotel sector,berlin,code11,,,,493
2025,criminal proceedings,catering and hotel sector,berlin,code11,,,,487
2024,criminal proceedings,hairdressing and beauty sector,berlin,code11,,,,116
2025,criminal proceedings,hairdressing and beauty sector,berlin,code11,,,,161
2024,criminal proceedings,"haulage, transport and associated logistics sector",berlin,code11,,,,108
2025,criminal proceedings,"haulage, transport and associated logistics sector",berlin,code11,,,,164
2024,criminal proceedings,,brandenburg,code12,,,,2794
2025,criminal proceedings,,brandenburg,code12,,,,2902
2024,criminal proceedings,construction sector,brandenburg,code12,,,,267
2025,criminal proceedings,construction sector,brandenburg,code12,,,,288
2024,criminal proceedings,catering and hotel sector,brandenburg,code12,,,,292
2025,criminal proceedings,catering and hotel sector,brandenburg,code12,,,,294
2024,criminal proceedings,hairdressing and beauty sector,brandenburg,code12,,,,37
2025,criminal proceedings,hairdressing and beauty sector,brandenburg,code12,,,,55
2024,criminal proceedings,"haulage, transport and associated logistics sector",brandenburg,code12,,,,66
2025,criminal proceedings,"haulage, transport and associated logistics sector",brandenburg,code12,,,,117
2024,criminal proceedings,,bremen,code04,,,,3108
2025,criminal proceedings,,bremen,code04,,,,3493
2024,criminal proceedings,construction sector,bremen,code04,,,,178
2025,criminal proceedings,construction sector,bremen,code04,,,,192
2024,criminal proceedings,catering and hotel sector,bremen,code04,,,,268
2025,criminal proceedings,catering and hotel sector,bremen,code04,,,,299
2024,criminal proceedings,hairdressing and beauty sector,bremen,code04,,,,47
2025,criminal proceedings,hairdressing and beauty sector,bremen,code04,,,,62
2024,criminal proceedings,"haulage, transport and associated logistics sector",bremen,code04,,,,131
2025,criminal proceedings,"haulage, transport and associated logistics sector",bremen,code04,,,,109
2024,criminal proceedings,,hamburg,code02,,,,3817
2025,criminal proceedings,,hamburg,code02,,,,2896
2024,criminal proceedings,construction sector,hamburg,code02,,,,348
2025,criminal proceedings,construction sector,hamburg,code02,,,,285
2024,criminal proceedings,catering and hotel sector,hamburg,code02,,,,549
2025,criminal proceedings,catering and hotel sector,hamburg,code02,,,,404
2024,criminal proceedings,hairdressing and beauty sector,hamburg,code02,,,,104
2025,criminal proceedings,hairdressing and beauty sector,hamburg,code02,,,,104
2024,criminal proceedings,"haulage, transport and associated logistics sector",hamburg,code02,,,,292
2025,criminal proceedings,"haulage, transport and associated logistics sector",hamburg,code02,,,,212
2024,criminal proceedings,,hesse,code06,,,,7411
2025,criminal proceedings,,hesse,code06,,,,7984
2024,criminal proceedings,construction sector,hesse,code06,,,,1209
2025,criminal proceedings,construction sector,hesse,code06,,,,1028
2024,criminal proceedings,catering and hotel sector,hesse,code06,,,,556
2025,criminal proceedings,catering and hotel sector,hesse,code06,,,,590
2024,criminal proceedings,hairdressing and beauty sector,hesse,code06,,,,80
2025,criminal proceedings,hairdressing and beauty sector,hesse,code06,,,,154
2024,criminal proceedings,"haulage, transport and associated logistics sector",hesse,code06,,,,225
2025,criminal proceedings,"haulage, transport and associated logistics sector",hesse,code06,,,,266
2024,criminal proceedings,,mecklenburg western pomerania,code13,,,,2375
2025,criminal proceedings,,mecklenburg western pomerania,code13,,,,2287
2024,criminal proceedings,construction sector,mecklenburg western pomerania,code13,,,,111
2025,criminal proceedings,construction sector,mecklenburg western pomerania,code13,,,,86
2024,criminal proceedings,catering and hotel sector,mecklenburg western pomerania,code13,,,,127
2025,criminal proceedings,catering and hotel sector,mecklenburg western pomerania,code13,,,,117
2024,criminal proceedings,hairdressing and beauty sector,mecklenburg western pomerania,code13,,,,20
2025,criminal proceedings,hairdressing and beauty sector,mecklenburg western pomerania,code13,,,,19
2024,criminal proceedings,"haulage, transport and associated logistics sector",mecklenburg western pomerania,code13,,,,12
2025,criminal proceedings,"haulage, transport and associated logistics sector",mecklenburg western pomerania,code13,,,,16
2024,criminal proceedings,,lower saxony,code03,,,,9076
2025,criminal proceedings,,lower saxony,code03,,,,8306
2024,criminal proceedings,construction sector,lower saxony,code03,,,,851
2025,criminal proceedings,construction sector,lower saxony,code03,,,,618
2024,criminal proceedings,catering and hotel sector,lower saxony,code03,,,,781
2025,criminal proceedings,catering and hotel sector,lower saxony,code03,,,,746
2024,criminal proceedings,hairdressing and beauty sector,lower saxony,code03,,,,56
2025,criminal proceedings,hairdressing and beauty sector,lower saxony,code03,,,,58
2024,criminal proceedings,"haulage, transport and associated logistics sector",lower saxony,code03,,,,323
2025,criminal proceedings,"haulage, transport and associated logistics sector",lower saxony,code03,,,,353
2024,criminal proceedings,,north rhine-westphalia,code05,,,,21974
2025,criminal proceedings,,north rhine-westphalia,code05,,,,24301
2024,criminal proceedings,construction sector,north rhine-westphalia,code05,,,,2109
2025,criminal proceedings,construction sector,north rhine-westphalia,code05,,,,2121
2024,criminal proceedings,catering and hotel sector,north rhine-westphalia,code05,,,,1887
2025,criminal proceedings,catering and hotel sector,north rhine-westphalia,code05,,,,1962
2024,criminal proceedings,hairdressing and beauty sector,north rhine-westphalia,code05,,,,382
2025,criminal proceedings,hairdressing and beauty sector,north rhine-westphalia,code05,,,,456
2024,criminal proceedings,"haulage, transport and associated logistics sector",north rhine-westphalia,code05,,,,1391
2025,criminal proceedings,"haulage, transport and associated logistics sector",north rhine-westphalia,code05,,,,1847
2024,criminal proceedings,,rhineland palatinate,code07,,,,3690
2025,criminal proceedings,,rhineland palatinate,code07,,,,3529
2024,criminal proceedings,construction sector,rhineland palatinate,code07,,,,703
2025,criminal proceedings,construction sector,rhineland palatinate,code07,,,,588
2024,criminal proceedings,catering and hotel sector,rhineland palatinate,code07,,,,339
2025,criminal proceedings,catering and hotel sector,rhineland palatinate,code07,,,,347
2024,criminal proceedings,hairdressing and beauty sector,rhineland palatinate,code07,,,,65
2025,criminal proceedings,hairdressing and beauty sector,rhineland palatinate,code07,,,,82
2024,criminal proceedings,"haulage, transport and associated logistics sector",rhineland palatinate,code07,,,,121
2025,criminal proceedings,"haulage, transport and associated logistics sector",rhineland palatinate,code07,,,,125
2024,criminal proceedings,,saarland,code10,,,,2257
2025,criminal proceedings,,saarland,code10,,,,2032
2024,criminal proceedings,construction sector,saarland,code10,,,,147
2025,criminal proceedings,construction sector,saarland,code10,,,,166
2024,criminal proceedings,catering and hotel sector,saarland,code10,,,,317
2025,criminal proceedings,catering and hotel sector,saarland,code10,,,,249
2024,criminal proceedings,hairdressing and beauty sector,saarland,code10,,,,14
2025,criminal proceedings,hairdressing and beauty sector,saarland,code10,,,,27
2024,criminal proceedings,"haulage, transport and associated logistics sector",saarland,code10,,,,124
2025,criminal proceedings,"haulage, transport and associated logistics sector",saarland,code10,,,,132
2024,criminal proceedings,,saxony,code14,,,,4108
2025,criminal proceedings,,saxony,code14,,,,3795
2024,criminal proceedings,construction sector,saxony,code14,,,,499
2025,criminal proceedings,construction sector,saxony,code14,,,,409
2024,criminal proceedings,catering and hotel sector,saxony,code14,,,,480
2025,criminal proceedings,catering and hotel sector,saxony,code14,,,,434
2024,criminal proceedings,hairdressing and beauty sector,saxony,code14,,,,34
2025,criminal proceedings,hairdressing and beauty sector,saxony,code14,,,,57
2024,criminal proceedings,"haulage, transport and associated logistics sector",saxony,code14,,,,109
2025,criminal proceedings,"haulage, transport and associated logistics sector",saxony,code14,,,,96
2024,criminal proceedings,,saxony-anhalt,code15,,,,2092
2025,criminal proceedings,,saxony-anhalt,code15,,,,2343
2024,criminal proceedings,construction sector,saxony-anhalt,code15,,,,157
2025,criminal proceedings,construction sector,saxony-anhalt,code15,,,,88
2024,criminal proceedings,catering and hotel sector,saxony-anhalt,code15,,,,89
2025,criminal proceedings,catering and hotel sector,saxony-anhalt,code15,,,,73
2024,criminal proceedings,hairdressing and beauty sector,saxony-anhalt,code15,,,,9
2025,criminal proceedings,hairdressing and beauty sector,saxony-anhalt,code15,,,,29
2024,criminal proceedings,"haulage, transport and associated logistics sector",saxony-anhalt,code15,,,,34
2025,criminal proceedings,"haulage, transport and associated logistics sector",saxony-anhalt,code15,,,,18
2024,criminal proceedings,,schleswig-holstein,code01,,,,3020
2025,criminal proceedings,,schleswig-holstein,code01,,,,2683
2024,criminal proceedings,construction sector,schleswig-holstein,code01,,,,319
2025,criminal proceedings,construction sector,schleswig-holstein,code01,,,,219
2024,criminal proceedings,catering and hotel sector,schleswig-holstein,code01,,,,454
2025,criminal proceedings,catering and hotel sector,schleswig-holstein,code01,,,,438
2024,criminal proceedings,hairdressing and beauty sector,schleswig-holstein,code01,,,,40
2025,criminal proceedings,hairdressing and beauty sector,schleswig-holstein,code01,,,,36
2024,criminal proceedings,"haulage, transport and associated logistics sector",schleswig-holstein,code01,,,,148
2025,criminal proceedings,"haulage, transport and associated logistics sector",schleswig-holstein,code01,,,,124
2024,criminal proceedings,,thuringia,code16,,,,2754
2025,criminal proceedings,,thuringia,code16,,,,3213
2024,criminal proceedings,construction sector,thuringia,code16,,,,253
2025,criminal proceedings,construction sector,thuringia,code16,,,,290
2024,criminal proceedings,catering and hotel sector,thuringia,code16,,,,267
2025,criminal proceedings,catering and hotel sector,thuringia,code16,,,,331
2024,criminal proceedings,hairdressing and beauty sector,thuringia,code16,,,,34
2025,criminal proceedings,hairdressing and beauty sector,thuringia,code16,,,,34
2024,criminal proceedings,"haulage, transport and associated logistics sector",thuringia,code16,,,,100
2025,criminal proceedings,"haulage, transport and associated logistics sector",thuringia,code16,,,,109
