Year,Series,substance,sex,border,Value
inpatient treatment of substance use disorders,b) alcohol and other psychoactive substances,,,170467.0,
inpatient treatment of substance use disorders,b) alcohol and other psychoactive substances,,,165834.0,
inpatient treatment of substance use disorders,b) alcohol and other psychoactive substances,,,161247.0,
inpatient treatment of substance use disorders,b) alcohol and other psychoactive substances,,,159421.0,
inpatient treatment of substance use disorders,b) alcohol and other psychoactive substances,female,,49139.0,
inpatient treatment of substance use disorders,b) alcohol and other psychoactive substances,female,,50796.0,
inpatient treatment of substance use disorders,b) alcohol and other psychoactive substances,female,,52487.0,
inpatient treatment of substance use disorders,b) alcohol and other psychoactive substances,female,,51211.0,
inpatient treatment of substance use disorders,b) alcohol and other psychoactive substances,female,,49460.0,
inpatient treatment of substance use disorders,b) alcohol and other psychoactive substances,female,,46377.0,
inpatient treatment of substance use disorders,b) alcohol and other psychoactive substances,female,,44589.0,
inpatient treatment of substance use disorders,b) alcohol and other psychoactive substances,female,,43574.0,
inpatient treatment of substance use disorders,b) alcohol and other psychoactive substances,female,,42716.0,
inpatient treatment of substance use disorders,b) alcohol and other psychoactive substances,female,,42158.0,
inpatient treatment of substance use disorders,b) alcohol and other psychoactive substances,male,,142373.0,
inpatient treatment of substance use disorders,b) alcohol and other psychoactive substances,male,,141363.0,
inpatient treatment of substance use disorders,b) alcohol and other psychoactive substances,male,,143488.0,
inpatient treatment of substance use disorders,b) alcohol and other psychoactive substances,male,,143201.0,
inpatient treatment of substance use disorders,b) alcohol and other psychoactive substances,male,,135845.0,
inpatient treatment of substance use disorders,b) alcohol and other psychoactive substances,male,,129808.0,
inpatient treatment of substance use disorders,b) alcohol and other psychoactive substances,male,,125878.0,
inpatient treatment of substance use disorders,b) alcohol and other psychoactive substances,male,,122260.0,
inpatient treatment of substance use disorders,b) alcohol and other psychoactive substances,male,,118531.0,
inpatient treatment of substance use disorders,b) alcohol and other psychoactive substances,male,,117263.0,
inpatient treatment of substance use disorders,b) alcohol and other psychoactive substances,unknown,,,
inpatient treatment of substance use disorders,b) alcohol and other psychoactive substances,unknown,,,
inpatient treatment of substance use disorders,b) alcohol and other psychoactive substances,unknown,,1.0,
inpatient treatment of substance use disorders,b) alcohol and other psychoactive substances,unknown,,,
inpatient treatment of substance use disorders,b) alcohol and other psychoactive substances,unknown,,,
inpatient treatment of substance use disorders,b) alcohol and other psychoactive substances,unknown,,,
inpatient treatment of substance use disorders,b) alcohol and other psychoactive substances,unknown,,,
inpatient treatment of substance use disorders,b) alcohol and other psychoactive substances,unknown,,,
inpatient treatment of substance use disorders,b) alcohol and other psychoactive substances,unknown,,,
inpatient treatment of substance use disorders,b) alcohol and other psychoactive substances,unknown,,,
"estimate of high risk use (based on treatment entrants) of the substances opioids, cocaine and other stimulants in the age group 15 to under 65 years",,,min,215078.0,
"estimate of high risk use (based on treatment entrants) of the substances opioids, cocaine and other stimulants in the age group 15 to under 65 years",,,min,231052.0,
"estimate of high risk use (based on treatment entrants) of the substances opioids, cocaine and other stimulants in the age group 15 to under 65 years",,,min,218360.0,
"estimate of high risk use (based on treatment entrants) of the substances opioids, cocaine and other stimulants in the age group 15 to under 65 years",,,min,215436.0,
"estimate of high risk use (based on treatment entrants) of the substances opioids, cocaine and other stimulants in the age group 15 to under 65 years",,,min,230672.0,
"estimate of high risk use (based on treatment entrants) of the substances opioids, cocaine and other stimulants in the age group 15 to under 65 years",,,min,225471.0,
"estimate of high risk use (based on treatment entrants) of the substances opioids, cocaine and other stimulants in the age group 15 to under 65 years",,,min,225324.0,
"estimate of high risk use (based on treatment entrants) of the substances opioids, cocaine and other stimulants in the age group 15 to under 65 years",,,min,217220.0,
"estimate of high risk use (based on treatment entrants) of the substances opioids, cocaine and other stimulants in the age group 15 to under 65 years",,,min,204906.0,
"estimate of high risk use (based on treatment entrants) of the substances opioids, cocaine and other stimulants in the age group 15 to under 65 years",,,max,255405.0,
"estimate of high risk use (based on treatment entrants) of the substances opioids, cocaine and other stimulants in the age group 15 to under 65 years",,,max,274374.0,
"estimate of high risk use (based on treatment entrants) of the substances opioids, cocaine and other stimulants in the age group 15 to under 65 years",,,max,259303.0,
"estimate of high risk use (based on treatment entrants) of the substances opioids, cocaine and other stimulants in the age group 15 to under 65 years",,,max,255830.0,
"estimate of high risk use (based on treatment entrants) of the substances opioids, cocaine and other stimulants in the age group 15 to under 65 years",,,max,273923.0,
"estimate of high risk use (based on treatment entrants) of the substances opioids, cocaine and other stimulants in the age group 15 to under 65 years",,,max,267747.0,
"estimate of high risk use (based on treatment entrants) of the substances opioids, cocaine and other stimulants in the age group 15 to under 65 years",,,max,267572.0,
"estimate of high risk use (based on treatment entrants) of the substances opioids, cocaine and other stimulants in the age group 15 to under 65 years",,,max,257949.0,
"estimate of high risk use (based on treatment entrants) of the substances opioids, cocaine and other stimulants in the age group 15 to under 65 years",,,max,243326.0,
