Year,Units,type of disease,sex,COMMENT_OBS_0,COMMENT_OBS_1,COMMENT_OBS_2,Value
2017,percentage,(d) chronic respiratory disease,female,,,,0.71
2018,percentage,(d) chronic respiratory disease,female,,,,0.73
2019,percentage,(d) chronic respiratory disease,female,,,,0.71
2020,percentage,(d) chronic respiratory disease,female,,,,0.67
2021,percentage,(d) chronic respiratory disease,female,,,,0.63
2022,percentage,(d) chronic respiratory disease,female,,,,0.73
2023,percentage,(d) chronic respiratory disease,female,,,,0.77
2024,percentage,(d) chronic respiratory disease,female,,,,0.76
2010,percentage,,male,,,,16.33
2011,percentage,,male,,,,15.69
2012,percentage,,male,,,,15.44
2013,percentage,,male,,,,15.4
2014,percentage,,male,,,,14.75
2015,percentage,,male,,,,15.04
2016,percentage,,male,,,,14.7
2017,percentage,,male,,,,14.29
2018,percentage,,male,,,,14.24
2019,percentage,,male,,,,13.73
2020,percentage,,male,,,,13.72
2021,percentage,,male,,,,13.58
2022,percentage,,male,,,,13.42
2023,percentage,,male,,,,13.18
2024,percentage,,male,,,,12.96
2010,percentage,(a) diseases of the circulatory system,male,,,,6.64
2011,percentage,(a) diseases of the circulatory system,male,,,,6.12
2012,percentage,(a) diseases of the circulatory system,male,,,,6.08
2013,percentage,(a) diseases of the circulatory system,male,,,,6.01
2014,percentage,(a) diseases of the circulatory system,male,,,,5.73
2015,percentage,(a) diseases of the circulatory system,male,,,,5.95
2016,percentage,(a) diseases of the circulatory system,male,,,,5.71
2017,percentage,(a) diseases of the circulatory system,male,,,,5.55
2018,percentage,(a) diseases of the circulatory system,male,,,,5.53
2019,percentage,(a) diseases of the circulatory system,male,,,,5.25
2020,percentage,(a) diseases of the circulatory system,male,,,,5.35
2021,percentage,(a) diseases of the circulatory system,male,,,,5.43
2022,percentage,(a) diseases of the circulatory system,male,,,,5.34
2023,percentage,(a) diseases of the circulatory system,male,,,,5.26
2024,percentage,(a) diseases of the circulatory system,male,,,,5.08
2010,percentage,(b) malignant neoplasms,male,,,,9.01
2011,percentage,(b) malignant neoplasms,male,,,,8.82
2012,percentage,(b) malignant neoplasms,male,,,,8.62
2013,percentage,(b) malignant neoplasms,male,,,,8.55
2014,percentage,(b) malignant neoplasms,male,,,,8.21
2015,percentage,(b) malignant neoplasms,male,,,,8.19
2016,percentage,(b) malignant neoplasms,male,,,,8.11
2017,percentage,(b) malignant neoplasms,male,,,,7.77
2018,percentage,(b) malignant neoplasms,male,,,,7.74
2019,percentage,(b) malignant neoplasms,male,,,,7.5
2020,percentage,(b) malignant neoplasms,male,,,,7.41
2021,percentage,(b) malignant neoplasms,male,,,,7.2
2022,percentage,(b) malignant neoplasms,male,,,,7.02
2023,percentage,(b) malignant neoplasms,male,,,,6.84
2024,percentage,(b) malignant neoplasms,male,,,,6.74
2010,percentage,(c) diabetes mellitus,male,,,,0.51
2011,percentage,(c) diabetes mellitus,male,,,,0.49
2012,percentage,(c) diabetes mellitus,male,,,,0.5
2013,percentage,(c) diabetes mellitus,male,,,,0.51
2014,percentage,(c) diabetes mellitus,male,,,,0.47
2015,percentage,(c) diabetes mellitus,male,,,,0.51
2016,percentage,(c) diabetes mellitus,male,,,,0.48
2017,percentage,(c) diabetes mellitus,male,,,,0.52
2018,percentage,(c) diabetes mellitus,male,,,,0.5
2019,percentage,(c) diabetes mellitus,male,,,,0.48
2020,percentage,(c) diabetes mellitus,male,,,,0.5
2021,percentage,(c) diabetes mellitus,male,,,,0.5
2022,percentage,(c) diabetes mellitus,male,,,,0.51
2023,percentage,(c) diabetes mellitus,male,,,,0.49
2024,percentage,(c) diabetes mellitus,male,,,,0.51
2010,percentage,(d) chronic respiratory disease,male,,,,1.0
2011,percentage,(d) chronic respiratory disease,male,,,,1.02
2012,percentage,(d) chronic respiratory disease,male,,,,0.98
2013,percentage,(d) chronic respiratory disease,male,,,,1.06
2014,percentage,(d) chronic respiratory disease,male,,,,1.01
2015,percentage,(d) chronic respiratory disease,male,,,,1.11
2016,percentage,(d) chronic respiratory disease,male,,,,1.07
2017,percentage,(d) chronic respiratory disease,male,,,,1.09
2018,percentage,(d) chronic respiratory disease,male,,,,1.11
2019,percentage,(d) chronic respiratory disease,male,,,,1.09
2020,percentage,(d) chronic respiratory disease,male,,,,1.04
2021,percentage,(d) chronic respiratory disease,male,,,,1.03
2022,percentage,(d) chronic respiratory disease,male,,,,1.11
2023,percentage,(d) chronic respiratory disease,male,,,,1.15
2024,percentage,(d) chronic respiratory disease,male,,,,1.17
2010,"number in 1,000",(a) diseases of the circulatory system,female,,,,12.1
2011,"number in 1,000",(a) diseases of the circulatory system,female,,,,11.6
2012,"number in 1,000",(a) diseases of the circulatory system,female,,,,11.3
2013,"number in 1,000",(a) diseases of the circulatory system,female,,,,11.5
2014,"number in 1,000",(a) diseases of the circulatory system,female,,,,11.3
2015,"number in 1,000",(a) diseases of the circulatory system,female,,,,11.7
2016,"number in 1,000",(a) diseases of the circulatory system,female,,,,11.5
2017,"number in 1,000",(a) diseases of the circulatory system,female,,,,11.1
2018,"number in 1,000",(a) diseases of the circulatory system,female,,,,11.7
2019,"number in 1,000",(a) diseases of the circulatory system,female,,,,10.9
2020,"number in 1,000",(a) diseases of the circulatory system,female,,,,11.0
2021,"number in 1,000",(a) diseases of the circulatory system,female,,,,11.5
2022,"number in 1,000",(a) diseases of the circulatory system,female,,,,11.7
2023,"number in 1,000",(a) diseases of the circulatory system,female,,,,11.8
2024,"number in 1,000",(a) diseases of the circulatory system,female,,,,11.4
2010,"number in 1,000",(b) malignant neoplasms,female,,,,32.9
2011,"number in 1,000",(b) malignant neoplasms,female,,,,33.0
2012,"number in 1,000",(b) malignant neoplasms,female,,,,32.1
2013,"number in 1,000",(b) malignant neoplasms,female,,,,32.2
2014,"number in 1,000",(b) malignant neoplasms,female,,,,31.5
2015,"number in 1,000",(b) malignant neoplasms,female,,,,32.3
2016,"number in 1,000",(b) malignant neoplasms,female,,,,33.2
2017,"number in 1,000",(b) malignant neoplasms,female,,,,33.2
2018,"number in 1,000",(b) malignant neoplasms,female,,,,33.4
2019,"number in 1,000",(b) malignant neoplasms,female,,,,33.0
2020,"number in 1,000",(b) malignant neoplasms,female,,,,32.5
2021,"number in 1,000",(b) malignant neoplasms,female,,,,32.0
2022,"number in 1,000",(b) malignant neoplasms,female,,,,32.7
2023,"number in 1,000",(b) malignant neoplasms,female,,,,32.4
2024,"number in 1,000",(b) malignant neoplasms,female,,,,31.9
2010,"number in 1,000",(c) diabetes mellitus,female,,,,1.0
2011,"number in 1,000",(c) diabetes mellitus,female,,,,1.0
2012,"number in 1,000",(c) diabetes mellitus,female,,,,1.0
2013,"number in 1,000",(c) diabetes mellitus,female,,,,1.0
2014,"number in 1,000",(c) diabetes mellitus,female,,,,1.0
2015,"number in 1,000",(c) diabetes mellitus,female,,,,1.0
2016,"number in 1,000",(c) diabetes mellitus,female,,,,1.0
2017,"number in 1,000",(c) diabetes mellitus,female,,,,1.1
2018,"number in 1,000",(c) diabetes mellitus,female,,,,1.1
2019,"number in 1,000",(c) diabetes mellitus,female,,,,1.1
2020,"number in 1,000",(c) diabetes mellitus,female,,,,1.1
2021,"number in 1,000",(c) diabetes mellitus,female,,,,1.2
2022,"number in 1,000",(c) diabetes mellitus,female,,,,1.1
2023,"number in 1,000",(c) diabetes mellitus,female,,,,1.1
2024,"number in 1,000",(c) diabetes mellitus,female,,,,1.1
2010,"number in 1,000",(d) chronic respiratory disease,female,,,,2.8
2011,"number in 1,000",(d) chronic respiratory disease,female,,,,2.8
2012,"number in 1,000",(d) chronic respiratory disease,female,,,,2.6
2013,"number in 1,000",(d) chronic respiratory disease,female,,,,3.1
2014,"number in 1,000",(d) chronic respiratory disease,female,,,,2.9
2015,"number in 1,000",(d) chronic respiratory disease,female,,,,3.3
2016,"number in 1,000",(d) chronic respiratory disease,female,,,,3.5
2017,"number in 1,000",(d) chronic respiratory disease,female,,,,3.8
2018,"number in 1,000",(d) chronic respiratory disease,female,,,,3.9
2019,"number in 1,000",(d) chronic respiratory disease,female,,,,3.9
2020,"number in 1,000",(d) chronic respiratory disease,female,,,,3.7
2021,"number in 1,000",(d) chronic respiratory disease,female,,,,3.6
2022,"number in 1,000",(d) chronic respiratory disease,female,,,,4.2
2023,"number in 1,000",(d) chronic respiratory disease,female,,,,4.5
2024,"number in 1,000",(d) chronic respiratory disease,female,,,,4.5
2010,"number in 1,000",(a) diseases of the circulatory system,male,,,,33.0
2011,"number in 1,000",(a) diseases of the circulatory system,male,,,,30.2
2012,"number in 1,000",(a) diseases of the circulatory system,male,,,,30.0
2013,"number in 1,000",(a) diseases of the circulatory system,male,,,,29.9
2014,"number in 1,000",(a) diseases of the circulatory system,male,,,,28.7
2015,"number in 1,000",(a) diseases of the circulatory system,male,,,,30.6
2016,"number in 1,000",(a) diseases of the circulatory system,male,,,,30.1
2017,"number in 1,000",(a) diseases of the circulatory system,male,,,,29.8
2018,"number in 1,000",(a) diseases of the circulatory system,male,,,,30.1
2019,"number in 1,000",(a) diseases of the circulatory system,male,,,,28.9
2020,"number in 1,000",(a) diseases of the circulatory system,male,,,,29.7
2021,"number in 1,000",(a) diseases of the circulatory system,male,,,,30.5
2022,"number in 1,000",(a) diseases of the circulatory system,male,,,,30.5
2023,"number in 1,000",(a) diseases of the circulatory system,male,,,,30.4
2024,"number in 1,000",(a) diseases of the circulatory system,male,,,,29.6
2010,"number in 1,000",(b) malignant neoplasms,male,,,,45.0
2011,"number in 1,000",(b) malignant neoplasms,male,,,,43.8
2012,"number in 1,000",(b) malignant neoplasms,male,,,,42.9
2013,"number in 1,000",(b) malignant neoplasms,male,,,,42.8
2014,"number in 1,000",(b) malignant neoplasms,male,,,,41.7
2015,"number in 1,000",(b) malignant neoplasms,male,,,,42.4
2016,"number in 1,000",(b) malignant neoplasms,male,,,,43.2
2017,"number in 1,000",(b) malignant neoplasms,male,,,,42.2
2018,"number in 1,000",(b) malignant neoplasms,male,,,,42.7
2019,"number in 1,000",(b) malignant neoplasms,male,,,,41.8
2020,"number in 1,000",(b) malignant neoplasms,male,,,,41.7
2021,"number in 1,000",(b) malignant neoplasms,male,,,,40.8
2022,"number in 1,000",(b) malignant neoplasms,male,,,,40.6
2023,"number in 1,000",(b) malignant neoplasms,male,,,,40.0
2024,"number in 1,000",(b) malignant neoplasms,male,,,,39.7
2010,"number in 1,000",(c) diabetes mellitus,male,,,,2.4
2011,"number in 1,000",(c) diabetes mellitus,male,,,,2.4
2012,"number in 1,000",(c) diabetes mellitus,male,,,,2.4
2013,"number in 1,000",(c) diabetes mellitus,male,,,,2.5
2014,"number in 1,000",(c) diabetes mellitus,male,,,,2.3
2015,"number in 1,000",(c) diabetes mellitus,male,,,,2.5
2016,"number in 1,000",(c) diabetes mellitus,male,,,,2.5
2017,"number in 1,000",(c) diabetes mellitus,male,,,,2.7
2018,"number in 1,000",(c) diabetes mellitus,male,,,,2.7
2019,"number in 1,000",(c) diabetes mellitus,male,,,,2.6
2020,"number in 1,000",(c) diabetes mellitus,male,,,,2.7
2021,"number in 1,000",(c) diabetes mellitus,male,,,,2.8
2022,"number in 1,000",(c) diabetes mellitus,male,,,,2.8
2023,"number in 1,000",(c) diabetes mellitus,male,,,,2.8
2024,"number in 1,000",(c) diabetes mellitus,male,,,,2.9
2010,"number in 1,000",(d) chronic respiratory disease,male,,,,4.6
2011,"number in 1,000",(d) chronic respiratory disease,male,,,,4.7
2012,"number in 1,000",(d) chronic respiratory disease,male,,,,4.4
2013,"number in 1,000",(d) chronic respiratory disease,male,,,,4.9
2014,"number in 1,000",(d) chronic respiratory disease,male,,,,4.7
2015,"number in 1,000",(d) chronic respiratory disease,male,,,,5.3
2016,"number in 1,000",(d) chronic respiratory disease,male,,,,5.3
2017,"number in 1,000",(d) chronic respiratory disease,male,,,,5.5
2018,"number in 1,000",(d) chronic respiratory disease,male,,,,5.8
2019,"number in 1,000",(d) chronic respiratory disease,male,,,,5.7
2020,"number in 1,000",(d) chronic respiratory disease,male,,,,5.5
2021,"number in 1,000",(d) chronic respiratory disease,male,,,,5.5
2022,"number in 1,000",(d) chronic respiratory disease,male,,,,6.1
2023,"number in 1,000",(d) chronic respiratory disease,male,,,,6.4
2024,"number in 1,000",(d) chronic respiratory disease,male,,,,6.7
