Year,series,typification,sex,Series,Value
2013,housing deprivation,,,"population living in a dwelling with a leaky roof, moisture in the walls, floors, foundation, or rot in the window frames or floor",13.1
2014,housing deprivation,,,"population living in a dwelling with a leaky roof, moisture in the walls, floors, foundation, or rot in the window frames or floor",12.3
2015,housing deprivation,,,"population living in a dwelling with a leaky roof, moisture in the walls, floors, foundation, or rot in the window frames or floor",12.8
2016,housing deprivation,,,"population living in a dwelling with a leaky roof, moisture in the walls, floors, foundation, or rot in the window frames or floor",13.1
2017,housing deprivation,,,"population living in a dwelling with a leaky roof, moisture in the walls, floors, foundation, or rot in the window frames or floor",12.5
2018,housing deprivation,,,"population living in a dwelling with a leaky roof, moisture in the walls, floors, foundation, or rot in the window frames or floor",13.4
2019,housing deprivation,,,"population living in a dwelling with a leaky roof, moisture in the walls, floors, foundation, or rot in the window frames or floor",12.0
2010,housing deprivation,,female,"population living in a dwelling with a leaky roof, moisture in the walls, floors, foundation, or rot in the window frames or floor",13.7
2011,housing deprivation,,female,"population living in a dwelling with a leaky roof, moisture in the walls, floors, foundation, or rot in the window frames or floor",14.1
2012,housing deprivation,,female,"population living in a dwelling with a leaky roof, moisture in the walls, floors, foundation, or rot in the window frames or floor",13.7
2013,housing deprivation,,female,"population living in a dwelling with a leaky roof, moisture in the walls, floors, foundation, or rot in the window frames or floor",13.1
2014,housing deprivation,,female,"population living in a dwelling with a leaky roof, moisture in the walls, floors, foundation, or rot in the window frames or floor",12.6
2015,housing deprivation,,female,"population living in a dwelling with a leaky roof, moisture in the walls, floors, foundation, or rot in the window frames or floor",13.1
2016,housing deprivation,,female,"population living in a dwelling with a leaky roof, moisture in the walls, floors, foundation, or rot in the window frames or floor",13.5
2017,housing deprivation,,female,"population living in a dwelling with a leaky roof, moisture in the walls, floors, foundation, or rot in the window frames or floor",12.7
2018,housing deprivation,,female,"population living in a dwelling with a leaky roof, moisture in the walls, floors, foundation, or rot in the window frames or floor",13.7
2019,housing deprivation,,female,"population living in a dwelling with a leaky roof, moisture in the walls, floors, foundation, or rot in the window frames or floor",12.3
2010,housing deprivation,,male,"population living in a dwelling with a leaky roof, moisture in the walls, floors, foundation, or rot in the window frames or floor",13.0
2011,housing deprivation,,male,"population living in a dwelling with a leaky roof, moisture in the walls, floors, foundation, or rot in the window frames or floor",13.4
2012,housing deprivation,,male,"population living in a dwelling with a leaky roof, moisture in the walls, floors, foundation, or rot in the window frames or floor",13.2
2013,housing deprivation,,male,"population living in a dwelling with a leaky roof, moisture in the walls, floors, foundation, or rot in the window frames or floor",13.1
2014,housing deprivation,,male,"population living in a dwelling with a leaky roof, moisture in the walls, floors, foundation, or rot in the window frames or floor",12.1
2015,housing deprivation,,male,"population living in a dwelling with a leaky roof, moisture in the walls, floors, foundation, or rot in the window frames or floor",12.4
2016,housing deprivation,,male,"population living in a dwelling with a leaky roof, moisture in the walls, floors, foundation, or rot in the window frames or floor",12.7
2017,housing deprivation,,male,"population living in a dwelling with a leaky roof, moisture in the walls, floors, foundation, or rot in the window frames or floor",12.2
2018,housing deprivation,,male,"population living in a dwelling with a leaky roof, moisture in the walls, floors, foundation, or rot in the window frames or floor",13.2
2019,housing deprivation,,male,"population living in a dwelling with a leaky roof, moisture in the walls, floors, foundation, or rot in the window frames or floor",11.7
2010,housing deprivation,,,"population that has neither a bath, nor a shower in their home",0.5
2011,housing deprivation,,,"population that has neither a bath, nor a shower in their home",0.1
2012,housing deprivation,,,"population that has neither a bath, nor a shower in their home",0.1
2013,housing deprivation,,,"population that has neither a bath, nor a shower in their home",
2014,housing deprivation,,,"population that has neither a bath, nor a shower in their home",
2015,housing deprivation,,,"population that has neither a bath, nor a shower in their home",
2016,housing deprivation,,,"population that has neither a bath, nor a shower in their home",
2017,housing deprivation,,,"population that has neither a bath, nor a shower in their home",
2018,housing deprivation,,,"population that has neither a bath, nor a shower in their home",
2019,housing deprivation,,,"population that has neither a bath, nor a shower in their home",
2010,housing deprivation,,female,"population that has neither a bath, nor a shower in their home",0.5
2011,housing deprivation,,female,"population that has neither a bath, nor a shower in their home",0.1
2012,housing deprivation,,female,"population that has neither a bath, nor a shower in their home",0.1
2013,housing deprivation,,female,"population that has neither a bath, nor a shower in their home",
2014,housing deprivation,,female,"population that has neither a bath, nor a shower in their home",
2015,housing deprivation,,female,"population that has neither a bath, nor a shower in their home",
2016,housing deprivation,,female,"population that has neither a bath, nor a shower in their home",
2017,housing deprivation,,female,"population that has neither a bath, nor a shower in their home",
2018,housing deprivation,,female,"population that has neither a bath, nor a shower in their home",
2019,housing deprivation,,female,"population that has neither a bath, nor a shower in their home",
2010,housing deprivation,,male,"population that has neither a bath, nor a shower in their home",0.6
2011,housing deprivation,,male,"population that has neither a bath, nor a shower in their home",0.1
2012,housing deprivation,,male,"population that has neither a bath, nor a shower in their home",0.1
2013,housing deprivation,,male,"population that has neither a bath, nor a shower in their home",
2014,housing deprivation,,male,"population that has neither a bath, nor a shower in their home",
2015,housing deprivation,,male,"population that has neither a bath, nor a shower in their home",
2016,housing deprivation,,male,"population that has neither a bath, nor a shower in their home",
2017,housing deprivation,,male,"population that has neither a bath, nor a shower in their home",
2018,housing deprivation,,male,"population that has neither a bath, nor a shower in their home",
2019,housing deprivation,,male,"population that has neither a bath, nor a shower in their home",
2010,housing deprivation,,,population that does not have a toilet for the sole use of their household,1.6
2011,housing deprivation,,,population that does not have a toilet for the sole use of their household,0.9
2012,housing deprivation,,,population that does not have a toilet for the sole use of their household,0.9
2013,housing deprivation,,,population that does not have a toilet for the sole use of their household,0.1
2014,housing deprivation,,,population that does not have a toilet for the sole use of their household,
2015,housing deprivation,,,population that does not have a toilet for the sole use of their household,0.1
2016,housing deprivation,,,population that does not have a toilet for the sole use of their household,0.1
2017,housing deprivation,,,population that does not have a toilet for the sole use of their household,0.1
2018,housing deprivation,,,population that does not have a toilet for the sole use of their household,
2019,housing deprivation,,,population that does not have a toilet for the sole use of their household,0.2
2010,housing deprivation,,female,population that does not have a toilet for the sole use of their household,1.7
2011,housing deprivation,,female,population that does not have a toilet for the sole use of their household,0.9
2012,housing deprivation,,female,population that does not have a toilet for the sole use of their household,1.0
2013,housing deprivation,,female,population that does not have a toilet for the sole use of their household,0.2
2014,housing deprivation,,female,population that does not have a toilet for the sole use of their household,
2015,housing deprivation,,female,population that does not have a toilet for the sole use of their household,0.1
2016,housing deprivation,,female,population that does not have a toilet for the sole use of their household,0.1
2017,housing deprivation,,female,population that does not have a toilet for the sole use of their household,0.1
2018,housing deprivation,,female,population that does not have a toilet for the sole use of their household,0.1
2019,housing deprivation,,female,population that does not have a toilet for the sole use of their household,0.2
2010,housing deprivation,,male,population that does not have a toilet for the sole use of their household,1.6
2011,housing deprivation,,male,population that does not have a toilet for the sole use of their household,0.8
2012,housing deprivation,,male,population that does not have a toilet for the sole use of their household,0.9
2013,housing deprivation,,male,population that does not have a toilet for the sole use of their household,0.1
2014,housing deprivation,,male,population that does not have a toilet for the sole use of their household,
2015,housing deprivation,,male,population that does not have a toilet for the sole use of their household,0.1
2016,housing deprivation,,male,population that does not have a toilet for the sole use of their household,0.1
2017,housing deprivation,,male,population that does not have a toilet for the sole use of their household,0.1
2018,housing deprivation,,male,population that does not have a toilet for the sole use of their household,
2019,housing deprivation,,male,population that does not have a toilet for the sole use of their household,0.3
2010,housing deprivation,,,population that considers their accommodation too dark,4.2
2011,housing deprivation,,,population that considers their accommodation too dark,4.1
2012,housing deprivation,,,population that considers their accommodation too dark,3.9
2013,housing deprivation,,,population that considers their accommodation too dark,4.4
2014,housing deprivation,,,population that considers their accommodation too dark,4.4
2015,housing deprivation,,,population that considers their accommodation too dark,4.0
2016,housing deprivation,,,population that considers their accommodation too dark,3.9
2017,housing deprivation,,,population that considers their accommodation too dark,4.0
2018,housing deprivation,,,population that considers their accommodation too dark,4.4
2019,housing deprivation,,,population that considers their accommodation too dark,4.0
2010,housing deprivation,,female,population that considers their accommodation too dark,3.9
2011,housing deprivation,,female,population that considers their accommodation too dark,3.9
2012,housing deprivation,,female,population that considers their accommodation too dark,3.9
2013,housing deprivation,,female,population that considers their accommodation too dark,4.5
2014,housing deprivation,,female,population that considers their accommodation too dark,4.3
2015,housing deprivation,,female,population that considers their accommodation too dark,3.9
2016,housing deprivation,,female,population that considers their accommodation too dark,3.8
2017,housing deprivation,,female,population that considers their accommodation too dark,3.9
2018,housing deprivation,,female,population that considers their accommodation too dark,4.4
2019,housing deprivation,,female,population that considers their accommodation too dark,4.2
2010,housing deprivation,,male,population that considers their accommodation too dark,4.5
2011,housing deprivation,,male,population that considers their accommodation too dark,4.2
2012,housing deprivation,,male,population that considers their accommodation too dark,3.9
2013,housing deprivation,,male,population that considers their accommodation too dark,4.3
2014,housing deprivation,,male,population that considers their accommodation too dark,4.5
2015,housing deprivation,,male,population that considers their accommodation too dark,4.1
2016,housing deprivation,,male,population that considers their accommodation too dark,3.9
2017,housing deprivation,,male,population that considers their accommodation too dark,4.0
2018,housing deprivation,,male,population that considers their accommodation too dark,4.4
2019,housing deprivation,,male,population that considers their accommodation too dark,3.8
