Year,Zeitreihe,COMMENT_OBS_0,COMMENT_OBS_1,COMMENT_OBS_2,Value
2023,Relation zwischen notleiden-den Krediten (abzüglich Risikovorsorge) und bilanziellem Eigenkapital,,,,98.0
2024,Relation zwischen notleiden-den Krediten (abzüglich Risikovorsorge) und bilanziellem Eigenkapital,,,,99.2
2010,Anteil der notleidenden Kredite an den Bruttokrediten insgesamt,.,,,
2011,Anteil der notleidenden Kredite an den Bruttokrediten insgesamt,.,,,
2012,Anteil der notleidenden Kredite an den Bruttokrediten insgesamt,.,,,
2013,Anteil der notleidenden Kredite an den Bruttokrediten insgesamt,.,,,
2014,Anteil der notleidenden Kredite an den Bruttokrediten insgesamt,.,,,
2015,Anteil der notleidenden Kredite an den Bruttokrediten insgesamt,.,,,
2016,Anteil der notleidenden Kredite an den Bruttokrediten insgesamt,.,,,
2017,Anteil der notleidenden Kredite an den Bruttokrediten insgesamt,.,,,
2018,Anteil der notleidenden Kredite an den Bruttokrediten insgesamt,.,,,
2019,Anteil der notleidenden Kredite an den Bruttokrediten insgesamt,.,,,
2020,Anteil der notleidenden Kredite an den Bruttokrediten insgesamt,.,,,
2021,Anteil der notleidenden Kredite an den Bruttokrediten insgesamt,,,,17.3
2022,Anteil der notleidenden Kredite an den Bruttokrediten insgesamt,,,,64.6
2023,Anteil der notleidenden Kredite an den Bruttokrediten insgesamt,,,,96.0
2024,Anteil der notleidenden Kredite an den Bruttokrediten insgesamt,,,,98.1
2010,Gesamtkapitalrentabilität,.,,,
2011,Gesamtkapitalrentabilität,.,,,
2012,Gesamtkapitalrentabilität,.,,,
2013,Gesamtkapitalrentabilität,.,,,
2014,Gesamtkapitalrentabilität,.,,,
2015,Gesamtkapitalrentabilität,.,,,
2016,Gesamtkapitalrentabilität,.,,,
2017,Gesamtkapitalrentabilität,.,,,
2018,Gesamtkapitalrentabilität,.,,,
2019,Gesamtkapitalrentabilität,.,,,
2020,Gesamtkapitalrentabilität,.,,,
2021,Gesamtkapitalrentabilität,,,,22.2
2022,Gesamtkapitalrentabilität,,,,75.7
2023,Gesamtkapitalrentabilität,,,,98.4
2024,Gesamtkapitalrentabilität,,,,99.3
2010,Relation zwischen liquiden Aktiva und kurzfristigen Verbindlichkeiten,.,,,
2011,Relation zwischen liquiden Aktiva und kurzfristigen Verbindlichkeiten,.,,,
2012,Relation zwischen liquiden Aktiva und kurzfristigen Verbindlichkeiten,.,,,
2013,Relation zwischen liquiden Aktiva und kurzfristigen Verbindlichkeiten,.,,,
2014,Relation zwischen liquiden Aktiva und kurzfristigen Verbindlichkeiten,.,,,
2015,Relation zwischen liquiden Aktiva und kurzfristigen Verbindlichkeiten,.,,,
2016,Relation zwischen liquiden Aktiva und kurzfristigen Verbindlichkeiten,.,,,
2017,Relation zwischen liquiden Aktiva und kurzfristigen Verbindlichkeiten,.,,,
2018,Relation zwischen liquiden Aktiva und kurzfristigen Verbindlichkeiten,.,,,
2019,Relation zwischen liquiden Aktiva und kurzfristigen Verbindlichkeiten,.,,,
2020,Relation zwischen liquiden Aktiva und kurzfristigen Verbindlichkeiten,.,,,
2021,Relation zwischen liquiden Aktiva und kurzfristigen Verbindlichkeiten,,,,64.5
2022,Relation zwischen liquiden Aktiva und kurzfristigen Verbindlichkeiten,,,,97.9
2023,Relation zwischen liquiden Aktiva und kurzfristigen Verbindlichkeiten,,,,100.0
2024,Relation zwischen liquiden Aktiva und kurzfristigen Verbindlichkeiten,,,,100.0
2010,Relation zwischen offener Fremdwährungsposition und regulatorischen Eigenmitteln,.,,,
2011,Relation zwischen offener Fremdwährungsposition und regulatorischen Eigenmitteln,.,,,
2012,Relation zwischen offener Fremdwährungsposition und regulatorischen Eigenmitteln,.,,,
2013,Relation zwischen offener Fremdwährungsposition und regulatorischen Eigenmitteln,.,,,
2014,Relation zwischen offener Fremdwährungsposition und regulatorischen Eigenmitteln,.,,,
2015,Relation zwischen offener Fremdwährungsposition und regulatorischen Eigenmitteln,.,,,
2016,Relation zwischen offener Fremdwährungsposition und regulatorischen Eigenmitteln,.,,,
2017,Relation zwischen offener Fremdwährungsposition und regulatorischen Eigenmitteln,.,,,
2018,Relation zwischen offener Fremdwährungsposition und regulatorischen Eigenmitteln,.,,,
2019,Relation zwischen offener Fremdwährungsposition und regulatorischen Eigenmitteln,.,,,
2020,Relation zwischen offener Fremdwährungsposition und regulatorischen Eigenmitteln,.,,,
2021,Relation zwischen offener Fremdwährungsposition und regulatorischen Eigenmitteln,,,,5.2
2022,Relation zwischen offener Fremdwährungsposition und regulatorischen Eigenmitteln,,,,72.5
2023,Relation zwischen offener Fremdwährungsposition und regulatorischen Eigenmitteln,,,,97.8
2024,Relation zwischen offener Fremdwährungsposition und regulatorischen Eigenmitteln,,,,99.2
