Year,Units,Mode of transport,COMMENT_OBS_0,COMMENT_OBS_1,COMMENT_OBS_2,Series,Value
2019,Million passenger-kilometre,Rail transport,…,,,Passenger transport,
2020,Million passenger-kilometre,Rail transport,,,,Passenger transport,1147866.0
2021,Million passenger-kilometre,Rail transport,,,,Passenger transport,1281136.0
2022,Million passenger-kilometre,Rail transport,,,,Passenger transport,1338977.0
2023,Million passenger-kilometre,Rail transport,,,,Passenger transport,1363796.0
2022,Million passenger-kilometre,Air transport,,,,Passenger transport,25202.0
2023,Million passenger-kilometre,Air transport,,,,Passenger transport,25719.0
2010,Million passenger-kilometre,Motorised private transport,…,,,Passenger transport,
2011,Million passenger-kilometre,Motorised private transport,…,,,Passenger transport,
2012,Million passenger-kilometre,Motorised private transport,…,,,Passenger transport,
2013,Million passenger-kilometre,Motorised private transport,…,,,Passenger transport,
2014,Million passenger-kilometre,Motorised private transport,…,,,Passenger transport,
2015,Million passenger-kilometre,Motorised private transport,…,,,Passenger transport,
2016,Million passenger-kilometre,Motorised private transport,…,,,Passenger transport,
2017,Million passenger-kilometre,Motorised private transport,…,,,Passenger transport,
2018,Million passenger-kilometre,Motorised private transport,…,,,Passenger transport,
2019,Million passenger-kilometre,Motorised private transport,…,,,Passenger transport,
2020,Million passenger-kilometre,Motorised private transport,,,,Passenger transport,141037.0
2021,Million passenger-kilometre,Motorised private transport,,,,Passenger transport,164689.0
2022,Million passenger-kilometre,Motorised private transport,,,,Passenger transport,171881.0
2023,Million passenger-kilometre,Motorised private transport,,,,Passenger transport,182026.0
2010,Million tonne-kilometres,,…,,,Freight transport,
2011,Million tonne-kilometres,,…,,,Freight transport,
2012,Million tonne-kilometres,,…,,,Freight transport,
2013,Million tonne-kilometres,,…,,,Freight transport,
2014,Million tonne-kilometres,,…,,,Freight transport,
2015,Million tonne-kilometres,,…,,,Freight transport,
2016,Million tonne-kilometres,,…,,,Freight transport,
2017,Million tonne-kilometres,,…,,,Freight transport,
2018,Million tonne-kilometres,,…,,,Freight transport,
2019,Million tonne-kilometres,,…,,,Freight transport,
2020,Million tonne-kilometres,,,,,Freight transport,8137.0
2021,Million tonne-kilometres,,,,,Freight transport,8254.0
2022,Million tonne-kilometres,,,,,Freight transport,8710.0
2023,Million tonne-kilometres,,,,,Freight transport,8480.0
2010,Million tonne-kilometres,Road transport,…,,,Freight transport,
2011,Million tonne-kilometres,Road transport,…,,,Freight transport,
2012,Million tonne-kilometres,Road transport,…,,,Freight transport,
2013,Million tonne-kilometres,Road transport,…,,,Freight transport,
2014,Million tonne-kilometres,Road transport,…,,,Freight transport,
2015,Million tonne-kilometres,Road transport,…,,,Freight transport,
2016,Million tonne-kilometres,Road transport,…,,,Freight transport,
2017,Million tonne-kilometres,Road transport,…,,,Freight transport,
2018,Million tonne-kilometres,Road transport,…,,,Freight transport,
2019,Million tonne-kilometres,Road transport,…,,,Freight transport,
2020,Million tonne-kilometres,Road transport,,,,Freight transport,57763.0
2021,Million tonne-kilometres,Road transport,,,,Freight transport,53976.0
2022,Million tonne-kilometres,Road transport,,,,Freight transport,52214.0
2023,Million tonne-kilometres,Road transport,,,,Freight transport,56268.0
2010,Million tonne-kilometres,Rail transport,…,,,Freight transport,
2011,Million tonne-kilometres,Rail transport,…,,,Freight transport,
2012,Million tonne-kilometres,Rail transport,…,,,Freight transport,
2013,Million tonne-kilometres,Rail transport,…,,,Freight transport,
2014,Million tonne-kilometres,Rail transport,…,,,Freight transport,
2015,Million tonne-kilometres,Rail transport,…,,,Freight transport,
2016,Million tonne-kilometres,Rail transport,…,,,Freight transport,
2017,Million tonne-kilometres,Rail transport,…,,,Freight transport,
2018,Million tonne-kilometres,Rail transport,…,,,Freight transport,
2019,Million tonne-kilometres,Rail transport,…,,,Freight transport,
2020,Million tonne-kilometres,Rail transport,,,,Freight transport,30207.0
2021,Million tonne-kilometres,Rail transport,,,,Freight transport,35394.0
2022,Million tonne-kilometres,Rail transport,,,,Freight transport,40890.0
2023,Million tonne-kilometres,Rail transport,,,,Freight transport,38225.0
2010,Million tonne-kilometres,Inland waterway transport,…,,,Freight transport,
2011,Million tonne-kilometres,Inland waterway transport,…,,,Freight transport,
2012,Million tonne-kilometres,Inland waterway transport,…,,,Freight transport,
2013,Million tonne-kilometres,Inland waterway transport,…,,,Freight transport,
2014,Million tonne-kilometres,Inland waterway transport,…,,,Freight transport,
2015,Million tonne-kilometres,Inland waterway transport,…,,,Freight transport,
2016,Million tonne-kilometres,Inland waterway transport,…,,,Freight transport,
2017,Million tonne-kilometres,Inland waterway transport,…,,,Freight transport,
2018,Million tonne-kilometres,Inland waterway transport,…,,,Freight transport,
2019,Million tonne-kilometres,Inland waterway transport,…,,,Freight transport,
2020,Million tonne-kilometres,Inland waterway transport,,,,Freight transport,71757.0
2021,Million tonne-kilometres,Inland waterway transport,,,,Freight transport,69620.0
2022,Million tonne-kilometres,Inland waterway transport,,,,Freight transport,78682.0
2023,Million tonne-kilometres,Inland waterway transport,,,,Freight transport,74969.0
2021,Million tonne-kilometres,Air transport,,,,Freight transport,48031.0
2022,Million tonne-kilometres,Air transport,,,,Freight transport,53906.0
2023,Million tonne-kilometres,Air transport,,,,Freight transport,56266.0
2021,Million tonne-kilometres,Pipelines: crude oil,,,,Freight transport,275068.0
2022,Million tonne-kilometres,Pipelines: crude oil,,,,Freight transport,286360.0
2023,Million tonne-kilometres,Pipelines: crude oil,,,,Freight transport,276102.0
