Year,Units,Disease,COMMENT_OBS_0,COMMENT_OBS_1,COMMENT_OBS_2,Series,Value
2016,Attributable deaths,Chronic obstructive pulmonary disease (COPD),r,,,Attributable deaths due to long-term exposure to fine particulate matter (PM₂.₅) in the population aged 25 years and older by type of disease,2730
2017,Attributable deaths,Chronic obstructive pulmonary disease (COPD),r,,,Attributable deaths due to long-term exposure to fine particulate matter (PM₂.₅) in the population aged 25 years and older by type of disease,2828
2018,Attributable deaths,Chronic obstructive pulmonary disease (COPD),r,,,Attributable deaths due to long-term exposure to fine particulate matter (PM₂.₅) in the population aged 25 years and older by type of disease,2917
2019,Attributable deaths,Chronic obstructive pulmonary disease (COPD),r,,,Attributable deaths due to long-term exposure to fine particulate matter (PM₂.₅) in the population aged 25 years and older by type of disease,2157
2020,Attributable deaths,Chronic obstructive pulmonary disease (COPD),r,,,Attributable deaths due to long-term exposure to fine particulate matter (PM₂.₅) in the population aged 25 years and older by type of disease,1762
2021,Attributable deaths,Chronic obstructive pulmonary disease (COPD),r,,,Attributable deaths due to long-term exposure to fine particulate matter (PM₂.₅) in the population aged 25 years and older by type of disease,1915
2022,Attributable deaths,Chronic obstructive pulmonary disease (COPD),,,,Attributable deaths due to long-term exposure to fine particulate matter (PM₂.₅) in the population aged 25 years and older by type of disease,1888
2023,Attributable deaths,Chronic obstructive pulmonary disease (COPD),,,,Attributable deaths due to long-term exposure to fine particulate matter (PM₂.₅) in the population aged 25 years and older by type of disease,1414
2010,Attributable deaths,Lung cancer,r,,,Attributable deaths due to long-term exposure to fine particulate matter (PM₂.₅) in the population aged 25 years and older by type of disease,5722
2011,Attributable deaths,Lung cancer,r,,,Attributable deaths due to long-term exposure to fine particulate matter (PM₂.₅) in the population aged 25 years and older by type of disease,5571
2012,Attributable deaths,Lung cancer,r,,,Attributable deaths due to long-term exposure to fine particulate matter (PM₂.₅) in the population aged 25 years and older by type of disease,4347
2013,Attributable deaths,Lung cancer,r,,,Attributable deaths due to long-term exposure to fine particulate matter (PM₂.₅) in the population aged 25 years and older by type of disease,4799
2014,Attributable deaths,Lung cancer,r,,,Attributable deaths due to long-term exposure to fine particulate matter (PM₂.₅) in the population aged 25 years and older by type of disease,4738
2015,Attributable deaths,Lung cancer,r,,,Attributable deaths due to long-term exposure to fine particulate matter (PM₂.₅) in the population aged 25 years and older by type of disease,4183
2016,Attributable deaths,Lung cancer,r,,,Attributable deaths due to long-term exposure to fine particulate matter (PM₂.₅) in the population aged 25 years and older by type of disease,4086
2017,Attributable deaths,Lung cancer,r,,,Attributable deaths due to long-term exposure to fine particulate matter (PM₂.₅) in the population aged 25 years and older by type of disease,3816
2018,Attributable deaths,Lung cancer,r,,,Attributable deaths due to long-term exposure to fine particulate matter (PM₂.₅) in the population aged 25 years and older by type of disease,3954
2019,Attributable deaths,Lung cancer,r,,,Attributable deaths due to long-term exposure to fine particulate matter (PM₂.₅) in the population aged 25 years and older by type of disease,2558
2020,Attributable deaths,Lung cancer,r,,,Attributable deaths due to long-term exposure to fine particulate matter (PM₂.₅) in the population aged 25 years and older by type of disease,2248
2021,Attributable deaths,Lung cancer,r,,,Attributable deaths due to long-term exposure to fine particulate matter (PM₂.₅) in the population aged 25 years and older by type of disease,2504
2022,Attributable deaths,Lung cancer,,,,Attributable deaths due to long-term exposure to fine particulate matter (PM₂.₅) in the population aged 25 years and older by type of disease,2209
2023,Attributable deaths,Lung cancer,,,,Attributable deaths due to long-term exposure to fine particulate matter (PM₂.₅) in the population aged 25 years and older by type of disease,1587
2010,Attributable deaths,Stroke,r,,,Attributable deaths due to long-term exposure to fine particulate matter (PM₂.₅) in the population aged 25 years and older by type of disease,3971
2011,Attributable deaths,Stroke,r,,,Attributable deaths due to long-term exposure to fine particulate matter (PM₂.₅) in the population aged 25 years and older by type of disease,3743
2012,Attributable deaths,Stroke,r,,,Attributable deaths due to long-term exposure to fine particulate matter (PM₂.₅) in the population aged 25 years and older by type of disease,2953
2013,Attributable deaths,Stroke,r,,,Attributable deaths due to long-term exposure to fine particulate matter (PM₂.₅) in the population aged 25 years and older by type of disease,3224
2014,Attributable deaths,Stroke,r,,,Attributable deaths due to long-term exposure to fine particulate matter (PM₂.₅) in the population aged 25 years and older by type of disease,3091
2015,Attributable deaths,Stroke,r,,,Attributable deaths due to long-term exposure to fine particulate matter (PM₂.₅) in the population aged 25 years and older by type of disease,2820
2016,Attributable deaths,Stroke,r,,,Attributable deaths due to long-term exposure to fine particulate matter (PM₂.₅) in the population aged 25 years and older by type of disease,2766
2017,Attributable deaths,Stroke,r,,,Attributable deaths due to long-term exposure to fine particulate matter (PM₂.₅) in the population aged 25 years and older by type of disease,2578
2018,Attributable deaths,Stroke,r,,,Attributable deaths due to long-term exposure to fine particulate matter (PM₂.₅) in the population aged 25 years and older by type of disease,2695
2019,Attributable deaths,Stroke,r,,,Attributable deaths due to long-term exposure to fine particulate matter (PM₂.₅) in the population aged 25 years and older by type of disease,2045
2020,Attributable deaths,Stroke,r,,,Attributable deaths due to long-term exposure to fine particulate matter (PM₂.₅) in the population aged 25 years and older by type of disease,1791
2021,Attributable deaths,Stroke,r,,,Attributable deaths due to long-term exposure to fine particulate matter (PM₂.₅) in the population aged 25 years and older by type of disease,1840
2022,Attributable deaths,Stroke,,,,Attributable deaths due to long-term exposure to fine particulate matter (PM₂.₅) in the population aged 25 years and older by type of disease,1777
2023,Attributable deaths,Stroke,,,,Attributable deaths due to long-term exposure to fine particulate matter (PM₂.₅) in the population aged 25 years and older by type of disease,1312
2010,Attributable deaths,Ischemic heart diseases,r,,,Attributable deaths due to long-term exposure to fine particulate matter (PM₂.₅) in the population aged 25 years and older by type of disease,20954
2011,Attributable deaths,Ischemic heart diseases,r,,,Attributable deaths due to long-term exposure to fine particulate matter (PM₂.₅) in the population aged 25 years and older by type of disease,19059
2012,Attributable deaths,Ischemic heart diseases,r,,,Attributable deaths due to long-term exposure to fine particulate matter (PM₂.₅) in the population aged 25 years and older by type of disease,15135
2013,Attributable deaths,Ischemic heart diseases,r,,,Attributable deaths due to long-term exposure to fine particulate matter (PM₂.₅) in the population aged 25 years and older by type of disease,16453
2014,Attributable deaths,Ischemic heart diseases,r,,,Attributable deaths due to long-term exposure to fine particulate matter (PM₂.₅) in the population aged 25 years and older by type of disease,15225
2015,Attributable deaths,Ischemic heart diseases,r,,,Attributable deaths due to long-term exposure to fine particulate matter (PM₂.₅) in the population aged 25 years and older by type of disease,14205
2016,Attributable deaths,Ischemic heart diseases,r,,,Attributable deaths due to long-term exposure to fine particulate matter (PM₂.₅) in the population aged 25 years and older by type of disease,13053
2017,Attributable deaths,Ischemic heart diseases,r,,,Attributable deaths due to long-term exposure to fine particulate matter (PM₂.₅) in the population aged 25 years and older by type of disease,12653
2018,Attributable deaths,Ischemic heart diseases,r,,,Attributable deaths due to long-term exposure to fine particulate matter (PM₂.₅) in the population aged 25 years and older by type of disease,13080
2019,Attributable deaths,Ischemic heart diseases,r,,,Attributable deaths due to long-term exposure to fine particulate matter (PM₂.₅) in the population aged 25 years and older by type of disease,9607
2020,Attributable deaths,Ischemic heart diseases,r,,,Attributable deaths due to long-term exposure to fine particulate matter (PM₂.₅) in the population aged 25 years and older by type of disease,8687
2021,Attributable deaths,Ischemic heart diseases,r,,,Attributable deaths due to long-term exposure to fine particulate matter (PM₂.₅) in the population aged 25 years and older by type of disease,9628
2022,Attributable deaths,Ischemic heart diseases,,,,Attributable deaths due to long-term exposure to fine particulate matter (PM₂.₅) in the population aged 25 years and older by type of disease,8771
2023,Attributable deaths,Ischemic heart diseases,,,,Attributable deaths due to long-term exposure to fine particulate matter (PM₂.₅) in the population aged 25 years and older by type of disease,6104
2010,Attributable deaths,Diabetes mellitus type 2,r,,,Attributable deaths due to long-term exposure to fine particulate matter (PM₂.₅) in the population aged 25 years and older by type of disease,3461
2011,Attributable deaths,Diabetes mellitus type 2,r,,,Attributable deaths due to long-term exposure to fine particulate matter (PM₂.₅) in the population aged 25 years and older by type of disease,3418
2012,Attributable deaths,Diabetes mellitus type 2,r,,,Attributable deaths due to long-term exposure to fine particulate matter (PM₂.₅) in the population aged 25 years and older by type of disease,2937
2013,Attributable deaths,Diabetes mellitus type 2,r,,,Attributable deaths due to long-term exposure to fine particulate matter (PM₂.₅) in the population aged 25 years and older by type of disease,3158
2014,Attributable deaths,Diabetes mellitus type 2,r,,,Attributable deaths due to long-term exposure to fine particulate matter (PM₂.₅) in the population aged 25 years and older by type of disease,2921
2015,Attributable deaths,Diabetes mellitus type 2,r,,,Attributable deaths due to long-term exposure to fine particulate matter (PM₂.₅) in the population aged 25 years and older by type of disease,2873
2016,Attributable deaths,Diabetes mellitus type 2,r,,,Attributable deaths due to long-term exposure to fine particulate matter (PM₂.₅) in the population aged 25 years and older by type of disease,2627
2017,Attributable deaths,Diabetes mellitus type 2,r,,,Attributable deaths due to long-term exposure to fine particulate matter (PM₂.₅) in the population aged 25 years and older by type of disease,2728
2018,Attributable deaths,Diabetes mellitus type 2,r,,,Attributable deaths due to long-term exposure to fine particulate matter (PM₂.₅) in the population aged 25 years and older by type of disease,2798
2019,Attributable deaths,Diabetes mellitus type 2,r,,,Attributable deaths due to long-term exposure to fine particulate matter (PM₂.₅) in the population aged 25 years and older by type of disease,2130
2020,Attributable deaths,Diabetes mellitus type 2,r,,,Attributable deaths due to long-term exposure to fine particulate matter (PM₂.₅) in the population aged 25 years and older by type of disease,2073
2021,Attributable deaths,Diabetes mellitus type 2,r,,,Attributable deaths due to long-term exposure to fine particulate matter (PM₂.₅) in the population aged 25 years and older by type of disease,2299
2022,Attributable deaths,Diabetes mellitus type 2,,,,Attributable deaths due to long-term exposure to fine particulate matter (PM₂.₅) in the population aged 25 years and older by type of disease,1886
2023,Attributable deaths,Diabetes mellitus type 2,,,,Attributable deaths due to long-term exposure to fine particulate matter (PM₂.₅) in the population aged 25 years and older by type of disease,1329
2010,DALYs,,,,,DALYs due to long-term exposure to fine particulate matter (PM₂.₅) in the population aged 25 years and older,466082
2011,DALYs,,,,,DALYs due to long-term exposure to fine particulate matter (PM₂.₅) in the population aged 25 years and older,435290
2012,DALYs,,,,,DALYs due to long-term exposure to fine particulate matter (PM₂.₅) in the population aged 25 years and older,375632
2013,DALYs,,,,,DALYs due to long-term exposure to fine particulate matter (PM₂.₅) in the population aged 25 years and older,378623
2014,DALYs,,,,,DALYs due to long-term exposure to fine particulate matter (PM₂.₅) in the population aged 25 years and older,362514
2015,DALYs,,,,,DALYs due to long-term exposure to fine particulate matter (PM₂.₅) in the population aged 25 years and older,332666
2016,DALYs,,,,,DALYs due to long-term exposure to fine particulate matter (PM₂.₅) in the population aged 25 years and older,315346
2017,DALYs,,,,,DALYs due to long-term exposure to fine particulate matter (PM₂.₅) in the population aged 25 years and older,301737
2018,DALYs,,,,,DALYs due to long-term exposure to fine particulate matter (PM₂.₅) in the population aged 25 years and older,324648
2019,DALYs,,,,,DALYs due to long-term exposure to fine particulate matter (PM₂.₅) in the population aged 25 years and older,239209
2020,DALYs,,,,,DALYs due to long-term exposure to fine particulate matter (PM₂.₅) in the population aged 25 years and older,212531
2021,DALYs,,,,,DALYs due to long-term exposure to fine particulate matter (PM₂.₅) in the population aged 25 years and older,232863
2010,DALYs,Chronic obstructive pulmonary disease (COPD),,,,DALYs due to long-term exposure to fine particulate matter (PM₂.₅) in the population aged 25 years and older by type of disease,61831
2011,DALYs,Chronic obstructive pulmonary disease (COPD),,,,DALYs due to long-term exposure to fine particulate matter (PM₂.₅) in the population aged 25 years and older by type of disease,58609
2012,DALYs,Chronic obstructive pulmonary disease (COPD),,,,DALYs due to long-term exposure to fine particulate matter (PM₂.₅) in the population aged 25 years and older by type of disease,45086
2013,DALYs,Chronic obstructive pulmonary disease (COPD),,,,DALYs due to long-term exposure to fine particulate matter (PM₂.₅) in the population aged 25 years and older by type of disease,52240
2014,DALYs,Chronic obstructive pulmonary disease (COPD),,,,DALYs due to long-term exposure to fine particulate matter (PM₂.₅) in the population aged 25 years and older by type of disease,49535
2015,DALYs,Chronic obstructive pulmonary disease (COPD),,,,DALYs due to long-term exposure to fine particulate matter (PM₂.₅) in the population aged 25 years and older by type of disease,47272
2016,DALYs,Chronic obstructive pulmonary disease (COPD),,,,DALYs due to long-term exposure to fine particulate matter (PM₂.₅) in the population aged 25 years and older by type of disease,44747
2017,DALYs,Chronic obstructive pulmonary disease (COPD),,,,DALYs due to long-term exposure to fine particulate matter (PM₂.₅) in the population aged 25 years and older by type of disease,44603
2018,DALYs,Chronic obstructive pulmonary disease (COPD),,,,DALYs due to long-term exposure to fine particulate matter (PM₂.₅) in the population aged 25 years and older by type of disease,47723
2019,DALYs,Chronic obstructive pulmonary disease (COPD),,,,DALYs due to long-term exposure to fine particulate matter (PM₂.₅) in the population aged 25 years and older by type of disease,35891
2020,DALYs,Chronic obstructive pulmonary disease (COPD),,,,DALYs due to long-term exposure to fine particulate matter (PM₂.₅) in the population aged 25 years and older by type of disease,30297
2021,DALYs,Chronic obstructive pulmonary disease (COPD),,,,DALYs due to long-term exposure to fine particulate matter (PM₂.₅) in the population aged 25 years and older by type of disease,33208
2010,DALYs,Lung cancer,,,,DALYs due to long-term exposure to fine particulate matter (PM₂.₅) in the population aged 25 years and older by type of disease,93151
2011,DALYs,Lung cancer,,,,DALYs due to long-term exposure to fine particulate matter (PM₂.₅) in the population aged 25 years and older by type of disease,90789
2012,DALYs,Lung cancer,,,,DALYs due to long-term exposure to fine particulate matter (PM₂.₅) in the population aged 25 years and older by type of disease,71600
2013,DALYs,Lung cancer,,,,DALYs due to long-term exposure to fine particulate matter (PM₂.₅) in the population aged 25 years and older by type of disease,79126
2014,DALYs,Lung cancer,,,,DALYs due to long-term exposure to fine particulate matter (PM₂.₅) in the population aged 25 years and older by type of disease,77664
2015,DALYs,Lung cancer,,,,DALYs due to long-term exposure to fine particulate matter (PM₂.₅) in the population aged 25 years and older by type of disease,69196
2016,DALYs,Lung cancer,,,,DALYs due to long-term exposure to fine particulate matter (PM₂.₅) in the population aged 25 years and older by type of disease,67119
2017,DALYs,Lung cancer,,,,DALYs due to long-term exposure to fine particulate matter (PM₂.₅) in the population aged 25 years and older by type of disease,62554
2018,DALYs,Lung cancer,,,,DALYs due to long-term exposure to fine particulate matter (PM₂.₅) in the population aged 25 years and older by type of disease,64883
2019,DALYs,Lung cancer,,,,DALYs due to long-term exposure to fine particulate matter (PM₂.₅) in the population aged 25 years and older by type of disease,44184
2020,DALYs,Lung cancer,,,,DALYs due to long-term exposure to fine particulate matter (PM₂.₅) in the population aged 25 years and older by type of disease,38727
2021,DALYs,Lung cancer,,,,DALYs due to long-term exposure to fine particulate matter (PM₂.₅) in the population aged 25 years and older by type of disease,42369
2010,DALYs,Stroke,,,,DALYs due to long-term exposure to fine particulate matter (PM₂.₅) in the population aged 25 years and older by type of disease,62160
2011,DALYs,Stroke,,,,DALYs due to long-term exposure to fine particulate matter (PM₂.₅) in the population aged 25 years and older by type of disease,58210
2012,DALYs,Stroke,,,,DALYs due to long-term exposure to fine particulate matter (PM₂.₅) in the population aged 25 years and older by type of disease,44838
2013,DALYs,Stroke,,,,DALYs due to long-term exposure to fine particulate matter (PM₂.₅) in the population aged 25 years and older by type of disease,48829
2014,DALYs,Stroke,,,,DALYs due to long-term exposure to fine particulate matter (PM₂.₅) in the population aged 25 years and older by type of disease,47444
2015,DALYs,Stroke,,,,DALYs due to long-term exposure to fine particulate matter (PM₂.₅) in the population aged 25 years and older by type of disease,42715
2016,DALYs,Stroke,,,,DALYs due to long-term exposure to fine particulate matter (PM₂.₅) in the population aged 25 years and older by type of disease,41450
2017,DALYs,Stroke,,,,DALYs due to long-term exposure to fine particulate matter (PM₂.₅) in the population aged 25 years and older by type of disease,38548
2018,DALYs,Stroke,,,,DALYs due to long-term exposure to fine particulate matter (PM₂.₅) in the population aged 25 years and older by type of disease,45482
2019,DALYs,Stroke,,,,DALYs due to long-term exposure to fine particulate matter (PM₂.₅) in the population aged 25 years and older by type of disease,34343
2020,DALYs,Stroke,,,,DALYs due to long-term exposure to fine particulate matter (PM₂.₅) in the population aged 25 years and older by type of disease,30352
2021,DALYs,Stroke,,,,DALYs due to long-term exposure to fine particulate matter (PM₂.₅) in the population aged 25 years and older by type of disease,32740
2010,DALYs,Ischemic heart diseases,,,,DALYs due to long-term exposure to fine particulate matter (PM₂.₅) in the population aged 25 years and older by type of disease,163080
2011,DALYs,Ischemic heart diseases,,,,DALYs due to long-term exposure to fine particulate matter (PM₂.₅) in the population aged 25 years and older by type of disease,145398
2012,DALYs,Ischemic heart diseases,,,,DALYs due to long-term exposure to fine particulate matter (PM₂.₅) in the population aged 25 years and older by type of disease,146061
2013,DALYs,Ischemic heart diseases,,,,DALYs due to long-term exposure to fine particulate matter (PM₂.₅) in the population aged 25 years and older by type of disease,124202
2014,DALYs,Ischemic heart diseases,,,,DALYs due to long-term exposure to fine particulate matter (PM₂.₅) in the population aged 25 years and older by type of disease,115991
2015,DALYs,Ischemic heart diseases,,,,DALYs due to long-term exposure to fine particulate matter (PM₂.₅) in the population aged 25 years and older by type of disease,106496
2016,DALYs,Ischemic heart diseases,,,,DALYs due to long-term exposure to fine particulate matter (PM₂.₅) in the population aged 25 years and older by type of disease,98426
2017,DALYs,Ischemic heart diseases,,,,DALYs due to long-term exposure to fine particulate matter (PM₂.₅) in the population aged 25 years and older by type of disease,93285
2018,DALYs,Ischemic heart diseases,,,,DALYs due to long-term exposure to fine particulate matter (PM₂.₅) in the population aged 25 years and older by type of disease,97767
2019,DALYs,Ischemic heart diseases,,,,DALYs due to long-term exposure to fine particulate matter (PM₂.₅) in the population aged 25 years and older by type of disease,71055
2020,DALYs,Ischemic heart diseases,,,,DALYs due to long-term exposure to fine particulate matter (PM₂.₅) in the population aged 25 years and older by type of disease,63809
2021,DALYs,Ischemic heart diseases,,,,DALYs due to long-term exposure to fine particulate matter (PM₂.₅) in the population aged 25 years and older by type of disease,70197
2010,DALYs,Diabetes mellitus type 2,,,,DALYs due to long-term exposure to fine particulate matter (PM₂.₅) in the population aged 25 years and older by type of disease,85860
2011,DALYs,Diabetes mellitus type 2,,,,DALYs due to long-term exposure to fine particulate matter (PM₂.₅) in the population aged 25 years and older by type of disease,82284
2012,DALYs,Diabetes mellitus type 2,,,,DALYs due to long-term exposure to fine particulate matter (PM₂.₅) in the population aged 25 years and older by type of disease,68047
2013,DALYs,Diabetes mellitus type 2,,,,DALYs due to long-term exposure to fine particulate matter (PM₂.₅) in the population aged 25 years and older by type of disease,74226
2014,DALYs,Diabetes mellitus type 2,,,,DALYs due to long-term exposure to fine particulate matter (PM₂.₅) in the population aged 25 years and older by type of disease,71880
2015,DALYs,Diabetes mellitus type 2,,,,DALYs due to long-term exposure to fine particulate matter (PM₂.₅) in the population aged 25 years and older by type of disease,66987
2016,DALYs,Diabetes mellitus type 2,,,,DALYs due to long-term exposure to fine particulate matter (PM₂.₅) in the population aged 25 years and older by type of disease,63604
2017,DALYs,Diabetes mellitus type 2,,,,DALYs due to long-term exposure to fine particulate matter (PM₂.₅) in the population aged 25 years and older by type of disease,62747
2018,DALYs,Diabetes mellitus type 2,,,,DALYs due to long-term exposure to fine particulate matter (PM₂.₅) in the population aged 25 years and older by type of disease,68793
2019,DALYs,Diabetes mellitus type 2,,,,DALYs due to long-term exposure to fine particulate matter (PM₂.₅) in the population aged 25 years and older by type of disease,53736
2020,DALYs,Diabetes mellitus type 2,,,,DALYs due to long-term exposure to fine particulate matter (PM₂.₅) in the population aged 25 years and older by type of disease,49346
2021,DALYs,Diabetes mellitus type 2,,,,DALYs due to long-term exposure to fine particulate matter (PM₂.₅) in the population aged 25 years and older by type of disease,54349
