Year,Completeness of disaggregation,Goal,COMMENT_OBS_0,COMMENT_OBS_1,COMMENT_OBS_2,Value
2013,Not disaggregated,2 - Zero hunger,,,,1178.1
2014,Not disaggregated,2 - Zero hunger,,,,1542.7
2015,Not disaggregated,2 - Zero hunger,,,,2146.4
2016,Not disaggregated,2 - Zero hunger,,,,1717.2
2017,Not disaggregated,2 - Zero hunger,,,,2834.2
2018,Not disaggregated,2 - Zero hunger,,,,2738.4
2019,Not disaggregated,2 - Zero hunger,,,,2584.8
2020,Not disaggregated,2 - Zero hunger,,,,4038.0
2021,Not disaggregated,2 - Zero hunger,,,,3582.4
2022,Not disaggregated,2 - Zero hunger,,,,3412.0
2023,Not disaggregated,2 - Zero hunger,,,,3770.1
2024,Not disaggregated,2 - Zero hunger,…,,,
2010,Fully disaggregated,3 - Good health and well-being,,,,996.3
2011,Fully disaggregated,3 - Good health and well-being,,,,1026.2
2012,Fully disaggregated,3 - Good health and well-being,,,,1068.7
2013,Fully disaggregated,3 - Good health and well-being,,,,1155.5
2014,Fully disaggregated,3 - Good health and well-being,,,,1284.9
2015,Fully disaggregated,3 - Good health and well-being,,,,1770.9
2016,Fully disaggregated,3 - Good health and well-being,,,,1625.8
2017,Fully disaggregated,3 - Good health and well-being,,,,2034.2
2018,Fully disaggregated,3 - Good health and well-being,,,,2795.0
2019,Fully disaggregated,3 - Good health and well-being,,,,2200.2
2020,Fully disaggregated,3 - Good health and well-being,,,,2998.5
2021,Fully disaggregated,3 - Good health and well-being,,,,2941.8
2022,Fully disaggregated,3 - Good health and well-being,,,,3215.1
2023,Fully disaggregated,3 - Good health and well-being,,,,2511.5
2024,Fully disaggregated,3 - Good health and well-being,…,,,
2010,Partially disaggregated,3 - Good health and well-being,,,,4.1
2011,Partially disaggregated,3 - Good health and well-being,,,,3.8
2012,Partially disaggregated,3 - Good health and well-being,,,,0.5
2013,Partially disaggregated,3 - Good health and well-being,,,,0.4
2014,Partially disaggregated,3 - Good health and well-being,,,,2.2
2015,Partially disaggregated,3 - Good health and well-being,,,,1.7
2016,Partially disaggregated,3 - Good health and well-being,,,,2.3
2017,Partially disaggregated,3 - Good health and well-being,,,,2.7
2018,Partially disaggregated,3 - Good health and well-being,,,,1.1
2019,Partially disaggregated,3 - Good health and well-being,,,,1.0
2020,Partially disaggregated,3 - Good health and well-being,,,,-4.1
2021,Partially disaggregated,3 - Good health and well-being,p,,,3.7
2022,Partially disaggregated,3 - Good health and well-being,p,,,1.4
2023,Partially disaggregated,3 - Good health and well-being,p,,,-0.3
2024,Partially disaggregated,3 - Good health and well-being,p,,,-0.2
2010,Not disaggregated,3 - Good health and well-being,r,,,1578.1
2011,Not disaggregated,3 - Good health and well-being,r,,,1626.7
2012,Not disaggregated,3 - Good health and well-being,r,,,1660.8
2013,Not disaggregated,3 - Good health and well-being,r,,,1682.0
2014,Not disaggregated,3 - Good health and well-being,r,,,1726.7
2015,Not disaggregated,3 - Good health and well-being,r,,,1779.3
2016,Not disaggregated,3 - Good health and well-being,r,,,1834.4
2017,Not disaggregated,3 - Good health and well-being,r,,,1897.4
2018,Not disaggregated,3 - Good health and well-being,r,,,1973.8
2019,Not disaggregated,3 - Good health and well-being,r,,,2022.1
2020,Not disaggregated,3 - Good health and well-being,r,,,2025.4
2021,Not disaggregated,3 - Good health and well-being,p,,,2085.2
2022,Not disaggregated,3 - Good health and well-being,p,,,2249.8
2023,Not disaggregated,3 - Good health and well-being,p,,,2404.6
2024,Not disaggregated,3 - Good health and well-being,p,,,2501.7
2010,Fully disaggregated,4 - Quality education,,,,1417.1
2011,Fully disaggregated,4 - Quality education,,,,1463.0
2012,Fully disaggregated,4 - Quality education,,,,1503.4
2013,Fully disaggregated,4 - Quality education,,,,1528.8
2014,Fully disaggregated,4 - Quality education,,,,1560.4
2015,Fully disaggregated,4 - Quality education,,,,1604.9
2016,Fully disaggregated,4 - Quality education,,,,1651.7
2017,Fully disaggregated,4 - Quality education,,,,1704.0
2018,Fully disaggregated,4 - Quality education,,,,1757.5
2019,Fully disaggregated,4 - Quality education,,,,1813.7
2020,Fully disaggregated,4 - Quality education,,,,1695.6
2021,Fully disaggregated,4 - Quality education,p,,,1786.7
2022,Fully disaggregated,4 - Quality education,p,,,2018.0
2023,Fully disaggregated,4 - Quality education,p,,,2145.4
2024,Fully disaggregated,4 - Quality education,p,,,2207.1
2010,Partially disaggregated,4 - Quality education,,,,2011.7
2011,Partially disaggregated,4 - Quality education,,,,2025.4
2012,Partially disaggregated,4 - Quality education,,,,2068.3
2013,Partially disaggregated,4 - Quality education,,,,2043.3
2014,Partially disaggregated,4 - Quality education,,,,2043.9
2015,Partially disaggregated,4 - Quality education,,,,2020.7
2016,Partially disaggregated,4 - Quality education,,,,2009.3
2017,Partially disaggregated,4 - Quality education,,,,1969.1
2018,Partially disaggregated,4 - Quality education,,,,1915.8
2019,Partially disaggregated,4 - Quality education,,,,1899.1
2020,Partially disaggregated,4 - Quality education,,,,2172.9
2021,Partially disaggregated,4 - Quality education,,,,2321.0
2022,Partially disaggregated,4 - Quality education,,,,2368.0
2023,Partially disaggregated,4 - Quality education,,,,2445.1
2024,Partially disaggregated,4 - Quality education,…,,,
2010,Not disaggregated,4 - Quality education,,,,-115.6
2011,Not disaggregated,4 - Quality education,,,,-23.1
2012,Not disaggregated,4 - Quality education,,,,-1.5
2013,Not disaggregated,4 - Quality education,,,,3.5
2014,Not disaggregated,4 - Quality education,,,,21.8
2015,Not disaggregated,4 - Quality education,,,,28.2
2016,Not disaggregated,4 - Quality education,,,,36.2
2017,Not disaggregated,4 - Quality education,,,,44.6
2018,Not disaggregated,4 - Quality education,r,,,64.7
2019,Not disaggregated,4 - Quality education,,,,47.0
2020,Not disaggregated,4 - Quality education,,,,-151.1
2021,Not disaggregated,4 - Quality education,p,,,-116.4
2022,Not disaggregated,4 - Quality education,p,,,-84.9
2023,Not disaggregated,4 - Quality education,p,,,-103.8
2024,Not disaggregated,4 - Quality education,p,,,-115.6
2010,Fully disaggregated,5 - Gender equality,,,,501.8
2011,Fully disaggregated,5 - Gender equality,,,,549.6
2012,Fully disaggregated,5 - Gender equality,,,,558.9
2013,Fully disaggregated,5 - Gender equality,,,,561.2
2014,Fully disaggregated,5 - Gender equality,,,,590.4
2015,Fully disaggregated,5 - Gender equality,,,,609.6
2016,Fully disaggregated,5 - Gender equality,,,,640.4
2017,Fully disaggregated,5 - Gender equality,,,,671.1
2018,Fully disaggregated,5 - Gender equality,,,,714.9
2019,Fully disaggregated,5 - Gender equality,,,,748.2
2020,Fully disaggregated,5 - Gender equality,,,,736.5
2021,Fully disaggregated,5 - Gender equality,p,,,779.2
2022,Fully disaggregated,5 - Gender equality,p,,,858.3
2023,Fully disaggregated,5 - Gender equality,p,,,899.9
2024,Fully disaggregated,5 - Gender equality,p,,,898.5
2010,Partially disaggregated,5 - Gender equality,,,,49385.0
2011,Partially disaggregated,5 - Gender equality,,,,50163.0
2012,Partially disaggregated,5 - Gender equality,,,,50098.0
2013,Partially disaggregated,5 - Gender equality,,,,50243.0
2014,Partially disaggregated,5 - Gender equality,,,,51075.0
2015,Partially disaggregated,5 - Gender equality,,,,51811.0
2016,Partially disaggregated,5 - Gender equality,,,,52493.0
2017,Partially disaggregated,5 - Gender equality,,,,53225.0
2018,Partially disaggregated,5 - Gender equality,,,,53913.0
2019,Partially disaggregated,5 - Gender equality,,,,54333.0
2020,Partially disaggregated,5 - Gender equality,,,,52028.0
2021,Partially disaggregated,5 - Gender equality,p,,,53392.0
2022,Partially disaggregated,5 - Gender equality,p,,,54177.0
2023,Partially disaggregated,5 - Gender equality,p,,,54592.0
2024,Partially disaggregated,5 - Gender equality,p,,,54728.0
2010,Not disaggregated,5 - Gender equality,,,,58581.0
2011,Not disaggregated,5 - Gender equality,,,,59328.0
2012,Not disaggregated,5 - Gender equality,,,,59143.0
2013,Not disaggregated,5 - Gender equality,,,,59148.0
2014,Not disaggregated,5 - Gender equality,,,,59859.0
2015,Not disaggregated,5 - Gender equality,,,,60460.0
2016,Not disaggregated,5 - Gender equality,,,,60978.0
2017,Not disaggregated,5 - Gender equality,,,,61484.0
2018,Not disaggregated,5 - Gender equality,,,,61964.0
2019,Not disaggregated,5 - Gender equality,,,,62141.0
2020,Not disaggregated,5 - Gender equality,,,,59066.0
2021,Not disaggregated,5 - Gender equality,p,,,60456.0
2022,Not disaggregated,5 - Gender equality,p,,,61211.0
2023,Not disaggregated,5 - Gender equality,p,,,61437.0
2024,Not disaggregated,5 - Gender equality,p,,,61355.0
2010,Fully disaggregated,8 - Decent work and economic Growth,,,,94.2
2011,Fully disaggregated,8 - Decent work and economic Growth,,,,96.2
2012,Fully disaggregated,8 - Decent work and economic Growth,,,,96.8
2013,Fully disaggregated,8 - Decent work and economic Growth,,,,96.9
2014,Fully disaggregated,8 - Decent work and economic Growth,,,,97.4
2015,Fully disaggregated,8 - Decent work and economic Growth,,,,97.6
2016,Fully disaggregated,8 - Decent work and economic Growth,,,,98.1
2017,Fully disaggregated,8 - Decent work and economic Growth,,,,99.8
2018,Fully disaggregated,8 - Decent work and economic Growth,,,,99.2
2019,Fully disaggregated,8 - Decent work and economic Growth,,,,99.8
2020,Fully disaggregated,8 - Decent work and economic Growth,,,,100.0
2021,Fully disaggregated,8 - Decent work and economic Growth,p,,,101.0
2022,Fully disaggregated,8 - Decent work and economic Growth,p,,,103.6
2023,Fully disaggregated,8 - Decent work and economic Growth,p,,,99.9
2024,Fully disaggregated,8 - Decent work and economic Growth,p,,,99.4
2010,Partially disaggregated,8 - Decent work and economic Growth,,,,90.2
2011,Partially disaggregated,8 - Decent work and economic Growth,,,,92.4
2012,Partially disaggregated,8 - Decent work and economic Growth,,,,93.1
2013,Partially disaggregated,8 - Decent work and economic Growth,,,,93.4
2014,Partially disaggregated,8 - Decent work and economic Growth,,,,94.3
2015,Partially disaggregated,8 - Decent work and economic Growth,,,,94.9
2016,Partially disaggregated,8 - Decent work and economic Growth,,,,96.3
2017,Partially disaggregated,8 - Decent work and economic Growth,,,,98.1
2018,Partially disaggregated,8 - Decent work and economic Growth,,,,98.4
2019,Partially disaggregated,8 - Decent work and economic Growth,,,,99.1
2020,Partially disaggregated,8 - Decent work and economic Growth,,,,100.0
2021,Partially disaggregated,8 - Decent work and economic Growth,p,,,101.3
2022,Partially disaggregated,8 - Decent work and economic Growth,p,,,101.4
2023,Partially disaggregated,8 - Decent work and economic Growth,p,,,100.8
2024,Partially disaggregated,8 - Decent work and economic Growth,p,,,100.7
2010,Not disaggregated,8 - Decent work and economic Growth,,,,41099.0
2011,Not disaggregated,8 - Decent work and economic Growth,,,,41570.0
2012,Not disaggregated,8 - Decent work and economic Growth,,,,42065.0
2013,Not disaggregated,8 - Decent work and economic Growth,,,,42378.0
2014,Not disaggregated,8 - Decent work and economic Growth,,,,42756.0
2015,Not disaggregated,8 - Decent work and economic Growth,,,,43137.0
2016,Not disaggregated,8 - Decent work and economic Growth,,,,43686.0
2017,Not disaggregated,8 - Decent work and economic Growth,,,,44290.0
2018,Not disaggregated,8 - Decent work and economic Growth,,,,44878.0
2019,Not disaggregated,8 - Decent work and economic Growth,,,,45291.0
2020,Not disaggregated,8 - Decent work and economic Growth,,,,44966.0
2021,Not disaggregated,8 - Decent work and economic Growth,p,,,45053.0
2022,Not disaggregated,8 - Decent work and economic Growth,p,,,45675.0
2023,Not disaggregated,8 - Decent work and economic Growth,p,,,46011.0
2024,Not disaggregated,8 - Decent work and economic Growth,p,,,46081.0
2010,Fully disaggregated,"9 - Industry, innovation and infrastructure",,,,92.6
2011,Fully disaggregated,"9 - Industry, innovation and infrastructure",,,,96.1
2012,Fully disaggregated,"9 - Industry, innovation and infrastructure",,,,96.4
2013,Fully disaggregated,"9 - Industry, innovation and infrastructure",,,,96.5
2014,Fully disaggregated,"9 - Industry, innovation and infrastructure",,,,98.2
2015,Fully disaggregated,"9 - Industry, innovation and infrastructure",,,,98.9
2016,Fully disaggregated,"9 - Industry, innovation and infrastructure",,,,100.4
2017,Fully disaggregated,"9 - Industry, innovation and infrastructure",,,,102.7
2018,Fully disaggregated,"9 - Industry, innovation and infrastructure",,,,103.6
2019,Fully disaggregated,"9 - Industry, innovation and infrastructure",,,,104.4
2020,Fully disaggregated,"9 - Industry, innovation and infrastructure",,,,100.0
2021,Fully disaggregated,"9 - Industry, innovation and infrastructure",p,,,103.6
2022,Fully disaggregated,"9 - Industry, innovation and infrastructure",p,,,104.3
2023,Fully disaggregated,"9 - Industry, innovation and infrastructure",p,,,103.1
2024,Fully disaggregated,"9 - Industry, innovation and infrastructure",p,,,102.7
2010,Partially disaggregated,"9 - Industry, innovation and infrastructure",,,,133.5
2011,Partially disaggregated,"9 - Industry, innovation and infrastructure",,,,133.3
2012,Partially disaggregated,"9 - Industry, innovation and infrastructure",,,,169.1
2013,Partially disaggregated,"9 - Industry, innovation and infrastructure",,,,165.5
2014,Partially disaggregated,"9 - Industry, innovation and infrastructure",,,,195.2
2015,Partially disaggregated,"9 - Industry, innovation and infrastructure",,,,228.9
2016,Partially disaggregated,"9 - Industry, innovation and infrastructure",,,,232.1
2017,Partially disaggregated,"9 - Industry, innovation and infrastructure",,,,236.0
2018,Partially disaggregated,"9 - Industry, innovation and infrastructure",,,,205.4
2019,Partially disaggregated,"9 - Industry, innovation and infrastructure",,,,199.3
2020,Partially disaggregated,"9 - Industry, innovation and infrastructure",,,,184.4
2021,Partially disaggregated,"9 - Industry, innovation and infrastructure",p,,,189.7
2022,Partially disaggregated,"9 - Industry, innovation and infrastructure",p,,,98.7
2023,Partially disaggregated,"9 - Industry, innovation and infrastructure",p,,,167.7
2024,Partially disaggregated,"9 - Industry, innovation and infrastructure",p,,,169.0
2010,Not disaggregated,"9 - Industry, innovation and infrastructure",,,,
2011,Not disaggregated,"9 - Industry, innovation and infrastructure",,,,
2012,Not disaggregated,"9 - Industry, innovation and infrastructure",,,,
2013,Not disaggregated,"9 - Industry, innovation and infrastructure",,,,
2014,Not disaggregated,"9 - Industry, innovation and infrastructure",,,,
2015,Not disaggregated,"9 - Industry, innovation and infrastructure",,,,
2016,Not disaggregated,"9 - Industry, innovation and infrastructure",,,,
2017,Not disaggregated,"9 - Industry, innovation and infrastructure",,,,
2018,Not disaggregated,"9 - Industry, innovation and infrastructure",,,,
2019,Not disaggregated,"9 - Industry, innovation and infrastructure",,,,
2020,Not disaggregated,"9 - Industry, innovation and infrastructure",,,,
2021,Not disaggregated,"9 - Industry, innovation and infrastructure",,,,
2022,Not disaggregated,"9 - Industry, innovation and infrastructure",,,,
2023,Not disaggregated,"9 - Industry, innovation and infrastructure",,,,
2024,Not disaggregated,"9 - Industry, innovation and infrastructure",,,,
2010,Fully disaggregated,10 - Reduced inequalities,.,,,
2011,Fully disaggregated,10 - Reduced inequalities,.,,,
2012,Fully disaggregated,10 - Reduced inequalities,.,,,
2013,Fully disaggregated,10 - Reduced inequalities,.,,,
2014,Fully disaggregated,10 - Reduced inequalities,.,,,
2015,Fully disaggregated,10 - Reduced inequalities,.,,,
2016,Fully disaggregated,10 - Reduced inequalities,,,,62.8
2017,Fully disaggregated,10 - Reduced inequalities,.,,,
2018,Fully disaggregated,10 - Reduced inequalities,,,,65.7
2019,Fully disaggregated,10 - Reduced inequalities,…,,,
2020,Fully disaggregated,10 - Reduced inequalities,…,,,
2021,Fully disaggregated,10 - Reduced inequalities,…,,,
2022,Fully disaggregated,10 - Reduced inequalities,,,,
2023,Fully disaggregated,10 - Reduced inequalities,,,,
2024,Fully disaggregated,10 - Reduced inequalities,,,,
2010,Partially disaggregated,10 - Reduced inequalities,.,,,
2011,Partially disaggregated,10 - Reduced inequalities,.,,,
2012,Partially disaggregated,10 - Reduced inequalities,.,,,
2013,Partially disaggregated,10 - Reduced inequalities,.,,,
2014,Partially disaggregated,10 - Reduced inequalities,.,,,
2015,Partially disaggregated,10 - Reduced inequalities,.,,,
2016,Partially disaggregated,10 - Reduced inequalities,,,,82.7
2017,Partially disaggregated,10 - Reduced inequalities,.,,,
2018,Partially disaggregated,10 - Reduced inequalities,,,,92.4
2019,Partially disaggregated,10 - Reduced inequalities,…,,,
2020,Partially disaggregated,10 - Reduced inequalities,…,,,
2021,Partially disaggregated,10 - Reduced inequalities,…,,,
2022,Partially disaggregated,10 - Reduced inequalities,…,,,
2023,Partially disaggregated,10 - Reduced inequalities,…,,,
2024,Partially disaggregated,10 - Reduced inequalities,…,,,
2010,Not disaggregated,10 - Reduced inequalities,.,,,
2011,Not disaggregated,10 - Reduced inequalities,.,,,
2012,Not disaggregated,10 - Reduced inequalities,.,,,
2013,Not disaggregated,10 - Reduced inequalities,.,,,
2014,Not disaggregated,10 - Reduced inequalities,.,,,
2015,Not disaggregated,10 - Reduced inequalities,.,,,
2016,Not disaggregated,10 - Reduced inequalities,,,,54.7
2017,Not disaggregated,10 - Reduced inequalities,.,,,
2018,Not disaggregated,10 - Reduced inequalities,,,,64.3
2019,Not disaggregated,10 - Reduced inequalities,…,,,
2020,Not disaggregated,10 - Reduced inequalities,…,,,
2021,Not disaggregated,10 - Reduced inequalities,…,,,
2022,Not disaggregated,10 - Reduced inequalities,…,,,
2023,Not disaggregated,10 - Reduced inequalities,…,,,
2024,Not disaggregated,10 - Reduced inequalities,…,,,
2010,Fully disaggregated,11 - Sustainable cities and communities,.,,,
2011,Fully disaggregated,11 - Sustainable cities and communities,.,,,
2012,Fully disaggregated,11 - Sustainable cities and communities,.,,,
2013,Fully disaggregated,11 - Sustainable cities and communities,.,,,
2014,Fully disaggregated,11 - Sustainable cities and communities,.,,,
2015,Fully disaggregated,11 - Sustainable cities and communities,.,,,
2016,Fully disaggregated,11 - Sustainable cities and communities,,,,50.9
2017,Fully disaggregated,11 - Sustainable cities and communities,.,,,
2018,Fully disaggregated,11 - Sustainable cities and communities,,,,40.4
2019,Fully disaggregated,11 - Sustainable cities and communities,…,,,
2020,Fully disaggregated,11 - Sustainable cities and communities,…,,,
2021,Fully disaggregated,11 - Sustainable cities and communities,…,,,
2022,Fully disaggregated,11 - Sustainable cities and communities,…,,,
2023,Fully disaggregated,11 - Sustainable cities and communities,…,,,
2024,Fully disaggregated,11 - Sustainable cities and communities,…,,,
2010,Partially disaggregated,11 - Sustainable cities and communities,,,,
2011,Partially disaggregated,11 - Sustainable cities and communities,,,,
2012,Partially disaggregated,11 - Sustainable cities and communities,,,,
2013,Partially disaggregated,11 - Sustainable cities and communities,,,,
2014,Partially disaggregated,11 - Sustainable cities and communities,,,,
2015,Partially disaggregated,11 - Sustainable cities and communities,,,,
2016,Partially disaggregated,11 - Sustainable cities and communities,,,,
2017,Partially disaggregated,11 - Sustainable cities and communities,,,,
2018,Partially disaggregated,11 - Sustainable cities and communities,,,,1.0
2019,Partially disaggregated,11 - Sustainable cities and communities,,,,
2020,Partially disaggregated,11 - Sustainable cities and communities,,,,
2021,Partially disaggregated,11 - Sustainable cities and communities,,,,
2022,Partially disaggregated,11 - Sustainable cities and communities,,,,
2023,Partially disaggregated,11 - Sustainable cities and communities,,,,
2024,Partially disaggregated,11 - Sustainable cities and communities,,,,
2010,Not disaggregated,11 - Sustainable cities and communities,‒,,,0.0
2011,Not disaggregated,11 - Sustainable cities and communities,‒,,,0.0
2012,Not disaggregated,11 - Sustainable cities and communities,‒,,,0.0
2013,Not disaggregated,11 - Sustainable cities and communities,‒,,,0.0
2014,Not disaggregated,11 - Sustainable cities and communities,‒,,,0.0
2015,Not disaggregated,11 - Sustainable cities and communities,‒,,,0.0
2016,Not disaggregated,11 - Sustainable cities and communities,,,,9.0
2017,Not disaggregated,11 - Sustainable cities and communities,‒,,,0.0
2018,Not disaggregated,11 - Sustainable cities and communities,‒,,,0.0
2019,Not disaggregated,11 - Sustainable cities and communities,,,,3.3
2020,Not disaggregated,11 - Sustainable cities and communities,,,,26.5
2021,Not disaggregated,11 - Sustainable cities and communities,r,,,25.0
2022,Not disaggregated,11 - Sustainable cities and communities,,,,30.0
2023,Not disaggregated,11 - Sustainable cities and communities,,,,
2024,Not disaggregated,11 - Sustainable cities and communities,,,,
2010,Fully disaggregated,12 - Responsible consumption and production,‒,,,0.0
2011,Fully disaggregated,12 - Responsible consumption and production,‒,,,0.0
2012,Fully disaggregated,12 - Responsible consumption and production,‒,,,0.0
2013,Fully disaggregated,12 - Responsible consumption and production,‒,,,0.0
2014,Fully disaggregated,12 - Responsible consumption and production,‒,,,0.0
2015,Fully disaggregated,12 - Responsible consumption and production,‒,,,0.0
2016,Fully disaggregated,12 - Responsible consumption and production,,,,11.06
2017,Fully disaggregated,12 - Responsible consumption and production,‒,,,0.0
2018,Fully disaggregated,12 - Responsible consumption and production,‒,,,0.0
2019,Fully disaggregated,12 - Responsible consumption and production,,,,3.83
2020,Fully disaggregated,12 - Responsible consumption and production,,,,30.22
2021,Fully disaggregated,12 - Responsible consumption and production,,,,27.68
2022,Fully disaggregated,12 - Responsible consumption and production,,,,31.55
2023,Fully disaggregated,12 - Responsible consumption and production,,,,
2024,Fully disaggregated,12 - Responsible consumption and production,,,,
2010,Partially disaggregated,12 - Responsible consumption and production,‒,,,0.0
2011,Partially disaggregated,12 - Responsible consumption and production,‒,,,0.0
2012,Partially disaggregated,12 - Responsible consumption and production,‒,,,0.0
2013,Partially disaggregated,12 - Responsible consumption and production,‒,,,0.0
2014,Partially disaggregated,12 - Responsible consumption and production,‒,,,0.0
2015,Partially disaggregated,12 - Responsible consumption and production,‒,,,0.0
2016,Partially disaggregated,12 - Responsible consumption and production,,,,9.0
