Year,Units,Time series,Presentation,COMMENT_OBS_0,COMMENT_OBS_1,COMMENT_OBS_2,Value
2022,Percentage,Population growth rate,Annual values,.,,,
2023,Percentage,Population growth rate,Annual values,.,,,
2010,No unit,Ratio of land consumption rate to population growth rate,Moving four-year average,,,,4.2
2011,No unit,Ratio of land consumption rate to population growth rate,Moving four-year average,,,,4.1
2012,No unit,Ratio of land consumption rate to population growth rate,Moving four-year average,,,,3.9
2013,No unit,Ratio of land consumption rate to population growth rate,Moving four-year average,,,,4.4
2014,No unit,Ratio of land consumption rate to population growth rate,Moving four-year average,,,,4.4
2015,No unit,Ratio of land consumption rate to population growth rate,Moving four-year average,,,,4.0
2016,No unit,Ratio of land consumption rate to population growth rate,Moving four-year average,,,,3.9
2017,No unit,Ratio of land consumption rate to population growth rate,Moving four-year average,,,,4.0
2018,No unit,Ratio of land consumption rate to population growth rate,Moving four-year average,,,,4.4
2019,No unit,Ratio of land consumption rate to population growth rate,Moving four-year average,,,,4.0
2020,No unit,Ratio of land consumption rate to population growth rate,Moving four-year average,.,,,
2021,No unit,Ratio of land consumption rate to population growth rate,Moving four-year average,.,,,
2022,No unit,Ratio of land consumption rate to population growth rate,Moving four-year average,.,,,
2023,No unit,Ratio of land consumption rate to population growth rate,Moving four-year average,,,,7.1
2010,2015 = 100,Proportion of settlement and transport areas to population,Moving four-year average,,,,3.9
2011,2015 = 100,Proportion of settlement and transport areas to population,Moving four-year average,,,,3.9
2012,2015 = 100,Proportion of settlement and transport areas to population,Moving four-year average,,,,3.9
2013,2015 = 100,Proportion of settlement and transport areas to population,Moving four-year average,,,,4.5
2014,2015 = 100,Proportion of settlement and transport areas to population,Moving four-year average,,,,4.3
2015,2015 = 100,Proportion of settlement and transport areas to population,Moving four-year average,,,,3.9
2016,2015 = 100,Proportion of settlement and transport areas to population,Moving four-year average,,,,3.8
2017,2015 = 100,Proportion of settlement and transport areas to population,Moving four-year average,,,,3.9
2018,2015 = 100,Proportion of settlement and transport areas to population,Moving four-year average,,,,4.4
2019,2015 = 100,Proportion of settlement and transport areas to population,Moving four-year average,,,,4.2
2020,2015 = 100,Proportion of settlement and transport areas to population,Moving four-year average,.,,,
2021,2015 = 100,Proportion of settlement and transport areas to population,Moving four-year average,.,,,
2022,2015 = 100,Proportion of settlement and transport areas to population,Moving four-year average,.,,,
2023,2015 = 100,Proportion of settlement and transport areas to population,Moving four-year average,,,,7.1
2010,Percentage,Land consumption rate,Moving four-year average,,,,4.5
2011,Percentage,Land consumption rate,Moving four-year average,,,,4.2
2012,Percentage,Land consumption rate,Moving four-year average,,,,3.9
2013,Percentage,Land consumption rate,Moving four-year average,,,,4.3
2014,Percentage,Land consumption rate,Moving four-year average,,,,4.5
2015,Percentage,Land consumption rate,Moving four-year average,,,,4.1
2016,Percentage,Land consumption rate,Moving four-year average,,,,3.9
2017,Percentage,Land consumption rate,Moving four-year average,,,,4.0
2018,Percentage,Land consumption rate,Moving four-year average,,,,4.4
2019,Percentage,Land consumption rate,Moving four-year average,,,,3.8
2020,Percentage,Land consumption rate,Moving four-year average,.,,,
2021,Percentage,Land consumption rate,Moving four-year average,.,,,
2022,Percentage,Land consumption rate,Moving four-year average,.,,,
2023,Percentage,Land consumption rate,Moving four-year average,,,,7.2
2010,Percentage,Population growth rate,Moving four-year average,.,,,
2011,Percentage,Population growth rate,Moving four-year average,.,,,
2012,Percentage,Population growth rate,Moving four-year average,.,,,
2013,Percentage,Population growth rate,Moving four-year average,.,,,
2014,Percentage,Population growth rate,Moving four-year average,.,,,
2015,Percentage,Population growth rate,Moving four-year average,.,,,
2016,Percentage,Population growth rate,Moving four-year average,,,,79.0
2017,Percentage,Population growth rate,Moving four-year average,.,,,
2018,Percentage,Population growth rate,Moving four-year average,,,,79.9
2019,Percentage,Population growth rate,Moving four-year average,.,,,
2020,Percentage,Population growth rate,Moving four-year average,,,,79.9
2021,Percentage,Population growth rate,Moving four-year average,…,,,
2022,Percentage,Population growth rate,Moving four-year average,…,,,
2023,Percentage,Population growth rate,Moving four-year average,…,,,
