Year,COMMENT_TS,Series,Value
2020,"Score 0.0 = No national target reflecting Aichi Biodiversity Target 2<br>Score 0.2 = National target exists, but moving away from it<br>Score 0.4 = National target exists, but no progress<br>Score 0.6 = National target exists and progress is there, but at as insufficient rate<br>Score 0.8 = National target exists and progress is on track to achieve it<br>Score 1.0 = National target exists and progress is on track to exceed it",Countries that established national targets in accordance with Aichi Biodiversity Target 2 of the Strategic Plan for Biodiversity 2011-2020 in their National Biodiversity Strategy and Action Plans (NBSAP),
2021,"Score 0.0 = No national target reflecting Aichi Biodiversity Target 2<br>Score 0.2 = National target exists, but moving away from it<br>Score 0.4 = National target exists, but no progress<br>Score 0.6 = National target exists and progress is there, but at as insufficient rate<br>Score 0.8 = National target exists and progress is on track to achieve it<br>Score 1.0 = National target exists and progress is on track to exceed it",Countries that established national targets in accordance with Aichi Biodiversity Target 2 of the Strategic Plan for Biodiversity 2011-2020 in their National Biodiversity Strategy and Action Plans (NBSAP),
2010,Score 0 = No compilation of accounts<br>Score 1 = Compilation of accounts<br>Score 2 = Dissemination of accounts<br>Score 3 = Regular compilation and dissemination of accounts,"Countries with integrated biodiversity values into national accounting and reporting systems, defined as implementation of the System of Environmental-Economic Accounting (SEEA)",
2011,Score 0 = No compilation of accounts<br>Score 1 = Compilation of accounts<br>Score 2 = Dissemination of accounts<br>Score 3 = Regular compilation and dissemination of accounts,"Countries with integrated biodiversity values into national accounting and reporting systems, defined as implementation of the System of Environmental-Economic Accounting (SEEA)",
2012,Score 0 = No compilation of accounts<br>Score 1 = Compilation of accounts<br>Score 2 = Dissemination of accounts<br>Score 3 = Regular compilation and dissemination of accounts,"Countries with integrated biodiversity values into national accounting and reporting systems, defined as implementation of the System of Environmental-Economic Accounting (SEEA)",
2013,Score 0 = No compilation of accounts<br>Score 1 = Compilation of accounts<br>Score 2 = Dissemination of accounts<br>Score 3 = Regular compilation and dissemination of accounts,"Countries with integrated biodiversity values into national accounting and reporting systems, defined as implementation of the System of Environmental-Economic Accounting (SEEA)",
2014,Score 0 = No compilation of accounts<br>Score 1 = Compilation of accounts<br>Score 2 = Dissemination of accounts<br>Score 3 = Regular compilation and dissemination of accounts,"Countries with integrated biodiversity values into national accounting and reporting systems, defined as implementation of the System of Environmental-Economic Accounting (SEEA)",
2015,Score 0 = No compilation of accounts<br>Score 1 = Compilation of accounts<br>Score 2 = Dissemination of accounts<br>Score 3 = Regular compilation and dissemination of accounts,"Countries with integrated biodiversity values into national accounting and reporting systems, defined as implementation of the System of Environmental-Economic Accounting (SEEA)",
2016,Score 0 = No compilation of accounts<br>Score 1 = Compilation of accounts<br>Score 2 = Dissemination of accounts<br>Score 3 = Regular compilation and dissemination of accounts,"Countries with integrated biodiversity values into national accounting and reporting systems, defined as implementation of the System of Environmental-Economic Accounting (SEEA)",
2017,Score 0 = No compilation of accounts<br>Score 1 = Compilation of accounts<br>Score 2 = Dissemination of accounts<br>Score 3 = Regular compilation and dissemination of accounts,"Countries with integrated biodiversity values into national accounting and reporting systems, defined as implementation of the System of Environmental-Economic Accounting (SEEA)",3.0
2018,Score 0 = No compilation of accounts<br>Score 1 = Compilation of accounts<br>Score 2 = Dissemination of accounts<br>Score 3 = Regular compilation and dissemination of accounts,"Countries with integrated biodiversity values into national accounting and reporting systems, defined as implementation of the System of Environmental-Economic Accounting (SEEA)",
2019,Score 0 = No compilation of accounts<br>Score 1 = Compilation of accounts<br>Score 2 = Dissemination of accounts<br>Score 3 = Regular compilation and dissemination of accounts,"Countries with integrated biodiversity values into national accounting and reporting systems, defined as implementation of the System of Environmental-Economic Accounting (SEEA)",
2020,Score 0 = No compilation of accounts<br>Score 1 = Compilation of accounts<br>Score 2 = Dissemination of accounts<br>Score 3 = Regular compilation and dissemination of accounts,"Countries with integrated biodiversity values into national accounting and reporting systems, defined as implementation of the System of Environmental-Economic Accounting (SEEA)",3.0
2021,Score 0 = No compilation of accounts<br>Score 1 = Compilation of accounts<br>Score 2 = Dissemination of accounts<br>Score 3 = Regular compilation and dissemination of accounts,"Countries with integrated biodiversity values into national accounting and reporting systems, defined as implementation of the System of Environmental-Economic Accounting (SEEA)",3.0
