Year,Sex,Age group,Feelings of insecurity,Series,Value
2021,,35 to under 45 years,Safe,Feeling of (in)security of the population in its neighbourhood (after dark),
2019,,35 to under 45 years,Unsafe,Feeling of (in)security of the population in its neighbourhood (after dark),
2020,,35 to under 45 years,Unsafe,Feeling of (in)security of the population in its neighbourhood (after dark),25.0
2021,,35 to under 45 years,Unsafe,Feeling of (in)security of the population in its neighbourhood (after dark),
2019,,35 to under 45 years,Very unsafe,Feeling of (in)security of the population in its neighbourhood (after dark),
2020,,35 to under 45 years,Very unsafe,Feeling of (in)security of the population in its neighbourhood (after dark),25.0
2021,,35 to under 45 years,Very unsafe,Feeling of (in)security of the population in its neighbourhood (after dark),
2019,,45 to under 55 years,Very safe,Feeling of (in)security of the population in its neighbourhood (after dark),
2020,,45 to under 55 years,Very safe,Feeling of (in)security of the population in its neighbourhood (after dark),25.0
2021,,45 to under 55 years,Very safe,Feeling of (in)security of the population in its neighbourhood (after dark),
2019,,45 to under 55 years,Safe,Feeling of (in)security of the population in its neighbourhood (after dark),
2020,,45 to under 55 years,Safe,Feeling of (in)security of the population in its neighbourhood (after dark),25.0
2021,,45 to under 55 years,Safe,Feeling of (in)security of the population in its neighbourhood (after dark),
2019,,45 to under 55 years,Unsafe,Feeling of (in)security of the population in its neighbourhood (after dark),
2020,,45 to under 55 years,Unsafe,Feeling of (in)security of the population in its neighbourhood (after dark),25.0
2021,,45 to under 55 years,Unsafe,Feeling of (in)security of the population in its neighbourhood (after dark),
2019,,45 to under 55 years,Very unsafe,Feeling of (in)security of the population in its neighbourhood (after dark),
2020,,45 to under 55 years,Very unsafe,Feeling of (in)security of the population in its neighbourhood (after dark),25.0
2021,,45 to under 55 years,Very unsafe,Feeling of (in)security of the population in its neighbourhood (after dark),
2019,,55 to under 65 years,Very safe,Feeling of (in)security of the population in its neighbourhood (after dark),
2020,,55 to under 65 years,Very safe,Feeling of (in)security of the population in its neighbourhood (after dark),25.0
2021,,55 to under 65 years,Very safe,Feeling of (in)security of the population in its neighbourhood (after dark),
2019,,55 to under 65 years,Safe,Feeling of (in)security of the population in its neighbourhood (after dark),
2020,,55 to under 65 years,Safe,Feeling of (in)security of the population in its neighbourhood (after dark),25.0
2021,,55 to under 65 years,Safe,Feeling of (in)security of the population in its neighbourhood (after dark),
2019,,55 to under 65 years,Unsafe,Feeling of (in)security of the population in its neighbourhood (after dark),
2020,,55 to under 65 years,Unsafe,Feeling of (in)security of the population in its neighbourhood (after dark),25.0
2021,,55 to under 65 years,Unsafe,Feeling of (in)security of the population in its neighbourhood (after dark),
2019,,55 to under 65 years,Very unsafe,Feeling of (in)security of the population in its neighbourhood (after dark),
2020,,55 to under 65 years,Very unsafe,Feeling of (in)security of the population in its neighbourhood (after dark),25.0
2021,,55 to under 65 years,Very unsafe,Feeling of (in)security of the population in its neighbourhood (after dark),
2019,,65 to under 75 years,Very safe,Feeling of (in)security of the population in its neighbourhood (after dark),
2020,,65 to under 75 years,Very safe,Feeling of (in)security of the population in its neighbourhood (after dark),25.0
2021,,65 to under 75 years,Very safe,Feeling of (in)security of the population in its neighbourhood (after dark),
2019,,65 to under 75 years,Safe,Feeling of (in)security of the population in its neighbourhood (after dark),
2020,,65 to under 75 years,Safe,Feeling of (in)security of the population in its neighbourhood (after dark),25.0
2021,,65 to under 75 years,Safe,Feeling of (in)security of the population in its neighbourhood (after dark),
2019,,65 to under 75 years,Unsafe,Feeling of (in)security of the population in its neighbourhood (after dark),
2020,,65 to under 75 years,Unsafe,Feeling of (in)security of the population in its neighbourhood (after dark),25.0
2021,,65 to under 75 years,Unsafe,Feeling of (in)security of the population in its neighbourhood (after dark),
2019,,65 to under 75 years,Very unsafe,Feeling of (in)security of the population in its neighbourhood (after dark),
2020,,65 to under 75 years,Very unsafe,Feeling of (in)security of the population in its neighbourhood (after dark),25.0
2021,,65 to under 75 years,Very unsafe,Feeling of (in)security of the population in its neighbourhood (after dark),
2019,,75 years and older,Very safe,Feeling of (in)security of the population in its neighbourhood (after dark),
2020,,75 years and older,Very safe,Feeling of (in)security of the population in its neighbourhood (after dark),25.0
2021,,75 years and older,Very safe,Feeling of (in)security of the population in its neighbourhood (after dark),
2019,,75 years and older,Safe,Feeling of (in)security of the population in its neighbourhood (after dark),
2020,,75 years and older,Safe,Feeling of (in)security of the population in its neighbourhood (after dark),25.0
2021,,75 years and older,Safe,Feeling of (in)security of the population in its neighbourhood (after dark),
2019,,75 years and older,Unsafe,Feeling of (in)security of the population in its neighbourhood (after dark),
2020,,75 years and older,Unsafe,Feeling of (in)security of the population in its neighbourhood (after dark),25.0
2021,,75 years and older,Unsafe,Feeling of (in)security of the population in its neighbourhood (after dark),
2019,,75 years and older,Very unsafe,Feeling of (in)security of the population in its neighbourhood (after dark),
2020,,75 years and older,Very unsafe,Feeling of (in)security of the population in its neighbourhood (after dark),25.0
2021,,75 years and older,Very unsafe,Feeling of (in)security of the population in its neighbourhood (after dark),
2019,,,Very safe,Feeling of (in)security of the population in its neighbourhood (during the day),
2020,,,Very safe,Feeling of (in)security of the population in its neighbourhood (during the day),25.0
2021,,,Very safe,Feeling of (in)security of the population in its neighbourhood (during the day),
2019,,,Safe,Feeling of (in)security of the population in its neighbourhood (during the day),
2020,,,Safe,Feeling of (in)security of the population in its neighbourhood (during the day),25.0
2021,,,Safe,Feeling of (in)security of the population in its neighbourhood (during the day),
2019,,,Unsafe,Feeling of (in)security of the population in its neighbourhood (during the day),
2020,,,Unsafe,Feeling of (in)security of the population in its neighbourhood (during the day),25.0
2021,,,Unsafe,Feeling of (in)security of the population in its neighbourhood (during the day),
2019,,,Very unsafe,Feeling of (in)security of the population in its neighbourhood (during the day),
2020,,,Very unsafe,Feeling of (in)security of the population in its neighbourhood (during the day),25.0
2021,,,Very unsafe,Feeling of (in)security of the population in its neighbourhood (during the day),
2019,Female,,Very safe,Feeling of (in)security of the population in its neighbourhood (during the day),
2020,Female,,Very safe,Feeling of (in)security of the population in its neighbourhood (during the day),25.0
2021,Female,,Very safe,Feeling of (in)security of the population in its neighbourhood (during the day),
2019,Female,,Safe,Feeling of (in)security of the population in its neighbourhood (during the day),
2020,Female,,Safe,Feeling of (in)security of the population in its neighbourhood (during the day),25.0
2021,Female,,Safe,Feeling of (in)security of the population in its neighbourhood (during the day),
2019,Female,,Unsafe,Feeling of (in)security of the population in its neighbourhood (during the day),
2020,Female,,Unsafe,Feeling of (in)security of the population in its neighbourhood (during the day),25.0
2021,Female,,Unsafe,Feeling of (in)security of the population in its neighbourhood (during the day),
2019,Female,,Very unsafe,Feeling of (in)security of the population in its neighbourhood (during the day),
2020,Female,,Very unsafe,Feeling of (in)security of the population in its neighbourhood (during the day),25.0
2021,Female,,Very unsafe,Feeling of (in)security of the population in its neighbourhood (during the day),
2019,Male,,Very safe,Feeling of (in)security of the population in its neighbourhood (during the day),
2020,Male,,Very safe,Feeling of (in)security of the population in its neighbourhood (during the day),25.0
2021,Male,,Very safe,Feeling of (in)security of the population in its neighbourhood (during the day),
2019,Male,,Safe,Feeling of (in)security of the population in its neighbourhood (during the day),
2020,Male,,Safe,Feeling of (in)security of the population in its neighbourhood (during the day),25.0
2021,Male,,Safe,Feeling of (in)security of the population in its neighbourhood (during the day),
2019,Male,,Unsafe,Feeling of (in)security of the population in its neighbourhood (during the day),
2020,Male,,Unsafe,Feeling of (in)security of the population in its neighbourhood (during the day),25.0
2021,Male,,Unsafe,Feeling of (in)security of the population in its neighbourhood (during the day),
2019,Male,,Very unsafe,Feeling of (in)security of the population in its neighbourhood (during the day),
2020,Male,,Very unsafe,Feeling of (in)security of the population in its neighbourhood (during the day),25.0
2021,Male,,Very unsafe,Feeling of (in)security of the population in its neighbourhood (during the day),
2019,,16 to under 25 years,Very safe,Feeling of (in)security of the population in its neighbourhood (during the day),
2020,,16 to under 25 years,Very safe,Feeling of (in)security of the population in its neighbourhood (during the day),25.0
2021,,16 to under 25 years,Very safe,Feeling of (in)security of the population in its neighbourhood (during the day),
2019,,16 to under 25 years,Safe,Feeling of (in)security of the population in its neighbourhood (during the day),
2020,,16 to under 25 years,Safe,Feeling of (in)security of the population in its neighbourhood (during the day),25.0
2021,,16 to under 25 years,Safe,Feeling of (in)security of the population in its neighbourhood (during the day),
2019,,16 to under 25 years,Unsafe,Feeling of (in)security of the population in its neighbourhood (during the day),
2020,,16 to under 25 years,Unsafe,Feeling of (in)security of the population in its neighbourhood (during the day),25.0
2021,,16 to under 25 years,Unsafe,Feeling of (in)security of the population in its neighbourhood (during the day),
2019,,16 to under 25 years,Very unsafe,Feeling of (in)security of the population in its neighbourhood (during the day),
2020,,16 to under 25 years,Very unsafe,Feeling of (in)security of the population in its neighbourhood (during the day),25.0
2021,,16 to under 25 years,Very unsafe,Feeling of (in)security of the population in its neighbourhood (during the day),
2019,,25 to under 35 years,Very safe,Feeling of (in)security of the population in its neighbourhood (during the day),
2020,,25 to under 35 years,Very safe,Feeling of (in)security of the population in its neighbourhood (during the day),25.0
2021,,25 to under 35 years,Very safe,Feeling of (in)security of the population in its neighbourhood (during the day),
2019,,25 to under 35 years,Safe,Feeling of (in)security of the population in its neighbourhood (during the day),
2020,,25 to under 35 years,Safe,Feeling of (in)security of the population in its neighbourhood (during the day),25.0
2021,,25 to under 35 years,Safe,Feeling of (in)security of the population in its neighbourhood (during the day),
2019,,25 to under 35 years,Unsafe,Feeling of (in)security of the population in its neighbourhood (during the day),
2020,,25 to under 35 years,Unsafe,Feeling of (in)security of the population in its neighbourhood (during the day),25.0
2021,,25 to under 35 years,Unsafe,Feeling of (in)security of the population in its neighbourhood (during the day),
2019,,25 to under 35 years,Very unsafe,Feeling of (in)security of the population in its neighbourhood (during the day),
2020,,25 to under 35 years,Very unsafe,Feeling of (in)security of the population in its neighbourhood (during the day),25.0
2021,,25 to under 35 years,Very unsafe,Feeling of (in)security of the population in its neighbourhood (during the day),
2019,,35 to under 45 years,Very safe,Feeling of (in)security of the population in its neighbourhood (during the day),
2020,,35 to under 45 years,Very safe,Feeling of (in)security of the population in its neighbourhood (during the day),25.0
2021,,35 to under 45 years,Very safe,Feeling of (in)security of the population in its neighbourhood (during the day),
2019,,35 to under 45 years,Safe,Feeling of (in)security of the population in its neighbourhood (during the day),
2020,,35 to under 45 years,Safe,Feeling of (in)security of the population in its neighbourhood (during the day),25.0
2021,,35 to under 45 years,Safe,Feeling of (in)security of the population in its neighbourhood (during the day),
2019,,35 to under 45 years,Unsafe,Feeling of (in)security of the population in its neighbourhood (during the day),
2020,,35 to under 45 years,Unsafe,Feeling of (in)security of the population in its neighbourhood (during the day),25.0
2021,,35 to under 45 years,Unsafe,Feeling of (in)security of the population in its neighbourhood (during the day),
2019,,35 to under 45 years,Very unsafe,Feeling of (in)security of the population in its neighbourhood (during the day),
2020,,35 to under 45 years,Very unsafe,Feeling of (in)security of the population in its neighbourhood (during the day),25.0
2021,,35 to under 45 years,Very unsafe,Feeling of (in)security of the population in its neighbourhood (during the day),
2019,,45 to under 55 years,Very safe,Feeling of (in)security of the population in its neighbourhood (during the day),
2020,,45 to under 55 years,Very safe,Feeling of (in)security of the population in its neighbourhood (during the day),25.0
2021,,45 to under 55 years,Very safe,Feeling of (in)security of the population in its neighbourhood (during the day),
2019,,45 to under 55 years,Safe,Feeling of (in)security of the population in its neighbourhood (during the day),
2020,,45 to under 55 years,Safe,Feeling of (in)security of the population in its neighbourhood (during the day),25.0
2021,,45 to under 55 years,Safe,Feeling of (in)security of the population in its neighbourhood (during the day),
2019,,45 to under 55 years,Unsafe,Feeling of (in)security of the population in its neighbourhood (during the day),
2020,,45 to under 55 years,Unsafe,Feeling of (in)security of the population in its neighbourhood (during the day),25.0
2021,,45 to under 55 years,Unsafe,Feeling of (in)security of the population in its neighbourhood (during the day),
2019,,45 to under 55 years,Very unsafe,Feeling of (in)security of the population in its neighbourhood (during the day),
2020,,45 to under 55 years,Very unsafe,Feeling of (in)security of the population in its neighbourhood (during the day),25.0
2021,,45 to under 55 years,Very unsafe,Feeling of (in)security of the population in its neighbourhood (during the day),
2019,,55 to under 65 years,Very safe,Feeling of (in)security of the population in its neighbourhood (during the day),
2020,,55 to under 65 years,Very safe,Feeling of (in)security of the population in its neighbourhood (during the day),25.0
2021,,55 to under 65 years,Very safe,Feeling of (in)security of the population in its neighbourhood (during the day),
2019,,55 to under 65 years,Safe,Feeling of (in)security of the population in its neighbourhood (during the day),
2020,,55 to under 65 years,Safe,Feeling of (in)security of the population in its neighbourhood (during the day),25.0
2021,,55 to under 65 years,Safe,Feeling of (in)security of the population in its neighbourhood (during the day),
2019,,55 to under 65 years,Unsafe,Feeling of (in)security of the population in its neighbourhood (during the day),
2020,,55 to under 65 years,Unsafe,Feeling of (in)security of the population in its neighbourhood (during the day),25.0
2021,,55 to under 65 years,Unsafe,Feeling of (in)security of the population in its neighbourhood (during the day),
2019,,55 to under 65 years,Very unsafe,Feeling of (in)security of the population in its neighbourhood (during the day),
2020,,55 to under 65 years,Very unsafe,Feeling of (in)security of the population in its neighbourhood (during the day),25.0
2021,,55 to under 65 years,Very unsafe,Feeling of (in)security of the population in its neighbourhood (during the day),
2019,,65 to under 75 years,Very safe,Feeling of (in)security of the population in its neighbourhood (during the day),
2020,,65 to under 75 years,Very safe,Feeling of (in)security of the population in its neighbourhood (during the day),25.0
2021,,65 to under 75 years,Very safe,Feeling of (in)security of the population in its neighbourhood (during the day),
2019,,65 to under 75 years,Safe,Feeling of (in)security of the population in its neighbourhood (during the day),
2020,,65 to under 75 years,Safe,Feeling of (in)security of the population in its neighbourhood (during the day),25.0
2021,,65 to under 75 years,Safe,Feeling of (in)security of the population in its neighbourhood (during the day),
2019,,65 to under 75 years,Unsafe,Feeling of (in)security of the population in its neighbourhood (during the day),
2020,,65 to under 75 years,Unsafe,Feeling of (in)security of the population in its neighbourhood (during the day),25.0
2021,,65 to under 75 years,Unsafe,Feeling of (in)security of the population in its neighbourhood (during the day),
2019,,65 to under 75 years,Very unsafe,Feeling of (in)security of the population in its neighbourhood (during the day),
2020,,65 to under 75 years,Very unsafe,Feeling of (in)security of the population in its neighbourhood (during the day),25.0
2021,,65 to under 75 years,Very unsafe,Feeling of (in)security of the population in its neighbourhood (during the day),
2019,,75 years and older,Very safe,Feeling of (in)security of the population in its neighbourhood (during the day),
2020,,75 years and older,Very safe,Feeling of (in)security of the population in its neighbourhood (during the day),25.0
2021,,75 years and older,Very safe,Feeling of (in)security of the population in its neighbourhood (during the day),
2019,,75 years and older,Safe,Feeling of (in)security of the population in its neighbourhood (during the day),
2020,,75 years and older,Safe,Feeling of (in)security of the population in its neighbourhood (during the day),25.0
2021,,75 years and older,Safe,Feeling of (in)security of the population in its neighbourhood (during the day),
2019,,75 years and older,Unsafe,Feeling of (in)security of the population in its neighbourhood (during the day),
2020,,75 years and older,Unsafe,Feeling of (in)security of the population in its neighbourhood (during the day),25.0
2021,,75 years and older,Unsafe,Feeling of (in)security of the population in its neighbourhood (during the day),
2019,,75 years and older,Very unsafe,Feeling of (in)security of the population in its neighbourhood (during the day),
2020,,75 years and older,Very unsafe,Feeling of (in)security of the population in its neighbourhood (during the day),25.0
2021,,75 years and older,Very unsafe,Feeling of (in)security of the population in its neighbourhood (during the day),
