Year,Units,Time series,Fields of work,Level of court,COMMENT_OBS_0,COMMENT_OBS_1,COMMENT_OBS_2,Value
2021,Percentage,Bundesrat (upper chamber),,,…,,,
2022,Percentage,Bundesrat (upper chamber),,,…,,,
2023,Percentage,Bundesrat (upper chamber),,,…,,,
2024,Percentage,Bundesrat (upper chamber),,,…,,,
2010,Percentage,Public service,,,.,,,
2011,Percentage,Public service,,,.,,,
2012,Percentage,Public service,,,.,,,
2013,Percentage,Public service,,,.,,,
2014,Percentage,Public service,,,.,,,
2015,Percentage,Public service,,,.,,,
2016,Percentage,Public service,,,.,,,
2017,Percentage,Public service,,,.,,,
2018,Percentage,Public service,,,.,,,
2019,Percentage,Public service,,,.,,,
2020,Percentage,Public service,,,,,,0.3
2021,Percentage,Public service,,,…,,,
2022,Percentage,Public service,,,…,,,
2023,Percentage,Public service,,,…,,,
2024,Percentage,Public service,,,…,,,
2010,Percentage,Public service,"Political leadership and central administration, foreign affairs",,.,,,
2011,Percentage,Public service,"Political leadership and central administration, foreign affairs",,.,,,
2012,Percentage,Public service,"Political leadership and central administration, foreign affairs",,.,,,
2013,Percentage,Public service,"Political leadership and central administration, foreign affairs",,.,,,
2014,Percentage,Public service,"Political leadership and central administration, foreign affairs",,.,,,
2015,Percentage,Public service,"Political leadership and central administration, foreign affairs",,.,,,
2016,Percentage,Public service,"Political leadership and central administration, foreign affairs",,.,,,
2017,Percentage,Public service,"Political leadership and central administration, foreign affairs",,.,,,
2018,Percentage,Public service,"Political leadership and central administration, foreign affairs",,.,,,
2019,Percentage,Public service,"Political leadership and central administration, foreign affairs",,.,,,
2020,Percentage,Public service,"Political leadership and central administration, foreign affairs",,.,,,
2021,Percentage,Public service,"Political leadership and central administration, foreign affairs",,…,,,
2022,Percentage,Public service,"Political leadership and central administration, foreign affairs",,…,,,
2023,Percentage,Public service,"Political leadership and central administration, foreign affairs",,…,,,
2024,Percentage,Public service,"Political leadership and central administration, foreign affairs",,…,,,
2010,Percentage,Public service,Police,,.,,,
2011,Percentage,Public service,Police,,.,,,
2012,Percentage,Public service,Police,,.,,,
2013,Percentage,Public service,Police,,.,,,
2014,Percentage,Public service,Police,,.,,,
2015,Percentage,Public service,Police,,.,,,
2016,Percentage,Public service,Police,,.,,,
2017,Percentage,Public service,Police,,.,,,
2018,Percentage,Public service,Police,,.,,,
2019,Percentage,Public service,Police,,.,,,
2020,Percentage,Public service,Police,,.,,,
2021,Percentage,Public service,Police,,…,,,
2022,Percentage,Public service,Police,,…,,,
2023,Percentage,Public service,Police,,…,,,
2024,Percentage,Public service,Police,,…,,,
2010,Percentage,Public service,"Education, science, research, cultural affairs",,.,,,
2011,Percentage,Public service,"Education, science, research, cultural affairs",,.,,,
2012,Percentage,Public service,"Education, science, research, cultural affairs",,.,,,
2013,Percentage,Public service,"Education, science, research, cultural affairs",,.,,,
2014,Percentage,Public service,"Education, science, research, cultural affairs",,.,,,
2015,Percentage,Public service,"Education, science, research, cultural affairs",,.,,,
2016,Percentage,Public service,"Education, science, research, cultural affairs",,.,,,
2017,Percentage,Public service,"Education, science, research, cultural affairs",,.,,,
2018,Percentage,Public service,"Education, science, research, cultural affairs",,.,,,
2019,Percentage,Public service,"Education, science, research, cultural affairs",,.,,,
2020,Percentage,Public service,"Education, science, research, cultural affairs",,,,,1.8
2021,Percentage,Public service,"Education, science, research, cultural affairs",,…,,,
2022,Percentage,Public service,"Education, science, research, cultural affairs",,…,,,
2023,Percentage,Public service,"Education, science, research, cultural affairs",,…,,,
2024,Percentage,Public service,"Education, science, research, cultural affairs",,…,,,
2010,Percentage,Public service,"Health, environment, sports and recreation",,.,,,
2011,Percentage,Public service,"Health, environment, sports and recreation",,.,,,
2012,Percentage,Public service,"Health, environment, sports and recreation",,.,,,
2013,Percentage,Public service,"Health, environment, sports and recreation",,.,,,
2014,Percentage,Public service,"Health, environment, sports and recreation",,.,,,
2015,Percentage,Public service,"Health, environment, sports and recreation",,.,,,
2016,Percentage,Public service,"Health, environment, sports and recreation",,.,,,
2017,Percentage,Public service,"Health, environment, sports and recreation",,.,,,
2018,Percentage,Public service,"Health, environment, sports and recreation",,.,,,
2019,Percentage,Public service,"Health, environment, sports and recreation",,.,,,
2020,Percentage,Public service,"Health, environment, sports and recreation",,,,,12.6
2021,Percentage,Public service,"Health, environment, sports and recreation",,…,,,
2022,Percentage,Public service,"Health, environment, sports and recreation",,…,,,
2023,Percentage,Public service,"Health, environment, sports and recreation",,…,,,
2024,Percentage,Public service,"Health, environment, sports and recreation",,…,,,
2010,Percentage,Judiciary,,,,,,18.23
2011,Percentage,Judiciary,,,,,,18.55
2012,Percentage,Judiciary,,,,,,18.83
2013,Percentage,Judiciary,,,,,,19.55
2014,Percentage,Judiciary,,,,,,20.53
2015,Percentage,Judiciary,,,,,,21.76
2016,Percentage,Judiciary,,,,,,22.82
2017,Percentage,Judiciary,,,,,,23.98
2018,Percentage,Judiciary,,,,,,23.89
2019,Percentage,Judiciary,,,,,,23.08
2020,Percentage,Judiciary,,,,,,23.52
2021,Percentage,Judiciary,,,,,,22.59
2022,Percentage,Judiciary,,,,,,24.06
2023,Percentage,Judiciary,,,,,,26.35
2024,Percentage,Judiciary,,,…,,,
2010,Percentage,Judiciary,,Supreme/Constitutional courts,,,,19.61
2011,Percentage,Judiciary,,Supreme/Constitutional courts,,,,19.3
2012,Percentage,Judiciary,,Supreme/Constitutional courts,,,,20.37
2013,Percentage,Judiciary,,Supreme/Constitutional courts,,,,20.07
2014,Percentage,Judiciary,,Supreme/Constitutional courts,,,,21.82
2015,Percentage,Judiciary,,Supreme/Constitutional courts,,,,21.09
2016,Percentage,Judiciary,,Supreme/Constitutional courts,,,,22.08
2017,Percentage,Judiciary,,Supreme/Constitutional courts,,,,22.25
2018,Percentage,Judiciary,,Supreme/Constitutional courts,,,,22.46
2019,Percentage,Judiciary,,Supreme/Constitutional courts,,,,22.18
2020,Percentage,Judiciary,,Supreme/Constitutional courts,,,,23.54
2021,Percentage,Judiciary,,Supreme/Constitutional courts,,,,19.73
2022,Percentage,Judiciary,,Supreme/Constitutional courts,r,,,22.14
2023,Percentage,Judiciary,,Supreme/Constitutional courts,,,,24.06
2024,Percentage,Judiciary,,Supreme/Constitutional courts,,,,
2010,Percentage,Judiciary,,Higher-level courts,,,,18.15
2011,Percentage,Judiciary,,Higher-level courts,,,,18.5
2012,Percentage,Judiciary,,Higher-level courts,,,,18.73
2013,Percentage,Judiciary,,Higher-level courts,,,,19.51
2014,Percentage,Judiciary,,Higher-level courts,,,,20.45
2015,Percentage,Judiciary,,Higher-level courts,,,,21.8
2016,Percentage,Judiciary,,Higher-level courts,,,,22.86
2017,Percentage,Judiciary,,Higher-level courts,,,,24.08
2018,Percentage,Judiciary,,Higher-level courts,,,,23.99
2019,Percentage,Judiciary,,Higher-level courts,,,,23.14
2020,Percentage,Judiciary,,Higher-level courts,,,,23.52
2021,Percentage,Judiciary,,Higher-level courts,,,,22.76
2022,Percentage,Judiciary,,Higher-level courts,r,,,24.18
2023,Percentage,Judiciary,,Higher-level courts,,,,26.48
2024,Percentage,Judiciary,,Higher-level courts,,,,
2010,Percentage,Judiciary,,Lower-level courts,.,,,
2011,Percentage,Judiciary,,Lower-level courts,.,,,
2012,Percentage,Judiciary,,Lower-level courts,.,,,
2013,Percentage,Judiciary,,Lower-level courts,.,,,
2014,Percentage,Judiciary,,Lower-level courts,.,,,
2015,Percentage,Judiciary,,Lower-level courts,.,,,
2016,Percentage,Judiciary,,Lower-level courts,,,,61694.0
2017,Percentage,Judiciary,,Lower-level courts,,,,68538.0
2018,Percentage,Judiciary,,Lower-level courts,,,,88196.0
2019,Percentage,Judiciary,,Lower-level courts,,,,78533.0
2020,Percentage,Judiciary,,Lower-level courts,,,,100349.0
2021,Percentage,Judiciary,,Lower-level courts,,,,83997.0
2022,Percentage,Judiciary,,Lower-level courts,…,,,
2023,Percentage,Judiciary,,Lower-level courts,…,,,
2024,Percentage,Judiciary,,Lower-level courts,…,,,
2010,No unit,German Bundestag (lower chamber),,,.,,,
2011,No unit,German Bundestag (lower chamber),,,.,,,
2012,No unit,German Bundestag (lower chamber),,,.,,,
2013,No unit,German Bundestag (lower chamber),,,.,,,
2014,No unit,German Bundestag (lower chamber),,,.,,,
2015,No unit,German Bundestag (lower chamber),,,.,,,
2016,No unit,German Bundestag (lower chamber),,,,,,66220.0
2017,No unit,German Bundestag (lower chamber),,,,,,70423.0
2018,No unit,German Bundestag (lower chamber),,,,,,69477.0
2019,No unit,German Bundestag (lower chamber),,,,,,82684.0
2020,No unit,German Bundestag (lower chamber),,,,,,89597.0
2021,No unit,German Bundestag (lower chamber),,,,,,87166.0
2022,No unit,German Bundestag (lower chamber),,,…,,,
2023,No unit,German Bundestag (lower chamber),,,…,,,
2024,No unit,German Bundestag (lower chamber),,,…,,,
2010,No unit,Bundesrat (upper chamber),,,.,,,
2011,No unit,Bundesrat (upper chamber),,,.,,,
2012,No unit,Bundesrat (upper chamber),,,.,,,
2013,No unit,Bundesrat (upper chamber),,,.,,,
2014,No unit,Bundesrat (upper chamber),,,.,,,
2015,No unit,Bundesrat (upper chamber),,,.,,,
2016,No unit,Bundesrat (upper chamber),,,,,,53012.0
2017,No unit,Bundesrat (upper chamber),,,,,,57413.0
2018,No unit,Bundesrat (upper chamber),,,,,,51859.0
2019,No unit,Bundesrat (upper chamber),,,,,,65444.0
2020,No unit,Bundesrat (upper chamber),,,,,,75206.0
2021,No unit,Bundesrat (upper chamber),,,,,,70654.0
2022,No unit,Bundesrat (upper chamber),,,…,,,
2023,No unit,Bundesrat (upper chamber),,,…,,,
2024,No unit,Bundesrat (upper chamber),,,…,,,
2010,No unit,Public service,,,.,,,
2011,No unit,Public service,,,.,,,
2012,No unit,Public service,,,.,,,
2013,No unit,Public service,,,.,,,
2014,No unit,Public service,,,.,,,
2015,No unit,Public service,,,.,,,
2016,No unit,Public service,,,,,,13208.0
2017,No unit,Public service,,,,,,13010.0
2018,No unit,Public service,,,,,,17618.0
2019,No unit,Public service,,,,,,17240.0
2020,No unit,Public service,,,,,,14391.0
2021,No unit,Public service,,,,,,16512.0
2022,No unit,Public service,,,…,,,
2023,No unit,Public service,,,…,,,
2024,No unit,Public service,,,…,,,
2010,No unit,Public service,"Political leadership and central administration, foreign affairs",,,,,12868.0
2011,No unit,Public service,"Political leadership and central administration, foreign affairs",,…,,,
2012,No unit,Public service,"Political leadership and central administration, foreign affairs",,…,,,
2013,No unit,Public service,"Political leadership and central administration, foreign affairs",,…,,,
2014,No unit,Public service,"Political leadership and central administration, foreign affairs",,…,,,
2015,No unit,Public service,"Political leadership and central administration, foreign affairs",,…,,,
2016,No unit,Public service,"Political leadership and central administration, foreign affairs",,…,,,
2017,No unit,Public service,"Political leadership and central administration, foreign affairs",,…,,,
2018,No unit,Public service,"Political leadership and central administration, foreign affairs",,…,,,
2019,No unit,Public service,"Political leadership and central administration, foreign affairs",,…,,,
2020,No unit,Public service,"Political leadership and central administration, foreign affairs",,…,,,
2021,No unit,Public service,"Political leadership and central administration, foreign affairs",,…,,,
2022,No unit,Public service,"Political leadership and central administration, foreign affairs",,…,,,
2023,No unit,Public service,"Political leadership and central administration, foreign affairs",,…,,,
2024,No unit,Public service,"Political leadership and central administration, foreign affairs",,…,,,
2010,No unit,Public service,Police,,.,,,
2011,No unit,Public service,Police,,.,,,
2012,No unit,Public service,Police,,.,,,
2013,No unit,Public service,Police,,.,,,
2014,No unit,Public service,Police,,.,,,
2015,No unit,Public service,Police,,,,,4.65
2016,No unit,Public service,Police,,.,,,
2017,No unit,Public service,Police,,,,,3.66
2018,No unit,Public service,Police,,.,,,
2019,No unit,Public service,Police,,,,,4.67
2020,No unit,Public service,Police,,.,,,
2021,No unit,Public service,Police,,,,,3.86
2022,No unit,Public service,Police,,.,,,
2023,No unit,Public service,Police,,,,,11.56
2024,No unit,Public service,Police,,…,,,
2010,No unit,Public service,"Education, science, research, cultural affairs",,.,,,
2011,No unit,Public service,"Education, science, research, cultural affairs",,.,,,
2012,No unit,Public service,"Education, science, research, cultural affairs",,.,,,
2013,No unit,Public service,"Education, science, research, cultural affairs",,.,,,
2014,No unit,Public service,"Education, science, research, cultural affairs",,.,,,
2015,No unit,Public service,"Education, science, research, cultural affairs",,,,,4.89
2016,No unit,Public service,"Education, science, research, cultural affairs",,.,,,
2017,No unit,Public service,"Education, science, research, cultural affairs",,,,,3.75
2018,No unit,Public service,"Education, science, research, cultural affairs",,.,,,
2019,No unit,Public service,"Education, science, research, cultural affairs",,,,,4.62
2020,No unit,Public service,"Education, science, research, cultural affairs",,.,,,
2021,No unit,Public service,"Education, science, research, cultural affairs",,,,,3.04
2022,No unit,Public service,"Education, science, research, cultural affairs",,.,,,
2023,No unit,Public service,"Education, science, research, cultural affairs",,,,,10.2
2024,No unit,Public service,"Education, science, research, cultural affairs",,…,,,
2010,No unit,Public service,"Health, environment, sports and recreation",,.,,,
2011,No unit,Public service,"Health, environment, sports and recreation",,.,,,
2012,No unit,Public service,"Health, environment, sports and recreation",,.,,,
2013,No unit,Public service,"Health, environment, sports and recreation",,.,,,
2014,No unit,Public service,"Health, environment, sports and recreation",,.,,,
2015,No unit,Public service,"Health, environment, sports and recreation",,,,,4.36
2016,No unit,Public service,"Health, environment, sports and recreation",,.,,,
2017,No unit,Public service,"Health, environment, sports and recreation",,,,,3.57
2018,No unit,Public service,"Health, environment, sports and recreation",,.,,,
2019,No unit,Public service,"Health, environment, sports and recreation",,,,,4.56
2020,No unit,Public service,"Health, environment, sports and recreation",,.,,,
2021,No unit,Public service,"Health, environment, sports and recreation",,,,,4.68
2022,No unit,Public service,"Health, environment, sports and recreation",,.,,,
2023,No unit,Public service,"Health, environment, sports and recreation",,,,,12.94
2024,No unit,Public service,"Health, environment, sports and recreation",,…,,,
2010,No unit,Judiciary,,,.,,,
2011,No unit,Judiciary,,,.,,,
2012,No unit,Judiciary,,,.,,,
2013,No unit,Judiciary,,,.,,,
2014,No unit,Judiciary,,,.,,,
2015,No unit,Judiciary,,,.,,,
2016,No unit,Judiciary,,,.,,,
2017,No unit,Judiciary,,,.,,,
2018,No unit,Judiciary,,,.,,,
2019,No unit,Judiciary,,,,,,28.0
2020,No unit,Judiciary,,,.,,,
2021,No unit,Judiciary,,,,,,31.19
2022,No unit,Judiciary,,,.,,,
2023,No unit,Judiciary,,,,,,20.85
2024,No unit,Judiciary,,,…,,,
2010,No unit,Judiciary,,Supreme/Constitutional courts,s,,,354.0
2011,No unit,Judiciary,,Supreme/Constitutional courts,,,,295.0
2012,No unit,Judiciary,,Supreme/Constitutional courts,,,,163.0
2013,No unit,Judiciary,,Supreme/Constitutional courts,,,,222.0
2014,No unit,Judiciary,,Supreme/Constitutional courts,,,,121.0
2015,No unit,Judiciary,,Supreme/Constitutional courts,,,,148.0
2016,No unit,Judiciary,,Supreme/Constitutional courts,.,,,
2017,No unit,Judiciary,,Supreme/Constitutional courts,.,,,
2018,No unit,Judiciary,,Supreme/Constitutional courts,.,,,
2019,No unit,Judiciary,,Supreme/Constitutional courts,.,,,
2020,No unit,Judiciary,,Supreme/Constitutional courts,.,,,
2021,No unit,Judiciary,,Supreme/Constitutional courts,.,,,
2022,No unit,Judiciary,,Supreme/Constitutional courts,.,,,
2023,No unit,Judiciary,,Supreme/Constitutional courts,.,,,
2024,No unit,Judiciary,,Supreme/Constitutional courts,…,,,
2010,No unit,Judiciary,,Higher-level courts,.,,,
2011,No unit,Judiciary,,Higher-level courts,.,,,
2012,No unit,Judiciary,,Higher-level courts,.,,,
2013,No unit,Judiciary,,Higher-level courts,.,,,
2014,No unit,Judiciary,,Higher-level courts,.,,,
2015,No unit,Judiciary,,Higher-level courts,,,,3.6
2016,No unit,Judiciary,,Higher-level courts,.,,,
2017,No unit,Judiciary,,Higher-level courts,,,,2.41
2018,No unit,Judiciary,,Higher-level courts,.,,,
2019,No unit,Judiciary,,Higher-level courts,,,,4.0
2020,No unit,Judiciary,,Higher-level courts,.,,,
2021,No unit,Judiciary,,Higher-level courts,,,,4.0
2022,No unit,Judiciary,,Higher-level courts,.,,,
2023,No unit,Judiciary,,Higher-level courts,,,,3.4
2024,No unit,Judiciary,,Higher-level courts,…,,,
2010,No unit,Judiciary,,Lower-level courts,,,,95.1
2011,No unit,Judiciary,,Lower-level courts,,,,97.0
2012,No unit,Judiciary,,Lower-level courts,,,,98.6
2013,No unit,Judiciary,,Lower-level courts,,,,99.4
2014,No unit,Judiciary,,Lower-level courts,,,,99.8
2015,No unit,Judiciary,,Lower-level courts,,,,101.6
2016,No unit,Judiciary,,Lower-level courts,,,,100.2
2017,No unit,Judiciary,,Lower-level courts,,,,100.6
2018,No unit,Judiciary,,Lower-level courts,,,,101.4
2019,No unit,Judiciary,,Lower-level courts,,,,100.2
2020,No unit,Judiciary,,Lower-level courts,,,,87.2
2021,No unit,Judiciary,,Lower-level courts,,,,97.3
2022,No unit,Judiciary,,Lower-level courts,,,,97.1
2023,No unit,Judiciary,,Lower-level courts,,,,99.2
2024,No unit,Judiciary,,Lower-level courts,,,,99.6
