Year,Series,Substance,Sex,Border,Value
"Estimate of high risk use (based on treatment entrants) of the substances opioids, cocaine and other stimulants in the age group 15 to under 65 years",,,min,218360.0,
"Estimate of high risk use (based on treatment entrants) of the substances opioids, cocaine and other stimulants in the age group 15 to under 65 years",,,min,215436.0,
"Estimate of high risk use (based on treatment entrants) of the substances opioids, cocaine and other stimulants in the age group 15 to under 65 years",,,min,230672.0,
"Estimate of high risk use (based on treatment entrants) of the substances opioids, cocaine and other stimulants in the age group 15 to under 65 years",,,min,225471.0,
"Estimate of high risk use (based on treatment entrants) of the substances opioids, cocaine and other stimulants in the age group 15 to under 65 years",,,min,225324.0,
"Estimate of high risk use (based on treatment entrants) of the substances opioids, cocaine and other stimulants in the age group 15 to under 65 years",,,min,217220.0,
"Estimate of high risk use (based on treatment entrants) of the substances opioids, cocaine and other stimulants in the age group 15 to under 65 years",,,min,204906.0,
"Estimate of high risk use (based on treatment entrants) of the substances opioids, cocaine and other stimulants in the age group 15 to under 65 years",,,max,255405.0,
"Estimate of high risk use (based on treatment entrants) of the substances opioids, cocaine and other stimulants in the age group 15 to under 65 years",,,max,274374.0,
"Estimate of high risk use (based on treatment entrants) of the substances opioids, cocaine and other stimulants in the age group 15 to under 65 years",,,max,259303.0,
"Estimate of high risk use (based on treatment entrants) of the substances opioids, cocaine and other stimulants in the age group 15 to under 65 years",,,max,255830.0,
"Estimate of high risk use (based on treatment entrants) of the substances opioids, cocaine and other stimulants in the age group 15 to under 65 years",,,max,273923.0,
"Estimate of high risk use (based on treatment entrants) of the substances opioids, cocaine and other stimulants in the age group 15 to under 65 years",,,max,267747.0,
"Estimate of high risk use (based on treatment entrants) of the substances opioids, cocaine and other stimulants in the age group 15 to under 65 years",,,max,267572.0,
"Estimate of high risk use (based on treatment entrants) of the substances opioids, cocaine and other stimulants in the age group 15 to under 65 years",,,max,257949.0,
"Estimate of high risk use (based on treatment entrants) of the substances opioids, cocaine and other stimulants in the age group 15 to under 65 years",,,max,243326.0,
