Year,Units,Age group,Sex,Victim-Suspect Relationship,COMMENT_OBS_0,COMMENT_OBS_1,COMMENT_OBS_2,Value
2014,"Per 100,000 inhabitants",14 to under 18 years,,,,,,19.25
2015,"Per 100,000 inhabitants",14 to under 18 years,,,,,,19.354
2016,"Per 100,000 inhabitants",14 to under 18 years,,,,,,19.358
2017,"Per 100,000 inhabitants",14 to under 18 years,,,,,,19.36
2018,"Per 100,000 inhabitants",14 to under 18 years,,,,,,19.365
2019,"Per 100,000 inhabitants",14 to under 18 years,,,,,,19.371
2020,"Per 100,000 inhabitants",14 to under 18 years,,,,,,19.438
2021,"Per 100,000 inhabitants",14 to under 18 years,,,,,,19.438
2022,"Per 100,000 inhabitants",14 to under 18 years,,,,,,19.438
2023,"Per 100,000 inhabitants",14 to under 18 years,,,,,,19.464
2024,"Per 100,000 inhabitants",14 to under 18 years,,,,,,19.486
2010,"Per 100,000 inhabitants",18 to under 21 years,,,,,,1297687.97
2011,"Per 100,000 inhabitants",18 to under 21 years,,,,,,1298278.703
2012,"Per 100,000 inhabitants",18 to under 21 years,,,,,,1298720.641
2013,"Per 100,000 inhabitants",18 to under 21 years,,,,,,1300335.815
2014,"Per 100,000 inhabitants",18 to under 21 years,,,,,,1304500.284
2015,"Per 100,000 inhabitants",18 to under 21 years,,,,,,1311550.677
2016,"Per 100,000 inhabitants",18 to under 21 years,,,,,,1311857.4
2017,"Per 100,000 inhabitants",18 to under 21 years,,,,,,1311946.268
2018,"Per 100,000 inhabitants",18 to under 21 years,,,,,,1312285.598
2019,"Per 100,000 inhabitants",18 to under 21 years,,,,,,1312732.718
2020,"Per 100,000 inhabitants",18 to under 21 years,,,,,,1317288.48
2021,"Per 100,000 inhabitants",18 to under 21 years,,,,,,1317288.48
2022,"Per 100,000 inhabitants",18 to under 21 years,,,,,,1317288.48
2023,"Per 100,000 inhabitants",18 to under 21 years,,,,,,1319050.64
2024,"Per 100,000 inhabitants",18 to under 21 years,,,,,,1320533.18
2010,"Per 100,000 inhabitants",21 to under 60 years,,,.,,,
2011,"Per 100,000 inhabitants",21 to under 60 years,,,.,,,
2012,"Per 100,000 inhabitants",21 to under 60 years,,,.,,,
2013,"Per 100,000 inhabitants",21 to under 60 years,,,.,,,
2014,"Per 100,000 inhabitants",21 to under 60 years,,,.,,,
2015,"Per 100,000 inhabitants",21 to under 60 years,,,,,,92.2
2016,"Per 100,000 inhabitants",21 to under 60 years,,,.,,,
2017,"Per 100,000 inhabitants",21 to under 60 years,,,.,,,
2018,"Per 100,000 inhabitants",21 to under 60 years,,,,,,92.15
2019,"Per 100,000 inhabitants",21 to under 60 years,,,.,,,
2020,"Per 100,000 inhabitants",21 to under 60 years,,,.,,,
2021,"Per 100,000 inhabitants",21 to under 60 years,,,,,,92.25
2022,"Per 100,000 inhabitants",21 to under 60 years,,,.,,,
2023,"Per 100,000 inhabitants",21 to under 60 years,,,.,,,
2024,"Per 100,000 inhabitants",21 to under 60 years,,,…,,,
2010,"Per 100,000 inhabitants",60 years and older,,,.,,,
2011,"Per 100,000 inhabitants",60 years and older,,,.,,,
2012,"Per 100,000 inhabitants",60 years and older,,,.,,,
2013,"Per 100,000 inhabitants",60 years and older,,,.,,,
2014,"Per 100,000 inhabitants",60 years and older,,,.,,,
2015,"Per 100,000 inhabitants",60 years and older,,,.,,,
2016,"Per 100,000 inhabitants",60 years and older,,,.,,,
2017,"Per 100,000 inhabitants",60 years and older,,,.,,,
2018,"Per 100,000 inhabitants",60 years and older,,,,,,0.05
2019,"Per 100,000 inhabitants",60 years and older,,,.,,,
2020,"Per 100,000 inhabitants",60 years and older,,,.,,,
2021,"Per 100,000 inhabitants",60 years and older,,,,,,0.03
2022,"Per 100,000 inhabitants",60 years and older,,,.,,,
2023,"Per 100,000 inhabitants",60 years and older,,,.,,,
2024,"Per 100,000 inhabitants",60 years and older,,,…,,,
2010,"Per 100,000 inhabitants",,Female,,.,,,
2011,"Per 100,000 inhabitants",,Female,,.,,,
2012,"Per 100,000 inhabitants",,Female,,.,,,
2013,"Per 100,000 inhabitants",,Female,,.,,,
2014,"Per 100,000 inhabitants",,Female,,.,,,
2015,"Per 100,000 inhabitants",,Female,,.,,,
2016,"Per 100,000 inhabitants",,Female,,,,,19.0
2017,"Per 100,000 inhabitants",,Female,,.,,,
2018,"Per 100,000 inhabitants",,Female,,.,,,
2019,"Per 100,000 inhabitants",,Female,,.,,,
2020,"Per 100,000 inhabitants",,Female,,.,,,
2021,"Per 100,000 inhabitants",,Female,,.,,,
2022,"Per 100,000 inhabitants",,Female,,,,,19.0
2023,"Per 100,000 inhabitants",,Female,,…,,,
2024,"Per 100,000 inhabitants",,Female,,…,,,
2010,"Per 100,000 inhabitants",,Male,,,,,1.0
2011,"Per 100,000 inhabitants",,Male,,,,,1.0
2012,"Per 100,000 inhabitants",,Male,,,,,1.0
2013,"Per 100,000 inhabitants",,Male,,,,,1.0
2014,"Per 100,000 inhabitants",,Male,,,,,1.0
2015,"Per 100,000 inhabitants",,Male,,,,,1.0
2016,"Per 100,000 inhabitants",,Male,,,,,1.0
2017,"Per 100,000 inhabitants",,Male,,,,,1.0
2018,"Per 100,000 inhabitants",,Male,,,,,1.0
2019,"Per 100,000 inhabitants",,Male,,,,,1.0
2020,"Per 100,000 inhabitants",,Male,,,,,1.0
2021,"Per 100,000 inhabitants",,Male,,,,,1.0
2022,"Per 100,000 inhabitants",,Male,,,,,1.0
2023,"Per 100,000 inhabitants",,Male,,,,,1.0
2024,"Per 100,000 inhabitants",,Male,,,,,
2010,"Per 100,000 inhabitants",13 years and younger,Female,,,,,
2011,"Per 100,000 inhabitants",13 years and younger,Female,,,,,
2012,"Per 100,000 inhabitants",13 years and younger,Female,,,,,
2013,"Per 100,000 inhabitants",13 years and younger,Female,,,,,
2014,"Per 100,000 inhabitants",13 years and younger,Female,,,,,
2015,"Per 100,000 inhabitants",13 years and younger,Female,,,,,
2016,"Per 100,000 inhabitants",13 years and younger,Female,,,,,1.0
2017,"Per 100,000 inhabitants",13 years and younger,Female,,,,,1.0
2018,"Per 100,000 inhabitants",13 years and younger,Female,,,,,1.0
2019,"Per 100,000 inhabitants",13 years and younger,Female,,,,,1.0
2020,"Per 100,000 inhabitants",13 years and younger,Female,,,,,1.0
2021,"Per 100,000 inhabitants",13 years and younger,Female,,,,,1.0
2022,"Per 100,000 inhabitants",13 years and younger,Female,,,,,1.0
2023,"Per 100,000 inhabitants",13 years and younger,Female,,,,,1.0
2024,"Per 100,000 inhabitants",13 years and younger,Female,,,,,
2010,"Per 100,000 inhabitants",13 years and younger,Male,,,,,
2011,"Per 100,000 inhabitants",13 years and younger,Male,,,,,
2012,"Per 100,000 inhabitants",13 years and younger,Male,,,,,
2013,"Per 100,000 inhabitants",13 years and younger,Male,,,,,
2014,"Per 100,000 inhabitants",13 years and younger,Male,,,,,
2015,"Per 100,000 inhabitants",13 years and younger,Male,,,,,
2016,"Per 100,000 inhabitants",13 years and younger,Male,,,,,1.0
2017,"Per 100,000 inhabitants",13 years and younger,Male,,,,,1.0
2018,"Per 100,000 inhabitants",13 years and younger,Male,,,,,1.0
2019,"Per 100,000 inhabitants",13 years and younger,Male,,,,,1.0
2020,"Per 100,000 inhabitants",13 years and younger,Male,,,,,1.0
2021,"Per 100,000 inhabitants",13 years and younger,Male,,,,,1.0
2022,"Per 100,000 inhabitants",13 years and younger,Male,,,,,1.0
2023,"Per 100,000 inhabitants",13 years and younger,Male,,,,,1.0
2024,"Per 100,000 inhabitants",13 years and younger,Male,,,,,
2010,"Per 100,000 inhabitants",14 to under 18 years,Female,,,,,1.0
2011,"Per 100,000 inhabitants",14 to under 18 years,Female,,,,,1.0
2012,"Per 100,000 inhabitants",14 to under 18 years,Female,,,,,1.0
2013,"Per 100,000 inhabitants",14 to under 18 years,Female,,,,,1.0
2014,"Per 100,000 inhabitants",14 to under 18 years,Female,,,,,1.0
2015,"Per 100,000 inhabitants",14 to under 18 years,Female,,,,,1.0
2016,"Per 100,000 inhabitants",14 to under 18 years,Female,,,,,1.0
2017,"Per 100,000 inhabitants",14 to under 18 years,Female,,,,,1.0
2018,"Per 100,000 inhabitants",14 to under 18 years,Female,,,,,1.0
2019,"Per 100,000 inhabitants",14 to under 18 years,Female,,,,,1.0
2020,"Per 100,000 inhabitants",14 to under 18 years,Female,,,,,1.0
2021,"Per 100,000 inhabitants",14 to under 18 years,Female,,,,,1.0
2022,"Per 100,000 inhabitants",14 to under 18 years,Female,,,,,1.0
2023,"Per 100,000 inhabitants",14 to under 18 years,Female,,,,,1.0
2024,"Per 100,000 inhabitants",14 to under 18 years,Female,,,,,
2010,"Per 100,000 inhabitants",14 to under 18 years,Male,,,,,
2011,"Per 100,000 inhabitants",14 to under 18 years,Male,,,,,
2012,"Per 100,000 inhabitants",14 to under 18 years,Male,,,,,3898.0
2013,"Per 100,000 inhabitants",14 to under 18 years,Male,,,,,5012.0
2014,"Per 100,000 inhabitants",14 to under 18 years,Male,,,,,6068.0
2015,"Per 100,000 inhabitants",14 to under 18 years,Male,,,,,7292.0
2016,"Per 100,000 inhabitants",14 to under 18 years,Male,,,,,8347.0
2017,"Per 100,000 inhabitants",14 to under 18 years,Male,,,,,8728.0
2018,"Per 100,000 inhabitants",14 to under 18 years,Male,,,,,9120.0
2019,"Per 100,000 inhabitants",14 to under 18 years,Male,,,,,9711.0
2020,"Per 100,000 inhabitants",14 to under 18 years,Male,,,,,10239.0
2021,"Per 100,000 inhabitants",14 to under 18 years,Male,,,,,10797.0
2022,"Per 100,000 inhabitants",14 to under 18 years,Male,,,,,11332.0
2023,"Per 100,000 inhabitants",14 to under 18 years,Male,,,,,11821.0
2024,"Per 100,000 inhabitants",14 to under 18 years,Male,,,,,
2010,"Per 100,000 inhabitants",18 to under 21 years,Female,,,,,22601.0
2011,"Per 100,000 inhabitants",18 to under 21 years,Female,,,,,20687.0
2012,"Per 100,000 inhabitants",18 to under 21 years,Female,,,,,21045.0
2013,"Per 100,000 inhabitants",18 to under 21 years,Female,,,,,21364.0
2014,"Per 100,000 inhabitants",18 to under 21 years,Female,,,,,23170.0
2015,"Per 100,000 inhabitants",18 to under 21 years,Female,,,,,23093.0
2016,"Per 100,000 inhabitants",18 to under 21 years,Female,,r,,,24262.0
2017,"Per 100,000 inhabitants",18 to under 21 years,Female,,r,,,29470.0
2018,"Per 100,000 inhabitants",18 to under 21 years,Female,,,,,31830.0
2019,"Per 100,000 inhabitants",18 to under 21 years,Female,,,,,30319.0
2020,"Per 100,000 inhabitants",18 to under 21 years,Female,,r,,,19710.0
2021,"Per 100,000 inhabitants",18 to under 21 years,Female,,,,,24001.0
2022,"Per 100,000 inhabitants",18 to under 21 years,Female,,,,,21039.0
2023,"Per 100,000 inhabitants",18 to under 21 years,Female,,,,,19032.0
2024,"Per 100,000 inhabitants",18 to under 21 years,Female,,…,,,
2010,"Per 100,000 inhabitants",18 to under 21 years,Male,,,,,22601.0
2011,"Per 100,000 inhabitants",18 to under 21 years,Male,,,,,20687.0
2012,"Per 100,000 inhabitants",18 to under 21 years,Male,,,,,21045.0
2013,"Per 100,000 inhabitants",18 to under 21 years,Male,,,,,21364.0
2014,"Per 100,000 inhabitants",18 to under 21 years,Male,,,,,23170.0
2015,"Per 100,000 inhabitants",18 to under 21 years,Male,,,,,23093.0
2016,"Per 100,000 inhabitants",18 to under 21 years,Male,,r,,,24262.0
2017,"Per 100,000 inhabitants",18 to under 21 years,Male,,r,,,29470.0
2018,"Per 100,000 inhabitants",18 to under 21 years,Male,,,,,31830.0
2019,"Per 100,000 inhabitants",18 to under 21 years,Male,,,,,30319.0
2020,"Per 100,000 inhabitants",18 to under 21 years,Male,,r,,,19710.0
2021,"Per 100,000 inhabitants",18 to under 21 years,Male,,,,,24001.0
2022,"Per 100,000 inhabitants",18 to under 21 years,Male,,,,,21039.0
2023,"Per 100,000 inhabitants",18 to under 21 years,Male,,,,,19032.0
2024,"Per 100,000 inhabitants",18 to under 21 years,Male,,…,,,
2010,"Per 100,000 inhabitants",21 to under 60 years,Female,,,,,946.0
2011,"Per 100,000 inhabitants",21 to under 60 years,Female,,,,,935.0
2012,"Per 100,000 inhabitants",21 to under 60 years,Female,,,,,811.0
2013,"Per 100,000 inhabitants",21 to under 60 years,Female,,,,,748.0
2014,"Per 100,000 inhabitants",21 to under 60 years,Female,,,,,692.0
2015,"Per 100,000 inhabitants",21 to under 60 years,Female,,,,,1159.0
2016,"Per 100,000 inhabitants",21 to under 60 years,Female,,,,,833.0
2017,"Per 100,000 inhabitants",21 to under 60 years,Female,,|,,,903.0
2018,"Per 100,000 inhabitants",21 to under 60 years,Female,,,,,1249.0
2019,"Per 100,000 inhabitants",21 to under 60 years,Female,,,,,1440.0
2020,"Per 100,000 inhabitants",21 to under 60 years,Female,,,,,1234.0
2021,"Per 100,000 inhabitants",21 to under 60 years,Female,,,,,1114.0
2022,"Per 100,000 inhabitants",21 to under 60 years,Female,,,,,1027.0
2023,"Per 100,000 inhabitants",21 to under 60 years,Female,,,,,
2024,"Per 100,000 inhabitants",21 to under 60 years,Female,,,,,
2010,"Per 100,000 inhabitants",21 to under 60 years,Male,,,,,946.0
2011,"Per 100,000 inhabitants",21 to under 60 years,Male,,,,,935.0
2012,"Per 100,000 inhabitants",21 to under 60 years,Male,,,,,811.0
2013,"Per 100,000 inhabitants",21 to under 60 years,Male,,,,,748.0
2014,"Per 100,000 inhabitants",21 to under 60 years,Male,,,,,692.0
2015,"Per 100,000 inhabitants",21 to under 60 years,Male,,,,,1159.0
2016,"Per 100,000 inhabitants",21 to under 60 years,Male,,,,,833.0
2017,"Per 100,000 inhabitants",21 to under 60 years,Male,,|,,,903.0
2018,"Per 100,000 inhabitants",21 to under 60 years,Male,,,,,1249.0
2019,"Per 100,000 inhabitants",21 to under 60 years,Male,,,,,1440.0
2020,"Per 100,000 inhabitants",21 to under 60 years,Male,,,,,1234.0
2021,"Per 100,000 inhabitants",21 to under 60 years,Male,,,,,1114.0
2022,"Per 100,000 inhabitants",21 to under 60 years,Male,,,,,1027.0
2023,"Per 100,000 inhabitants",21 to under 60 years,Male,,,,,
2024,"Per 100,000 inhabitants",21 to under 60 years,Male,,,,,
2010,"Per 100,000 inhabitants",60 years and older,Female,,,,,43360.0
2011,"Per 100,000 inhabitants",60 years and older,Female,,,,,43358.0
2012,"Per 100,000 inhabitants",60 years and older,Female,,,,,48560.0
2013,"Per 100,000 inhabitants",60 years and older,Female,,,,,44725.0
2014,"Per 100,000 inhabitants",60 years and older,Female,,,,,49402.0
2015,"Per 100,000 inhabitants",60 years and older,Female,,,,,47345.0
2016,"Per 100,000 inhabitants",60 years and older,Female,,,,,49693.0
2017,"Per 100,000 inhabitants",60 years and older,Female,,,,,56142.0
2018,"Per 100,000 inhabitants",60 years and older,Female,,,,,59427.0
2019,"Per 100,000 inhabitants",60 years and older,Female,,,,,58727.0
2020,"Per 100,000 inhabitants",60 years and older,Female,,,,,42911.0
2021,"Per 100,000 inhabitants",60 years and older,Female,,,,,49399.0
2022,"Per 100,000 inhabitants",60 years and older,Female,,,,,49124.0
2023,"Per 100,000 inhabitants",60 years and older,Female,,,,,44728.0
2024,"Per 100,000 inhabitants",60 years and older,Female,,…,,,
2010,"Per 100,000 inhabitants",60 years and older,Male,,,,,43360.0
2011,"Per 100,000 inhabitants",60 years and older,Male,,,,,43358.0
2012,"Per 100,000 inhabitants",60 years and older,Male,,,,,48560.0
2013,"Per 100,000 inhabitants",60 years and older,Male,,,,,44725.0
2014,"Per 100,000 inhabitants",60 years and older,Male,,,,,49402.0
2015,"Per 100,000 inhabitants",60 years and older,Male,,,,,47345.0
2016,"Per 100,000 inhabitants",60 years and older,Male,,,,,49693.0
2017,"Per 100,000 inhabitants",60 years and older,Male,,,,,56142.0
2018,"Per 100,000 inhabitants",60 years and older,Male,,,,,59427.0
2019,"Per 100,000 inhabitants",60 years and older,Male,,,,,58727.0
2020,"Per 100,000 inhabitants",60 years and older,Male,,,,,42911.0
2021,"Per 100,000 inhabitants",60 years and older,Male,,,,,49399.0
2022,"Per 100,000 inhabitants",60 years and older,Male,,,,,49124.0
2023,"Per 100,000 inhabitants",60 years and older,Male,,,,,44728.0
2024,"Per 100,000 inhabitants",60 years and older,Male,,…,,,
2010,Number,,,,,,,1.0
2011,Number,,,,,,,1.0
2012,Number,,,,,,,1.0
2013,Number,,,,,,,1.0
2014,Number,,,,,,,1.0
2015,Number,,,,,,,1.0
2016,Number,,,,,,,1.0
2017,Number,,,,,,,1.0
2018,Number,,,,,,,1.0
2019,Number,,,,,,,1.0
2020,Number,,,,,,,1.0
2021,Number,,,,,,,1.0
2022,Number,,,,,,,1.0
2023,Number,,,,,,,1.0
2024,Number,,,,,,,1.0
2010,Number,13 years and younger,,,,,,1.0
2011,Number,13 years and younger,,,,,,1.0
2012,Number,13 years and younger,,,,,,1.0
2013,Number,13 years and younger,,,,,,1.0
2014,Number,13 years and younger,,,,,,1.0
2015,Number,13 years and younger,,,,,,1.0
2016,Number,13 years and younger,,,,,,1.0
2017,Number,13 years and younger,,,,,,1.0
2018,Number,13 years and younger,,,,,,1.0
2019,Number,13 years and younger,,,,,,1.0
2020,Number,13 years and younger,,,,,,1.0
2021,Number,13 years and younger,,,,,,1.0
2022,Number,13 years and younger,,,,,,1.0
2023,Number,13 years and younger,,,,,,1.0
2024,Number,13 years and younger,,,,,,1.0
2010,Number,14 to under 18 years,,,.,,,
2011,Number,14 to under 18 years,,,.,,,
2012,Number,14 to under 18 years,,,.,,,
2013,Number,14 to under 18 years,,,.,,,
2014,Number,14 to under 18 years,,,.,,,
2015,Number,14 to under 18 years,,,.,,,
2016,Number,14 to under 18 years,,,.,,,
2017,Number,14 to under 18 years,,,.,,,
2018,Number,14 to under 18 years,,,.,,,
2019,Number,14 to under 18 years,,,,,,0.6
2020,Number,14 to under 18 years,,,.,,,
2021,Number,14 to under 18 years,,,.,,,
2022,Number,14 to under 18 years,,,.,,,
2023,Number,14 to under 18 years,,,,,,
2024,Number,14 to under 18 years,,,,,,
2010,Number,18 to under 21 years,,,,,,3.0
2011,Number,18 to under 21 years,,,,,,3.0
2012,Number,18 to under 21 years,,,,,,3.0
2013,Number,18 to under 21 years,,,,,,3.0
2014,Number,18 to under 21 years,,,,,,3.0
2015,Number,18 to under 21 years,,,,,,3.0
2016,Number,18 to under 21 years,,,,,,3.0
2017,Number,18 to under 21 years,,,,,,3.0
2018,Number,18 to under 21 years,,,,,,3.0
2019,Number,18 to under 21 years,,,,,,3.0
2020,Number,18 to under 21 years,,,,,,3.0
2021,Number,18 to under 21 years,,,,,,3.0
2022,Number,18 to under 21 years,,,,,,3.0
2023,Number,18 to under 21 years,,,,,,3.0
2024,Number,18 to under 21 years,,,,,,3.0
2010,Number,21 to under 60 years,,,,,,440.9
2011,Number,21 to under 60 years,,,,,,877.7
2012,Number,21 to under 60 years,,,,,,755.3
2013,Number,21 to under 60 years,,,,,,754.0
2014,Number,21 to under 60 years,,,,,,926.2
2015,Number,21 to under 60 years,,,,,,1050.8
2016,Number,21 to under 60 years,,,,,,1004.9
2017,Number,21 to under 60 years,,,,,,1602.2
2018,Number,21 to under 60 years,,,,,,1350.6
2019,Number,21 to under 60 years,,,,,,1990.5
2020,Number,21 to under 60 years,,,,,,2084.9
2021,Number,21 to under 60 years,,,,,,2107.5
2022,Number,21 to under 60 years,,,,,,2850.2
2023,Number,21 to under 60 years,,,,,,2161.0
2024,Number,21 to under 60 years,,,…,,,
2010,Number,60 years and older,,,,,,440.9
2011,Number,60 years and older,,,,,,877.7
2012,Number,60 years and older,,,,,,755.3
2013,Number,60 years and older,,,,,,754.0
2014,Number,60 years and older,,,,,,926.2
2015,Number,60 years and older,,,,,,1050.8
2016,Number,60 years and older,,,,,,1004.9
2017,Number,60 years and older,,,,,,1602.2
2018,Number,60 years and older,,,,,,1350.6
2019,Number,60 years and older,,,,,,1990.5
2020,Number,60 years and older,,,,,,2084.9
2021,Number,60 years and older,,,,,,2107.5
2022,Number,60 years and older,,,,,,2850.2
2023,Number,60 years and older,,,,,,2161.0
2024,Number,60 years and older,,,…,,,
2010,Number,,Female,,,,,318.6
2011,Number,,Female,,,,,440.7
2012,Number,,Female,,,,,601.6
2013,Number,,Female,,,,,616.5
2014,Number,,Female,,,,,702.4
2015,Number,,Female,,,,,687.2
2016,Number,,Female,,,,,935.1
2017,Number,,Female,,,,,1321.5
2018,Number,,Female,,,,,1216.5
2019,Number,,Female,,,,,1449.9
2020,Number,,Female,,,,,1787.8
2021,Number,,Female,,,,,2107.5
2022,Number,,Female,,,,,2850.2
2023,Number,,Female,,…,,,
2024,Number,,Female,,…,,,
2010,Number,,Male,,,,,318.6
2011,Number,,Male,,,,,440.7
2012,Number,,Male,,,,,601.6
2013,Number,,Male,,,,,616.5
2014,Number,,Male,,,,,702.4
2015,Number,,Male,,,,,687.2
2016,Number,,Male,,,,,935.1
2017,Number,,Male,,,,,1321.5
2018,Number,,Male,,,,,1216.5
2019,Number,,Male,,,,,1449.9
2020,Number,,Male,,,,,1787.8
2021,Number,,Male,,,,,2107.5
2022,Number,,Male,,,,,2850.2
2023,Number,,Male,,…,,,
2024,Number,,Male,,…,,,
2010,Number,13 years and younger,Female,,,,,52116.0
2011,Number,13 years and younger,Female,,,,,54918.0
2012,Number,13 years and younger,Female,,,,,57022.0
2013,Number,13 years and younger,Female,,,,,58937.0
2014,Number,13 years and younger,Female,,,,,63026.0
2015,Number,13 years and younger,Female,,,,,64748.0
2016,Number,13 years and younger,Female,,,,,67478.0
2017,Number,13 years and younger,Female,,,,,70053.0
2018,Number,13 years and younger,Female,,,,,74164.0
2019,Number,13 years and younger,Female,,,,,77773.0
2020,Number,13 years and younger,Female,,,,,79884.0
2021,Number,13 years and younger,Female,,,,,80334.0
2022,Number,13 years and younger,Female,,p,,,82268.0
2023,Number,13 years and younger,Female,,…,,,
2024,Number,13 years and younger,Female,,…,,,
2010,Number,13 years and younger,Male,,,,,650.7
2011,Number,13 years and younger,Male,,,,,1279.7
2012,Number,13 years and younger,Male,,,,,1085.6
2013,Number,13 years and younger,Male,,,,,1062.5
2014,Number,13 years and younger,Male,,,,,1280.9
2015,Number,13 years and younger,Male,,,,,1429.3
2016,Number,13 years and younger,Male,,,,,1349.8
2017,Number,13 years and younger,Male,,,,,2120.8
2018,Number,13 years and younger,Male,,,,,1755.1
2019,Number,13 years and younger,Male,,,,,2535.6
2020,Number,13 years and younger,Male,,,,,2610.0
2021,Number,13 years and younger,Male,,,,,2566.4
2022,Number,13 years and younger,Male,,,,,3271.2
2023,Number,13 years and younger,Male,,,,,2336.7
2024,Number,13 years and younger,Male,,…,,,
2010,Number,14 to under 18 years,Female,,,,,650.7
2011,Number,14 to under 18 years,Female,,,,,1279.7
2012,Number,14 to under 18 years,Female,,,,,1085.6
2013,Number,14 to under 18 years,Female,,,,,1062.5
2014,Number,14 to under 18 years,Female,,,,,1280.9
2015,Number,14 to under 18 years,Female,,,,,1429.3
2016,Number,14 to under 18 years,Female,,,,,1349.8
2017,Number,14 to under 18 years,Female,,,,,2120.8
2018,Number,14 to under 18 years,Female,,,,,1755.1
2019,Number,14 to under 18 years,Female,,,,,2535.6
2020,Number,14 to under 18 years,Female,,,,,2610.0
2021,Number,14 to under 18 years,Female,,,,,2566.4
2022,Number,14 to under 18 years,Female,,,,,3271.2
2023,Number,14 to under 18 years,Female,,,,,2336.7
2024,Number,14 to under 18 years,Female,,…,,,
2010,Number,14 to under 18 years,Male,,,,,430.5
2011,Number,14 to under 18 years,Male,,,,,589.1
2012,Number,14 to under 18 years,Male,,,,,792.4
2013,Number,14 to under 18 years,Male,,,,,796.3
2014,Number,14 to under 18 years,Male,,,,,890.8
2015,Number,14 to under 18 years,Male,,,,,855.6
2016,Number,14 to under 18 years,Male,,,,,1148.9
2017,Number,14 to under 18 years,Male,,,,,1599.6
2018,Number,14 to under 18 years,Male,,,,,1443.6
2019,Number,14 to under 18 years,Male,,,,,1684.6
2020,Number,14 to under 18 years,Male,,,,,2038.9
2021,Number,14 to under 18 years,Male,,,,,2333.3
2022,Number,14 to under 18 years,Male,,,,,2997.3
2023,Number,14 to under 18 years,Male,,…,,,
2024,Number,14 to under 18 years,Male,,…,,,
2010,Number,18 to under 21 years,Female,,,,,430.5
2011,Number,18 to under 21 years,Female,,,,,589.1
2012,Number,18 to under 21 years,Female,,,,,792.4
2013,Number,18 to under 21 years,Female,,,,,796.3
2014,Number,18 to under 21 years,Female,,,,,890.8
2015,Number,18 to under 21 years,Female,,,,,855.6
2016,Number,18 to under 21 years,Female,,,,,1148.9
2017,Number,18 to under 21 years,Female,,,,,1599.6
2018,Number,18 to under 21 years,Female,,,,,1443.6
2019,Number,18 to under 21 years,Female,,,,,1684.6
2020,Number,18 to under 21 years,Female,,,,,2038.9
2021,Number,18 to under 21 years,Female,,,,,2333.3
2022,Number,18 to under 21 years,Female,,,,,2997.3
2023,Number,18 to under 21 years,Female,,…,,,
2024,Number,18 to under 21 years,Female,,…,,,
2010,Number,18 to under 21 years,Male,,,,,48.6
2011,Number,18 to under 21 years,Male,,,,,46.0
2012,Number,18 to under 21 years,Male,,,,,77.0
2013,Number,18 to under 21 years,Male,,,,,71.9
2014,Number,18 to under 21 years,Male,,,,,61.3
2015,Number,18 to under 21 years,Male,,,,,62.5
2016,Number,18 to under 21 years,Male,,,,,60.1
2017,Number,18 to under 21 years,Male,,,,,69.0
