Year,Units,Time series,COMMENT_OBS_0,COMMENT_OBS_1,COMMENT_OBS_2,Value
2022,"number in 1,000",Persons employed,p,,,0.85
2023,"number in 1,000",Persons employed,p,,,0.88
2024,"number in 1,000",Persons employed,…,,,
2010,2020 = 100,Real GDP per capita,,,,0.1
2011,2020 = 100,Real GDP per capita,,,,0.09
2012,2020 = 100,Real GDP per capita,,,,0.1
2013,2020 = 100,Real GDP per capita,,,,0.09
2014,2020 = 100,Real GDP per capita,,,,0.09
2015,2020 = 100,Real GDP per capita,,,,0.07
2016,2020 = 100,Real GDP per capita,,,,0.1
2017,2020 = 100,Real GDP per capita,,,,0.11
2018,2020 = 100,Real GDP per capita,,,,0.12
2019,2020 = 100,Real GDP per capita,,,,0.11
2020,2020 = 100,Real GDP per capita,,,,0.14
2021,2020 = 100,Real GDP per capita,p,,,0.14
2022,2020 = 100,Real GDP per capita,p,,,0.11
2023,2020 = 100,Real GDP per capita,p,,,0.21
2024,2020 = 100,Real GDP per capita,…,,,
2010,Billion EUR,Trade balance,,,,4.0
2011,Billion EUR,Trade balance,,,,3.0
2012,Billion EUR,Trade balance,‒,,,0.0
2013,Billion EUR,Trade balance,‒,,,0.0
2014,Billion EUR,Trade balance,,,,1.0
2015,Billion EUR,Trade balance,‒,,,0.0
2016,Billion EUR,Trade balance,,,,2.0
2017,Billion EUR,Trade balance,,,,1.0
2018,Billion EUR,Trade balance,,,,3.0
2019,Billion EUR,Trade balance,,,,2.0
2020,Billion EUR,Trade balance,,,,2.0
2021,Billion EUR,Trade balance,‒,,,0.0
2022,Billion EUR,Trade balance,,,,1.0
2023,Billion EUR,Trade balance,‒,,,0.0
2024,Billion EUR,Trade balance,,,,
