Year,Time series,Age of victims,Gender of victims,Value
2014,Physical harassment,60 years and older,,1395.0
2015,Physical harassment,60 years and older,,1269.0
2016,Physical harassment,60 years and older,,1251.0
2017,Physical harassment,60 years and older,,1447.0
2018,Physical harassment,60 years and older,,1643.0
2019,Physical harassment,60 years and older,,1645.0
2020,Physical harassment,60 years and older,,1690.0
2010,Physical harassment,60 years and older,Female,978.0
2011,Physical harassment,60 years and older,Female,880.0
2012,Physical harassment,60 years and older,Female,905.0
2013,Physical harassment,60 years and older,Female,902.0
2014,Physical harassment,60 years and older,Female,884.0
2015,Physical harassment,60 years and older,Female,823.0
2016,Physical harassment,60 years and older,Female,788.0
2017,Physical harassment,60 years and older,Female,1038.0
2018,Physical harassment,60 years and older,Female,1156.0
2019,Physical harassment,60 years and older,Female,1190.0
2020,Physical harassment,60 years and older,Female,1208.0
2010,Physical harassment,60 years and older,Male,674.0
2011,Physical harassment,60 years and older,Male,615.0
2012,Physical harassment,60 years and older,Male,590.0
2013,Physical harassment,60 years and older,Male,538.0
2014,Physical harassment,60 years and older,Male,511.0
2015,Physical harassment,60 years and older,Male,446.0
2016,Physical harassment,60 years and older,Male,463.0
2017,Physical harassment,60 years and older,Male,409.0
2018,Physical harassment,60 years and older,Male,487.0
2019,Physical harassment,60 years and older,Male,455.0
2020,Physical harassment,60 years and older,Male,482.0
2010,Sexual harassment,,,
2011,Sexual harassment,,,
2012,Sexual harassment,,,
2013,Sexual harassment,,,
2014,Sexual harassment,,,
2015,Sexual harassment,,,
2016,Sexual harassment,,,
2017,Sexual harassment,,,8395.0
2018,Sexual harassment,,,8872.0
2019,Sexual harassment,,,8069.0
2020,Sexual harassment,,,9333.0
2010,Sexual harassment,,Female,
2011,Sexual harassment,,Female,
2012,Sexual harassment,,Female,
2013,Sexual harassment,,Female,
2014,Sexual harassment,,Female,
2015,Sexual harassment,,Female,
2016,Sexual harassment,,Female,
2017,Sexual harassment,,Female,7314.0
2018,Sexual harassment,,Female,7680.0
2019,Sexual harassment,,Female,6875.0
2020,Sexual harassment,,Female,7980.0
2010,Sexual harassment,,Male,
2011,Sexual harassment,,Male,
2012,Sexual harassment,,Male,
2013,Sexual harassment,,Male,
2014,Sexual harassment,,Male,
2015,Sexual harassment,,Male,
2016,Sexual harassment,,Male,
2017,Sexual harassment,,Male,1081.0
2018,Sexual harassment,,Male,1192.0
2019,Sexual harassment,,Male,1194.0
2020,Sexual harassment,,Male,1353.0
2010,Sexual harassment,13 years and younger,,
2011,Sexual harassment,13 years and younger,,
2012,Sexual harassment,13 years and younger,,
2013,Sexual harassment,13 years and younger,,
2014,Sexual harassment,13 years and younger,,
2015,Sexual harassment,13 years and younger,,
2016,Sexual harassment,13 years and younger,,
2017,Sexual harassment,13 years and younger,,3.0
2018,Sexual harassment,13 years and younger,,4.0
2019,Sexual harassment,13 years and younger,,5.0
2020,Sexual harassment,13 years and younger,,2.0
2010,Sexual harassment,13 years and younger,Female,
2011,Sexual harassment,13 years and younger,Female,
2012,Sexual harassment,13 years and younger,Female,
2013,Sexual harassment,13 years and younger,Female,
2014,Sexual harassment,13 years and younger,Female,
2015,Sexual harassment,13 years and younger,Female,
2016,Sexual harassment,13 years and younger,Female,
2017,Sexual harassment,13 years and younger,Female,2.0
2018,Sexual harassment,13 years and younger,Female,3.0
2019,Sexual harassment,13 years and younger,Female,5.0
2020,Sexual harassment,13 years and younger,Female,1.0
2010,Sexual harassment,13 years and younger,Male,
2011,Sexual harassment,13 years and younger,Male,
2012,Sexual harassment,13 years and younger,Male,
2013,Sexual harassment,13 years and younger,Male,
2014,Sexual harassment,13 years and younger,Male,
2015,Sexual harassment,13 years and younger,Male,
2016,Sexual harassment,13 years and younger,Male,
2017,Sexual harassment,13 years and younger,Male,1.0
2018,Sexual harassment,13 years and younger,Male,1.0
2019,Sexual harassment,13 years and younger,Male,0.0
2020,Sexual harassment,13 years and younger,Male,1.0
2010,Sexual harassment,14 to under 18 years,,
2011,Sexual harassment,14 to under 18 years,,
2012,Sexual harassment,14 to under 18 years,,
2013,Sexual harassment,14 to under 18 years,,
2014,Sexual harassment,14 to under 18 years,,
2015,Sexual harassment,14 to under 18 years,,
2016,Sexual harassment,14 to under 18 years,,
2017,Sexual harassment,14 to under 18 years,,1118.0
2018,Sexual harassment,14 to under 18 years,,1133.0
2019,Sexual harassment,14 to under 18 years,,941.0
2020,Sexual harassment,14 to under 18 years,,1072.0
2010,Sexual harassment,14 to under 18 years,Female,
2011,Sexual harassment,14 to under 18 years,Female,
2012,Sexual harassment,14 to under 18 years,Female,
2013,Sexual harassment,14 to under 18 years,Female,
2014,Sexual harassment,14 to under 18 years,Female,
2015,Sexual harassment,14 to under 18 years,Female,
2016,Sexual harassment,14 to under 18 years,Female,
2017,Sexual harassment,14 to under 18 years,Female,969.0
2018,Sexual harassment,14 to under 18 years,Female,981.0
2019,Sexual harassment,14 to under 18 years,Female,811.0
2020,Sexual harassment,14 to under 18 years,Female,933.0
2010,Sexual harassment,14 to under 18 years,Male,
2011,Sexual harassment,14 to under 18 years,Male,
2012,Sexual harassment,14 to under 18 years,Male,
2013,Sexual harassment,14 to under 18 years,Male,
2014,Sexual harassment,14 to under 18 years,Male,
2015,Sexual harassment,14 to under 18 years,Male,
2016,Sexual harassment,14 to under 18 years,Male,
2017,Sexual harassment,14 to under 18 years,Male,149.0
2018,Sexual harassment,14 to under 18 years,Male,152.0
2019,Sexual harassment,14 to under 18 years,Male,120.0
2020,Sexual harassment,14 to under 18 years,Male,139.0
2010,Sexual harassment,18 to under 21 years,,
2011,Sexual harassment,18 to under 21 years,,
2012,Sexual harassment,18 to under 21 years,,
2013,Sexual harassment,18 to under 21 years,,
2014,Sexual harassment,18 to under 21 years,,
2015,Sexual harassment,18 to under 21 years,,
2016,Sexual harassment,18 to under 21 years,,
2017,Sexual harassment,18 to under 21 years,,942.0
2018,Sexual harassment,18 to under 21 years,,885.0
2019,Sexual harassment,18 to under 21 years,,729.0
2020,Sexual harassment,18 to under 21 years,,974.0
2010,Sexual harassment,18 to under 21 years,Female,
2011,Sexual harassment,18 to under 21 years,Female,
2012,Sexual harassment,18 to under 21 years,Female,
2013,Sexual harassment,18 to under 21 years,Female,
2014,Sexual harassment,18 to under 21 years,Female,
2015,Sexual harassment,18 to under 21 years,Female,
2016,Sexual harassment,18 to under 21 years,Female,
2017,Sexual harassment,18 to under 21 years,Female,868.0
2018,Sexual harassment,18 to under 21 years,Female,788.0
2019,Sexual harassment,18 to under 21 years,Female,640.0
2020,Sexual harassment,18 to under 21 years,Female,881.0
2010,Sexual harassment,18 to under 21 years,Male,
2011,Sexual harassment,18 to under 21 years,Male,
2012,Sexual harassment,18 to under 21 years,Male,
2013,Sexual harassment,18 to under 21 years,Male,
2014,Sexual harassment,18 to under 21 years,Male,
2015,Sexual harassment,18 to under 21 years,Male,
2016,Sexual harassment,18 to under 21 years,Male,
2017,Sexual harassment,18 to under 21 years,Male,74.0
2018,Sexual harassment,18 to under 21 years,Male,97.0
2019,Sexual harassment,18 to under 21 years,Male,85.0
2020,Sexual harassment,18 to under 21 years,Male,93.0
2010,Sexual harassment,21 to under 60 years,,
2011,Sexual harassment,21 to under 60 years,,
2012,Sexual harassment,21 to under 60 years,,
2013,Sexual harassment,21 to under 60 years,,
2014,Sexual harassment,21 to under 60 years,,
2015,Sexual harassment,21 to under 60 years,,
2016,Sexual harassment,21 to under 60 years,,
2017,Sexual harassment,21 to under 60 years,,5581.0
2018,Sexual harassment,21 to under 60 years,,6041.0
2019,Sexual harassment,21 to under 60 years,,5656.0
2020,Sexual harassment,21 to under 60 years,,6488.0
2010,Sexual harassment,21 to under 60 years,Female,
2011,Sexual harassment,21 to under 60 years,Female,
2012,Sexual harassment,21 to under 60 years,Female,
2013,Sexual harassment,21 to under 60 years,Female,
2014,Sexual harassment,21 to under 60 years,Female,
2015,Sexual harassment,21 to under 60 years,Female,
2016,Sexual harassment,21 to under 60 years,Female,
2017,Sexual harassment,21 to under 60 years,Female,4816.0
2018,Sexual harassment,21 to under 60 years,Female,5219.0
2019,Sexual harassment,21 to under 60 years,Female,4743.0
2020,Sexual harassment,21 to under 60 years,Female,5489.0
2010,Sexual harassment,21 to under 60 years,Male,
2011,Sexual harassment,21 to under 60 years,Male,
2012,Sexual harassment,21 to under 60 years,Male,
2013,Sexual harassment,21 to under 60 years,Male,
2014,Sexual harassment,21 to under 60 years,Male,
2015,Sexual harassment,21 to under 60 years,Male,
2016,Sexual harassment,21 to under 60 years,Male,
2017,Sexual harassment,21 to under 60 years,Male,765.0
2018,Sexual harassment,21 to under 60 years,Male,822.0
2019,Sexual harassment,21 to under 60 years,Male,910.0
2020,Sexual harassment,21 to under 60 years,Male,999.0
2010,Sexual harassment,60 years and older,,
2011,Sexual harassment,60 years and older,,
2012,Sexual harassment,60 years and older,,
2013,Sexual harassment,60 years and older,,
2014,Sexual harassment,60 years and older,,
2015,Sexual harassment,60 years and older,,
2016,Sexual harassment,60 years and older,,
2017,Sexual harassment,60 years and older,,751.0
2018,Sexual harassment,60 years and older,,809.0
2019,Sexual harassment,60 years and older,,738.0
2020,Sexual harassment,60 years and older,,797.0
2010,Sexual harassment,60 years and older,Female,
2011,Sexual harassment,60 years and older,Female,
2012,Sexual harassment,60 years and older,Female,
2013,Sexual harassment,60 years and older,Female,
2014,Sexual harassment,60 years and older,Female,
2015,Sexual harassment,60 years and older,Female,
2016,Sexual harassment,60 years and older,Female,
2017,Sexual harassment,60 years and older,Female,659.0
2018,Sexual harassment,60 years and older,Female,689.0
2019,Sexual harassment,60 years and older,Female,662.0
2020,Sexual harassment,60 years and older,Female,676.0
2010,Sexual harassment,60 years and older,Male,
2011,Sexual harassment,60 years and older,Male,
2012,Sexual harassment,60 years and older,Male,
2013,Sexual harassment,60 years and older,Male,
2014,Sexual harassment,60 years and older,Male,
2015,Sexual harassment,60 years and older,Male,
2016,Sexual harassment,60 years and older,Male,
2017,Sexual harassment,60 years and older,Male,92.0
2018,Sexual harassment,60 years and older,Male,120.0
2019,Sexual harassment,60 years and older,Male,76.0
2020,Sexual harassment,60 years and older,Male,121.0
