Year,Units,Type of receiver/provider,COMMENT_OBS_0,COMMENT_OBS_1,COMMENT_OBS_2,Series,Value
2015,Cumulative number,Commercial company,‒,,,SMTA received by Germany,0
2016,Cumulative number,Commercial company,,,,SMTA received by Germany,5
2017,Cumulative number,Commercial company,,,,SMTA received by Germany,6
2018,Cumulative number,Commercial company,,,,SMTA received by Germany,19
2019,Cumulative number,Commercial company,,,,SMTA received by Germany,30
2020,Cumulative number,Commercial company,,,,SMTA received by Germany,38
2021,Cumulative number,Commercial company,,,,SMTA received by Germany,38
2022,Cumulative number,Commercial company,,,,SMTA received by Germany,38
2023,Cumulative number,Commercial company,,,,SMTA received by Germany,38
2024,Cumulative number,Commercial company,,,,SMTA received by Germany,41
2025,Cumulative number,Commercial company,,,,SMTA received by Germany,44
2026,Cumulative number,Commercial company,p,,,SMTA received by Germany,44
2010,Cumulative number,Gene bank,‒,,,SMTA received by Germany,0
2011,Cumulative number,Gene bank,‒,,,SMTA received by Germany,0
2012,Cumulative number,Gene bank,‒,,,SMTA received by Germany,0
2013,Cumulative number,Gene bank,‒,,,SMTA received by Germany,0
2014,Cumulative number,Gene bank,‒,,,SMTA received by Germany,0
2015,Cumulative number,Gene bank,‒,,,SMTA received by Germany,0
2016,Cumulative number,Gene bank,‒,,,SMTA received by Germany,0
2017,Cumulative number,Gene bank,‒,,,SMTA received by Germany,0
2018,Cumulative number,Gene bank,‒,,,SMTA received by Germany,0
2019,Cumulative number,Gene bank,,,,SMTA received by Germany,1
2020,Cumulative number,Gene bank,,,,SMTA received by Germany,3
2021,Cumulative number,Gene bank,,,,SMTA received by Germany,4
2022,Cumulative number,Gene bank,,,,SMTA received by Germany,4
2023,Cumulative number,Gene bank,,,,SMTA received by Germany,5
2024,Cumulative number,Gene bank,,,,SMTA received by Germany,7
2025,Cumulative number,Gene bank,,,,SMTA received by Germany,10
2026,Cumulative number,Gene bank,p,,,SMTA received by Germany,10
2010,Cumulative number,National agricultural research centre,‒,,,SMTA received by Germany,0
2011,Cumulative number,National agricultural research centre,‒,,,SMTA received by Germany,0
2012,Cumulative number,National agricultural research centre,‒,,,SMTA received by Germany,0
2013,Cumulative number,National agricultural research centre,‒,,,SMTA received by Germany,0
2014,Cumulative number,National agricultural research centre,,,,SMTA received by Germany,1
2015,Cumulative number,National agricultural research centre,,,,SMTA received by Germany,1
2016,Cumulative number,National agricultural research centre,,,,SMTA received by Germany,1
2017,Cumulative number,National agricultural research centre,,,,SMTA received by Germany,1
2018,Cumulative number,National agricultural research centre,,,,SMTA received by Germany,1
2019,Cumulative number,National agricultural research centre,,,,SMTA received by Germany,1
2020,Cumulative number,National agricultural research centre,,,,SMTA received by Germany,2
2021,Cumulative number,National agricultural research centre,,,,SMTA received by Germany,2
2022,Cumulative number,National agricultural research centre,,,,SMTA received by Germany,2
2023,Cumulative number,National agricultural research centre,,,,SMTA received by Germany,4
2024,Cumulative number,National agricultural research centre,,,,SMTA received by Germany,4
2025,Cumulative number,National agricultural research centre,,,,SMTA received by Germany,5
2026,Cumulative number,National agricultural research centre,p,,,SMTA received by Germany,5
2010,Cumulative number,Non-governmental organization,‒,,,SMTA received by Germany,0
2011,Cumulative number,Non-governmental organization,‒,,,SMTA received by Germany,0
2012,Cumulative number,Non-governmental organization,‒,,,SMTA received by Germany,0
2013,Cumulative number,Non-governmental organization,‒,,,SMTA received by Germany,0
2014,Cumulative number,Non-governmental organization,‒,,,SMTA received by Germany,0
2015,Cumulative number,Non-governmental organization,‒,,,SMTA received by Germany,0
2016,Cumulative number,Non-governmental organization,‒,,,SMTA received by Germany,0
2017,Cumulative number,Non-governmental organization,‒,,,SMTA received by Germany,0
2018,Cumulative number,Non-governmental organization,‒,,,SMTA received by Germany,0
2019,Cumulative number,Non-governmental organization,‒,,,SMTA received by Germany,0
2020,Cumulative number,Non-governmental organization,,,,SMTA received by Germany,1
2021,Cumulative number,Non-governmental organization,,,,SMTA received by Germany,1
2022,Cumulative number,Non-governmental organization,,,,SMTA received by Germany,1
2023,Cumulative number,Non-governmental organization,,,,SMTA received by Germany,1
2024,Cumulative number,Non-governmental organization,,,,SMTA received by Germany,1
2025,Cumulative number,Non-governmental organization,,,,SMTA received by Germany,6
2026,Cumulative number,Non-governmental organization,p,,,SMTA received by Germany,6
2010,Cumulative number,Other,‒,,,SMTA received by Germany,0
2011,Cumulative number,Other,‒,,,SMTA received by Germany,0
2012,Cumulative number,Other,‒,,,SMTA received by Germany,0
2013,Cumulative number,Other,‒,,,SMTA received by Germany,0
2014,Cumulative number,Other,‒,,,SMTA received by Germany,0
2015,Cumulative number,Other,‒,,,SMTA received by Germany,0
2016,Cumulative number,Other,,,,SMTA received by Germany,2
2017,Cumulative number,Other,,,,SMTA received by Germany,3
2018,Cumulative number,Other,,,,SMTA received by Germany,3
2019,Cumulative number,Other,,,,SMTA received by Germany,3
2020,Cumulative number,Other,,,,SMTA received by Germany,4
2021,Cumulative number,Other,,,,SMTA received by Germany,4
2022,Cumulative number,Other,,,,SMTA received by Germany,4
2023,Cumulative number,Other,,,,SMTA received by Germany,4
2024,Cumulative number,Other,,,,SMTA received by Germany,5
2025,Cumulative number,Other,,,,SMTA received by Germany,5
2026,Cumulative number,Other,p,,,SMTA received by Germany,5
2010,Cumulative number,University,‒,,,SMTA received by Germany,0
2011,Cumulative number,University,‒,,,SMTA received by Germany,0
2012,Cumulative number,University,‒,,,SMTA received by Germany,0
2013,Cumulative number,University,‒,,,SMTA received by Germany,0
2014,Cumulative number,University,,,,SMTA received by Germany,1
2015,Cumulative number,University,,,,SMTA received by Germany,3
2016,Cumulative number,University,,,,SMTA received by Germany,5
2017,Cumulative number,University,,,,SMTA received by Germany,8
2018,Cumulative number,University,,,,SMTA received by Germany,8
2019,Cumulative number,University,,,,SMTA received by Germany,8
2020,Cumulative number,University,,,,SMTA received by Germany,8
2021,Cumulative number,University,,,,SMTA received by Germany,9
2022,Cumulative number,University,,,,SMTA received by Germany,9
2023,Cumulative number,University,,,,SMTA received by Germany,11
2024,Cumulative number,University,,,,SMTA received by Germany,13
2025,Cumulative number,University,,,,SMTA received by Germany,13
2026,Cumulative number,University,p,,,SMTA received by Germany,13
2010,Cumulative number,Individual,,,,SMTA received by Germany,84
2011,Cumulative number,Individual,,,,SMTA received by Germany,382
2012,Cumulative number,Individual,,,,SMTA received by Germany,1299
2013,Cumulative number,Individual,,,,SMTA received by Germany,2107
2014,Cumulative number,Individual,,,,SMTA received by Germany,2843
2015,Cumulative number,Individual,,,,SMTA received by Germany,3604
2016,Cumulative number,Individual,,,,SMTA received by Germany,4214
2017,Cumulative number,Individual,,,,SMTA received by Germany,4328
2018,Cumulative number,Individual,,,,SMTA received by Germany,4441
2019,Cumulative number,Individual,,,,SMTA received by Germany,4575
2020,Cumulative number,Individual,,,,SMTA received by Germany,4678
2021,Cumulative number,Individual,,,,SMTA received by Germany,4800
2022,Cumulative number,Individual,,,,SMTA received by Germany,4877
2023,Cumulative number,Individual,,,,SMTA received by Germany,4918
2024,Cumulative number,Individual,,,,SMTA received by Germany,4932
2025,Cumulative number,Individual,,,,SMTA received by Germany,4935
2026,Cumulative number,Individual,p,,,SMTA received by Germany,4935
2010,Cumulative number,INCREASE project,‒,,,SMTA received by Germany,0
2011,Cumulative number,INCREASE project,‒,,,SMTA received by Germany,0
2012,Cumulative number,INCREASE project,‒,,,SMTA received by Germany,0
2013,Cumulative number,INCREASE project,‒,,,SMTA received by Germany,0
2014,Cumulative number,INCREASE project,‒,,,SMTA received by Germany,0
2015,Cumulative number,INCREASE project,‒,,,SMTA received by Germany,0
2016,Cumulative number,INCREASE project,‒,,,SMTA received by Germany,0
2017,Cumulative number,INCREASE project,‒,,,SMTA received by Germany,0
2018,Cumulative number,INCREASE project,‒,,,SMTA received by Germany,0
2019,Cumulative number,INCREASE project,‒,,,SMTA received by Germany,0
2020,Cumulative number,INCREASE project,‒,,,SMTA received by Germany,0
2021,Cumulative number,INCREASE project,,,,SMTA received by Germany,226
2022,Cumulative number,INCREASE project,,,,SMTA received by Germany,706
2023,Cumulative number,INCREASE project,,,,SMTA received by Germany,2396
2024,Cumulative number,INCREASE project,,,,SMTA received by Germany,4291
2025,Cumulative number,INCREASE project,,,,SMTA received by Germany,5655
2026,Cumulative number,INCREASE project,p,,,SMTA received by Germany,5758
2010,Cumulative number,Unknown,,,,SMTA received by Germany,1411
2011,Cumulative number,Unknown,,,,SMTA received by Germany,2305
2012,Cumulative number,Unknown,,,,SMTA received by Germany,2617
2013,Cumulative number,Unknown,,,,SMTA received by Germany,2927
2014,Cumulative number,Unknown,,,,SMTA received by Germany,3244
2015,Cumulative number,Unknown,,,,SMTA received by Germany,3703
2016,Cumulative number,Unknown,,,,SMTA received by Germany,4140
2017,Cumulative number,Unknown,,,,SMTA received by Germany,4408
2018,Cumulative number,Unknown,,,,SMTA received by Germany,4681
2019,Cumulative number,Unknown,,,,SMTA received by Germany,4900
2020,Cumulative number,Unknown,,,,SMTA received by Germany,5169
2021,Cumulative number,Unknown,,,,SMTA received by Germany,5480
2022,Cumulative number,Unknown,,,,SMTA received by Germany,5757
2023,Cumulative number,Unknown,,,,SMTA received by Germany,5884
2024,Cumulative number,Unknown,,,,SMTA received by Germany,5901
2025,Cumulative number,Unknown,,,,SMTA received by Germany,5901
2026,Cumulative number,Unknown,p,,,SMTA received by Germany,5901
2010,Cumulative number,,,,,SMTA sent by Germany,2132
2011,Cumulative number,,,,,SMTA sent by Germany,3566
2012,Cumulative number,,,,,SMTA sent by Germany,5022
2013,Cumulative number,,,,,SMTA sent by Germany,6314
2014,Cumulative number,,,,,SMTA sent by Germany,7675
2015,Cumulative number,,,,,SMTA sent by Germany,9241
2016,Cumulative number,,,,,SMTA sent by Germany,10567
2017,Cumulative number,,,,,SMTA sent by Germany,11135
2018,Cumulative number,,,,,SMTA sent by Germany,11709
2019,Cumulative number,,,,,SMTA sent by Germany,12296
2020,Cumulative number,,,,,SMTA sent by Germany,12812
2021,Cumulative number,,,,,SMTA sent by Germany,13415
2022,Cumulative number,,,,,SMTA sent by Germany,13908
2023,Cumulative number,,,,,SMTA sent by Germany,14176
2024,Cumulative number,,,,,SMTA sent by Germany,14332
2025,Cumulative number,,,,,SMTA sent by Germany,14490
2026,Cumulative number,,p,,,SMTA sent by Germany,14610
2010,Cumulative number,Commercial company,‒,,,SMTA sent by Germany,0
2011,Cumulative number,Commercial company,‒,,,SMTA sent by Germany,0
2012,Cumulative number,Commercial company,‒,,,SMTA sent by Germany,0
2013,Cumulative number,Commercial company,‒,,,SMTA sent by Germany,0
2014,Cumulative number,Commercial company,‒,,,SMTA sent by Germany,0
2015,Cumulative number,Commercial company,‒,,,SMTA sent by Germany,0
2016,Cumulative number,Commercial company,‒,,,SMTA sent by Germany,0
2017,Cumulative number,Commercial company,‒,,,SMTA sent by Germany,0
2018,Cumulative number,Commercial company,‒,,,SMTA sent by Germany,0
2019,Cumulative number,Commercial company,‒,,,SMTA sent by Germany,0
2020,Cumulative number,Commercial company,‒,,,SMTA sent by Germany,0
2021,Cumulative number,Commercial company,‒,,,SMTA sent by Germany,0
2022,Cumulative number,Commercial company,‒,,,SMTA sent by Germany,0
2023,Cumulative number,Commercial company,‒,,,SMTA sent by Germany,0
2024,Cumulative number,Commercial company,‒,,,SMTA sent by Germany,0
2025,Cumulative number,Commercial company,,,,SMTA sent by Germany,1
2026,Cumulative number,Commercial company,p,,,SMTA sent by Germany,4
2010,Cumulative number,Gene bank,,,,SMTA sent by Germany,2132
2011,Cumulative number,Gene bank,,,,SMTA sent by Germany,3566
2012,Cumulative number,Gene bank,,,,SMTA sent by Germany,5022
2013,Cumulative number,Gene bank,,,,SMTA sent by Germany,6314
2014,Cumulative number,Gene bank,,,,SMTA sent by Germany,7675
2015,Cumulative number,Gene bank,,,,SMTA sent by Germany,9241
2016,Cumulative number,Gene bank,,,,SMTA sent by Germany,10560
2017,Cumulative number,Gene bank,,,,SMTA sent by Germany,11126
2018,Cumulative number,Gene bank,,,,SMTA sent by Germany,11685
2019,Cumulative number,Gene bank,,,,SMTA sent by Germany,12256
2020,Cumulative number,Gene bank,,,,SMTA sent by Germany,12761
2021,Cumulative number,Gene bank,,,,SMTA sent by Germany,13364
2022,Cumulative number,Gene bank,,,,SMTA sent by Germany,13850
2023,Cumulative number,Gene bank,,,,SMTA sent by Germany,14100
2024,Cumulative number,Gene bank,,,,SMTA sent by Germany,14100
2025,Cumulative number,Gene bank,,,,SMTA sent by Germany,14100
2026,Cumulative number,Gene bank,p,,,SMTA sent by Germany,14100
2010,Cumulative number,National agricultural research centre,‒,,,SMTA sent by Germany,0
2011,Cumulative number,National agricultural research centre,‒,,,SMTA sent by Germany,0
2012,Cumulative number,National agricultural research centre,‒,,,SMTA sent by Germany,0
2013,Cumulative number,National agricultural research centre,‒,,,SMTA sent by Germany,0
2014,Cumulative number,National agricultural research centre,‒,,,SMTA sent by Germany,0
2015,Cumulative number,National agricultural research centre,‒,,,SMTA sent by Germany,0
2016,Cumulative number,National agricultural research centre,,,,SMTA sent by Germany,3
2017,Cumulative number,National agricultural research centre,,,,SMTA sent by Germany,3
2018,Cumulative number,National agricultural research centre,,,,SMTA sent by Germany,18
2019,Cumulative number,National agricultural research centre,,,,SMTA sent by Germany,34
2020,Cumulative number,National agricultural research centre,,,,SMTA sent by Germany,44
2021,Cumulative number,National agricultural research centre,,,,SMTA sent by Germany,44
2022,Cumulative number,National agricultural research centre,,,,SMTA sent by Germany,44
2023,Cumulative number,National agricultural research centre,,,,SMTA sent by Germany,44
2024,Cumulative number,National agricultural research centre,,,,SMTA sent by Germany,44
2025,Cumulative number,National agricultural research centre,,,,SMTA sent by Germany,44
2026,Cumulative number,National agricultural research centre,p,,,SMTA sent by Germany,44
2010,Cumulative number,Other,‒,,,SMTA sent by Germany,0
2011,Cumulative number,Other,‒,,,SMTA sent by Germany,0
2012,Cumulative number,Other,‒,,,SMTA sent by Germany,0
2013,Cumulative number,Other,‒,,,SMTA sent by Germany,0
2014,Cumulative number,Other,‒,,,SMTA sent by Germany,0
2015,Cumulative number,Other,‒,,,SMTA sent by Germany,0
2016,Cumulative number,Other,,,,SMTA sent by Germany,4
2017,Cumulative number,Other,,,,SMTA sent by Germany,6
2018,Cumulative number,Other,,,,SMTA sent by Germany,6
2019,Cumulative number,Other,,,,SMTA sent by Germany,6
2020,Cumulative number,Other,,,,SMTA sent by Germany,6
2021,Cumulative number,Other,,,,SMTA sent by Germany,6
2022,Cumulative number,Other,,,,SMTA sent by Germany,6
2023,Cumulative number,Other,,,,SMTA sent by Germany,6
2024,Cumulative number,Other,,,,SMTA sent by Germany,6
2025,Cumulative number,Other,,,,SMTA sent by Germany,6
2026,Cumulative number,Other,p,,,SMTA sent by Germany,6
2010,Cumulative number,Regional organization,‒,,,SMTA sent by Germany,0
2011,Cumulative number,Regional organization,‒,,,SMTA sent by Germany,0
2012,Cumulative number,Regional organization,‒,,,SMTA sent by Germany,0
2013,Cumulative number,Regional organization,‒,,,SMTA sent by Germany,0
2014,Cumulative number,Regional organization,‒,,,SMTA sent by Germany,0
2015,Cumulative number,Regional organization,‒,,,SMTA sent by Germany,0
2016,Cumulative number,Regional organization,‒,,,SMTA sent by Germany,0
2017,Cumulative number,Regional organization,‒,,,SMTA sent by Germany,0
2018,Cumulative number,Regional organization,‒,,,SMTA sent by Germany,0
2019,Cumulative number,Regional organization,‒,,,SMTA sent by Germany,0
2020,Cumulative number,Regional organization,,,,SMTA sent by Germany,1
2021,Cumulative number,Regional organization,,,,SMTA sent by Germany,1
2022,Cumulative number,Regional organization,,,,SMTA sent by Germany,1
2023,Cumulative number,Regional organization,,,,SMTA sent by Germany,1
2024,Cumulative number,Regional organization,,,,SMTA sent by Germany,1
2025,Cumulative number,Regional organization,,,,SMTA sent by Germany,1
2026,Cumulative number,Regional organization,p,,,SMTA sent by Germany,1
