Year,Series,Time series,Typification,Sex,Value
2011,Wohnverhältnisse,Rate of overburdening by housing costs,Cities,,18.0
2012,Wohnverhältnisse,Rate of overburdening by housing costs,Cities,,19.8
2013,Wohnverhältnisse,Rate of overburdening by housing costs,Cities,,18.9
2014,Wohnverhältnisse,Rate of overburdening by housing costs,Cities,,19.3
2015,Wohnverhältnisse,Rate of overburdening by housing costs,Cities,,19.1
2016,Wohnverhältnisse,Rate of overburdening by housing costs,Cities,,19.6
2017,Wohnverhältnisse,Rate of overburdening by housing costs,Cities,,17.9
2018,Wohnverhältnisse,Rate of overburdening by housing costs,Cities,,17.6
2019,Wohnverhältnisse,Rate of overburdening by housing costs,Cities,,16.2
2010,Wohnverhältnisse,Rate of overburdening by housing costs,Smaller towns and suburbs,,13.0
2011,Wohnverhältnisse,Rate of overburdening by housing costs,Smaller towns and suburbs,,14.5
2012,Wohnverhältnisse,Rate of overburdening by housing costs,Smaller towns and suburbs,,15.5
2013,Wohnverhältnisse,Rate of overburdening by housing costs,Smaller towns and suburbs,,16.1
2014,Wohnverhältnisse,Rate of overburdening by housing costs,Smaller towns and suburbs,,14.9
2015,Wohnverhältnisse,Rate of overburdening by housing costs,Smaller towns and suburbs,,14.5
2016,Wohnverhältnisse,Rate of overburdening by housing costs,Smaller towns and suburbs,,14.5
2017,Wohnverhältnisse,Rate of overburdening by housing costs,Smaller towns and suburbs,,13.4
2018,Wohnverhältnisse,Rate of overburdening by housing costs,Smaller towns and suburbs,,13.3
2019,Wohnverhältnisse,Rate of overburdening by housing costs,Smaller towns and suburbs,,12.7
2010,Wohnverhältnisse,Rate of overburdening by housing costs,Rural areas,,12.3
2011,Wohnverhältnisse,Rate of overburdening by housing costs,Rural areas,,13.6
2012,Wohnverhältnisse,Rate of overburdening by housing costs,Rural areas,,13.9
2013,Wohnverhältnisse,Rate of overburdening by housing costs,Rural areas,,13.3
2014,Wohnverhältnisse,Rate of overburdening by housing costs,Rural areas,,12.7
2015,Wohnverhältnisse,Rate of overburdening by housing costs,Rural areas,,12.0
2016,Wohnverhältnisse,Rate of overburdening by housing costs,Rural areas,,12.2
2017,Wohnverhältnisse,Rate of overburdening by housing costs,Rural areas,,11.0
2018,Wohnverhältnisse,Rate of overburdening by housing costs,Rural areas,,10.4
2019,Wohnverhältnisse,Rate of overburdening by housing costs,Rural areas,,12.4
2010,Deprivation der Unterkunft,"Population living in a dwelling with a leaky roof, moisture in the walls, floors, foundation, or rot in the window frames or floor",,,13.3
2011,Deprivation der Unterkunft,"Population living in a dwelling with a leaky roof, moisture in the walls, floors, foundation, or rot in the window frames or floor",,,13.7
2012,Deprivation der Unterkunft,"Population living in a dwelling with a leaky roof, moisture in the walls, floors, foundation, or rot in the window frames or floor",,,13.5
2013,Deprivation der Unterkunft,"Population living in a dwelling with a leaky roof, moisture in the walls, floors, foundation, or rot in the window frames or floor",,,13.1
2014,Deprivation der Unterkunft,"Population living in a dwelling with a leaky roof, moisture in the walls, floors, foundation, or rot in the window frames or floor",,,12.3
2015,Deprivation der Unterkunft,"Population living in a dwelling with a leaky roof, moisture in the walls, floors, foundation, or rot in the window frames or floor",,,12.8
2016,Deprivation der Unterkunft,"Population living in a dwelling with a leaky roof, moisture in the walls, floors, foundation, or rot in the window frames or floor",,,13.1
2017,Deprivation der Unterkunft,"Population living in a dwelling with a leaky roof, moisture in the walls, floors, foundation, or rot in the window frames or floor",,,12.5
2018,Deprivation der Unterkunft,"Population living in a dwelling with a leaky roof, moisture in the walls, floors, foundation, or rot in the window frames or floor",,,13.4
2019,Deprivation der Unterkunft,"Population living in a dwelling with a leaky roof, moisture in the walls, floors, foundation, or rot in the window frames or floor",,,12.0
2010,Deprivation der Unterkunft,"Population living in a dwelling with a leaky roof, moisture in the walls, floors, foundation, or rot in the window frames or floor",,Female,13.7
2011,Deprivation der Unterkunft,"Population living in a dwelling with a leaky roof, moisture in the walls, floors, foundation, or rot in the window frames or floor",,Female,14.1
2012,Deprivation der Unterkunft,"Population living in a dwelling with a leaky roof, moisture in the walls, floors, foundation, or rot in the window frames or floor",,Female,13.7
2013,Deprivation der Unterkunft,"Population living in a dwelling with a leaky roof, moisture in the walls, floors, foundation, or rot in the window frames or floor",,Female,13.1
2014,Deprivation der Unterkunft,"Population living in a dwelling with a leaky roof, moisture in the walls, floors, foundation, or rot in the window frames or floor",,Female,12.6
2015,Deprivation der Unterkunft,"Population living in a dwelling with a leaky roof, moisture in the walls, floors, foundation, or rot in the window frames or floor",,Female,13.1
2016,Deprivation der Unterkunft,"Population living in a dwelling with a leaky roof, moisture in the walls, floors, foundation, or rot in the window frames or floor",,Female,13.5
2017,Deprivation der Unterkunft,"Population living in a dwelling with a leaky roof, moisture in the walls, floors, foundation, or rot in the window frames or floor",,Female,12.7
2018,Deprivation der Unterkunft,"Population living in a dwelling with a leaky roof, moisture in the walls, floors, foundation, or rot in the window frames or floor",,Female,13.7
2019,Deprivation der Unterkunft,"Population living in a dwelling with a leaky roof, moisture in the walls, floors, foundation, or rot in the window frames or floor",,Female,12.3
2010,Deprivation der Unterkunft,"Population living in a dwelling with a leaky roof, moisture in the walls, floors, foundation, or rot in the window frames or floor",,Male,13.0
2011,Deprivation der Unterkunft,"Population living in a dwelling with a leaky roof, moisture in the walls, floors, foundation, or rot in the window frames or floor",,Male,13.4
2012,Deprivation der Unterkunft,"Population living in a dwelling with a leaky roof, moisture in the walls, floors, foundation, or rot in the window frames or floor",,Male,13.2
2013,Deprivation der Unterkunft,"Population living in a dwelling with a leaky roof, moisture in the walls, floors, foundation, or rot in the window frames or floor",,Male,13.1
2014,Deprivation der Unterkunft,"Population living in a dwelling with a leaky roof, moisture in the walls, floors, foundation, or rot in the window frames or floor",,Male,12.1
2015,Deprivation der Unterkunft,"Population living in a dwelling with a leaky roof, moisture in the walls, floors, foundation, or rot in the window frames or floor",,Male,12.4
2016,Deprivation der Unterkunft,"Population living in a dwelling with a leaky roof, moisture in the walls, floors, foundation, or rot in the window frames or floor",,Male,12.7
2017,Deprivation der Unterkunft,"Population living in a dwelling with a leaky roof, moisture in the walls, floors, foundation, or rot in the window frames or floor",,Male,12.2
2018,Deprivation der Unterkunft,"Population living in a dwelling with a leaky roof, moisture in the walls, floors, foundation, or rot in the window frames or floor",,Male,13.2
2019,Deprivation der Unterkunft,"Population living in a dwelling with a leaky roof, moisture in the walls, floors, foundation, or rot in the window frames or floor",,Male,11.7
2010,Deprivation der Unterkunft,"Population that has neither a bath, nor a shower in their home",,,0.5
2011,Deprivation der Unterkunft,"Population that has neither a bath, nor a shower in their home",,,0.1
2012,Deprivation der Unterkunft,"Population that has neither a bath, nor a shower in their home",,,0.1
2013,Deprivation der Unterkunft,"Population that has neither a bath, nor a shower in their home",,,
2014,Deprivation der Unterkunft,"Population that has neither a bath, nor a shower in their home",,,
2015,Deprivation der Unterkunft,"Population that has neither a bath, nor a shower in their home",,,
2016,Deprivation der Unterkunft,"Population that has neither a bath, nor a shower in their home",,,
2017,Deprivation der Unterkunft,"Population that has neither a bath, nor a shower in their home",,,
2018,Deprivation der Unterkunft,"Population that has neither a bath, nor a shower in their home",,,
2019,Deprivation der Unterkunft,"Population that has neither a bath, nor a shower in their home",,,
2010,Deprivation der Unterkunft,"Population that has neither a bath, nor a shower in their home",,Female,0.5
2011,Deprivation der Unterkunft,"Population that has neither a bath, nor a shower in their home",,Female,0.1
2012,Deprivation der Unterkunft,"Population that has neither a bath, nor a shower in their home",,Female,0.1
2013,Deprivation der Unterkunft,"Population that has neither a bath, nor a shower in their home",,Female,
2014,Deprivation der Unterkunft,"Population that has neither a bath, nor a shower in their home",,Female,
2015,Deprivation der Unterkunft,"Population that has neither a bath, nor a shower in their home",,Female,
2016,Deprivation der Unterkunft,"Population that has neither a bath, nor a shower in their home",,Female,
2017,Deprivation der Unterkunft,"Population that has neither a bath, nor a shower in their home",,Female,
2018,Deprivation der Unterkunft,"Population that has neither a bath, nor a shower in their home",,Female,
2019,Deprivation der Unterkunft,"Population that has neither a bath, nor a shower in their home",,Female,
2010,Deprivation der Unterkunft,"Population that has neither a bath, nor a shower in their home",,Male,0.6
2011,Deprivation der Unterkunft,"Population that has neither a bath, nor a shower in their home",,Male,0.1
2012,Deprivation der Unterkunft,"Population that has neither a bath, nor a shower in their home",,Male,0.1
2013,Deprivation der Unterkunft,"Population that has neither a bath, nor a shower in their home",,Male,
2014,Deprivation der Unterkunft,"Population that has neither a bath, nor a shower in their home",,Male,
2015,Deprivation der Unterkunft,"Population that has neither a bath, nor a shower in their home",,Male,
2016,Deprivation der Unterkunft,"Population that has neither a bath, nor a shower in their home",,Male,
2017,Deprivation der Unterkunft,"Population that has neither a bath, nor a shower in their home",,Male,
2018,Deprivation der Unterkunft,"Population that has neither a bath, nor a shower in their home",,Male,
2019,Deprivation der Unterkunft,"Population that has neither a bath, nor a shower in their home",,Male,
2010,Deprivation der Unterkunft,Population that does not have a toilet for the sole use of their household,,,1.6
2011,Deprivation der Unterkunft,Population that does not have a toilet for the sole use of their household,,,0.9
2012,Deprivation der Unterkunft,Population that does not have a toilet for the sole use of their household,,,0.9
2013,Deprivation der Unterkunft,Population that does not have a toilet for the sole use of their household,,,0.1
2014,Deprivation der Unterkunft,Population that does not have a toilet for the sole use of their household,,,
2015,Deprivation der Unterkunft,Population that does not have a toilet for the sole use of their household,,,0.1
2016,Deprivation der Unterkunft,Population that does not have a toilet for the sole use of their household,,,0.1
2017,Deprivation der Unterkunft,Population that does not have a toilet for the sole use of their household,,,0.1
2018,Deprivation der Unterkunft,Population that does not have a toilet for the sole use of their household,,,
2019,Deprivation der Unterkunft,Population that does not have a toilet for the sole use of their household,,,0.2
2010,Deprivation der Unterkunft,Population that does not have a toilet for the sole use of their household,,Female,1.7
2011,Deprivation der Unterkunft,Population that does not have a toilet for the sole use of their household,,Female,0.9
2012,Deprivation der Unterkunft,Population that does not have a toilet for the sole use of their household,,Female,1.0
2013,Deprivation der Unterkunft,Population that does not have a toilet for the sole use of their household,,Female,0.2
2014,Deprivation der Unterkunft,Population that does not have a toilet for the sole use of their household,,Female,
2015,Deprivation der Unterkunft,Population that does not have a toilet for the sole use of their household,,Female,0.1
2016,Deprivation der Unterkunft,Population that does not have a toilet for the sole use of their household,,Female,0.1
2017,Deprivation der Unterkunft,Population that does not have a toilet for the sole use of their household,,Female,0.1
2018,Deprivation der Unterkunft,Population that does not have a toilet for the sole use of their household,,Female,0.1
2019,Deprivation der Unterkunft,Population that does not have a toilet for the sole use of their household,,Female,0.2
2010,Deprivation der Unterkunft,Population that does not have a toilet for the sole use of their household,,Male,1.6
2011,Deprivation der Unterkunft,Population that does not have a toilet for the sole use of their household,,Male,0.8
2012,Deprivation der Unterkunft,Population that does not have a toilet for the sole use of their household,,Male,0.9
2013,Deprivation der Unterkunft,Population that does not have a toilet for the sole use of their household,,Male,0.1
2014,Deprivation der Unterkunft,Population that does not have a toilet for the sole use of their household,,Male,
2015,Deprivation der Unterkunft,Population that does not have a toilet for the sole use of their household,,Male,0.1
2016,Deprivation der Unterkunft,Population that does not have a toilet for the sole use of their household,,Male,0.1
2017,Deprivation der Unterkunft,Population that does not have a toilet for the sole use of their household,,Male,0.1
2018,Deprivation der Unterkunft,Population that does not have a toilet for the sole use of their household,,Male,
2019,Deprivation der Unterkunft,Population that does not have a toilet for the sole use of their household,,Male,0.3
2010,Deprivation der Unterkunft,Population that considers their accommodation too dark,,,4.2
2011,Deprivation der Unterkunft,Population that considers their accommodation too dark,,,4.1
2012,Deprivation der Unterkunft,Population that considers their accommodation too dark,,,3.9
2013,Deprivation der Unterkunft,Population that considers their accommodation too dark,,,4.4
2014,Deprivation der Unterkunft,Population that considers their accommodation too dark,,,4.4
2015,Deprivation der Unterkunft,Population that considers their accommodation too dark,,,4.0
2016,Deprivation der Unterkunft,Population that considers their accommodation too dark,,,3.9
2017,Deprivation der Unterkunft,Population that considers their accommodation too dark,,,4.0
2018,Deprivation der Unterkunft,Population that considers their accommodation too dark,,,4.4
2019,Deprivation der Unterkunft,Population that considers their accommodation too dark,,,4.0
2010,Deprivation der Unterkunft,Population that considers their accommodation too dark,,Female,3.9
2011,Deprivation der Unterkunft,Population that considers their accommodation too dark,,Female,3.9
2012,Deprivation der Unterkunft,Population that considers their accommodation too dark,,Female,3.9
2013,Deprivation der Unterkunft,Population that considers their accommodation too dark,,Female,4.5
2014,Deprivation der Unterkunft,Population that considers their accommodation too dark,,Female,4.3
2015,Deprivation der Unterkunft,Population that considers their accommodation too dark,,Female,3.9
2016,Deprivation der Unterkunft,Population that considers their accommodation too dark,,Female,3.8
2017,Deprivation der Unterkunft,Population that considers their accommodation too dark,,Female,3.9
2018,Deprivation der Unterkunft,Population that considers their accommodation too dark,,Female,4.4
2019,Deprivation der Unterkunft,Population that considers their accommodation too dark,,Female,4.2
2010,Deprivation der Unterkunft,Population that considers their accommodation too dark,,Male,4.5
2011,Deprivation der Unterkunft,Population that considers their accommodation too dark,,Male,4.2
2012,Deprivation der Unterkunft,Population that considers their accommodation too dark,,Male,3.9
2013,Deprivation der Unterkunft,Population that considers their accommodation too dark,,Male,4.3
2014,Deprivation der Unterkunft,Population that considers their accommodation too dark,,Male,4.5
2015,Deprivation der Unterkunft,Population that considers their accommodation too dark,,Male,4.1
2016,Deprivation der Unterkunft,Population that considers their accommodation too dark,,Male,3.9
2017,Deprivation der Unterkunft,Population that considers their accommodation too dark,,Male,4.0
2018,Deprivation der Unterkunft,Population that considers their accommodation too dark,,Male,4.4
2019,Deprivation der Unterkunft,Population that considers their accommodation too dark,,Male,3.8
