Year,Units,Stufen der Lebensmittelkette,COMMENT_OBS_0,COMMENT_OBS_1,COMMENT_OBS_2,Value
2023,Kilogramm pro Kopf,Einzelhandel und andere Formen des Vertriebs,,,,15.7
2024,Kilogramm pro Kopf,Einzelhandel und andere Formen des Vertriebs,|,,,16.3
2010,Kilogramm pro Kopf,Gaststätten und Verpflegungsdienstleistungen,,,,52.0
2011,Kilogramm pro Kopf,Gaststätten und Verpflegungsdienstleistungen,,,,48.7
2012,Kilogramm pro Kopf,Gaststätten und Verpflegungsdienstleistungen,,,,48.1
2013,Kilogramm pro Kopf,Gaststätten und Verpflegungsdienstleistungen,,,,47.8
2014,Kilogramm pro Kopf,Gaststätten und Verpflegungsdienstleistungen,,,,43.4
2015,Kilogramm pro Kopf,Gaststätten und Verpflegungsdienstleistungen,,,,37.6
2016,Kilogramm pro Kopf,Gaststätten und Verpflegungsdienstleistungen,,,,37.3
2017,Kilogramm pro Kopf,Gaststätten und Verpflegungsdienstleistungen,,,,36.8
2018,Kilogramm pro Kopf,Gaststätten und Verpflegungsdienstleistungen,,,,37.7
2019,Kilogramm pro Kopf,Gaststätten und Verpflegungsdienstleistungen,,,,37.8
2020,Kilogramm pro Kopf,Gaststätten und Verpflegungsdienstleistungen,,,,39.8
2021,Kilogramm pro Kopf,Gaststätten und Verpflegungsdienstleistungen,,,,42.2
2022,Kilogramm pro Kopf,Gaststätten und Verpflegungsdienstleistungen,,,,44.5
2023,Kilogramm pro Kopf,Gaststätten und Verpflegungsdienstleistungen,,,,47.8
2024,Kilogramm pro Kopf,Gaststätten und Verpflegungsdienstleistungen,|,,,51.5
