Year,Units,Messgröße,Art des Finanzstroms,COMMENT_OBS_0,COMMENT_OBS_1,COMMENT_OBS_2,Value
2017,"Millionen USD, konstante Preise (2024)",Bruttoentwicklungsausgaben,Öffentliche Entwicklungsleistungen,,,,999
2018,"Millionen USD, konstante Preise (2024)",Bruttoentwicklungsausgaben,Öffentliche Entwicklungsleistungen,,,,999
2019,"Millionen USD, konstante Preise (2024)",Bruttoentwicklungsausgaben,Öffentliche Entwicklungsleistungen,,,,999
2020,"Millionen USD, konstante Preise (2024)",Bruttoentwicklungsausgaben,Öffentliche Entwicklungsleistungen,,,,999
2021,"Millionen USD, konstante Preise (2024)",Bruttoentwicklungsausgaben,Öffentliche Entwicklungsleistungen,,,,999
2022,"Millionen USD, konstante Preise (2024)",Bruttoentwicklungsausgaben,Öffentliche Entwicklungsleistungen,,,,999
2023,"Millionen USD, konstante Preise (2024)",Bruttoentwicklungsausgaben,Öffentliche Entwicklungsleistungen,,,,999
2024,"Millionen USD, konstante Preise (2024)",Bruttoentwicklungsausgaben,Öffentliche Entwicklungsleistungen,,,,999
2010,"Millionen USD, konstante Preise (2024)",Zusagen,Sonstige öffentliche Leistungen,,,,999
2011,"Millionen USD, konstante Preise (2024)",Zusagen,Sonstige öffentliche Leistungen,,,,999
2012,"Millionen USD, konstante Preise (2024)",Zusagen,Sonstige öffentliche Leistungen,,,,999
2013,"Millionen USD, konstante Preise (2024)",Zusagen,Sonstige öffentliche Leistungen,,,,999
2014,"Millionen USD, konstante Preise (2024)",Zusagen,Sonstige öffentliche Leistungen,,,,999
2015,"Millionen USD, konstante Preise (2024)",Zusagen,Sonstige öffentliche Leistungen,,,,999
2016,"Millionen USD, konstante Preise (2024)",Zusagen,Sonstige öffentliche Leistungen,,,,999
2017,"Millionen USD, konstante Preise (2024)",Zusagen,Sonstige öffentliche Leistungen,,,,999
2018,"Millionen USD, konstante Preise (2024)",Zusagen,Sonstige öffentliche Leistungen,,,,999
2019,"Millionen USD, konstante Preise (2024)",Zusagen,Sonstige öffentliche Leistungen,,,,999
2020,"Millionen USD, konstante Preise (2024)",Zusagen,Sonstige öffentliche Leistungen,,,,999
2021,"Millionen USD, konstante Preise (2024)",Zusagen,Sonstige öffentliche Leistungen,,,,999
2022,"Millionen USD, konstante Preise (2024)",Zusagen,Sonstige öffentliche Leistungen,,,,999
2023,"Millionen USD, konstante Preise (2024)",Zusagen,Sonstige öffentliche Leistungen,,,,999
2024,"Millionen USD, konstante Preise (2024)",Zusagen,Sonstige öffentliche Leistungen,,,,999
2010,"Millionen USD, konstante Preise (2024)",Bruttoentwicklungsausgaben,Sonstige öffentliche Leistungen,,,,999
2011,"Millionen USD, konstante Preise (2024)",Bruttoentwicklungsausgaben,Sonstige öffentliche Leistungen,,,,999
2012,"Millionen USD, konstante Preise (2024)",Bruttoentwicklungsausgaben,Sonstige öffentliche Leistungen,,,,999
2013,"Millionen USD, konstante Preise (2024)",Bruttoentwicklungsausgaben,Sonstige öffentliche Leistungen,,,,999
2014,"Millionen USD, konstante Preise (2024)",Bruttoentwicklungsausgaben,Sonstige öffentliche Leistungen,,,,999
2015,"Millionen USD, konstante Preise (2024)",Bruttoentwicklungsausgaben,Sonstige öffentliche Leistungen,,,,999
2016,"Millionen USD, konstante Preise (2024)",Bruttoentwicklungsausgaben,Sonstige öffentliche Leistungen,,,,999
2017,"Millionen USD, konstante Preise (2024)",Bruttoentwicklungsausgaben,Sonstige öffentliche Leistungen,,,,999
2018,"Millionen USD, konstante Preise (2024)",Bruttoentwicklungsausgaben,Sonstige öffentliche Leistungen,,,,999
2019,"Millionen USD, konstante Preise (2024)",Bruttoentwicklungsausgaben,Sonstige öffentliche Leistungen,,,,999
2020,"Millionen USD, konstante Preise (2024)",Bruttoentwicklungsausgaben,Sonstige öffentliche Leistungen,,,,999
2021,"Millionen USD, konstante Preise (2024)",Bruttoentwicklungsausgaben,Sonstige öffentliche Leistungen,,,,999
2022,"Millionen USD, konstante Preise (2024)",Bruttoentwicklungsausgaben,Sonstige öffentliche Leistungen,,,,999
2023,"Millionen USD, konstante Preise (2024)",Bruttoentwicklungsausgaben,Sonstige öffentliche Leistungen,,,,999
2024,"Millionen USD, konstante Preise (2024)",Bruttoentwicklungsausgaben,Sonstige öffentliche Leistungen,,,,999
