Year,Units,Zeitreihe,Darstellung,COMMENT_OBS_0,COMMENT_OBS_1,COMMENT_OBS_2,Value
2015,2015 = 100,Verhältnis der Siedlungs- und Verkehrsfläche zur Bevölkerung,Gleitender Vierjahresdurchschnitt,,,,3.9
2016,2015 = 100,Verhältnis der Siedlungs- und Verkehrsfläche zur Bevölkerung,Gleitender Vierjahresdurchschnitt,,,,3.8
2017,2015 = 100,Verhältnis der Siedlungs- und Verkehrsfläche zur Bevölkerung,Gleitender Vierjahresdurchschnitt,,,,3.9
2018,2015 = 100,Verhältnis der Siedlungs- und Verkehrsfläche zur Bevölkerung,Gleitender Vierjahresdurchschnitt,,,,4.4
2019,2015 = 100,Verhältnis der Siedlungs- und Verkehrsfläche zur Bevölkerung,Gleitender Vierjahresdurchschnitt,,,,4.2
2020,2015 = 100,Verhältnis der Siedlungs- und Verkehrsfläche zur Bevölkerung,Gleitender Vierjahresdurchschnitt,.,,,
2021,2015 = 100,Verhältnis der Siedlungs- und Verkehrsfläche zur Bevölkerung,Gleitender Vierjahresdurchschnitt,.,,,
2022,2015 = 100,Verhältnis der Siedlungs- und Verkehrsfläche zur Bevölkerung,Gleitender Vierjahresdurchschnitt,.,,,
2023,2015 = 100,Verhältnis der Siedlungs- und Verkehrsfläche zur Bevölkerung,Gleitender Vierjahresdurchschnitt,,,,7.1
2010,Prozent,Flächennutzungssrate,Gleitender Vierjahresdurchschnitt,,,,4.5
2011,Prozent,Flächennutzungssrate,Gleitender Vierjahresdurchschnitt,,,,4.2
2012,Prozent,Flächennutzungssrate,Gleitender Vierjahresdurchschnitt,,,,3.9
2013,Prozent,Flächennutzungssrate,Gleitender Vierjahresdurchschnitt,,,,4.3
2014,Prozent,Flächennutzungssrate,Gleitender Vierjahresdurchschnitt,,,,4.5
2015,Prozent,Flächennutzungssrate,Gleitender Vierjahresdurchschnitt,,,,4.1
2016,Prozent,Flächennutzungssrate,Gleitender Vierjahresdurchschnitt,,,,3.9
2017,Prozent,Flächennutzungssrate,Gleitender Vierjahresdurchschnitt,,,,4.0
2018,Prozent,Flächennutzungssrate,Gleitender Vierjahresdurchschnitt,,,,4.4
2019,Prozent,Flächennutzungssrate,Gleitender Vierjahresdurchschnitt,,,,3.8
2020,Prozent,Flächennutzungssrate,Gleitender Vierjahresdurchschnitt,.,,,
2021,Prozent,Flächennutzungssrate,Gleitender Vierjahresdurchschnitt,.,,,
2022,Prozent,Flächennutzungssrate,Gleitender Vierjahresdurchschnitt,.,,,
2023,Prozent,Flächennutzungssrate,Gleitender Vierjahresdurchschnitt,,,,7.2
2010,Prozent,Bevölkerungsentwicklung,Gleitender Vierjahresdurchschnitt,.,,,
2011,Prozent,Bevölkerungsentwicklung,Gleitender Vierjahresdurchschnitt,.,,,
2012,Prozent,Bevölkerungsentwicklung,Gleitender Vierjahresdurchschnitt,.,,,
2013,Prozent,Bevölkerungsentwicklung,Gleitender Vierjahresdurchschnitt,.,,,
2014,Prozent,Bevölkerungsentwicklung,Gleitender Vierjahresdurchschnitt,.,,,
2015,Prozent,Bevölkerungsentwicklung,Gleitender Vierjahresdurchschnitt,.,,,
2016,Prozent,Bevölkerungsentwicklung,Gleitender Vierjahresdurchschnitt,,,,79.0
2017,Prozent,Bevölkerungsentwicklung,Gleitender Vierjahresdurchschnitt,.,,,
2018,Prozent,Bevölkerungsentwicklung,Gleitender Vierjahresdurchschnitt,,,,79.9
2019,Prozent,Bevölkerungsentwicklung,Gleitender Vierjahresdurchschnitt,.,,,
2020,Prozent,Bevölkerungsentwicklung,Gleitender Vierjahresdurchschnitt,,,,79.9
2021,Prozent,Bevölkerungsentwicklung,Gleitender Vierjahresdurchschnitt,…,,,
2022,Prozent,Bevölkerungsentwicklung,Gleitender Vierjahresdurchschnitt,…,,,
2023,Prozent,Bevölkerungsentwicklung,Gleitender Vierjahresdurchschnitt,…,,,
