Year,Units,Geschlecht,COMMENT_OBS_0,COMMENT_OBS_1,COMMENT_OBS_2,Series,Value
2010,Prozent,,.,,,Diagnosen von weiblicher Genitalverstümmelung in Krankenhäusern (Eigenanamnese),
2011,Prozent,,.,,,Diagnosen von weiblicher Genitalverstümmelung in Krankenhäusern (Eigenanamnese),
2012,Prozent,,.,,,Diagnosen von weiblicher Genitalverstümmelung in Krankenhäusern (Eigenanamnese),
2013,Prozent,,.,,,Diagnosen von weiblicher Genitalverstümmelung in Krankenhäusern (Eigenanamnese),
2014,Prozent,,.,,,Diagnosen von weiblicher Genitalverstümmelung in Krankenhäusern (Eigenanamnese),
2015,Prozent,,.,,,Diagnosen von weiblicher Genitalverstümmelung in Krankenhäusern (Eigenanamnese),
2016,Prozent,,,,,Diagnosen von weiblicher Genitalverstümmelung in Krankenhäusern (Eigenanamnese),0.157
2017,Prozent,,,,,Diagnosen von weiblicher Genitalverstümmelung in Krankenhäusern (Eigenanamnese),0.156
2018,Prozent,,,,,Diagnosen von weiblicher Genitalverstümmelung in Krankenhäusern (Eigenanamnese),0.199
2019,Prozent,,,,,Diagnosen von weiblicher Genitalverstümmelung in Krankenhäusern (Eigenanamnese),0.202
2020,Prozent,,,,,Diagnosen von weiblicher Genitalverstümmelung in Krankenhäusern (Eigenanamnese),0.202
2021,Prozent,,,,,Diagnosen von weiblicher Genitalverstümmelung in Krankenhäusern (Eigenanamnese),0.2
2022,Prozent,,,,,Diagnosen von weiblicher Genitalverstümmelung in Krankenhäusern (Eigenanamnese),0.193
2023,Prozent,,,,,Diagnosen von weiblicher Genitalverstümmelung in Krankenhäusern (Eigenanamnese),0.27
2010,Je 100 000 Einwohner/-innen,,.,,,Diagnosen von weiblicher Genitalverstümmelung in Krankenhäusern (Eigenanamnese),
2011,Je 100 000 Einwohner/-innen,,.,,,Diagnosen von weiblicher Genitalverstümmelung in Krankenhäusern (Eigenanamnese),
2012,Je 100 000 Einwohner/-innen,,.,,,Diagnosen von weiblicher Genitalverstümmelung in Krankenhäusern (Eigenanamnese),
2013,Je 100 000 Einwohner/-innen,,.,,,Diagnosen von weiblicher Genitalverstümmelung in Krankenhäusern (Eigenanamnese),
2014,Je 100 000 Einwohner/-innen,,.,,,Diagnosen von weiblicher Genitalverstümmelung in Krankenhäusern (Eigenanamnese),
2015,Je 100 000 Einwohner/-innen,,.,,,Diagnosen von weiblicher Genitalverstümmelung in Krankenhäusern (Eigenanamnese),
2016,Je 100 000 Einwohner/-innen,,,,,Diagnosen von weiblicher Genitalverstümmelung in Krankenhäusern (Eigenanamnese),0.000157
2017,Je 100 000 Einwohner/-innen,,,,,Diagnosen von weiblicher Genitalverstümmelung in Krankenhäusern (Eigenanamnese),0.000156
2018,Je 100 000 Einwohner/-innen,,,,,Diagnosen von weiblicher Genitalverstümmelung in Krankenhäusern (Eigenanamnese),0.000199
2019,Je 100 000 Einwohner/-innen,,,,,Diagnosen von weiblicher Genitalverstümmelung in Krankenhäusern (Eigenanamnese),0.000202
2020,Je 100 000 Einwohner/-innen,,,,,Diagnosen von weiblicher Genitalverstümmelung in Krankenhäusern (Eigenanamnese),0.000202
2021,Je 100 000 Einwohner/-innen,,,,,Diagnosen von weiblicher Genitalverstümmelung in Krankenhäusern (Eigenanamnese),0.0002
2022,Je 100 000 Einwohner/-innen,,,,,Diagnosen von weiblicher Genitalverstümmelung in Krankenhäusern (Eigenanamnese),0.000193
2023,Je 100 000 Einwohner/-innen,,,,,Diagnosen von weiblicher Genitalverstümmelung in Krankenhäusern (Eigenanamnese),0.00027
