Year,Vollständigkeit der Disaggregation,Ziel,COMMENT_OBS_0,COMMENT_OBS_1,COMMENT_OBS_2,Value
2011,Teilweise disaggregiert,2 - Kein Hunger,,,,703.8
2012,Teilweise disaggregiert,2 - Kein Hunger,,,,743.5
2013,Teilweise disaggregiert,2 - Kein Hunger,,,,819.9
2014,Teilweise disaggregiert,2 - Kein Hunger,,,,929.0
2015,Teilweise disaggregiert,2 - Kein Hunger,,,,1302.0
2016,Teilweise disaggregiert,2 - Kein Hunger,,,,1210.4
2017,Teilweise disaggregiert,2 - Kein Hunger,,,,1536.8
2018,Teilweise disaggregiert,2 - Kein Hunger,,,,2150.9
2019,Teilweise disaggregiert,2 - Kein Hunger,,,,1727.2
2020,Teilweise disaggregiert,2 - Kein Hunger,,,,2395.3
2021,Teilweise disaggregiert,2 - Kein Hunger,,,,2415.8
2022,Teilweise disaggregiert,2 - Kein Hunger,,,,2801.3
2023,Teilweise disaggregiert,2 - Kein Hunger,,,,2322.6
2024,Teilweise disaggregiert,2 - Kein Hunger,…,,,
2010,Nicht disaggregiert,2 - Kein Hunger,,,,1351.9
2011,Nicht disaggregiert,2 - Kein Hunger,,,,1179.9
2012,Nicht disaggregiert,2 - Kein Hunger,,,,1064.4
2013,Nicht disaggregiert,2 - Kein Hunger,,,,1178.1
2014,Nicht disaggregiert,2 - Kein Hunger,,,,1542.7
2015,Nicht disaggregiert,2 - Kein Hunger,,,,2146.4
2016,Nicht disaggregiert,2 - Kein Hunger,,,,1717.2
2017,Nicht disaggregiert,2 - Kein Hunger,,,,2834.2
2018,Nicht disaggregiert,2 - Kein Hunger,,,,2738.4
2019,Nicht disaggregiert,2 - Kein Hunger,,,,2584.8
2020,Nicht disaggregiert,2 - Kein Hunger,,,,4038.0
2021,Nicht disaggregiert,2 - Kein Hunger,,,,3582.4
2022,Nicht disaggregiert,2 - Kein Hunger,,,,3412.0
2023,Nicht disaggregiert,2 - Kein Hunger,,,,3770.1
2024,Nicht disaggregiert,2 - Kein Hunger,…,,,
2010,Vollständig disaggregiert,3 - Gesundheit und Wohlergehen,,,,996.3
2011,Vollständig disaggregiert,3 - Gesundheit und Wohlergehen,,,,1026.2
2012,Vollständig disaggregiert,3 - Gesundheit und Wohlergehen,,,,1068.7
2013,Vollständig disaggregiert,3 - Gesundheit und Wohlergehen,,,,1155.5
2014,Vollständig disaggregiert,3 - Gesundheit und Wohlergehen,,,,1284.9
2015,Vollständig disaggregiert,3 - Gesundheit und Wohlergehen,,,,1770.9
2016,Vollständig disaggregiert,3 - Gesundheit und Wohlergehen,,,,1625.8
2017,Vollständig disaggregiert,3 - Gesundheit und Wohlergehen,,,,2034.2
2018,Vollständig disaggregiert,3 - Gesundheit und Wohlergehen,,,,2795.0
2019,Vollständig disaggregiert,3 - Gesundheit und Wohlergehen,,,,2200.2
2020,Vollständig disaggregiert,3 - Gesundheit und Wohlergehen,,,,2998.5
2021,Vollständig disaggregiert,3 - Gesundheit und Wohlergehen,,,,2941.8
2022,Vollständig disaggregiert,3 - Gesundheit und Wohlergehen,,,,3215.1
2023,Vollständig disaggregiert,3 - Gesundheit und Wohlergehen,,,,2511.5
2024,Vollständig disaggregiert,3 - Gesundheit und Wohlergehen,…,,,
2010,Teilweise disaggregiert,3 - Gesundheit und Wohlergehen,,,,4.1
2011,Teilweise disaggregiert,3 - Gesundheit und Wohlergehen,,,,3.8
2012,Teilweise disaggregiert,3 - Gesundheit und Wohlergehen,,,,0.5
2013,Teilweise disaggregiert,3 - Gesundheit und Wohlergehen,,,,0.4
2014,Teilweise disaggregiert,3 - Gesundheit und Wohlergehen,,,,2.2
2015,Teilweise disaggregiert,3 - Gesundheit und Wohlergehen,,,,1.7
2016,Teilweise disaggregiert,3 - Gesundheit und Wohlergehen,,,,2.3
2017,Teilweise disaggregiert,3 - Gesundheit und Wohlergehen,,,,2.7
2018,Teilweise disaggregiert,3 - Gesundheit und Wohlergehen,,,,1.1
2019,Teilweise disaggregiert,3 - Gesundheit und Wohlergehen,,,,1.0
2020,Teilweise disaggregiert,3 - Gesundheit und Wohlergehen,,,,-4.1
2021,Teilweise disaggregiert,3 - Gesundheit und Wohlergehen,p,,,3.7
2022,Teilweise disaggregiert,3 - Gesundheit und Wohlergehen,p,,,1.4
2023,Teilweise disaggregiert,3 - Gesundheit und Wohlergehen,p,,,-0.3
2024,Teilweise disaggregiert,3 - Gesundheit und Wohlergehen,p,,,-0.2
2010,Nicht disaggregiert,3 - Gesundheit und Wohlergehen,r,,,1578.1
2011,Nicht disaggregiert,3 - Gesundheit und Wohlergehen,r,,,1626.7
2012,Nicht disaggregiert,3 - Gesundheit und Wohlergehen,r,,,1660.8
2013,Nicht disaggregiert,3 - Gesundheit und Wohlergehen,r,,,1682.0
2014,Nicht disaggregiert,3 - Gesundheit und Wohlergehen,r,,,1726.7
2015,Nicht disaggregiert,3 - Gesundheit und Wohlergehen,r,,,1779.3
2016,Nicht disaggregiert,3 - Gesundheit und Wohlergehen,r,,,1834.4
2017,Nicht disaggregiert,3 - Gesundheit und Wohlergehen,r,,,1897.4
2018,Nicht disaggregiert,3 - Gesundheit und Wohlergehen,r,,,1973.8
2019,Nicht disaggregiert,3 - Gesundheit und Wohlergehen,r,,,2022.1
2020,Nicht disaggregiert,3 - Gesundheit und Wohlergehen,r,,,2025.4
2021,Nicht disaggregiert,3 - Gesundheit und Wohlergehen,p,,,2085.2
2022,Nicht disaggregiert,3 - Gesundheit und Wohlergehen,p,,,2249.8
2023,Nicht disaggregiert,3 - Gesundheit und Wohlergehen,p,,,2404.6
2024,Nicht disaggregiert,3 - Gesundheit und Wohlergehen,p,,,2501.7
2010,Vollständig disaggregiert,4 - Hochwertige Bildung,,,,1417.1
2011,Vollständig disaggregiert,4 - Hochwertige Bildung,,,,1463.0
2012,Vollständig disaggregiert,4 - Hochwertige Bildung,,,,1503.4
2013,Vollständig disaggregiert,4 - Hochwertige Bildung,,,,1528.8
2014,Vollständig disaggregiert,4 - Hochwertige Bildung,,,,1560.4
2015,Vollständig disaggregiert,4 - Hochwertige Bildung,,,,1604.9
2016,Vollständig disaggregiert,4 - Hochwertige Bildung,,,,1651.7
2017,Vollständig disaggregiert,4 - Hochwertige Bildung,,,,1704.0
2018,Vollständig disaggregiert,4 - Hochwertige Bildung,,,,1757.5
2019,Vollständig disaggregiert,4 - Hochwertige Bildung,,,,1813.7
2020,Vollständig disaggregiert,4 - Hochwertige Bildung,,,,1695.6
2021,Vollständig disaggregiert,4 - Hochwertige Bildung,p,,,1786.7
2022,Vollständig disaggregiert,4 - Hochwertige Bildung,p,,,2018.0
2023,Vollständig disaggregiert,4 - Hochwertige Bildung,p,,,2145.4
2024,Vollständig disaggregiert,4 - Hochwertige Bildung,p,,,2207.1
2010,Teilweise disaggregiert,4 - Hochwertige Bildung,,,,2011.7
2011,Teilweise disaggregiert,4 - Hochwertige Bildung,,,,2025.4
2012,Teilweise disaggregiert,4 - Hochwertige Bildung,,,,2068.3
2013,Teilweise disaggregiert,4 - Hochwertige Bildung,,,,2043.3
2014,Teilweise disaggregiert,4 - Hochwertige Bildung,,,,2043.9
2015,Teilweise disaggregiert,4 - Hochwertige Bildung,,,,2020.7
2016,Teilweise disaggregiert,4 - Hochwertige Bildung,,,,2009.3
2017,Teilweise disaggregiert,4 - Hochwertige Bildung,,,,1969.1
2018,Teilweise disaggregiert,4 - Hochwertige Bildung,,,,1915.8
2019,Teilweise disaggregiert,4 - Hochwertige Bildung,,,,1899.1
2020,Teilweise disaggregiert,4 - Hochwertige Bildung,,,,2172.9
2021,Teilweise disaggregiert,4 - Hochwertige Bildung,,,,2321.0
2022,Teilweise disaggregiert,4 - Hochwertige Bildung,,,,2368.0
2023,Teilweise disaggregiert,4 - Hochwertige Bildung,,,,2445.1
2024,Teilweise disaggregiert,4 - Hochwertige Bildung,…,,,
2010,Nicht disaggregiert,4 - Hochwertige Bildung,,,,-115.6
2011,Nicht disaggregiert,4 - Hochwertige Bildung,,,,-23.1
2012,Nicht disaggregiert,4 - Hochwertige Bildung,,,,-1.5
2013,Nicht disaggregiert,4 - Hochwertige Bildung,,,,3.5
2014,Nicht disaggregiert,4 - Hochwertige Bildung,,,,21.8
2015,Nicht disaggregiert,4 - Hochwertige Bildung,,,,28.2
2016,Nicht disaggregiert,4 - Hochwertige Bildung,,,,36.2
2017,Nicht disaggregiert,4 - Hochwertige Bildung,,,,44.6
2018,Nicht disaggregiert,4 - Hochwertige Bildung,r,,,64.7
2019,Nicht disaggregiert,4 - Hochwertige Bildung,,,,47.0
2020,Nicht disaggregiert,4 - Hochwertige Bildung,,,,-151.1
2021,Nicht disaggregiert,4 - Hochwertige Bildung,p,,,-116.4
2022,Nicht disaggregiert,4 - Hochwertige Bildung,p,,,-84.9
2023,Nicht disaggregiert,4 - Hochwertige Bildung,p,,,-103.8
2024,Nicht disaggregiert,4 - Hochwertige Bildung,p,,,-115.6
2010,Vollständig disaggregiert,5 - Geschlechtergleichheit,,,,501.8
2011,Vollständig disaggregiert,5 - Geschlechtergleichheit,,,,549.6
2012,Vollständig disaggregiert,5 - Geschlechtergleichheit,,,,558.9
2013,Vollständig disaggregiert,5 - Geschlechtergleichheit,,,,561.2
2014,Vollständig disaggregiert,5 - Geschlechtergleichheit,,,,590.4
2015,Vollständig disaggregiert,5 - Geschlechtergleichheit,,,,609.6
2016,Vollständig disaggregiert,5 - Geschlechtergleichheit,,,,640.4
2017,Vollständig disaggregiert,5 - Geschlechtergleichheit,,,,671.1
2018,Vollständig disaggregiert,5 - Geschlechtergleichheit,,,,714.9
2019,Vollständig disaggregiert,5 - Geschlechtergleichheit,,,,748.2
2020,Vollständig disaggregiert,5 - Geschlechtergleichheit,,,,736.5
2021,Vollständig disaggregiert,5 - Geschlechtergleichheit,p,,,779.2
2022,Vollständig disaggregiert,5 - Geschlechtergleichheit,p,,,858.3
2023,Vollständig disaggregiert,5 - Geschlechtergleichheit,p,,,899.9
2024,Vollständig disaggregiert,5 - Geschlechtergleichheit,p,,,898.5
2010,Teilweise disaggregiert,5 - Geschlechtergleichheit,,,,49385.0
2011,Teilweise disaggregiert,5 - Geschlechtergleichheit,,,,50163.0
2012,Teilweise disaggregiert,5 - Geschlechtergleichheit,,,,50098.0
2013,Teilweise disaggregiert,5 - Geschlechtergleichheit,,,,50243.0
2014,Teilweise disaggregiert,5 - Geschlechtergleichheit,,,,51075.0
2015,Teilweise disaggregiert,5 - Geschlechtergleichheit,,,,51811.0
2016,Teilweise disaggregiert,5 - Geschlechtergleichheit,,,,52493.0
2017,Teilweise disaggregiert,5 - Geschlechtergleichheit,,,,53225.0
2018,Teilweise disaggregiert,5 - Geschlechtergleichheit,,,,53913.0
2019,Teilweise disaggregiert,5 - Geschlechtergleichheit,,,,54333.0
2020,Teilweise disaggregiert,5 - Geschlechtergleichheit,,,,52028.0
2021,Teilweise disaggregiert,5 - Geschlechtergleichheit,p,,,53392.0
2022,Teilweise disaggregiert,5 - Geschlechtergleichheit,p,,,54177.0
2023,Teilweise disaggregiert,5 - Geschlechtergleichheit,p,,,54592.0
2024,Teilweise disaggregiert,5 - Geschlechtergleichheit,p,,,54728.0
2010,Nicht disaggregiert,5 - Geschlechtergleichheit,,,,58581.0
2011,Nicht disaggregiert,5 - Geschlechtergleichheit,,,,59328.0
2012,Nicht disaggregiert,5 - Geschlechtergleichheit,,,,59143.0
2013,Nicht disaggregiert,5 - Geschlechtergleichheit,,,,59148.0
2014,Nicht disaggregiert,5 - Geschlechtergleichheit,,,,59859.0
2015,Nicht disaggregiert,5 - Geschlechtergleichheit,,,,60460.0
2016,Nicht disaggregiert,5 - Geschlechtergleichheit,,,,60978.0
2017,Nicht disaggregiert,5 - Geschlechtergleichheit,,,,61484.0
2018,Nicht disaggregiert,5 - Geschlechtergleichheit,,,,61964.0
2019,Nicht disaggregiert,5 - Geschlechtergleichheit,,,,62141.0
2020,Nicht disaggregiert,5 - Geschlechtergleichheit,,,,59066.0
2021,Nicht disaggregiert,5 - Geschlechtergleichheit,p,,,60456.0
2022,Nicht disaggregiert,5 - Geschlechtergleichheit,p,,,61211.0
2023,Nicht disaggregiert,5 - Geschlechtergleichheit,p,,,61437.0
2024,Nicht disaggregiert,5 - Geschlechtergleichheit,p,,,61355.0
2010,Vollständig disaggregiert,8 - Menschenwürdige Arbeit und Wirtschaftswachstum,,,,94.2
2011,Vollständig disaggregiert,8 - Menschenwürdige Arbeit und Wirtschaftswachstum,,,,96.2
2012,Vollständig disaggregiert,8 - Menschenwürdige Arbeit und Wirtschaftswachstum,,,,96.8
2013,Vollständig disaggregiert,8 - Menschenwürdige Arbeit und Wirtschaftswachstum,,,,96.9
2014,Vollständig disaggregiert,8 - Menschenwürdige Arbeit und Wirtschaftswachstum,,,,97.4
2015,Vollständig disaggregiert,8 - Menschenwürdige Arbeit und Wirtschaftswachstum,,,,97.6
2016,Vollständig disaggregiert,8 - Menschenwürdige Arbeit und Wirtschaftswachstum,,,,98.1
2017,Vollständig disaggregiert,8 - Menschenwürdige Arbeit und Wirtschaftswachstum,,,,99.8
2018,Vollständig disaggregiert,8 - Menschenwürdige Arbeit und Wirtschaftswachstum,,,,99.2
2019,Vollständig disaggregiert,8 - Menschenwürdige Arbeit und Wirtschaftswachstum,,,,99.8
2020,Vollständig disaggregiert,8 - Menschenwürdige Arbeit und Wirtschaftswachstum,,,,100.0
2021,Vollständig disaggregiert,8 - Menschenwürdige Arbeit und Wirtschaftswachstum,p,,,101.0
2022,Vollständig disaggregiert,8 - Menschenwürdige Arbeit und Wirtschaftswachstum,p,,,103.6
2023,Vollständig disaggregiert,8 - Menschenwürdige Arbeit und Wirtschaftswachstum,p,,,99.9
2024,Vollständig disaggregiert,8 - Menschenwürdige Arbeit und Wirtschaftswachstum,p,,,99.4
2010,Teilweise disaggregiert,8 - Menschenwürdige Arbeit und Wirtschaftswachstum,,,,90.2
2011,Teilweise disaggregiert,8 - Menschenwürdige Arbeit und Wirtschaftswachstum,,,,92.4
2012,Teilweise disaggregiert,8 - Menschenwürdige Arbeit und Wirtschaftswachstum,,,,93.1
2013,Teilweise disaggregiert,8 - Menschenwürdige Arbeit und Wirtschaftswachstum,,,,93.4
2014,Teilweise disaggregiert,8 - Menschenwürdige Arbeit und Wirtschaftswachstum,,,,94.3
2015,Teilweise disaggregiert,8 - Menschenwürdige Arbeit und Wirtschaftswachstum,,,,94.9
2016,Teilweise disaggregiert,8 - Menschenwürdige Arbeit und Wirtschaftswachstum,,,,96.3
2017,Teilweise disaggregiert,8 - Menschenwürdige Arbeit und Wirtschaftswachstum,,,,98.1
2018,Teilweise disaggregiert,8 - Menschenwürdige Arbeit und Wirtschaftswachstum,,,,98.4
2019,Teilweise disaggregiert,8 - Menschenwürdige Arbeit und Wirtschaftswachstum,,,,99.1
2020,Teilweise disaggregiert,8 - Menschenwürdige Arbeit und Wirtschaftswachstum,,,,100.0
2021,Teilweise disaggregiert,8 - Menschenwürdige Arbeit und Wirtschaftswachstum,p,,,101.3
2022,Teilweise disaggregiert,8 - Menschenwürdige Arbeit und Wirtschaftswachstum,p,,,101.4
2023,Teilweise disaggregiert,8 - Menschenwürdige Arbeit und Wirtschaftswachstum,p,,,100.8
2024,Teilweise disaggregiert,8 - Menschenwürdige Arbeit und Wirtschaftswachstum,p,,,100.7
2010,Nicht disaggregiert,8 - Menschenwürdige Arbeit und Wirtschaftswachstum,,,,41099.0
2011,Nicht disaggregiert,8 - Menschenwürdige Arbeit und Wirtschaftswachstum,,,,41570.0
2012,Nicht disaggregiert,8 - Menschenwürdige Arbeit und Wirtschaftswachstum,,,,42065.0
2013,Nicht disaggregiert,8 - Menschenwürdige Arbeit und Wirtschaftswachstum,,,,42378.0
2014,Nicht disaggregiert,8 - Menschenwürdige Arbeit und Wirtschaftswachstum,,,,42756.0
2015,Nicht disaggregiert,8 - Menschenwürdige Arbeit und Wirtschaftswachstum,,,,43137.0
2016,Nicht disaggregiert,8 - Menschenwürdige Arbeit und Wirtschaftswachstum,,,,43686.0
2017,Nicht disaggregiert,8 - Menschenwürdige Arbeit und Wirtschaftswachstum,,,,44290.0
2018,Nicht disaggregiert,8 - Menschenwürdige Arbeit und Wirtschaftswachstum,,,,44878.0
2019,Nicht disaggregiert,8 - Menschenwürdige Arbeit und Wirtschaftswachstum,,,,45291.0
2020,Nicht disaggregiert,8 - Menschenwürdige Arbeit und Wirtschaftswachstum,,,,44966.0
2021,Nicht disaggregiert,8 - Menschenwürdige Arbeit und Wirtschaftswachstum,p,,,45053.0
2022,Nicht disaggregiert,8 - Menschenwürdige Arbeit und Wirtschaftswachstum,p,,,45675.0
2023,Nicht disaggregiert,8 - Menschenwürdige Arbeit und Wirtschaftswachstum,p,,,46011.0
2024,Nicht disaggregiert,8 - Menschenwürdige Arbeit und Wirtschaftswachstum,p,,,46081.0
2010,Vollständig disaggregiert,"9 - Industrie, Innovation und Infrastruktur",,,,92.6
2011,Vollständig disaggregiert,"9 - Industrie, Innovation und Infrastruktur",,,,96.1
2012,Vollständig disaggregiert,"9 - Industrie, Innovation und Infrastruktur",,,,96.4
2013,Vollständig disaggregiert,"9 - Industrie, Innovation und Infrastruktur",,,,96.5
2014,Vollständig disaggregiert,"9 - Industrie, Innovation und Infrastruktur",,,,98.2
2015,Vollständig disaggregiert,"9 - Industrie, Innovation und Infrastruktur",,,,98.9
2016,Vollständig disaggregiert,"9 - Industrie, Innovation und Infrastruktur",,,,100.4
2017,Vollständig disaggregiert,"9 - Industrie, Innovation und Infrastruktur",,,,102.7
2018,Vollständig disaggregiert,"9 - Industrie, Innovation und Infrastruktur",,,,103.6
2019,Vollständig disaggregiert,"9 - Industrie, Innovation und Infrastruktur",,,,104.4
2020,Vollständig disaggregiert,"9 - Industrie, Innovation und Infrastruktur",,,,100.0
2021,Vollständig disaggregiert,"9 - Industrie, Innovation und Infrastruktur",p,,,103.6
2022,Vollständig disaggregiert,"9 - Industrie, Innovation und Infrastruktur",p,,,104.3
2023,Vollständig disaggregiert,"9 - Industrie, Innovation und Infrastruktur",p,,,103.1
2024,Vollständig disaggregiert,"9 - Industrie, Innovation und Infrastruktur",p,,,102.7
2010,Teilweise disaggregiert,"9 - Industrie, Innovation und Infrastruktur",,,,133.5
2011,Teilweise disaggregiert,"9 - Industrie, Innovation und Infrastruktur",,,,133.3
2012,Teilweise disaggregiert,"9 - Industrie, Innovation und Infrastruktur",,,,169.1
2013,Teilweise disaggregiert,"9 - Industrie, Innovation und Infrastruktur",,,,165.5
2014,Teilweise disaggregiert,"9 - Industrie, Innovation und Infrastruktur",,,,195.2
2015,Teilweise disaggregiert,"9 - Industrie, Innovation und Infrastruktur",,,,228.9
2016,Teilweise disaggregiert,"9 - Industrie, Innovation und Infrastruktur",,,,232.1
2017,Teilweise disaggregiert,"9 - Industrie, Innovation und Infrastruktur",,,,236.0
2018,Teilweise disaggregiert,"9 - Industrie, Innovation und Infrastruktur",,,,205.4
2019,Teilweise disaggregiert,"9 - Industrie, Innovation und Infrastruktur",,,,199.3
2020,Teilweise disaggregiert,"9 - Industrie, Innovation und Infrastruktur",,,,184.4
2021,Teilweise disaggregiert,"9 - Industrie, Innovation und Infrastruktur",p,,,189.7
2022,Teilweise disaggregiert,"9 - Industrie, Innovation und Infrastruktur",p,,,98.7
2023,Teilweise disaggregiert,"9 - Industrie, Innovation und Infrastruktur",p,,,167.7
2024,Teilweise disaggregiert,"9 - Industrie, Innovation und Infrastruktur",p,,,169.0
2010,Nicht disaggregiert,"9 - Industrie, Innovation und Infrastruktur",,,,
2011,Nicht disaggregiert,"9 - Industrie, Innovation und Infrastruktur",,,,
2012,Nicht disaggregiert,"9 - Industrie, Innovation und Infrastruktur",,,,
2013,Nicht disaggregiert,"9 - Industrie, Innovation und Infrastruktur",,,,
2014,Nicht disaggregiert,"9 - Industrie, Innovation und Infrastruktur",,,,
2015,Nicht disaggregiert,"9 - Industrie, Innovation und Infrastruktur",,,,
2016,Nicht disaggregiert,"9 - Industrie, Innovation und Infrastruktur",,,,
2017,Nicht disaggregiert,"9 - Industrie, Innovation und Infrastruktur",,,,
2018,Nicht disaggregiert,"9 - Industrie, Innovation und Infrastruktur",,,,
2019,Nicht disaggregiert,"9 - Industrie, Innovation und Infrastruktur",,,,
2020,Nicht disaggregiert,"9 - Industrie, Innovation und Infrastruktur",,,,
2021,Nicht disaggregiert,"9 - Industrie, Innovation und Infrastruktur",,,,
2022,Nicht disaggregiert,"9 - Industrie, Innovation und Infrastruktur",,,,
2023,Nicht disaggregiert,"9 - Industrie, Innovation und Infrastruktur",,,,
2024,Nicht disaggregiert,"9 - Industrie, Innovation und Infrastruktur",,,,
2010,Vollständig disaggregiert,10 - Weniger Ungleichheiten,.,,,
2011,Vollständig disaggregiert,10 - Weniger Ungleichheiten,.,,,
2012,Vollständig disaggregiert,10 - Weniger Ungleichheiten,.,,,
2013,Vollständig disaggregiert,10 - Weniger Ungleichheiten,.,,,
2014,Vollständig disaggregiert,10 - Weniger Ungleichheiten,.,,,
2015,Vollständig disaggregiert,10 - Weniger Ungleichheiten,.,,,
2016,Vollständig disaggregiert,10 - Weniger Ungleichheiten,,,,62.8
2017,Vollständig disaggregiert,10 - Weniger Ungleichheiten,.,,,
2018,Vollständig disaggregiert,10 - Weniger Ungleichheiten,,,,65.7
2019,Vollständig disaggregiert,10 - Weniger Ungleichheiten,…,,,
2020,Vollständig disaggregiert,10 - Weniger Ungleichheiten,…,,,
2021,Vollständig disaggregiert,10 - Weniger Ungleichheiten,…,,,
2022,Vollständig disaggregiert,10 - Weniger Ungleichheiten,,,,
2023,Vollständig disaggregiert,10 - Weniger Ungleichheiten,,,,
