Year,Units,Zeitreihe,Aufgabenbereiche,Gerichtsebene,COMMENT_OBS_0,COMMENT_OBS_1,COMMENT_OBS_2,Value
2011,Prozent,Öffentlicher Dienst,"Bildungswesen, Wissenschaft, Forschung, kulturelle Angelegenheiten",,.,,,
2012,Prozent,Öffentlicher Dienst,"Bildungswesen, Wissenschaft, Forschung, kulturelle Angelegenheiten",,.,,,
2013,Prozent,Öffentlicher Dienst,"Bildungswesen, Wissenschaft, Forschung, kulturelle Angelegenheiten",,.,,,
2014,Prozent,Öffentlicher Dienst,"Bildungswesen, Wissenschaft, Forschung, kulturelle Angelegenheiten",,.,,,
2015,Prozent,Öffentlicher Dienst,"Bildungswesen, Wissenschaft, Forschung, kulturelle Angelegenheiten",,.,,,
2016,Prozent,Öffentlicher Dienst,"Bildungswesen, Wissenschaft, Forschung, kulturelle Angelegenheiten",,.,,,
2017,Prozent,Öffentlicher Dienst,"Bildungswesen, Wissenschaft, Forschung, kulturelle Angelegenheiten",,.,,,
2018,Prozent,Öffentlicher Dienst,"Bildungswesen, Wissenschaft, Forschung, kulturelle Angelegenheiten",,.,,,
2019,Prozent,Öffentlicher Dienst,"Bildungswesen, Wissenschaft, Forschung, kulturelle Angelegenheiten",,.,,,
2020,Prozent,Öffentlicher Dienst,"Bildungswesen, Wissenschaft, Forschung, kulturelle Angelegenheiten",,,,,1.8
2021,Prozent,Öffentlicher Dienst,"Bildungswesen, Wissenschaft, Forschung, kulturelle Angelegenheiten",,…,,,
2022,Prozent,Öffentlicher Dienst,"Bildungswesen, Wissenschaft, Forschung, kulturelle Angelegenheiten",,…,,,
2023,Prozent,Öffentlicher Dienst,"Bildungswesen, Wissenschaft, Forschung, kulturelle Angelegenheiten",,…,,,
2024,Prozent,Öffentlicher Dienst,"Bildungswesen, Wissenschaft, Forschung, kulturelle Angelegenheiten",,…,,,
2010,Prozent,Öffentlicher Dienst,"Gesundheit, Umwelt, Sport und Erholung",,.,,,
2011,Prozent,Öffentlicher Dienst,"Gesundheit, Umwelt, Sport und Erholung",,.,,,
2012,Prozent,Öffentlicher Dienst,"Gesundheit, Umwelt, Sport und Erholung",,.,,,
2013,Prozent,Öffentlicher Dienst,"Gesundheit, Umwelt, Sport und Erholung",,.,,,
2014,Prozent,Öffentlicher Dienst,"Gesundheit, Umwelt, Sport und Erholung",,.,,,
2015,Prozent,Öffentlicher Dienst,"Gesundheit, Umwelt, Sport und Erholung",,.,,,
2016,Prozent,Öffentlicher Dienst,"Gesundheit, Umwelt, Sport und Erholung",,.,,,
2017,Prozent,Öffentlicher Dienst,"Gesundheit, Umwelt, Sport und Erholung",,.,,,
2018,Prozent,Öffentlicher Dienst,"Gesundheit, Umwelt, Sport und Erholung",,.,,,
2019,Prozent,Öffentlicher Dienst,"Gesundheit, Umwelt, Sport und Erholung",,.,,,
2020,Prozent,Öffentlicher Dienst,"Gesundheit, Umwelt, Sport und Erholung",,,,,12.6
2021,Prozent,Öffentlicher Dienst,"Gesundheit, Umwelt, Sport und Erholung",,…,,,
2022,Prozent,Öffentlicher Dienst,"Gesundheit, Umwelt, Sport und Erholung",,…,,,
2023,Prozent,Öffentlicher Dienst,"Gesundheit, Umwelt, Sport und Erholung",,…,,,
2024,Prozent,Öffentlicher Dienst,"Gesundheit, Umwelt, Sport und Erholung",,…,,,
2010,Prozent,Justiz,,,,,,18.23
2011,Prozent,Justiz,,,,,,18.55
2012,Prozent,Justiz,,,,,,18.83
2013,Prozent,Justiz,,,,,,19.55
2014,Prozent,Justiz,,,,,,20.53
2015,Prozent,Justiz,,,,,,21.76
2016,Prozent,Justiz,,,,,,22.82
2017,Prozent,Justiz,,,,,,23.98
2018,Prozent,Justiz,,,,,,23.89
2019,Prozent,Justiz,,,,,,23.08
2020,Prozent,Justiz,,,,,,23.52
2021,Prozent,Justiz,,,,,,22.59
2022,Prozent,Justiz,,,,,,24.06
2023,Prozent,Justiz,,,,,,26.35
2024,Prozent,Justiz,,,…,,,
2010,Prozent,Justiz,,Oberste/Verfassungsgerichte,,,,19.61
2011,Prozent,Justiz,,Oberste/Verfassungsgerichte,,,,19.3
2012,Prozent,Justiz,,Oberste/Verfassungsgerichte,,,,20.37
2013,Prozent,Justiz,,Oberste/Verfassungsgerichte,,,,20.07
2014,Prozent,Justiz,,Oberste/Verfassungsgerichte,,,,21.82
2015,Prozent,Justiz,,Oberste/Verfassungsgerichte,,,,21.09
2016,Prozent,Justiz,,Oberste/Verfassungsgerichte,,,,22.08
2017,Prozent,Justiz,,Oberste/Verfassungsgerichte,,,,22.25
2018,Prozent,Justiz,,Oberste/Verfassungsgerichte,,,,22.46
2019,Prozent,Justiz,,Oberste/Verfassungsgerichte,,,,22.18
2020,Prozent,Justiz,,Oberste/Verfassungsgerichte,,,,23.54
2021,Prozent,Justiz,,Oberste/Verfassungsgerichte,,,,19.73
2022,Prozent,Justiz,,Oberste/Verfassungsgerichte,r,,,22.14
2023,Prozent,Justiz,,Oberste/Verfassungsgerichte,,,,24.06
2024,Prozent,Justiz,,Oberste/Verfassungsgerichte,,,,
2010,Prozent,Justiz,,Übergeordnete Gerichte,,,,18.15
2011,Prozent,Justiz,,Übergeordnete Gerichte,,,,18.5
2012,Prozent,Justiz,,Übergeordnete Gerichte,,,,18.73
2013,Prozent,Justiz,,Übergeordnete Gerichte,,,,19.51
2014,Prozent,Justiz,,Übergeordnete Gerichte,,,,20.45
2015,Prozent,Justiz,,Übergeordnete Gerichte,,,,21.8
2016,Prozent,Justiz,,Übergeordnete Gerichte,,,,22.86
2017,Prozent,Justiz,,Übergeordnete Gerichte,,,,24.08
2018,Prozent,Justiz,,Übergeordnete Gerichte,,,,23.99
2019,Prozent,Justiz,,Übergeordnete Gerichte,,,,23.14
2020,Prozent,Justiz,,Übergeordnete Gerichte,,,,23.52
2021,Prozent,Justiz,,Übergeordnete Gerichte,,,,22.76
2022,Prozent,Justiz,,Übergeordnete Gerichte,r,,,24.18
2023,Prozent,Justiz,,Übergeordnete Gerichte,,,,26.48
2024,Prozent,Justiz,,Übergeordnete Gerichte,,,,
2010,Prozent,Justiz,,Untergeordnete Gerichte,.,,,
2011,Prozent,Justiz,,Untergeordnete Gerichte,.,,,
2012,Prozent,Justiz,,Untergeordnete Gerichte,.,,,
2013,Prozent,Justiz,,Untergeordnete Gerichte,.,,,
2014,Prozent,Justiz,,Untergeordnete Gerichte,.,,,
2015,Prozent,Justiz,,Untergeordnete Gerichte,.,,,
2016,Prozent,Justiz,,Untergeordnete Gerichte,,,,61694.0
2017,Prozent,Justiz,,Untergeordnete Gerichte,,,,68538.0
2018,Prozent,Justiz,,Untergeordnete Gerichte,,,,88196.0
2019,Prozent,Justiz,,Untergeordnete Gerichte,,,,78533.0
2020,Prozent,Justiz,,Untergeordnete Gerichte,,,,100349.0
2021,Prozent,Justiz,,Untergeordnete Gerichte,,,,83997.0
2022,Prozent,Justiz,,Untergeordnete Gerichte,…,,,
2023,Prozent,Justiz,,Untergeordnete Gerichte,…,,,
2024,Prozent,Justiz,,Untergeordnete Gerichte,…,,,
2010,Keine Einheit,Deutscher Bundestag,,,.,,,
2011,Keine Einheit,Deutscher Bundestag,,,.,,,
2012,Keine Einheit,Deutscher Bundestag,,,.,,,
2013,Keine Einheit,Deutscher Bundestag,,,.,,,
2014,Keine Einheit,Deutscher Bundestag,,,.,,,
2015,Keine Einheit,Deutscher Bundestag,,,.,,,
2016,Keine Einheit,Deutscher Bundestag,,,,,,66220.0
2017,Keine Einheit,Deutscher Bundestag,,,,,,70423.0
2018,Keine Einheit,Deutscher Bundestag,,,,,,69477.0
2019,Keine Einheit,Deutscher Bundestag,,,,,,82684.0
2020,Keine Einheit,Deutscher Bundestag,,,,,,89597.0
2021,Keine Einheit,Deutscher Bundestag,,,,,,87166.0
2022,Keine Einheit,Deutscher Bundestag,,,…,,,
2023,Keine Einheit,Deutscher Bundestag,,,…,,,
2024,Keine Einheit,Deutscher Bundestag,,,…,,,
2010,Keine Einheit,Bundesrat,,,.,,,
2011,Keine Einheit,Bundesrat,,,.,,,
2012,Keine Einheit,Bundesrat,,,.,,,
2013,Keine Einheit,Bundesrat,,,.,,,
2014,Keine Einheit,Bundesrat,,,.,,,
2015,Keine Einheit,Bundesrat,,,.,,,
2016,Keine Einheit,Bundesrat,,,,,,53012.0
2017,Keine Einheit,Bundesrat,,,,,,57413.0
2018,Keine Einheit,Bundesrat,,,,,,51859.0
2019,Keine Einheit,Bundesrat,,,,,,65444.0
2020,Keine Einheit,Bundesrat,,,,,,75206.0
2021,Keine Einheit,Bundesrat,,,,,,70654.0
2022,Keine Einheit,Bundesrat,,,…,,,
2023,Keine Einheit,Bundesrat,,,…,,,
2024,Keine Einheit,Bundesrat,,,…,,,
2010,Keine Einheit,Öffentlicher Dienst,,,.,,,
2011,Keine Einheit,Öffentlicher Dienst,,,.,,,
2012,Keine Einheit,Öffentlicher Dienst,,,.,,,
2013,Keine Einheit,Öffentlicher Dienst,,,.,,,
2014,Keine Einheit,Öffentlicher Dienst,,,.,,,
2015,Keine Einheit,Öffentlicher Dienst,,,.,,,
2016,Keine Einheit,Öffentlicher Dienst,,,,,,13208.0
2017,Keine Einheit,Öffentlicher Dienst,,,,,,13010.0
2018,Keine Einheit,Öffentlicher Dienst,,,,,,17618.0
2019,Keine Einheit,Öffentlicher Dienst,,,,,,17240.0
2020,Keine Einheit,Öffentlicher Dienst,,,,,,14391.0
2021,Keine Einheit,Öffentlicher Dienst,,,,,,16512.0
2022,Keine Einheit,Öffentlicher Dienst,,,…,,,
2023,Keine Einheit,Öffentlicher Dienst,,,…,,,
2024,Keine Einheit,Öffentlicher Dienst,,,…,,,
2010,Keine Einheit,Öffentlicher Dienst,"Politische Führung und zentrale Verwaltung, Auswärtige Angelegenheiten",,,,,12868.0
2011,Keine Einheit,Öffentlicher Dienst,"Politische Führung und zentrale Verwaltung, Auswärtige Angelegenheiten",,…,,,
2012,Keine Einheit,Öffentlicher Dienst,"Politische Führung und zentrale Verwaltung, Auswärtige Angelegenheiten",,…,,,
2013,Keine Einheit,Öffentlicher Dienst,"Politische Führung und zentrale Verwaltung, Auswärtige Angelegenheiten",,…,,,
2014,Keine Einheit,Öffentlicher Dienst,"Politische Führung und zentrale Verwaltung, Auswärtige Angelegenheiten",,…,,,
2015,Keine Einheit,Öffentlicher Dienst,"Politische Führung und zentrale Verwaltung, Auswärtige Angelegenheiten",,…,,,
2016,Keine Einheit,Öffentlicher Dienst,"Politische Führung und zentrale Verwaltung, Auswärtige Angelegenheiten",,…,,,
2017,Keine Einheit,Öffentlicher Dienst,"Politische Führung und zentrale Verwaltung, Auswärtige Angelegenheiten",,…,,,
2018,Keine Einheit,Öffentlicher Dienst,"Politische Führung und zentrale Verwaltung, Auswärtige Angelegenheiten",,…,,,
2019,Keine Einheit,Öffentlicher Dienst,"Politische Führung und zentrale Verwaltung, Auswärtige Angelegenheiten",,…,,,
2020,Keine Einheit,Öffentlicher Dienst,"Politische Führung und zentrale Verwaltung, Auswärtige Angelegenheiten",,…,,,
2021,Keine Einheit,Öffentlicher Dienst,"Politische Führung und zentrale Verwaltung, Auswärtige Angelegenheiten",,…,,,
2022,Keine Einheit,Öffentlicher Dienst,"Politische Führung und zentrale Verwaltung, Auswärtige Angelegenheiten",,…,,,
2023,Keine Einheit,Öffentlicher Dienst,"Politische Führung und zentrale Verwaltung, Auswärtige Angelegenheiten",,…,,,
2024,Keine Einheit,Öffentlicher Dienst,"Politische Führung und zentrale Verwaltung, Auswärtige Angelegenheiten",,…,,,
2010,Keine Einheit,Öffentlicher Dienst,Polizei,,.,,,
2011,Keine Einheit,Öffentlicher Dienst,Polizei,,.,,,
2012,Keine Einheit,Öffentlicher Dienst,Polizei,,.,,,
2013,Keine Einheit,Öffentlicher Dienst,Polizei,,.,,,
2014,Keine Einheit,Öffentlicher Dienst,Polizei,,.,,,
2015,Keine Einheit,Öffentlicher Dienst,Polizei,,,,,4.65
2016,Keine Einheit,Öffentlicher Dienst,Polizei,,.,,,
2017,Keine Einheit,Öffentlicher Dienst,Polizei,,,,,3.66
2018,Keine Einheit,Öffentlicher Dienst,Polizei,,.,,,
2019,Keine Einheit,Öffentlicher Dienst,Polizei,,,,,4.67
2020,Keine Einheit,Öffentlicher Dienst,Polizei,,.,,,
2021,Keine Einheit,Öffentlicher Dienst,Polizei,,,,,3.86
2022,Keine Einheit,Öffentlicher Dienst,Polizei,,.,,,
2023,Keine Einheit,Öffentlicher Dienst,Polizei,,,,,11.56
2024,Keine Einheit,Öffentlicher Dienst,Polizei,,…,,,
2010,Keine Einheit,Öffentlicher Dienst,"Bildungswesen, Wissenschaft, Forschung, kulturelle Angelegenheiten",,.,,,
2011,Keine Einheit,Öffentlicher Dienst,"Bildungswesen, Wissenschaft, Forschung, kulturelle Angelegenheiten",,.,,,
2012,Keine Einheit,Öffentlicher Dienst,"Bildungswesen, Wissenschaft, Forschung, kulturelle Angelegenheiten",,.,,,
2013,Keine Einheit,Öffentlicher Dienst,"Bildungswesen, Wissenschaft, Forschung, kulturelle Angelegenheiten",,.,,,
2014,Keine Einheit,Öffentlicher Dienst,"Bildungswesen, Wissenschaft, Forschung, kulturelle Angelegenheiten",,.,,,
2015,Keine Einheit,Öffentlicher Dienst,"Bildungswesen, Wissenschaft, Forschung, kulturelle Angelegenheiten",,,,,4.89
2016,Keine Einheit,Öffentlicher Dienst,"Bildungswesen, Wissenschaft, Forschung, kulturelle Angelegenheiten",,.,,,
2017,Keine Einheit,Öffentlicher Dienst,"Bildungswesen, Wissenschaft, Forschung, kulturelle Angelegenheiten",,,,,3.75
2018,Keine Einheit,Öffentlicher Dienst,"Bildungswesen, Wissenschaft, Forschung, kulturelle Angelegenheiten",,.,,,
2019,Keine Einheit,Öffentlicher Dienst,"Bildungswesen, Wissenschaft, Forschung, kulturelle Angelegenheiten",,,,,4.62
2020,Keine Einheit,Öffentlicher Dienst,"Bildungswesen, Wissenschaft, Forschung, kulturelle Angelegenheiten",,.,,,
2021,Keine Einheit,Öffentlicher Dienst,"Bildungswesen, Wissenschaft, Forschung, kulturelle Angelegenheiten",,,,,3.04
2022,Keine Einheit,Öffentlicher Dienst,"Bildungswesen, Wissenschaft, Forschung, kulturelle Angelegenheiten",,.,,,
2023,Keine Einheit,Öffentlicher Dienst,"Bildungswesen, Wissenschaft, Forschung, kulturelle Angelegenheiten",,,,,10.2
2024,Keine Einheit,Öffentlicher Dienst,"Bildungswesen, Wissenschaft, Forschung, kulturelle Angelegenheiten",,…,,,
2010,Keine Einheit,Öffentlicher Dienst,"Gesundheit, Umwelt, Sport und Erholung",,.,,,
2011,Keine Einheit,Öffentlicher Dienst,"Gesundheit, Umwelt, Sport und Erholung",,.,,,
2012,Keine Einheit,Öffentlicher Dienst,"Gesundheit, Umwelt, Sport und Erholung",,.,,,
2013,Keine Einheit,Öffentlicher Dienst,"Gesundheit, Umwelt, Sport und Erholung",,.,,,
2014,Keine Einheit,Öffentlicher Dienst,"Gesundheit, Umwelt, Sport und Erholung",,.,,,
2015,Keine Einheit,Öffentlicher Dienst,"Gesundheit, Umwelt, Sport und Erholung",,,,,4.36
2016,Keine Einheit,Öffentlicher Dienst,"Gesundheit, Umwelt, Sport und Erholung",,.,,,
2017,Keine Einheit,Öffentlicher Dienst,"Gesundheit, Umwelt, Sport und Erholung",,,,,3.57
2018,Keine Einheit,Öffentlicher Dienst,"Gesundheit, Umwelt, Sport und Erholung",,.,,,
2019,Keine Einheit,Öffentlicher Dienst,"Gesundheit, Umwelt, Sport und Erholung",,,,,4.56
2020,Keine Einheit,Öffentlicher Dienst,"Gesundheit, Umwelt, Sport und Erholung",,.,,,
2021,Keine Einheit,Öffentlicher Dienst,"Gesundheit, Umwelt, Sport und Erholung",,,,,4.68
2022,Keine Einheit,Öffentlicher Dienst,"Gesundheit, Umwelt, Sport und Erholung",,.,,,
2023,Keine Einheit,Öffentlicher Dienst,"Gesundheit, Umwelt, Sport und Erholung",,,,,12.94
2024,Keine Einheit,Öffentlicher Dienst,"Gesundheit, Umwelt, Sport und Erholung",,…,,,
2010,Keine Einheit,Justiz,,,.,,,
2011,Keine Einheit,Justiz,,,.,,,
2012,Keine Einheit,Justiz,,,.,,,
2013,Keine Einheit,Justiz,,,.,,,
2014,Keine Einheit,Justiz,,,.,,,
2015,Keine Einheit,Justiz,,,.,,,
2016,Keine Einheit,Justiz,,,.,,,
2017,Keine Einheit,Justiz,,,.,,,
2018,Keine Einheit,Justiz,,,.,,,
2019,Keine Einheit,Justiz,,,,,,28.0
2020,Keine Einheit,Justiz,,,.,,,
2021,Keine Einheit,Justiz,,,,,,31.19
2022,Keine Einheit,Justiz,,,.,,,
2023,Keine Einheit,Justiz,,,,,,20.85
2024,Keine Einheit,Justiz,,,…,,,
2010,Keine Einheit,Justiz,,Oberste/Verfassungsgerichte,s,,,354.0
2011,Keine Einheit,Justiz,,Oberste/Verfassungsgerichte,,,,295.0
2012,Keine Einheit,Justiz,,Oberste/Verfassungsgerichte,,,,163.0
2013,Keine Einheit,Justiz,,Oberste/Verfassungsgerichte,,,,222.0
2014,Keine Einheit,Justiz,,Oberste/Verfassungsgerichte,,,,121.0
2015,Keine Einheit,Justiz,,Oberste/Verfassungsgerichte,,,,148.0
2016,Keine Einheit,Justiz,,Oberste/Verfassungsgerichte,.,,,
2017,Keine Einheit,Justiz,,Oberste/Verfassungsgerichte,.,,,
2018,Keine Einheit,Justiz,,Oberste/Verfassungsgerichte,.,,,
2019,Keine Einheit,Justiz,,Oberste/Verfassungsgerichte,.,,,
2020,Keine Einheit,Justiz,,Oberste/Verfassungsgerichte,.,,,
2021,Keine Einheit,Justiz,,Oberste/Verfassungsgerichte,.,,,
2022,Keine Einheit,Justiz,,Oberste/Verfassungsgerichte,.,,,
2023,Keine Einheit,Justiz,,Oberste/Verfassungsgerichte,.,,,
2024,Keine Einheit,Justiz,,Oberste/Verfassungsgerichte,…,,,
2010,Keine Einheit,Justiz,,Übergeordnete Gerichte,.,,,
2011,Keine Einheit,Justiz,,Übergeordnete Gerichte,.,,,
2012,Keine Einheit,Justiz,,Übergeordnete Gerichte,.,,,
2013,Keine Einheit,Justiz,,Übergeordnete Gerichte,.,,,
2014,Keine Einheit,Justiz,,Übergeordnete Gerichte,.,,,
2015,Keine Einheit,Justiz,,Übergeordnete Gerichte,,,,3.6
2016,Keine Einheit,Justiz,,Übergeordnete Gerichte,.,,,
2017,Keine Einheit,Justiz,,Übergeordnete Gerichte,,,,2.41
2018,Keine Einheit,Justiz,,Übergeordnete Gerichte,.,,,
2019,Keine Einheit,Justiz,,Übergeordnete Gerichte,,,,4.0
2020,Keine Einheit,Justiz,,Übergeordnete Gerichte,.,,,
2021,Keine Einheit,Justiz,,Übergeordnete Gerichte,,,,4.0
2022,Keine Einheit,Justiz,,Übergeordnete Gerichte,.,,,
2023,Keine Einheit,Justiz,,Übergeordnete Gerichte,,,,3.4
2024,Keine Einheit,Justiz,,Übergeordnete Gerichte,…,,,
2010,Keine Einheit,Justiz,,Untergeordnete Gerichte,,,,95.1
2011,Keine Einheit,Justiz,,Untergeordnete Gerichte,,,,97.0
2012,Keine Einheit,Justiz,,Untergeordnete Gerichte,,,,98.6
2013,Keine Einheit,Justiz,,Untergeordnete Gerichte,,,,99.4
2014,Keine Einheit,Justiz,,Untergeordnete Gerichte,,,,99.8
2015,Keine Einheit,Justiz,,Untergeordnete Gerichte,,,,101.6
2016,Keine Einheit,Justiz,,Untergeordnete Gerichte,,,,100.2
2017,Keine Einheit,Justiz,,Untergeordnete Gerichte,,,,100.6
2018,Keine Einheit,Justiz,,Untergeordnete Gerichte,,,,101.4
2019,Keine Einheit,Justiz,,Untergeordnete Gerichte,,,,100.2
2020,Keine Einheit,Justiz,,Untergeordnete Gerichte,,,,87.2
2021,Keine Einheit,Justiz,,Untergeordnete Gerichte,,,,97.3
2022,Keine Einheit,Justiz,,Untergeordnete Gerichte,,,,97.1
2023,Keine Einheit,Justiz,,Untergeordnete Gerichte,,,,99.2
2024,Keine Einheit,Justiz,,Untergeordnete Gerichte,,,,99.6
