Year,Units,Altersklasse,Geschlecht,Opfer-Tatverdächtigen-Beziehung,COMMENT_OBS_0,COMMENT_OBS_1,COMMENT_OBS_2,Value
2010,Je 100 000 Einwohner/-innen,18 bis unter 21 Jahre,,,,,,1297687.97
2011,Je 100 000 Einwohner/-innen,18 bis unter 21 Jahre,,,,,,1298278.703
2012,Je 100 000 Einwohner/-innen,18 bis unter 21 Jahre,,,,,,1298720.641
2013,Je 100 000 Einwohner/-innen,18 bis unter 21 Jahre,,,,,,1300335.815
2014,Je 100 000 Einwohner/-innen,18 bis unter 21 Jahre,,,,,,1304500.284
2015,Je 100 000 Einwohner/-innen,18 bis unter 21 Jahre,,,,,,1311550.677
2016,Je 100 000 Einwohner/-innen,18 bis unter 21 Jahre,,,,,,1311857.4
2017,Je 100 000 Einwohner/-innen,18 bis unter 21 Jahre,,,,,,1311946.268
2018,Je 100 000 Einwohner/-innen,18 bis unter 21 Jahre,,,,,,1312285.598
2019,Je 100 000 Einwohner/-innen,18 bis unter 21 Jahre,,,,,,1312732.718
2020,Je 100 000 Einwohner/-innen,18 bis unter 21 Jahre,,,,,,1317288.48
2021,Je 100 000 Einwohner/-innen,18 bis unter 21 Jahre,,,,,,1317288.48
2022,Je 100 000 Einwohner/-innen,18 bis unter 21 Jahre,,,,,,1317288.48
2023,Je 100 000 Einwohner/-innen,18 bis unter 21 Jahre,,,,,,1319050.64
2024,Je 100 000 Einwohner/-innen,18 bis unter 21 Jahre,,,,,,1320533.18
2010,Je 100 000 Einwohner/-innen,21 bis unter 60 Jahre,,,.,,,
2011,Je 100 000 Einwohner/-innen,21 bis unter 60 Jahre,,,.,,,
2012,Je 100 000 Einwohner/-innen,21 bis unter 60 Jahre,,,.,,,
2013,Je 100 000 Einwohner/-innen,21 bis unter 60 Jahre,,,.,,,
2014,Je 100 000 Einwohner/-innen,21 bis unter 60 Jahre,,,.,,,
2015,Je 100 000 Einwohner/-innen,21 bis unter 60 Jahre,,,,,,92.2
2016,Je 100 000 Einwohner/-innen,21 bis unter 60 Jahre,,,.,,,
2017,Je 100 000 Einwohner/-innen,21 bis unter 60 Jahre,,,.,,,
2018,Je 100 000 Einwohner/-innen,21 bis unter 60 Jahre,,,,,,92.15
2019,Je 100 000 Einwohner/-innen,21 bis unter 60 Jahre,,,.,,,
2020,Je 100 000 Einwohner/-innen,21 bis unter 60 Jahre,,,.,,,
2021,Je 100 000 Einwohner/-innen,21 bis unter 60 Jahre,,,,,,92.25
2022,Je 100 000 Einwohner/-innen,21 bis unter 60 Jahre,,,.,,,
2023,Je 100 000 Einwohner/-innen,21 bis unter 60 Jahre,,,.,,,
2024,Je 100 000 Einwohner/-innen,21 bis unter 60 Jahre,,,…,,,
2010,Je 100 000 Einwohner/-innen,60 Jahre und älter,,,.,,,
2011,Je 100 000 Einwohner/-innen,60 Jahre und älter,,,.,,,
2012,Je 100 000 Einwohner/-innen,60 Jahre und älter,,,.,,,
2013,Je 100 000 Einwohner/-innen,60 Jahre und älter,,,.,,,
2014,Je 100 000 Einwohner/-innen,60 Jahre und älter,,,.,,,
2015,Je 100 000 Einwohner/-innen,60 Jahre und älter,,,.,,,
2016,Je 100 000 Einwohner/-innen,60 Jahre und älter,,,.,,,
2017,Je 100 000 Einwohner/-innen,60 Jahre und älter,,,.,,,
2018,Je 100 000 Einwohner/-innen,60 Jahre und älter,,,,,,0.05
2019,Je 100 000 Einwohner/-innen,60 Jahre und älter,,,.,,,
2020,Je 100 000 Einwohner/-innen,60 Jahre und älter,,,.,,,
2021,Je 100 000 Einwohner/-innen,60 Jahre und älter,,,,,,0.03
2022,Je 100 000 Einwohner/-innen,60 Jahre und älter,,,.,,,
2023,Je 100 000 Einwohner/-innen,60 Jahre und älter,,,.,,,
2024,Je 100 000 Einwohner/-innen,60 Jahre und älter,,,…,,,
2010,Je 100 000 Einwohner/-innen,,Weiblich,,.,,,
2011,Je 100 000 Einwohner/-innen,,Weiblich,,.,,,
2012,Je 100 000 Einwohner/-innen,,Weiblich,,.,,,
2013,Je 100 000 Einwohner/-innen,,Weiblich,,.,,,
2014,Je 100 000 Einwohner/-innen,,Weiblich,,.,,,
2015,Je 100 000 Einwohner/-innen,,Weiblich,,.,,,
2016,Je 100 000 Einwohner/-innen,,Weiblich,,,,,19.0
2017,Je 100 000 Einwohner/-innen,,Weiblich,,.,,,
2018,Je 100 000 Einwohner/-innen,,Weiblich,,.,,,
2019,Je 100 000 Einwohner/-innen,,Weiblich,,.,,,
2020,Je 100 000 Einwohner/-innen,,Weiblich,,.,,,
2021,Je 100 000 Einwohner/-innen,,Weiblich,,.,,,
2022,Je 100 000 Einwohner/-innen,,Weiblich,,,,,19.0
2023,Je 100 000 Einwohner/-innen,,Weiblich,,…,,,
2024,Je 100 000 Einwohner/-innen,,Weiblich,,…,,,
2010,Je 100 000 Einwohner/-innen,,Männlich,,,,,1.0
2011,Je 100 000 Einwohner/-innen,,Männlich,,,,,1.0
2012,Je 100 000 Einwohner/-innen,,Männlich,,,,,1.0
2013,Je 100 000 Einwohner/-innen,,Männlich,,,,,1.0
2014,Je 100 000 Einwohner/-innen,,Männlich,,,,,1.0
2015,Je 100 000 Einwohner/-innen,,Männlich,,,,,1.0
2016,Je 100 000 Einwohner/-innen,,Männlich,,,,,1.0
2017,Je 100 000 Einwohner/-innen,,Männlich,,,,,1.0
2018,Je 100 000 Einwohner/-innen,,Männlich,,,,,1.0
2019,Je 100 000 Einwohner/-innen,,Männlich,,,,,1.0
2020,Je 100 000 Einwohner/-innen,,Männlich,,,,,1.0
2021,Je 100 000 Einwohner/-innen,,Männlich,,,,,1.0
2022,Je 100 000 Einwohner/-innen,,Männlich,,,,,1.0
2023,Je 100 000 Einwohner/-innen,,Männlich,,,,,1.0
2024,Je 100 000 Einwohner/-innen,,Männlich,,,,,
2010,Je 100 000 Einwohner/-innen,13 Jahre und jünger,Weiblich,,,,,
2011,Je 100 000 Einwohner/-innen,13 Jahre und jünger,Weiblich,,,,,
2012,Je 100 000 Einwohner/-innen,13 Jahre und jünger,Weiblich,,,,,
2013,Je 100 000 Einwohner/-innen,13 Jahre und jünger,Weiblich,,,,,
2014,Je 100 000 Einwohner/-innen,13 Jahre und jünger,Weiblich,,,,,
2015,Je 100 000 Einwohner/-innen,13 Jahre und jünger,Weiblich,,,,,
2016,Je 100 000 Einwohner/-innen,13 Jahre und jünger,Weiblich,,,,,1.0
2017,Je 100 000 Einwohner/-innen,13 Jahre und jünger,Weiblich,,,,,1.0
2018,Je 100 000 Einwohner/-innen,13 Jahre und jünger,Weiblich,,,,,1.0
2019,Je 100 000 Einwohner/-innen,13 Jahre und jünger,Weiblich,,,,,1.0
2020,Je 100 000 Einwohner/-innen,13 Jahre und jünger,Weiblich,,,,,1.0
2021,Je 100 000 Einwohner/-innen,13 Jahre und jünger,Weiblich,,,,,1.0
2022,Je 100 000 Einwohner/-innen,13 Jahre und jünger,Weiblich,,,,,1.0
2023,Je 100 000 Einwohner/-innen,13 Jahre und jünger,Weiblich,,,,,1.0
2024,Je 100 000 Einwohner/-innen,13 Jahre und jünger,Weiblich,,,,,
2010,Je 100 000 Einwohner/-innen,13 Jahre und jünger,Männlich,,,,,
2011,Je 100 000 Einwohner/-innen,13 Jahre und jünger,Männlich,,,,,
2012,Je 100 000 Einwohner/-innen,13 Jahre und jünger,Männlich,,,,,
2013,Je 100 000 Einwohner/-innen,13 Jahre und jünger,Männlich,,,,,
2014,Je 100 000 Einwohner/-innen,13 Jahre und jünger,Männlich,,,,,
2015,Je 100 000 Einwohner/-innen,13 Jahre und jünger,Männlich,,,,,
2016,Je 100 000 Einwohner/-innen,13 Jahre und jünger,Männlich,,,,,1.0
2017,Je 100 000 Einwohner/-innen,13 Jahre und jünger,Männlich,,,,,1.0
2018,Je 100 000 Einwohner/-innen,13 Jahre und jünger,Männlich,,,,,1.0
2019,Je 100 000 Einwohner/-innen,13 Jahre und jünger,Männlich,,,,,1.0
2020,Je 100 000 Einwohner/-innen,13 Jahre und jünger,Männlich,,,,,1.0
2021,Je 100 000 Einwohner/-innen,13 Jahre und jünger,Männlich,,,,,1.0
2022,Je 100 000 Einwohner/-innen,13 Jahre und jünger,Männlich,,,,,1.0
2023,Je 100 000 Einwohner/-innen,13 Jahre und jünger,Männlich,,,,,1.0
2024,Je 100 000 Einwohner/-innen,13 Jahre und jünger,Männlich,,,,,
2010,Je 100 000 Einwohner/-innen,14 bis unter 18 Jahre,Weiblich,,,,,1.0
2011,Je 100 000 Einwohner/-innen,14 bis unter 18 Jahre,Weiblich,,,,,1.0
2012,Je 100 000 Einwohner/-innen,14 bis unter 18 Jahre,Weiblich,,,,,1.0
2013,Je 100 000 Einwohner/-innen,14 bis unter 18 Jahre,Weiblich,,,,,1.0
2014,Je 100 000 Einwohner/-innen,14 bis unter 18 Jahre,Weiblich,,,,,1.0
2015,Je 100 000 Einwohner/-innen,14 bis unter 18 Jahre,Weiblich,,,,,1.0
2016,Je 100 000 Einwohner/-innen,14 bis unter 18 Jahre,Weiblich,,,,,1.0
2017,Je 100 000 Einwohner/-innen,14 bis unter 18 Jahre,Weiblich,,,,,1.0
2018,Je 100 000 Einwohner/-innen,14 bis unter 18 Jahre,Weiblich,,,,,1.0
2019,Je 100 000 Einwohner/-innen,14 bis unter 18 Jahre,Weiblich,,,,,1.0
2020,Je 100 000 Einwohner/-innen,14 bis unter 18 Jahre,Weiblich,,,,,1.0
2021,Je 100 000 Einwohner/-innen,14 bis unter 18 Jahre,Weiblich,,,,,1.0
2022,Je 100 000 Einwohner/-innen,14 bis unter 18 Jahre,Weiblich,,,,,1.0
2023,Je 100 000 Einwohner/-innen,14 bis unter 18 Jahre,Weiblich,,,,,1.0
2024,Je 100 000 Einwohner/-innen,14 bis unter 18 Jahre,Weiblich,,,,,
2010,Je 100 000 Einwohner/-innen,14 bis unter 18 Jahre,Männlich,,,,,
2011,Je 100 000 Einwohner/-innen,14 bis unter 18 Jahre,Männlich,,,,,
2012,Je 100 000 Einwohner/-innen,14 bis unter 18 Jahre,Männlich,,,,,3898.0
2013,Je 100 000 Einwohner/-innen,14 bis unter 18 Jahre,Männlich,,,,,5012.0
2014,Je 100 000 Einwohner/-innen,14 bis unter 18 Jahre,Männlich,,,,,6068.0
2015,Je 100 000 Einwohner/-innen,14 bis unter 18 Jahre,Männlich,,,,,7292.0
2016,Je 100 000 Einwohner/-innen,14 bis unter 18 Jahre,Männlich,,,,,8347.0
2017,Je 100 000 Einwohner/-innen,14 bis unter 18 Jahre,Männlich,,,,,8728.0
2018,Je 100 000 Einwohner/-innen,14 bis unter 18 Jahre,Männlich,,,,,9120.0
2019,Je 100 000 Einwohner/-innen,14 bis unter 18 Jahre,Männlich,,,,,9711.0
2020,Je 100 000 Einwohner/-innen,14 bis unter 18 Jahre,Männlich,,,,,10239.0
2021,Je 100 000 Einwohner/-innen,14 bis unter 18 Jahre,Männlich,,,,,10797.0
2022,Je 100 000 Einwohner/-innen,14 bis unter 18 Jahre,Männlich,,,,,11332.0
2023,Je 100 000 Einwohner/-innen,14 bis unter 18 Jahre,Männlich,,,,,11821.0
2024,Je 100 000 Einwohner/-innen,14 bis unter 18 Jahre,Männlich,,,,,
2010,Je 100 000 Einwohner/-innen,18 bis unter 21 Jahre,Weiblich,,,,,22601.0
2011,Je 100 000 Einwohner/-innen,18 bis unter 21 Jahre,Weiblich,,,,,20687.0
2012,Je 100 000 Einwohner/-innen,18 bis unter 21 Jahre,Weiblich,,,,,21045.0
2013,Je 100 000 Einwohner/-innen,18 bis unter 21 Jahre,Weiblich,,,,,21364.0
2014,Je 100 000 Einwohner/-innen,18 bis unter 21 Jahre,Weiblich,,,,,23170.0
2015,Je 100 000 Einwohner/-innen,18 bis unter 21 Jahre,Weiblich,,,,,23093.0
2016,Je 100 000 Einwohner/-innen,18 bis unter 21 Jahre,Weiblich,,r,,,24262.0
2017,Je 100 000 Einwohner/-innen,18 bis unter 21 Jahre,Weiblich,,r,,,29470.0
2018,Je 100 000 Einwohner/-innen,18 bis unter 21 Jahre,Weiblich,,,,,31830.0
2019,Je 100 000 Einwohner/-innen,18 bis unter 21 Jahre,Weiblich,,,,,30319.0
2020,Je 100 000 Einwohner/-innen,18 bis unter 21 Jahre,Weiblich,,r,,,19710.0
2021,Je 100 000 Einwohner/-innen,18 bis unter 21 Jahre,Weiblich,,,,,24001.0
2022,Je 100 000 Einwohner/-innen,18 bis unter 21 Jahre,Weiblich,,,,,21039.0
2023,Je 100 000 Einwohner/-innen,18 bis unter 21 Jahre,Weiblich,,,,,19032.0
2024,Je 100 000 Einwohner/-innen,18 bis unter 21 Jahre,Weiblich,,…,,,
2010,Je 100 000 Einwohner/-innen,18 bis unter 21 Jahre,Männlich,,,,,22601.0
2011,Je 100 000 Einwohner/-innen,18 bis unter 21 Jahre,Männlich,,,,,20687.0
2012,Je 100 000 Einwohner/-innen,18 bis unter 21 Jahre,Männlich,,,,,21045.0
2013,Je 100 000 Einwohner/-innen,18 bis unter 21 Jahre,Männlich,,,,,21364.0
2014,Je 100 000 Einwohner/-innen,18 bis unter 21 Jahre,Männlich,,,,,23170.0
2015,Je 100 000 Einwohner/-innen,18 bis unter 21 Jahre,Männlich,,,,,23093.0
2016,Je 100 000 Einwohner/-innen,18 bis unter 21 Jahre,Männlich,,r,,,24262.0
2017,Je 100 000 Einwohner/-innen,18 bis unter 21 Jahre,Männlich,,r,,,29470.0
2018,Je 100 000 Einwohner/-innen,18 bis unter 21 Jahre,Männlich,,,,,31830.0
2019,Je 100 000 Einwohner/-innen,18 bis unter 21 Jahre,Männlich,,,,,30319.0
2020,Je 100 000 Einwohner/-innen,18 bis unter 21 Jahre,Männlich,,r,,,19710.0
2021,Je 100 000 Einwohner/-innen,18 bis unter 21 Jahre,Männlich,,,,,24001.0
2022,Je 100 000 Einwohner/-innen,18 bis unter 21 Jahre,Männlich,,,,,21039.0
2023,Je 100 000 Einwohner/-innen,18 bis unter 21 Jahre,Männlich,,,,,19032.0
2024,Je 100 000 Einwohner/-innen,18 bis unter 21 Jahre,Männlich,,…,,,
2010,Je 100 000 Einwohner/-innen,21 bis unter 60 Jahre,Weiblich,,,,,946.0
2011,Je 100 000 Einwohner/-innen,21 bis unter 60 Jahre,Weiblich,,,,,935.0
2012,Je 100 000 Einwohner/-innen,21 bis unter 60 Jahre,Weiblich,,,,,811.0
2013,Je 100 000 Einwohner/-innen,21 bis unter 60 Jahre,Weiblich,,,,,748.0
2014,Je 100 000 Einwohner/-innen,21 bis unter 60 Jahre,Weiblich,,,,,692.0
2015,Je 100 000 Einwohner/-innen,21 bis unter 60 Jahre,Weiblich,,,,,1159.0
2016,Je 100 000 Einwohner/-innen,21 bis unter 60 Jahre,Weiblich,,,,,833.0
2017,Je 100 000 Einwohner/-innen,21 bis unter 60 Jahre,Weiblich,,|,,,903.0
2018,Je 100 000 Einwohner/-innen,21 bis unter 60 Jahre,Weiblich,,,,,1249.0
2019,Je 100 000 Einwohner/-innen,21 bis unter 60 Jahre,Weiblich,,,,,1440.0
2020,Je 100 000 Einwohner/-innen,21 bis unter 60 Jahre,Weiblich,,,,,1234.0
2021,Je 100 000 Einwohner/-innen,21 bis unter 60 Jahre,Weiblich,,,,,1114.0
2022,Je 100 000 Einwohner/-innen,21 bis unter 60 Jahre,Weiblich,,,,,1027.0
2023,Je 100 000 Einwohner/-innen,21 bis unter 60 Jahre,Weiblich,,,,,
2024,Je 100 000 Einwohner/-innen,21 bis unter 60 Jahre,Weiblich,,,,,
2010,Je 100 000 Einwohner/-innen,21 bis unter 60 Jahre,Männlich,,,,,946.0
2011,Je 100 000 Einwohner/-innen,21 bis unter 60 Jahre,Männlich,,,,,935.0
2012,Je 100 000 Einwohner/-innen,21 bis unter 60 Jahre,Männlich,,,,,811.0
2013,Je 100 000 Einwohner/-innen,21 bis unter 60 Jahre,Männlich,,,,,748.0
2014,Je 100 000 Einwohner/-innen,21 bis unter 60 Jahre,Männlich,,,,,692.0
2015,Je 100 000 Einwohner/-innen,21 bis unter 60 Jahre,Männlich,,,,,1159.0
2016,Je 100 000 Einwohner/-innen,21 bis unter 60 Jahre,Männlich,,,,,833.0
2017,Je 100 000 Einwohner/-innen,21 bis unter 60 Jahre,Männlich,,|,,,903.0
2018,Je 100 000 Einwohner/-innen,21 bis unter 60 Jahre,Männlich,,,,,1249.0
2019,Je 100 000 Einwohner/-innen,21 bis unter 60 Jahre,Männlich,,,,,1440.0
2020,Je 100 000 Einwohner/-innen,21 bis unter 60 Jahre,Männlich,,,,,1234.0
2021,Je 100 000 Einwohner/-innen,21 bis unter 60 Jahre,Männlich,,,,,1114.0
2022,Je 100 000 Einwohner/-innen,21 bis unter 60 Jahre,Männlich,,,,,1027.0
2023,Je 100 000 Einwohner/-innen,21 bis unter 60 Jahre,Männlich,,,,,
2024,Je 100 000 Einwohner/-innen,21 bis unter 60 Jahre,Männlich,,,,,
2010,Je 100 000 Einwohner/-innen,60 Jahre und älter,Weiblich,,,,,43360.0
2011,Je 100 000 Einwohner/-innen,60 Jahre und älter,Weiblich,,,,,43358.0
2012,Je 100 000 Einwohner/-innen,60 Jahre und älter,Weiblich,,,,,48560.0
2013,Je 100 000 Einwohner/-innen,60 Jahre und älter,Weiblich,,,,,44725.0
2014,Je 100 000 Einwohner/-innen,60 Jahre und älter,Weiblich,,,,,49402.0
2015,Je 100 000 Einwohner/-innen,60 Jahre und älter,Weiblich,,,,,47345.0
2016,Je 100 000 Einwohner/-innen,60 Jahre und älter,Weiblich,,,,,49693.0
2017,Je 100 000 Einwohner/-innen,60 Jahre und älter,Weiblich,,,,,56142.0
2018,Je 100 000 Einwohner/-innen,60 Jahre und älter,Weiblich,,,,,59427.0
2019,Je 100 000 Einwohner/-innen,60 Jahre und älter,Weiblich,,,,,58727.0
2020,Je 100 000 Einwohner/-innen,60 Jahre und älter,Weiblich,,,,,42911.0
2021,Je 100 000 Einwohner/-innen,60 Jahre und älter,Weiblich,,,,,49399.0
2022,Je 100 000 Einwohner/-innen,60 Jahre und älter,Weiblich,,,,,49124.0
2023,Je 100 000 Einwohner/-innen,60 Jahre und älter,Weiblich,,,,,44728.0
2024,Je 100 000 Einwohner/-innen,60 Jahre und älter,Weiblich,,…,,,
2010,Je 100 000 Einwohner/-innen,60 Jahre und älter,Männlich,,,,,43360.0
2011,Je 100 000 Einwohner/-innen,60 Jahre und älter,Männlich,,,,,43358.0
2012,Je 100 000 Einwohner/-innen,60 Jahre und älter,Männlich,,,,,48560.0
2013,Je 100 000 Einwohner/-innen,60 Jahre und älter,Männlich,,,,,44725.0
2014,Je 100 000 Einwohner/-innen,60 Jahre und älter,Männlich,,,,,49402.0
2015,Je 100 000 Einwohner/-innen,60 Jahre und älter,Männlich,,,,,47345.0
2016,Je 100 000 Einwohner/-innen,60 Jahre und älter,Männlich,,,,,49693.0
2017,Je 100 000 Einwohner/-innen,60 Jahre und älter,Männlich,,,,,56142.0
2018,Je 100 000 Einwohner/-innen,60 Jahre und älter,Männlich,,,,,59427.0
2019,Je 100 000 Einwohner/-innen,60 Jahre und älter,Männlich,,,,,58727.0
2020,Je 100 000 Einwohner/-innen,60 Jahre und älter,Männlich,,,,,42911.0
2021,Je 100 000 Einwohner/-innen,60 Jahre und älter,Männlich,,,,,49399.0
2022,Je 100 000 Einwohner/-innen,60 Jahre und älter,Männlich,,,,,49124.0
2023,Je 100 000 Einwohner/-innen,60 Jahre und älter,Männlich,,,,,44728.0
2024,Je 100 000 Einwohner/-innen,60 Jahre und älter,Männlich,,…,,,
2010,Anzahl,,,,,,,1.0
2011,Anzahl,,,,,,,1.0
2012,Anzahl,,,,,,,1.0
2013,Anzahl,,,,,,,1.0
2014,Anzahl,,,,,,,1.0
2015,Anzahl,,,,,,,1.0
2016,Anzahl,,,,,,,1.0
2017,Anzahl,,,,,,,1.0
2018,Anzahl,,,,,,,1.0
2019,Anzahl,,,,,,,1.0
2020,Anzahl,,,,,,,1.0
2021,Anzahl,,,,,,,1.0
2022,Anzahl,,,,,,,1.0
2023,Anzahl,,,,,,,1.0
2024,Anzahl,,,,,,,1.0
2010,Anzahl,13 Jahre und jünger,,,,,,1.0
2011,Anzahl,13 Jahre und jünger,,,,,,1.0
2012,Anzahl,13 Jahre und jünger,,,,,,1.0
2013,Anzahl,13 Jahre und jünger,,,,,,1.0
2014,Anzahl,13 Jahre und jünger,,,,,,1.0
2015,Anzahl,13 Jahre und jünger,,,,,,1.0
2016,Anzahl,13 Jahre und jünger,,,,,,1.0
2017,Anzahl,13 Jahre und jünger,,,,,,1.0
2018,Anzahl,13 Jahre und jünger,,,,,,1.0
2019,Anzahl,13 Jahre und jünger,,,,,,1.0
2020,Anzahl,13 Jahre und jünger,,,,,,1.0
2021,Anzahl,13 Jahre und jünger,,,,,,1.0
2022,Anzahl,13 Jahre und jünger,,,,,,1.0
2023,Anzahl,13 Jahre und jünger,,,,,,1.0
2024,Anzahl,13 Jahre und jünger,,,,,,1.0
2010,Anzahl,14 bis unter 18 Jahre,,,.,,,
2011,Anzahl,14 bis unter 18 Jahre,,,.,,,
2012,Anzahl,14 bis unter 18 Jahre,,,.,,,
2013,Anzahl,14 bis unter 18 Jahre,,,.,,,
2014,Anzahl,14 bis unter 18 Jahre,,,.,,,
2015,Anzahl,14 bis unter 18 Jahre,,,.,,,
2016,Anzahl,14 bis unter 18 Jahre,,,.,,,
2017,Anzahl,14 bis unter 18 Jahre,,,.,,,
2018,Anzahl,14 bis unter 18 Jahre,,,.,,,
2019,Anzahl,14 bis unter 18 Jahre,,,,,,0.6
2020,Anzahl,14 bis unter 18 Jahre,,,.,,,
2021,Anzahl,14 bis unter 18 Jahre,,,.,,,
2022,Anzahl,14 bis unter 18 Jahre,,,.,,,
2023,Anzahl,14 bis unter 18 Jahre,,,,,,
2024,Anzahl,14 bis unter 18 Jahre,,,,,,
2010,Anzahl,18 bis unter 21 Jahre,,,,,,3.0
2011,Anzahl,18 bis unter 21 Jahre,,,,,,3.0
2012,Anzahl,18 bis unter 21 Jahre,,,,,,3.0
2013,Anzahl,18 bis unter 21 Jahre,,,,,,3.0
2014,Anzahl,18 bis unter 21 Jahre,,,,,,3.0
2015,Anzahl,18 bis unter 21 Jahre,,,,,,3.0
2016,Anzahl,18 bis unter 21 Jahre,,,,,,3.0
2017,Anzahl,18 bis unter 21 Jahre,,,,,,3.0
2018,Anzahl,18 bis unter 21 Jahre,,,,,,3.0
2019,Anzahl,18 bis unter 21 Jahre,,,,,,3.0
2020,Anzahl,18 bis unter 21 Jahre,,,,,,3.0
2021,Anzahl,18 bis unter 21 Jahre,,,,,,3.0
2022,Anzahl,18 bis unter 21 Jahre,,,,,,3.0
2023,Anzahl,18 bis unter 21 Jahre,,,,,,3.0
2024,Anzahl,18 bis unter 21 Jahre,,,,,,3.0
2010,Anzahl,21 bis unter 60 Jahre,,,,,,440.9
2011,Anzahl,21 bis unter 60 Jahre,,,,,,877.7
2012,Anzahl,21 bis unter 60 Jahre,,,,,,755.3
2013,Anzahl,21 bis unter 60 Jahre,,,,,,754.0
2014,Anzahl,21 bis unter 60 Jahre,,,,,,926.2
2015,Anzahl,21 bis unter 60 Jahre,,,,,,1050.8
2016,Anzahl,21 bis unter 60 Jahre,,,,,,1004.9
2017,Anzahl,21 bis unter 60 Jahre,,,,,,1602.2
2018,Anzahl,21 bis unter 60 Jahre,,,,,,1350.6
2019,Anzahl,21 bis unter 60 Jahre,,,,,,1990.5
2020,Anzahl,21 bis unter 60 Jahre,,,,,,2084.9
2021,Anzahl,21 bis unter 60 Jahre,,,,,,2107.5
2022,Anzahl,21 bis unter 60 Jahre,,,,,,2850.2
2023,Anzahl,21 bis unter 60 Jahre,,,,,,2161.0
2024,Anzahl,21 bis unter 60 Jahre,,,…,,,
2010,Anzahl,60 Jahre und älter,,,,,,440.9
2011,Anzahl,60 Jahre und älter,,,,,,877.7
2012,Anzahl,60 Jahre und älter,,,,,,755.3
2013,Anzahl,60 Jahre und älter,,,,,,754.0
2014,Anzahl,60 Jahre und älter,,,,,,926.2
2015,Anzahl,60 Jahre und älter,,,,,,1050.8
