Year,Art der Erkrankung,Geschlecht,Altersklasse,Value
2016,c) Energie- und Eiweißmangelernährung,Weiblich,,0.7
2017,c) Energie- und Eiweißmangelernährung,Weiblich,,0.98
2018,c) Energie- und Eiweißmangelernährung,Weiblich,,0.99
2019,c) Energie- und Eiweißmangelernährung,Weiblich,,1.1
2020,c) Energie- und Eiweißmangelernährung,Weiblich,,1.27
2021,c) Energie- und Eiweißmangelernährung,Weiblich,,
2010,d) Akute Atemwegsinfektionen,Weiblich,,26.41
2011,d) Akute Atemwegsinfektionen,Weiblich,,25.68
2012,d) Akute Atemwegsinfektionen,Weiblich,,24.64
2013,d) Akute Atemwegsinfektionen,Weiblich,,26.43
2014,d) Akute Atemwegsinfektionen,Weiblich,,20.97
2015,d) Akute Atemwegsinfektionen,Weiblich,,26.2
2016,d) Akute Atemwegsinfektionen,Weiblich,,23.2
2017,d) Akute Atemwegsinfektionen,Weiblich,,26.06
2018,d) Akute Atemwegsinfektionen,Weiblich,,28.6
2019,d) Akute Atemwegsinfektionen,Weiblich,,24.03
2020,d) Akute Atemwegsinfektionen,Weiblich,,19.26
2021,d) Akute Atemwegsinfektionen,Weiblich,,
2010,a) Durchfallerkrankungen,,4 Jahre und jünger,0.32
2011,a) Durchfallerkrankungen,,4 Jahre und jünger,0.15
2012,a) Durchfallerkrankungen,,4 Jahre und jünger,0.24
2013,a) Durchfallerkrankungen,,4 Jahre und jünger,0.35
2014,a) Durchfallerkrankungen,,4 Jahre und jünger,0.17
2015,a) Durchfallerkrankungen,,4 Jahre und jünger,0.23
2016,a) Durchfallerkrankungen,,4 Jahre und jünger,0.33
2017,a) Durchfallerkrankungen,,4 Jahre und jünger,0.26
2018,a) Durchfallerkrankungen,,4 Jahre und jünger,0.41
2019,a) Durchfallerkrankungen,,4 Jahre und jünger,0.15
2020,a) Durchfallerkrankungen,,4 Jahre und jünger,0.08
2021,a) Durchfallerkrankungen,,4 Jahre und jünger,
2010,b) Intestinale Nematodeninfektionen,,4 Jahre und jünger,0.0
2011,b) Intestinale Nematodeninfektionen,,4 Jahre und jünger,0.0
2012,b) Intestinale Nematodeninfektionen,,4 Jahre und jünger,0.0
2013,b) Intestinale Nematodeninfektionen,,4 Jahre und jünger,0.0
2014,b) Intestinale Nematodeninfektionen,,4 Jahre und jünger,0.0
2015,b) Intestinale Nematodeninfektionen,,4 Jahre und jünger,0.0
2016,b) Intestinale Nematodeninfektionen,,4 Jahre und jünger,0.0
2017,b) Intestinale Nematodeninfektionen,,4 Jahre und jünger,0.0
2018,b) Intestinale Nematodeninfektionen,,4 Jahre und jünger,0.0
2019,b) Intestinale Nematodeninfektionen,,4 Jahre und jünger,0.0
2020,b) Intestinale Nematodeninfektionen,,4 Jahre und jünger,0.0
2021,b) Intestinale Nematodeninfektionen,,4 Jahre und jünger,
2010,c) Energie- und Eiweißmangelernährung,,4 Jahre und jünger,0.03
2011,c) Energie- und Eiweißmangelernährung,,4 Jahre und jünger,0.0
2012,c) Energie- und Eiweißmangelernährung,,4 Jahre und jünger,0.0
2013,c) Energie- und Eiweißmangelernährung,,4 Jahre und jünger,0.0
2014,c) Energie- und Eiweißmangelernährung,,4 Jahre und jünger,0.0
2015,c) Energie- und Eiweißmangelernährung,,4 Jahre und jünger,0.0
2016,c) Energie- und Eiweißmangelernährung,,4 Jahre und jünger,0.0
2017,c) Energie- und Eiweißmangelernährung,,4 Jahre und jünger,0.0
2018,c) Energie- und Eiweißmangelernährung,,4 Jahre und jünger,0.0
2019,c) Energie- und Eiweißmangelernährung,,4 Jahre und jünger,0.0
2020,c) Energie- und Eiweißmangelernährung,,4 Jahre und jünger,0.0
2021,c) Energie- und Eiweißmangelernährung,,4 Jahre und jünger,0.0
2010,d) Akute Atemwegsinfektionen,,4 Jahre und jünger,0.77
2011,d) Akute Atemwegsinfektionen,,4 Jahre und jünger,1.15
2012,d) Akute Atemwegsinfektionen,,4 Jahre und jünger,0.83
2013,d) Akute Atemwegsinfektionen,,4 Jahre und jünger,0.91
2014,d) Akute Atemwegsinfektionen,,4 Jahre und jünger,0.9
2015,d) Akute Atemwegsinfektionen,,4 Jahre und jünger,1.15
2016,d) Akute Atemwegsinfektionen,,4 Jahre und jünger,0.84
2017,d) Akute Atemwegsinfektionen,,4 Jahre und jünger,0.47
2018,d) Akute Atemwegsinfektionen,,4 Jahre und jünger,0.85
2019,d) Akute Atemwegsinfektionen,,4 Jahre und jünger,0.74
2020,d) Akute Atemwegsinfektionen,,4 Jahre und jünger,0.58
2021,d) Akute Atemwegsinfektionen,,4 Jahre und jünger,
