Year,Units,Art der Erkrankung,Series,Value
2010,Anzahl,Ischämische Herzerkrankungen,"Attributable Todesfälle infolge einer langfristigen Exposition mit Feinstaub (PM₂,₅) in der Bevölkerung ab 25 Jahren",10295
2011,Anzahl,Ischämische Herzerkrankungen,"Attributable Todesfälle infolge einer langfristigen Exposition mit Feinstaub (PM₂,₅) in der Bevölkerung ab 25 Jahren",9722
2012,Anzahl,Ischämische Herzerkrankungen,"Attributable Todesfälle infolge einer langfristigen Exposition mit Feinstaub (PM₂,₅) in der Bevölkerung ab 25 Jahren",8236
2013,Anzahl,Ischämische Herzerkrankungen,"Attributable Todesfälle infolge einer langfristigen Exposition mit Feinstaub (PM₂,₅) in der Bevölkerung ab 25 Jahren",8685
2014,Anzahl,Ischämische Herzerkrankungen,"Attributable Todesfälle infolge einer langfristigen Exposition mit Feinstaub (PM₂,₅) in der Bevölkerung ab 25 Jahren",7842
2015,Anzahl,Ischämische Herzerkrankungen,"Attributable Todesfälle infolge einer langfristigen Exposition mit Feinstaub (PM₂,₅) in der Bevölkerung ab 25 Jahren",7491
2016,Anzahl,Ischämische Herzerkrankungen,"Attributable Todesfälle infolge einer langfristigen Exposition mit Feinstaub (PM₂,₅) in der Bevölkerung ab 25 Jahren",6857
2017,Anzahl,Ischämische Herzerkrankungen,"Attributable Todesfälle infolge einer langfristigen Exposition mit Feinstaub (PM₂,₅) in der Bevölkerung ab 25 Jahren",6913
2018,Anzahl,Ischämische Herzerkrankungen,"Attributable Todesfälle infolge einer langfristigen Exposition mit Feinstaub (PM₂,₅) in der Bevölkerung ab 25 Jahren",6977
2010,Anzahl,Diabetes mellitus Typ 2,"Attributable Todesfälle infolge einer langfristigen Exposition mit Feinstaub (PM₂,₅) in der Bevölkerung ab 25 Jahren",826
2011,Anzahl,Diabetes mellitus Typ 2,"Attributable Todesfälle infolge einer langfristigen Exposition mit Feinstaub (PM₂,₅) in der Bevölkerung ab 25 Jahren",864
2012,Anzahl,Diabetes mellitus Typ 2,"Attributable Todesfälle infolge einer langfristigen Exposition mit Feinstaub (PM₂,₅) in der Bevölkerung ab 25 Jahren",752
2013,Anzahl,Diabetes mellitus Typ 2,"Attributable Todesfälle infolge einer langfristigen Exposition mit Feinstaub (PM₂,₅) in der Bevölkerung ab 25 Jahren",785
2014,Anzahl,Diabetes mellitus Typ 2,"Attributable Todesfälle infolge einer langfristigen Exposition mit Feinstaub (PM₂,₅) in der Bevölkerung ab 25 Jahren",710
2015,Anzahl,Diabetes mellitus Typ 2,"Attributable Todesfälle infolge einer langfristigen Exposition mit Feinstaub (PM₂,₅) in der Bevölkerung ab 25 Jahren",745
2016,Anzahl,Diabetes mellitus Typ 2,"Attributable Todesfälle infolge einer langfristigen Exposition mit Feinstaub (PM₂,₅) in der Bevölkerung ab 25 Jahren",698
2017,Anzahl,Diabetes mellitus Typ 2,"Attributable Todesfälle infolge einer langfristigen Exposition mit Feinstaub (PM₂,₅) in der Bevölkerung ab 25 Jahren",739
2018,Anzahl,Diabetes mellitus Typ 2,"Attributable Todesfälle infolge einer langfristigen Exposition mit Feinstaub (PM₂,₅) in der Bevölkerung ab 25 Jahren",778
2010,DALYs,,"DALYs infolge einer langfristigen Exposition mit Feinstaub (PM₂,₅) in der Bevölkerung ab 25 Jahren",388024
2011,DALYs,,"DALYs infolge einer langfristigen Exposition mit Feinstaub (PM₂,₅) in der Bevölkerung ab 25 Jahren",378359
2012,DALYs,,"DALYs infolge einer langfristigen Exposition mit Feinstaub (PM₂,₅) in der Bevölkerung ab 25 Jahren",320267
2013,DALYs,,"DALYs infolge einer langfristigen Exposition mit Feinstaub (PM₂,₅) in der Bevölkerung ab 25 Jahren",341775
2014,DALYs,,"DALYs infolge einer langfristigen Exposition mit Feinstaub (PM₂,₅) in der Bevölkerung ab 25 Jahren",320022
2015,DALYs,,"DALYs infolge einer langfristigen Exposition mit Feinstaub (PM₂,₅) in der Bevölkerung ab 25 Jahren",302225
2016,DALYs,,"DALYs infolge einer langfristigen Exposition mit Feinstaub (PM₂,₅) in der Bevölkerung ab 25 Jahren",286350
2017,DALYs,,"DALYs infolge einer langfristigen Exposition mit Feinstaub (PM₂,₅) in der Bevölkerung ab 25 Jahren",285630
2018,DALYs,,"DALYs infolge einer langfristigen Exposition mit Feinstaub (PM₂,₅) in der Bevölkerung ab 25 Jahren",290702
2010,DALYs,Chronisch obstruktive Lungenerkrankung (COPD),"DALYs infolge einer langfristigen Exposition mit Feinstaub (PM₂,₅) in der Bevölkerung ab 25 Jahren",51415
2011,DALYs,Chronisch obstruktive Lungenerkrankung (COPD),"DALYs infolge einer langfristigen Exposition mit Feinstaub (PM₂,₅) in der Bevölkerung ab 25 Jahren",51215
2012,DALYs,Chronisch obstruktive Lungenerkrankung (COPD),"DALYs infolge einer langfristigen Exposition mit Feinstaub (PM₂,₅) in der Bevölkerung ab 25 Jahren",42652
2013,DALYs,Chronisch obstruktive Lungenerkrankung (COPD),"DALYs infolge einer langfristigen Exposition mit Feinstaub (PM₂,₅) in der Bevölkerung ab 25 Jahren",47602
2014,DALYs,Chronisch obstruktive Lungenerkrankung (COPD),"DALYs infolge einer langfristigen Exposition mit Feinstaub (PM₂,₅) in der Bevölkerung ab 25 Jahren",44219
2015,DALYs,Chronisch obstruktive Lungenerkrankung (COPD),"DALYs infolge einer langfristigen Exposition mit Feinstaub (PM₂,₅) in der Bevölkerung ab 25 Jahren",43673
2016,DALYs,Chronisch obstruktive Lungenerkrankung (COPD),"DALYs infolge einer langfristigen Exposition mit Feinstaub (PM₂,₅) in der Bevölkerung ab 25 Jahren",41143
2017,DALYs,Chronisch obstruktive Lungenerkrankung (COPD),"DALYs infolge einer langfristigen Exposition mit Feinstaub (PM₂,₅) in der Bevölkerung ab 25 Jahren",42790
2018,DALYs,Chronisch obstruktive Lungenerkrankung (COPD),"DALYs infolge einer langfristigen Exposition mit Feinstaub (PM₂,₅) in der Bevölkerung ab 25 Jahren",43778
2010,DALYs,Lungenkrebs,"DALYs infolge einer langfristigen Exposition mit Feinstaub (PM₂,₅) in der Bevölkerung ab 25 Jahren",78163
2011,DALYs,Lungenkrebs,"DALYs infolge einer langfristigen Exposition mit Feinstaub (PM₂,₅) in der Bevölkerung ab 25 Jahren",79777
2012,DALYs,Lungenkrebs,"DALYs infolge einer langfristigen Exposition mit Feinstaub (PM₂,₅) in der Bevölkerung ab 25 Jahren",67652
2013,DALYs,Lungenkrebs,"DALYs infolge einer langfristigen Exposition mit Feinstaub (PM₂,₅) in der Bevölkerung ab 25 Jahren",72690
2014,DALYs,Lungenkrebs,"DALYs infolge einer langfristigen Exposition mit Feinstaub (PM₂,₅) in der Bevölkerung ab 25 Jahren",69466
2015,DALYs,Lungenkrebs,"DALYs infolge einer langfristigen Exposition mit Feinstaub (PM₂,₅) in der Bevölkerung ab 25 Jahren",63881
2016,DALYs,Lungenkrebs,"DALYs infolge einer langfristigen Exposition mit Feinstaub (PM₂,₅) in der Bevölkerung ab 25 Jahren",61593
2017,DALYs,Lungenkrebs,"DALYs infolge einer langfristigen Exposition mit Feinstaub (PM₂,₅) in der Bevölkerung ab 25 Jahren",60268
2018,DALYs,Lungenkrebs,"DALYs infolge einer langfristigen Exposition mit Feinstaub (PM₂,₅) in der Bevölkerung ab 25 Jahren",60842
2010,DALYs,Schlaganfall,"DALYs infolge einer langfristigen Exposition mit Feinstaub (PM₂,₅) in der Bevölkerung ab 25 Jahren",52395
2011,DALYs,Schlaganfall,"DALYs infolge einer langfristigen Exposition mit Feinstaub (PM₂,₅) in der Bevölkerung ab 25 Jahren",51381
2012,DALYs,Schlaganfall,"DALYs infolge einer langfristigen Exposition mit Feinstaub (PM₂,₅) in der Bevölkerung ab 25 Jahren",42603
2013,DALYs,Schlaganfall,"DALYs infolge einer langfristigen Exposition mit Feinstaub (PM₂,₅) in der Bevölkerung ab 25 Jahren",45064
2014,DALYs,Schlaganfall,"DALYs infolge einer langfristigen Exposition mit Feinstaub (PM₂,₅) in der Bevölkerung ab 25 Jahren",42624
2015,DALYs,Schlaganfall,"DALYs infolge einer langfristigen Exposition mit Feinstaub (PM₂,₅) in der Bevölkerung ab 25 Jahren",39719
2016,DALYs,Schlaganfall,"DALYs infolge einer langfristigen Exposition mit Feinstaub (PM₂,₅) in der Bevölkerung ab 25 Jahren",38335
2017,DALYs,Schlaganfall,"DALYs infolge einer langfristigen Exposition mit Feinstaub (PM₂,₅) in der Bevölkerung ab 25 Jahren",37437
2018,DALYs,Schlaganfall,"DALYs infolge einer langfristigen Exposition mit Feinstaub (PM₂,₅) in der Bevölkerung ab 25 Jahren",38418
2010,DALYs,Ischämische Herzerkrankungen,"DALYs infolge einer langfristigen Exposition mit Feinstaub (PM₂,₅) in der Bevölkerung ab 25 Jahren",151264
2011,DALYs,Ischämische Herzerkrankungen,"DALYs infolge einer langfristigen Exposition mit Feinstaub (PM₂,₅) in der Bevölkerung ab 25 Jahren",141532
2012,DALYs,Ischämische Herzerkrankungen,"DALYs infolge einer langfristigen Exposition mit Feinstaub (PM₂,₅) in der Bevölkerung ab 25 Jahren",119840
2013,DALYs,Ischämische Herzerkrankungen,"DALYs infolge einer langfristigen Exposition mit Feinstaub (PM₂,₅) in der Bevölkerung ab 25 Jahren",126023
2014,DALYs,Ischämische Herzerkrankungen,"DALYs infolge einer langfristigen Exposition mit Feinstaub (PM₂,₅) in der Bevölkerung ab 25 Jahren",115213
2015,DALYs,Ischämische Herzerkrankungen,"DALYs infolge einer langfristigen Exposition mit Feinstaub (PM₂,₅) in der Bevölkerung ab 25 Jahren",109005
2016,DALYs,Ischämische Herzerkrankungen,"DALYs infolge einer langfristigen Exposition mit Feinstaub (PM₂,₅) in der Bevölkerung ab 25 Jahren",100854
2017,DALYs,Ischämische Herzerkrankungen,"DALYs infolge einer langfristigen Exposition mit Feinstaub (PM₂,₅) in der Bevölkerung ab 25 Jahren",100345
2018,DALYs,Ischämische Herzerkrankungen,"DALYs infolge einer langfristigen Exposition mit Feinstaub (PM₂,₅) in der Bevölkerung ab 25 Jahren",101776
2010,DALYs,Diabetes mellitus Typ 2,"DALYs infolge einer langfristigen Exposition mit Feinstaub (PM₂,₅) in der Bevölkerung ab 25 Jahren",54787
2011,DALYs,Diabetes mellitus Typ 2,"DALYs infolge einer langfristigen Exposition mit Feinstaub (PM₂,₅) in der Bevölkerung ab 25 Jahren",54453
2012,DALYs,Diabetes mellitus Typ 2,"DALYs infolge einer langfristigen Exposition mit Feinstaub (PM₂,₅) in der Bevölkerung ab 25 Jahren",47520
2013,DALYs,Diabetes mellitus Typ 2,"DALYs infolge einer langfristigen Exposition mit Feinstaub (PM₂,₅) in der Bevölkerung ab 25 Jahren",50397
2014,DALYs,Diabetes mellitus Typ 2,"DALYs infolge einer langfristigen Exposition mit Feinstaub (PM₂,₅) in der Bevölkerung ab 25 Jahren",48500
2015,DALYs,Diabetes mellitus Typ 2,"DALYs infolge einer langfristigen Exposition mit Feinstaub (PM₂,₅) in der Bevölkerung ab 25 Jahren",45947
2016,DALYs,Diabetes mellitus Typ 2,"DALYs infolge einer langfristigen Exposition mit Feinstaub (PM₂,₅) in der Bevölkerung ab 25 Jahren",44423
2017,DALYs,Diabetes mellitus Typ 2,"DALYs infolge einer langfristigen Exposition mit Feinstaub (PM₂,₅) in der Bevölkerung ab 25 Jahren",44790
2018,DALYs,Diabetes mellitus Typ 2,"DALYs infolge einer langfristigen Exposition mit Feinstaub (PM₂,₅) in der Bevölkerung ab 25 Jahren",45888
