Year,Art der Nutzungs- und Besitzrechte,COMMENT_OBS_0,COMMENT_OBS_1,COMMENT_OBS_2,Series,Value
2013,Pacht,,,,Eigene und gepachtete landwirtschaftlich genutzte Flächen,60.0
2014,Pacht,.,,,Eigene und gepachtete landwirtschaftlich genutzte Flächen,
2015,Pacht,.,,,Eigene und gepachtete landwirtschaftlich genutzte Flächen,
2016,Pacht,,,,Eigene und gepachtete landwirtschaftlich genutzte Flächen,58.5
2017,Pacht,.,,,Eigene und gepachtete landwirtschaftlich genutzte Flächen,
2018,Pacht,.,,,Eigene und gepachtete landwirtschaftlich genutzte Flächen,
2019,Pacht,.,,,Eigene und gepachtete landwirtschaftlich genutzte Flächen,
2020,Pacht,,,,Eigene und gepachtete landwirtschaftlich genutzte Flächen,60.1
2021,Pacht,.,,,Eigene und gepachtete landwirtschaftlich genutzte Flächen,
2022,Pacht,.,,,Eigene und gepachtete landwirtschaftlich genutzte Flächen,
2023,Pacht,,,,Eigene und gepachtete landwirtschaftlich genutzte Flächen,60.0
2010,,,,,Weibliche Inhaber landwirtschaftlicher Betriebe der Rechtsform Einzelunternehmen,8.4
2011,,.,,,Weibliche Inhaber landwirtschaftlicher Betriebe der Rechtsform Einzelunternehmen,
2012,,.,,,Weibliche Inhaber landwirtschaftlicher Betriebe der Rechtsform Einzelunternehmen,
2013,,,,,Weibliche Inhaber landwirtschaftlicher Betriebe der Rechtsform Einzelunternehmen,8.6
2014,,.,,,Weibliche Inhaber landwirtschaftlicher Betriebe der Rechtsform Einzelunternehmen,
2015,,.,,,Weibliche Inhaber landwirtschaftlicher Betriebe der Rechtsform Einzelunternehmen,
2016,,,,,Weibliche Inhaber landwirtschaftlicher Betriebe der Rechtsform Einzelunternehmen,9.6
2017,,.,,,Weibliche Inhaber landwirtschaftlicher Betriebe der Rechtsform Einzelunternehmen,
2018,,.,,,Weibliche Inhaber landwirtschaftlicher Betriebe der Rechtsform Einzelunternehmen,
2019,,.,,,Weibliche Inhaber landwirtschaftlicher Betriebe der Rechtsform Einzelunternehmen,
2020,,,,,Weibliche Inhaber landwirtschaftlicher Betriebe der Rechtsform Einzelunternehmen,10.9
2021,,.,,,Weibliche Inhaber landwirtschaftlicher Betriebe der Rechtsform Einzelunternehmen,
2022,,.,,,Weibliche Inhaber landwirtschaftlicher Betriebe der Rechtsform Einzelunternehmen,
2023,,,,,Weibliche Inhaber landwirtschaftlicher Betriebe der Rechtsform Einzelunternehmen,11.3
2010,,,,,Landwirtschaftliche Betriebe der Rechtsform Einzelunternehmen,91.3
2011,,.,,,Landwirtschaftliche Betriebe der Rechtsform Einzelunternehmen,
2012,,.,,,Landwirtschaftliche Betriebe der Rechtsform Einzelunternehmen,
2013,,,,,Landwirtschaftliche Betriebe der Rechtsform Einzelunternehmen,89.8
2014,,.,,,Landwirtschaftliche Betriebe der Rechtsform Einzelunternehmen,
2015,,.,,,Landwirtschaftliche Betriebe der Rechtsform Einzelunternehmen,
2016,,,,,Landwirtschaftliche Betriebe der Rechtsform Einzelunternehmen,88.6
2017,,.,,,Landwirtschaftliche Betriebe der Rechtsform Einzelunternehmen,
2018,,.,,,Landwirtschaftliche Betriebe der Rechtsform Einzelunternehmen,
2019,,.,,,Landwirtschaftliche Betriebe der Rechtsform Einzelunternehmen,
2020,,,,,Landwirtschaftliche Betriebe der Rechtsform Einzelunternehmen,87.0
2021,,.,,,Landwirtschaftliche Betriebe der Rechtsform Einzelunternehmen,
2022,,.,,,Landwirtschaftliche Betriebe der Rechtsform Einzelunternehmen,
2023,,,,,Landwirtschaftliche Betriebe der Rechtsform Einzelunternehmen,85.4
