Year,Units,Time series,Value
2011,No unit,Ratio of land consumption rate to population growth rate (year-to-year) (Moving four-year average),
2012,No unit,Ratio of land consumption rate to population growth rate (year-to-year) (Moving four-year average),37.1
2013,No unit,Ratio of land consumption rate to population growth rate (year-to-year) (Moving four-year average),4.0
2014,No unit,Ratio of land consumption rate to population growth rate (year-to-year) (Moving four-year average),2.0
2015,No unit,Ratio of land consumption rate to population growth rate (year-to-year) (Moving four-year average),0.8
2016,No unit,Ratio of land consumption rate to population growth rate (year-to-year) (Moving four-year average),0.7
2017,No unit,Ratio of land consumption rate to population growth rate (year-to-year) (Moving four-year average),0.7
2018,No unit,Ratio of land consumption rate to population growth rate (year-to-year) (Moving four-year average),0.8
2019,No unit,Ratio of land consumption rate to population growth rate (year-to-year) (Moving four-year average),1.5
2020,No unit,Ratio of land consumption rate to population growth rate (year-to-year) (Moving four-year average),2.5
2021,No unit,Ratio of land consumption rate to population growth rate (year-to-year) (Moving four-year average),3.4
2010,2015 = 100,Proportion of settlement and transport areas to population (Moving four-year average),100.4
2011,2015 = 100,Proportion of settlement and transport areas to population (Moving four-year average),100.0
2012,2015 = 100,Proportion of settlement and transport areas to population (Moving four-year average),100.3
2013,2015 = 100,Proportion of settlement and transport areas to population (Moving four-year average),100.5
2014,2015 = 100,Proportion of settlement and transport areas to population (Moving four-year average),100.1
2015,2015 = 100,Proportion of settlement and transport areas to population (Moving four-year average),100.0
2016,2015 = 100,Proportion of settlement and transport areas to population (Moving four-year average),99.8
2017,2015 = 100,Proportion of settlement and transport areas to population (Moving four-year average),99.7
2018,2015 = 100,Proportion of settlement and transport areas to population (Moving four-year average),99.6
2019,2015 = 100,Proportion of settlement and transport areas to population (Moving four-year average),99.8
2020,2015 = 100,Proportion of settlement and transport areas to population (Moving four-year average),100.0
2021,2015 = 100,Proportion of settlement and transport areas to population (Moving four-year average),100.4
2010,Percentage,Land consumption rate (Moving four-year average),
2011,Percentage,Land consumption rate (Moving four-year average),
2012,Percentage,Land consumption rate (Moving four-year average),0.6
2013,Percentage,Land consumption rate (Moving four-year average),0.6
2014,Percentage,Land consumption rate (Moving four-year average),0.6
2015,Percentage,Land consumption rate (Moving four-year average),0.5
2016,Percentage,Land consumption rate (Moving four-year average),0.5
2017,Percentage,Land consumption rate (Moving four-year average),0.5
2018,Percentage,Land consumption rate (Moving four-year average),0.5
2019,Percentage,Land consumption rate (Moving four-year average),0.5
2020,Percentage,Land consumption rate (Moving four-year average),0.5
2021,Percentage,Land consumption rate (Moving four-year average),0.5
2010,Percentage,Population growth rate (Moving four-year average),
2011,Percentage,Population growth rate (Moving four-year average),
2012,Percentage,Population growth rate (Moving four-year average),0.0
2013,Percentage,Population growth rate (Moving four-year average),0.2
2014,Percentage,Population growth rate (Moving four-year average),0.3
2015,Percentage,Population growth rate (Moving four-year average),0.6
2016,Percentage,Population growth rate (Moving four-year average),0.6
2017,Percentage,Population growth rate (Moving four-year average),0.6
2018,Percentage,Population growth rate (Moving four-year average),0.6
2019,Percentage,Population growth rate (Moving four-year average),0.3
2020,Percentage,Population growth rate (Moving four-year average),0.2
2021,Percentage,Population growth rate (Moving four-year average),0.1
