Year,Units,Zeitreihe,COMMENT_OBS_0,COMMENT_OBS_1,COMMENT_OBS_2,Value
2014,Hektar,"Schlüsselgebiete der biologischen Vielfalt in Gebirgen, die unter Schutz stehen",,,,8.099
2015,Hektar,"Schlüsselgebiete der biologischen Vielfalt in Gebirgen, die unter Schutz stehen",,,,8.09
2016,Hektar,"Schlüsselgebiete der biologischen Vielfalt in Gebirgen, die unter Schutz stehen",,,,8.077
2017,Hektar,"Schlüsselgebiete der biologischen Vielfalt in Gebirgen, die unter Schutz stehen",,,,8.061
2018,Hektar,"Schlüsselgebiete der biologischen Vielfalt in Gebirgen, die unter Schutz stehen",,,,8.071
2019,Hektar,"Schlüsselgebiete der biologischen Vielfalt in Gebirgen, die unter Schutz stehen",,,,8.089
2020,Hektar,"Schlüsselgebiete der biologischen Vielfalt in Gebirgen, die unter Schutz stehen",,,,8.072
2021,Hektar,"Schlüsselgebiete der biologischen Vielfalt in Gebirgen, die unter Schutz stehen",,,,8.05
2022,Hektar,"Schlüsselgebiete der biologischen Vielfalt in Gebirgen, die unter Schutz stehen",,,,8.041
2023,Hektar,"Schlüsselgebiete der biologischen Vielfalt in Gebirgen, die unter Schutz stehen",,,,8.066
2024,Hektar,"Schlüsselgebiete der biologischen Vielfalt in Gebirgen, die unter Schutz stehen",p,,,8.072
2010,Prozent,"Flächen in Gebirgen, die unter Schutz stehen",,,,35.3
2011,Prozent,"Flächen in Gebirgen, die unter Schutz stehen",,,,47.1
2012,Prozent,"Flächen in Gebirgen, die unter Schutz stehen",,,,52.9
2013,Prozent,"Flächen in Gebirgen, die unter Schutz stehen",,,,52.9
2014,Prozent,"Flächen in Gebirgen, die unter Schutz stehen",,,,47.1
2015,Prozent,"Flächen in Gebirgen, die unter Schutz stehen",,,,41.2
2016,Prozent,"Flächen in Gebirgen, die unter Schutz stehen",,,,44.1
2017,Prozent,"Flächen in Gebirgen, die unter Schutz stehen",,,,48.6
2018,Prozent,"Flächen in Gebirgen, die unter Schutz stehen",,,,54.3
2019,Prozent,"Flächen in Gebirgen, die unter Schutz stehen",,,,42.9
2020,Prozent,"Flächen in Gebirgen, die unter Schutz stehen",,,,51.4
2021,Prozent,"Flächen in Gebirgen, die unter Schutz stehen",,,,57.1
2022,Prozent,"Flächen in Gebirgen, die unter Schutz stehen",,,,62.9
2023,Prozent,"Flächen in Gebirgen, die unter Schutz stehen",,,,71.4
2024,Prozent,"Flächen in Gebirgen, die unter Schutz stehen",…,,,
2010,Hektar,"Flächen in Gebirgen, die unter Schutz stehen",,,,34.6
2011,Hektar,"Flächen in Gebirgen, die unter Schutz stehen",,,,42.3
2012,Hektar,"Flächen in Gebirgen, die unter Schutz stehen",,,,46.2
2013,Hektar,"Flächen in Gebirgen, die unter Schutz stehen",,,,50.0
2014,Hektar,"Flächen in Gebirgen, die unter Schutz stehen",,,,42.3
2015,Hektar,"Flächen in Gebirgen, die unter Schutz stehen",,,,42.3
2016,Hektar,"Flächen in Gebirgen, die unter Schutz stehen",,,,46.2
2017,Hektar,"Flächen in Gebirgen, die unter Schutz stehen",,,,48.1
2018,Hektar,"Flächen in Gebirgen, die unter Schutz stehen",,,,55.6
2019,Hektar,"Flächen in Gebirgen, die unter Schutz stehen",,,,40.7
2020,Hektar,"Flächen in Gebirgen, die unter Schutz stehen",,,,48.1
2021,Hektar,"Flächen in Gebirgen, die unter Schutz stehen",,,,55.6
2022,Hektar,"Flächen in Gebirgen, die unter Schutz stehen",,,,59.3
2023,Hektar,"Flächen in Gebirgen, die unter Schutz stehen",,,,70.4
2024,Hektar,"Flächen in Gebirgen, die unter Schutz stehen",…,,,
2010,Prozent,"Flächen in Gebirgen, die unter effektivem Schutz stehen",,,,37.5
2011,Prozent,"Flächen in Gebirgen, die unter effektivem Schutz stehen",,,,62.5
2012,Prozent,"Flächen in Gebirgen, die unter effektivem Schutz stehen",,,,75.0
2013,Prozent,"Flächen in Gebirgen, die unter effektivem Schutz stehen",,,,62.5
2014,Prozent,"Flächen in Gebirgen, die unter effektivem Schutz stehen",,,,62.5
2015,Prozent,"Flächen in Gebirgen, die unter effektivem Schutz stehen",,,,37.5
2016,Prozent,"Flächen in Gebirgen, die unter effektivem Schutz stehen",,,,37.5
2017,Prozent,"Flächen in Gebirgen, die unter effektivem Schutz stehen",,,,50.0
2018,Prozent,"Flächen in Gebirgen, die unter effektivem Schutz stehen",,,,50.0
2019,Prozent,"Flächen in Gebirgen, die unter effektivem Schutz stehen",,,,50.0
2020,Prozent,"Flächen in Gebirgen, die unter effektivem Schutz stehen",,,,62.5
2021,Prozent,"Flächen in Gebirgen, die unter effektivem Schutz stehen",,,,62.5
2022,Prozent,"Flächen in Gebirgen, die unter effektivem Schutz stehen",,,,75.0
2023,Prozent,"Flächen in Gebirgen, die unter effektivem Schutz stehen",,,,75.0
2024,Prozent,"Flächen in Gebirgen, die unter effektivem Schutz stehen",…,,,
2010,Hektar,"Flächen in Gebirgen, die unter effektivem Schutz stehen",,,,43.6
2011,Hektar,"Flächen in Gebirgen, die unter effektivem Schutz stehen",,,,43.6
2012,Hektar,"Flächen in Gebirgen, die unter effektivem Schutz stehen",,,,43.6
2013,Hektar,"Flächen in Gebirgen, die unter effektivem Schutz stehen",,,,43.6
2014,Hektar,"Flächen in Gebirgen, die unter effektivem Schutz stehen",,,,43.6
2015,Hektar,"Flächen in Gebirgen, die unter effektivem Schutz stehen",,,,43.6
2016,Hektar,"Flächen in Gebirgen, die unter effektivem Schutz stehen",,,,43.6
2017,Hektar,"Flächen in Gebirgen, die unter effektivem Schutz stehen",,,,44.9
2018,Hektar,"Flächen in Gebirgen, die unter effektivem Schutz stehen",,,,44.9
2019,Hektar,"Flächen in Gebirgen, die unter effektivem Schutz stehen",,,,44.9
2020,Hektar,"Flächen in Gebirgen, die unter effektivem Schutz stehen",,,,44.9
2021,Hektar,"Flächen in Gebirgen, die unter effektivem Schutz stehen",,,,44.9
2022,Hektar,"Flächen in Gebirgen, die unter effektivem Schutz stehen",,,,44.9
2023,Hektar,"Flächen in Gebirgen, die unter effektivem Schutz stehen",,,,44.9
2024,Hektar,"Flächen in Gebirgen, die unter effektivem Schutz stehen",…,,,
