Year,Units,Measurement parameter,COMMENT_OBS_0,COMMENT_OBS_1,COMMENT_OBS_2,Series,Value
2010,"Million USD, constant prices (2024)",Commitments,,,,Commitments and gross disbursements of official development assistance for biodiversity,676.3
2011,"Million USD, constant prices (2024)",Commitments,,,,Commitments and gross disbursements of official development assistance for biodiversity,1330.0
2012,"Million USD, constant prices (2024)",Commitments,,,,Commitments and gross disbursements of official development assistance for biodiversity,1128.3
2013,"Million USD, constant prices (2024)",Commitments,,,,Commitments and gross disbursements of official development assistance for biodiversity,1104.3
2014,"Million USD, constant prices (2024)",Commitments,,,,Commitments and gross disbursements of official development assistance for biodiversity,1331.3
2015,"Million USD, constant prices (2024)",Commitments,,,,Commitments and gross disbursements of official development assistance for biodiversity,1484.6
2016,"Million USD, constant prices (2024)",Commitments,,,,Commitments and gross disbursements of official development assistance for biodiversity,1402.0
2017,"Million USD, constant prices (2024)",Commitments,,,,Commitments and gross disbursements of official development assistance for biodiversity,2203.0
2018,"Million USD, constant prices (2024)",Commitments,,,,Commitments and gross disbursements of official development assistance for biodiversity,1823.0
2019,"Million USD, constant prices (2024)",Commitments,,,,Commitments and gross disbursements of official development assistance for biodiversity,2633.6
2020,"Million USD, constant prices (2024)",Commitments,,,,Commitments and gross disbursements of official development assistance for biodiversity,2711.0
2021,"Million USD, constant prices (2024)",Commitments,,,,Commitments and gross disbursements of official development assistance for biodiversity,2668.6
2022,"Million USD, constant prices (2024)",Commitments,,,,Commitments and gross disbursements of official development assistance for biodiversity,3391.2
2023,"Million USD, constant prices (2024)",Commitments,,,,Commitments and gross disbursements of official development assistance for biodiversity,2409.8
2024,"Million USD, constant prices (2024)",Commitments,,,,Commitments and gross disbursements of official development assistance for biodiversity,2590.0
2010,"Million USD, constant prices (2024)",Gross disbursements,,,,Commitments and gross disbursements of official development assistance for biodiversity,488.8
2011,"Million USD, constant prices (2024)",Gross disbursements,,,,Commitments and gross disbursements of official development assistance for biodiversity,667.8
2012,"Million USD, constant prices (2024)",Gross disbursements,,,,Commitments and gross disbursements of official development assistance for biodiversity,898.8
2013,"Million USD, constant prices (2024)",Gross disbursements,,,,Commitments and gross disbursements of official development assistance for biodiversity,902.9
2014,"Million USD, constant prices (2024)",Gross disbursements,,,,Commitments and gross disbursements of official development assistance for biodiversity,1009.7
2015,"Million USD, constant prices (2024)",Gross disbursements,,,,Commitments and gross disbursements of official development assistance for biodiversity,970.9
2016,"Million USD, constant prices (2024)",Gross disbursements,,,,Commitments and gross disbursements of official development assistance for biodiversity,1304.6
2017,"Million USD, constant prices (2024)",Gross disbursements,,,,Commitments and gross disbursements of official development assistance for biodiversity,1817.1
2018,"Million USD, constant prices (2024)",Gross disbursements,,,,Commitments and gross disbursements of official development assistance for biodiversity,1642.0
2019,"Million USD, constant prices (2024)",Gross disbursements,,,,Commitments and gross disbursements of official development assistance for biodiversity,1918.4
2020,"Million USD, constant prices (2024)",Gross disbursements,,,,Commitments and gross disbursements of official development assistance for biodiversity,2324.6
2021,"Million USD, constant prices (2024)",Gross disbursements,,,,Commitments and gross disbursements of official development assistance for biodiversity,2668.6
2022,"Million USD, constant prices (2024)",Gross disbursements,,,,Commitments and gross disbursements of official development assistance for biodiversity,3391.2
