Year,Zeitreihe,Altersklasse,Geschlecht,Art der physischen Gewalt,Art der sexuellen Gewalt,COMMENT_OBS_0,COMMENT_OBS_1,COMMENT_OBS_2,Value
2014,a) Anzeigequote bei physischer Gewalt,35 bis unter 45 Jahre,,,,.,,,
2015,a) Anzeigequote bei physischer Gewalt,35 bis unter 45 Jahre,,,,.,,,
2016,a) Anzeigequote bei physischer Gewalt,35 bis unter 45 Jahre,,,,.,,,
2017,a) Anzeigequote bei physischer Gewalt,35 bis unter 45 Jahre,,,,.,,,
2018,a) Anzeigequote bei physischer Gewalt,35 bis unter 45 Jahre,,,,.,,,
2019,a) Anzeigequote bei physischer Gewalt,35 bis unter 45 Jahre,,,,.,,,
2020,a) Anzeigequote bei physischer Gewalt,35 bis unter 45 Jahre,,,,,,,51.5
2021,a) Anzeigequote bei physischer Gewalt,35 bis unter 45 Jahre,,,,…,,,
2022,a) Anzeigequote bei physischer Gewalt,35 bis unter 45 Jahre,,,,…,,,
2023,a) Anzeigequote bei physischer Gewalt,35 bis unter 45 Jahre,,,,…,,,
2010,a) Anzeigequote bei physischer Gewalt,45 bis unter 55 Jahre,,,,.,,,
2011,a) Anzeigequote bei physischer Gewalt,45 bis unter 55 Jahre,,,,.,,,
2012,a) Anzeigequote bei physischer Gewalt,45 bis unter 55 Jahre,,,,.,,,
2013,a) Anzeigequote bei physischer Gewalt,45 bis unter 55 Jahre,,,,.,,,
2014,a) Anzeigequote bei physischer Gewalt,45 bis unter 55 Jahre,,,,.,,,
2015,a) Anzeigequote bei physischer Gewalt,45 bis unter 55 Jahre,,,,.,,,
2016,a) Anzeigequote bei physischer Gewalt,45 bis unter 55 Jahre,,,,.,,,
2017,a) Anzeigequote bei physischer Gewalt,45 bis unter 55 Jahre,,,,.,,,
2018,a) Anzeigequote bei physischer Gewalt,45 bis unter 55 Jahre,,,,.,,,
2019,a) Anzeigequote bei physischer Gewalt,45 bis unter 55 Jahre,,,,.,,,
2020,a) Anzeigequote bei physischer Gewalt,45 bis unter 55 Jahre,,,,,,,3.6
2021,a) Anzeigequote bei physischer Gewalt,45 bis unter 55 Jahre,,,,…,,,
2022,a) Anzeigequote bei physischer Gewalt,45 bis unter 55 Jahre,,,,…,,,
2023,a) Anzeigequote bei physischer Gewalt,45 bis unter 55 Jahre,,,,…,,,
2010,a) Anzeigequote bei physischer Gewalt,55 bis unter 65 Jahre,,,,.,,,
2011,a) Anzeigequote bei physischer Gewalt,55 bis unter 65 Jahre,,,,.,,,
2012,a) Anzeigequote bei physischer Gewalt,55 bis unter 65 Jahre,,,,.,,,
2013,a) Anzeigequote bei physischer Gewalt,55 bis unter 65 Jahre,,,,.,,,
2014,a) Anzeigequote bei physischer Gewalt,55 bis unter 65 Jahre,,,,.,,,
2015,a) Anzeigequote bei physischer Gewalt,55 bis unter 65 Jahre,,,,.,,,
2016,a) Anzeigequote bei physischer Gewalt,55 bis unter 65 Jahre,,,,.,,,
2017,a) Anzeigequote bei physischer Gewalt,55 bis unter 65 Jahre,,,,.,,,
2018,a) Anzeigequote bei physischer Gewalt,55 bis unter 65 Jahre,,,,.,,,
2019,a) Anzeigequote bei physischer Gewalt,55 bis unter 65 Jahre,,,,.,,,
2020,a) Anzeigequote bei physischer Gewalt,55 bis unter 65 Jahre,,,,,,,0.3
2021,a) Anzeigequote bei physischer Gewalt,55 bis unter 65 Jahre,,,,…,,,
2022,a) Anzeigequote bei physischer Gewalt,55 bis unter 65 Jahre,,,,…,,,
2023,a) Anzeigequote bei physischer Gewalt,55 bis unter 65 Jahre,,,,…,,,
2010,a) Anzeigequote bei physischer Gewalt,65 bis unter 75 Jahre,,,,,,,88.0
2011,a) Anzeigequote bei physischer Gewalt,65 bis unter 75 Jahre,,,,,,,87.1
2012,a) Anzeigequote bei physischer Gewalt,65 bis unter 75 Jahre,,,,,,,87.5
2013,a) Anzeigequote bei physischer Gewalt,65 bis unter 75 Jahre,,,,,,,86.5
2014,a) Anzeigequote bei physischer Gewalt,65 bis unter 75 Jahre,,,,,,,86.9
2015,a) Anzeigequote bei physischer Gewalt,65 bis unter 75 Jahre,,,,,,,86.2
2016,a) Anzeigequote bei physischer Gewalt,65 bis unter 75 Jahre,,,,,,,85.9
2017,a) Anzeigequote bei physischer Gewalt,65 bis unter 75 Jahre,,,,,,,85.8
2018,a) Anzeigequote bei physischer Gewalt,65 bis unter 75 Jahre,,,,,,,86.7
2019,a) Anzeigequote bei physischer Gewalt,65 bis unter 75 Jahre,,,,,,,86.9
2020,a) Anzeigequote bei physischer Gewalt,65 bis unter 75 Jahre,,,,|,,,91.8
2021,a) Anzeigequote bei physischer Gewalt,65 bis unter 75 Jahre,,,,.,,,
2022,a) Anzeigequote bei physischer Gewalt,65 bis unter 75 Jahre,,,,.,,,
2023,a) Anzeigequote bei physischer Gewalt,65 bis unter 75 Jahre,,,,,,,89.3
2010,a) Anzeigequote bei physischer Gewalt,75 Jahre und älter,,,,.,,,
2011,a) Anzeigequote bei physischer Gewalt,75 Jahre und älter,,,,.,,,
2012,a) Anzeigequote bei physischer Gewalt,75 Jahre und älter,,,,,,,0.08
2013,a) Anzeigequote bei physischer Gewalt,75 Jahre und älter,,,,,,,0.08
2014,a) Anzeigequote bei physischer Gewalt,75 Jahre und älter,,,,,,,0.08
2015,a) Anzeigequote bei physischer Gewalt,75 Jahre und älter,,,,,,,0.09
2016,a) Anzeigequote bei physischer Gewalt,75 Jahre und älter,,,,,,,0.1
2017,a) Anzeigequote bei physischer Gewalt,75 Jahre und älter,,,,,,,0.1
2018,a) Anzeigequote bei physischer Gewalt,75 Jahre und älter,,,,,,,0.12
2019,a) Anzeigequote bei physischer Gewalt,75 Jahre und älter,,,,,,,0.14
2020,a) Anzeigequote bei physischer Gewalt,75 Jahre und älter,,,,,,,0.15
2021,a) Anzeigequote bei physischer Gewalt,75 Jahre und älter,,,,,,,0.16
2022,a) Anzeigequote bei physischer Gewalt,75 Jahre und älter,,,,,,,0.17
2023,a) Anzeigequote bei physischer Gewalt,75 Jahre und älter,,,,,,,0.17
2010,a) Anzeigequote bei physischer Gewalt,,Weiblich,,,.,,,
2011,a) Anzeigequote bei physischer Gewalt,,Weiblich,,,.,,,
2012,a) Anzeigequote bei physischer Gewalt,,Weiblich,,,,,,0.07
2013,a) Anzeigequote bei physischer Gewalt,,Weiblich,,,,,,0.07
2014,a) Anzeigequote bei physischer Gewalt,,Weiblich,,,,,,0.07
2015,a) Anzeigequote bei physischer Gewalt,,Weiblich,,,,,,0.08
2016,a) Anzeigequote bei physischer Gewalt,,Weiblich,,,,,,0.09
2017,a) Anzeigequote bei physischer Gewalt,,Weiblich,,,,,,0.09
2018,a) Anzeigequote bei physischer Gewalt,,Weiblich,,,,,,0.11
2019,a) Anzeigequote bei physischer Gewalt,,Weiblich,,,,,,0.13
2020,a) Anzeigequote bei physischer Gewalt,,Weiblich,,,,,,0.13
2021,a) Anzeigequote bei physischer Gewalt,,Weiblich,,,,,,0.13
2022,a) Anzeigequote bei physischer Gewalt,,Weiblich,,,,,,0.15
2023,a) Anzeigequote bei physischer Gewalt,,Weiblich,,,,,,0.16
2010,a) Anzeigequote bei physischer Gewalt,,Männlich,,,.,,,
2011,a) Anzeigequote bei physischer Gewalt,,Männlich,,,.,,,
2012,a) Anzeigequote bei physischer Gewalt,,Männlich,,,,,,0.04
2013,a) Anzeigequote bei physischer Gewalt,,Männlich,,,,,,0.04
2014,a) Anzeigequote bei physischer Gewalt,,Männlich,,,,,,0.04
2015,a) Anzeigequote bei physischer Gewalt,,Männlich,,,,,,0.04
2016,a) Anzeigequote bei physischer Gewalt,,Männlich,,,,,,0.05
2017,a) Anzeigequote bei physischer Gewalt,,Männlich,,,,,,0.05
2018,a) Anzeigequote bei physischer Gewalt,,Männlich,,,,,,0.06
2019,a) Anzeigequote bei physischer Gewalt,,Männlich,,,,,,0.07
2020,a) Anzeigequote bei physischer Gewalt,,Männlich,,,,,,0.07
2021,a) Anzeigequote bei physischer Gewalt,,Männlich,,,,,,0.07
2022,a) Anzeigequote bei physischer Gewalt,,Männlich,,,,,,0.08
2023,a) Anzeigequote bei physischer Gewalt,,Männlich,,,,,,0.08
2010,a) Anzeigequote bei physischer Gewalt,,,Körperverletzung,,.,,,
2011,a) Anzeigequote bei physischer Gewalt,,,Körperverletzung,,.,,,
2012,a) Anzeigequote bei physischer Gewalt,,,Körperverletzung,,,,,0.04
2013,a) Anzeigequote bei physischer Gewalt,,,Körperverletzung,,,,,0.04
2014,a) Anzeigequote bei physischer Gewalt,,,Körperverletzung,,,,,0.04
2015,a) Anzeigequote bei physischer Gewalt,,,Körperverletzung,,,,,0.04
2016,a) Anzeigequote bei physischer Gewalt,,,Körperverletzung,,,,,0.05
2017,a) Anzeigequote bei physischer Gewalt,,,Körperverletzung,,,,,0.05
2018,a) Anzeigequote bei physischer Gewalt,,,Körperverletzung,,,,,0.06
2019,a) Anzeigequote bei physischer Gewalt,,,Körperverletzung,,,,,0.07
2020,a) Anzeigequote bei physischer Gewalt,,,Körperverletzung,,,,,0.07
2021,a) Anzeigequote bei physischer Gewalt,,,Körperverletzung,,,,,0.07
2022,a) Anzeigequote bei physischer Gewalt,,,Körperverletzung,,,,,0.08
2023,a) Anzeigequote bei physischer Gewalt,,,Körperverletzung,,,,,0.08
2010,a) Anzeigequote bei physischer Gewalt,16 bis unter 25 Jahre,,Körperverletzung,,.,,,
2011,a) Anzeigequote bei physischer Gewalt,16 bis unter 25 Jahre,,Körperverletzung,,.,,,
2012,a) Anzeigequote bei physischer Gewalt,16 bis unter 25 Jahre,,Körperverletzung,,,,,0.03
2013,a) Anzeigequote bei physischer Gewalt,16 bis unter 25 Jahre,,Körperverletzung,,,,,0.03
2014,a) Anzeigequote bei physischer Gewalt,16 bis unter 25 Jahre,,Körperverletzung,,,,,0.04
2015,a) Anzeigequote bei physischer Gewalt,16 bis unter 25 Jahre,,Körperverletzung,,,,,0.04
2016,a) Anzeigequote bei physischer Gewalt,16 bis unter 25 Jahre,,Körperverletzung,,,,,0.04
2017,a) Anzeigequote bei physischer Gewalt,16 bis unter 25 Jahre,,Körperverletzung,,,,,0.05
2018,a) Anzeigequote bei physischer Gewalt,16 bis unter 25 Jahre,,Körperverletzung,,,,,0.05
2019,a) Anzeigequote bei physischer Gewalt,16 bis unter 25 Jahre,,Körperverletzung,,,,,0.06
2020,a) Anzeigequote bei physischer Gewalt,16 bis unter 25 Jahre,,Körperverletzung,,,,,0.06
2021,a) Anzeigequote bei physischer Gewalt,16 bis unter 25 Jahre,,Körperverletzung,,,,,0.06
2022,a) Anzeigequote bei physischer Gewalt,16 bis unter 25 Jahre,,Körperverletzung,,,,,0.07
2023,a) Anzeigequote bei physischer Gewalt,16 bis unter 25 Jahre,,Körperverletzung,,,,,0.07
2010,a) Anzeigequote bei physischer Gewalt,25 bis unter 35 Jahre,,Körperverletzung,,.,,,
2011,a) Anzeigequote bei physischer Gewalt,25 bis unter 35 Jahre,,Körperverletzung,,.,,,
2012,a) Anzeigequote bei physischer Gewalt,25 bis unter 35 Jahre,,Körperverletzung,,,,,0.03
2013,a) Anzeigequote bei physischer Gewalt,25 bis unter 35 Jahre,,Körperverletzung,,,,,0.03
2014,a) Anzeigequote bei physischer Gewalt,25 bis unter 35 Jahre,,Körperverletzung,,,,,0.04
2015,a) Anzeigequote bei physischer Gewalt,25 bis unter 35 Jahre,,Körperverletzung,,,,,0.04
2016,a) Anzeigequote bei physischer Gewalt,25 bis unter 35 Jahre,,Körperverletzung,,,,,0.05
2017,a) Anzeigequote bei physischer Gewalt,25 bis unter 35 Jahre,,Körperverletzung,,,,,0.05
2018,a) Anzeigequote bei physischer Gewalt,25 bis unter 35 Jahre,,Körperverletzung,,,,,0.06
2019,a) Anzeigequote bei physischer Gewalt,25 bis unter 35 Jahre,,Körperverletzung,,,,,0.07
2020,a) Anzeigequote bei physischer Gewalt,25 bis unter 35 Jahre,,Körperverletzung,,,,,0.07
2021,a) Anzeigequote bei physischer Gewalt,25 bis unter 35 Jahre,,Körperverletzung,,,,,0.08
2022,a) Anzeigequote bei physischer Gewalt,25 bis unter 35 Jahre,,Körperverletzung,,,,,0.09
2023,a) Anzeigequote bei physischer Gewalt,25 bis unter 35 Jahre,,Körperverletzung,,,,,0.09
2010,a) Anzeigequote bei physischer Gewalt,35 bis unter 45 Jahre,,Körperverletzung,,.,,,
2011,a) Anzeigequote bei physischer Gewalt,35 bis unter 45 Jahre,,Körperverletzung,,.,,,
2012,a) Anzeigequote bei physischer Gewalt,35 bis unter 45 Jahre,,Körperverletzung,,,,,0.04
2013,a) Anzeigequote bei physischer Gewalt,35 bis unter 45 Jahre,,Körperverletzung,,,,,0.04
2014,a) Anzeigequote bei physischer Gewalt,35 bis unter 45 Jahre,,Körperverletzung,,,,,0.04
2015,a) Anzeigequote bei physischer Gewalt,35 bis unter 45 Jahre,,Körperverletzung,,,,,0.05
2016,a) Anzeigequote bei physischer Gewalt,35 bis unter 45 Jahre,,Körperverletzung,,,,,0.05
2017,a) Anzeigequote bei physischer Gewalt,35 bis unter 45 Jahre,,Körperverletzung,,,,,0.05
2018,a) Anzeigequote bei physischer Gewalt,35 bis unter 45 Jahre,,Körperverletzung,,,,,0.06
2019,a) Anzeigequote bei physischer Gewalt,35 bis unter 45 Jahre,,Körperverletzung,,,,,0.07
2020,a) Anzeigequote bei physischer Gewalt,35 bis unter 45 Jahre,,Körperverletzung,,,,,0.08
2021,a) Anzeigequote bei physischer Gewalt,35 bis unter 45 Jahre,,Körperverletzung,,,,,0.09
2022,a) Anzeigequote bei physischer Gewalt,35 bis unter 45 Jahre,,Körperverletzung,,,,,0.09
2023,a) Anzeigequote bei physischer Gewalt,35 bis unter 45 Jahre,,Körperverletzung,,,,,0.09
2010,a) Anzeigequote bei physischer Gewalt,45 bis unter 55 Jahre,,Körperverletzung,,.,,,
2011,a) Anzeigequote bei physischer Gewalt,45 bis unter 55 Jahre,,Körperverletzung,,.,,,
2012,a) Anzeigequote bei physischer Gewalt,45 bis unter 55 Jahre,,Körperverletzung,,,,,0.03
2013,a) Anzeigequote bei physischer Gewalt,45 bis unter 55 Jahre,,Körperverletzung,,,,,0.03
2014,a) Anzeigequote bei physischer Gewalt,45 bis unter 55 Jahre,,Körperverletzung,,,,,0.04
2015,a) Anzeigequote bei physischer Gewalt,45 bis unter 55 Jahre,,Körperverletzung,,,,,0.04
2016,a) Anzeigequote bei physischer Gewalt,45 bis unter 55 Jahre,,Körperverletzung,,,,,0.04
2017,a) Anzeigequote bei physischer Gewalt,45 bis unter 55 Jahre,,Körperverletzung,,,,,0.05
2018,a) Anzeigequote bei physischer Gewalt,45 bis unter 55 Jahre,,Körperverletzung,,,,,0.06
2019,a) Anzeigequote bei physischer Gewalt,45 bis unter 55 Jahre,,Körperverletzung,,,,,0.06
2020,a) Anzeigequote bei physischer Gewalt,45 bis unter 55 Jahre,,Körperverletzung,,,,,0.07
2021,a) Anzeigequote bei physischer Gewalt,45 bis unter 55 Jahre,,Körperverletzung,,,,,0.07
2022,a) Anzeigequote bei physischer Gewalt,45 bis unter 55 Jahre,,Körperverletzung,,,,,0.08
2023,a) Anzeigequote bei physischer Gewalt,45 bis unter 55 Jahre,,Körperverletzung,,,,,0.09
2010,a) Anzeigequote bei physischer Gewalt,55 bis unter 65 Jahre,,Körperverletzung,,,,,0.81
2011,a) Anzeigequote bei physischer Gewalt,55 bis unter 65 Jahre,,Körperverletzung,,,,,0.84
2012,a) Anzeigequote bei physischer Gewalt,55 bis unter 65 Jahre,,Körperverletzung,,,,,0.78
2013,a) Anzeigequote bei physischer Gewalt,55 bis unter 65 Jahre,,Körperverletzung,,,,,0.75
2014,a) Anzeigequote bei physischer Gewalt,55 bis unter 65 Jahre,,Körperverletzung,,,,,0.72
2015,a) Anzeigequote bei physischer Gewalt,55 bis unter 65 Jahre,,Körperverletzung,,,,,0.58
2016,a) Anzeigequote bei physischer Gewalt,55 bis unter 65 Jahre,,Körperverletzung,,,,,0.65
2017,a) Anzeigequote bei physischer Gewalt,55 bis unter 65 Jahre,,Körperverletzung,,,,,0.81
2018,a) Anzeigequote bei physischer Gewalt,55 bis unter 65 Jahre,,Körperverletzung,,,,,0.59
2019,a) Anzeigequote bei physischer Gewalt,55 bis unter 65 Jahre,,Körperverletzung,,,,,0.57
2020,a) Anzeigequote bei physischer Gewalt,55 bis unter 65 Jahre,,Körperverletzung,,,,,0.58
2021,a) Anzeigequote bei physischer Gewalt,55 bis unter 65 Jahre,,Körperverletzung,,,,,0.68
2022,a) Anzeigequote bei physischer Gewalt,55 bis unter 65 Jahre,,Körperverletzung,,,,,1.78
2023,a) Anzeigequote bei physischer Gewalt,55 bis unter 65 Jahre,,Körperverletzung,,,,,0.7
2010,a) Anzeigequote bei physischer Gewalt,65 bis unter 75 Jahre,,Körperverletzung,,,,,0.05
2011,a) Anzeigequote bei physischer Gewalt,65 bis unter 75 Jahre,,Körperverletzung,,,,,0.04
2012,a) Anzeigequote bei physischer Gewalt,65 bis unter 75 Jahre,,Körperverletzung,,,,,0.02
2013,a) Anzeigequote bei physischer Gewalt,65 bis unter 75 Jahre,,Körperverletzung,,,,,0.08
2014,a) Anzeigequote bei physischer Gewalt,65 bis unter 75 Jahre,,Körperverletzung,,,,,0.03
2015,a) Anzeigequote bei physischer Gewalt,65 bis unter 75 Jahre,,Körperverletzung,,,,,0.07
2016,a) Anzeigequote bei physischer Gewalt,65 bis unter 75 Jahre,,Körperverletzung,,,,,0.06
2017,a) Anzeigequote bei physischer Gewalt,65 bis unter 75 Jahre,,Körperverletzung,,,,,0.22
2018,a) Anzeigequote bei physischer Gewalt,65 bis unter 75 Jahre,,Körperverletzung,,,,,0.08
2019,a) Anzeigequote bei physischer Gewalt,65 bis unter 75 Jahre,,Körperverletzung,,,,,0.05
2020,a) Anzeigequote bei physischer Gewalt,65 bis unter 75 Jahre,,Körperverletzung,,,,,0.09
2021,a) Anzeigequote bei physischer Gewalt,65 bis unter 75 Jahre,,Körperverletzung,,,,,0.18
2022,a) Anzeigequote bei physischer Gewalt,65 bis unter 75 Jahre,,Körperverletzung,,,,,1.22
2023,a) Anzeigequote bei physischer Gewalt,65 bis unter 75 Jahre,,Körperverletzung,,,,,0.22
2010,a) Anzeigequote bei physischer Gewalt,75 Jahre und älter,,Körperverletzung,,,,,0.76
2011,a) Anzeigequote bei physischer Gewalt,75 Jahre und älter,,Körperverletzung,,,,,0.8
2012,a) Anzeigequote bei physischer Gewalt,75 Jahre und älter,,Körperverletzung,,,,,0.76
2013,a) Anzeigequote bei physischer Gewalt,75 Jahre und älter,,Körperverletzung,,,,,0.67
2014,a) Anzeigequote bei physischer Gewalt,75 Jahre und älter,,Körperverletzung,,,,,0.69
2015,a) Anzeigequote bei physischer Gewalt,75 Jahre und älter,,Körperverletzung,,,,,0.51
2016,a) Anzeigequote bei physischer Gewalt,75 Jahre und älter,,Körperverletzung,,,,,0.59
2017,a) Anzeigequote bei physischer Gewalt,75 Jahre und älter,,Körperverletzung,,,,,0.59
2018,a) Anzeigequote bei physischer Gewalt,75 Jahre und älter,,Körperverletzung,,,,,0.52
2019,a) Anzeigequote bei physischer Gewalt,75 Jahre und älter,,Körperverletzung,,,,,0.51
2020,a) Anzeigequote bei physischer Gewalt,75 Jahre und älter,,Körperverletzung,,,,,0.49
2021,a) Anzeigequote bei physischer Gewalt,75 Jahre und älter,,Körperverletzung,,,,,0.5
2022,a) Anzeigequote bei physischer Gewalt,75 Jahre und älter,,Körperverletzung,,,,,0.57
2023,a) Anzeigequote bei physischer Gewalt,75 Jahre und älter,,Körperverletzung,,,,,0.48
2010,a) Anzeigequote bei physischer Gewalt,,Weiblich,Körperverletzung,,,,,651.0
2011,a) Anzeigequote bei physischer Gewalt,,Weiblich,Körperverletzung,,,,,671.0
2012,a) Anzeigequote bei physischer Gewalt,,Weiblich,Körperverletzung,,,,,626.0
2013,a) Anzeigequote bei physischer Gewalt,,Weiblich,Körperverletzung,,,,,603.0
2014,a) Anzeigequote bei physischer Gewalt,,Weiblich,Körperverletzung,,,,,583.0
2015,a) Anzeigequote bei physischer Gewalt,,Weiblich,Körperverletzung,,,,,470.0
2016,a) Anzeigequote bei physischer Gewalt,,Weiblich,Körperverletzung,,,,,536.0
2017,a) Anzeigequote bei physischer Gewalt,,Weiblich,Körperverletzung,,,,,669.0
2018,a) Anzeigequote bei physischer Gewalt,,Weiblich,Körperverletzung,,,,,493.0
2019,a) Anzeigequote bei physischer Gewalt,,Weiblich,Körperverletzung,,,,,470.0
2020,a) Anzeigequote bei physischer Gewalt,,Weiblich,Körperverletzung,,,,,479.0
2021,a) Anzeigequote bei physischer Gewalt,,Weiblich,Körperverletzung,,,,,564.0
2022,a) Anzeigequote bei physischer Gewalt,,Weiblich,Körperverletzung,,,,,1495.0
2023,a) Anzeigequote bei physischer Gewalt,,Weiblich,Körperverletzung,,,,,589.0
2010,a) Anzeigequote bei physischer Gewalt,,Männlich,Körperverletzung,,,,,41.0
2011,a) Anzeigequote bei physischer Gewalt,,Männlich,Körperverletzung,,,,,32.0
2012,a) Anzeigequote bei physischer Gewalt,,Männlich,Körperverletzung,,,,,14.0
2013,a) Anzeigequote bei physischer Gewalt,,Männlich,Körperverletzung,,,,,61.0
2014,a) Anzeigequote bei physischer Gewalt,,Männlich,Körperverletzung,,,,,26.0
2015,a) Anzeigequote bei physischer Gewalt,,Männlich,Körperverletzung,,,,,54.0
2016,a) Anzeigequote bei physischer Gewalt,,Männlich,Körperverletzung,,,,,48.0
2017,a) Anzeigequote bei physischer Gewalt,,Männlich,Körperverletzung,,,,,180.0
2018,a) Anzeigequote bei physischer Gewalt,,Männlich,Körperverletzung,,,,,63.0
2019,a) Anzeigequote bei physischer Gewalt,,Männlich,Körperverletzung,,,,,43.0
2020,a) Anzeigequote bei physischer Gewalt,,Männlich,Körperverletzung,,,,,73.0
2021,a) Anzeigequote bei physischer Gewalt,,Männlich,Körperverletzung,,,,,147.0
2022,a) Anzeigequote bei physischer Gewalt,,Männlich,Körperverletzung,,,,,1019.0
2023,a) Anzeigequote bei physischer Gewalt,,Männlich,Körperverletzung,,,,,183.0
2010,a) Anzeigequote bei physischer Gewalt,,,Raub,,,,,610.0
2011,a) Anzeigequote bei physischer Gewalt,,,Raub,,,,,639.0
2012,a) Anzeigequote bei physischer Gewalt,,,Raub,,,,,612.0
2013,a) Anzeigequote bei physischer Gewalt,,,Raub,,,,,542.0
2014,a) Anzeigequote bei physischer Gewalt,,,Raub,,,,,557.0
2015,a) Anzeigequote bei physischer Gewalt,,,Raub,,,,,416.0
2016,a) Anzeigequote bei physischer Gewalt,,,Raub,,,,,488.0
2017,a) Anzeigequote bei physischer Gewalt,,,Raub,,,,,489.0
2018,a) Anzeigequote bei physischer Gewalt,,,Raub,,,,,430.0
2019,a) Anzeigequote bei physischer Gewalt,,,Raub,,,,,427.0
2020,a) Anzeigequote bei physischer Gewalt,,,Raub,,,,,406.0
2021,a) Anzeigequote bei physischer Gewalt,,,Raub,,,,,417.0
2022,a) Anzeigequote bei physischer Gewalt,,,Raub,,,,,476.0
2023,a) Anzeigequote bei physischer Gewalt,,,Raub,,,,,406.0
2010,a) Anzeigequote bei physischer Gewalt,16 bis unter 25 Jahre,,Raub,,,,,13.0
2011,a) Anzeigequote bei physischer Gewalt,16 bis unter 25 Jahre,,Raub,,,,,13.0
2012,a) Anzeigequote bei physischer Gewalt,16 bis unter 25 Jahre,,Raub,,,,,12.0
2013,a) Anzeigequote bei physischer Gewalt,16 bis unter 25 Jahre,,Raub,,,,,9.0
2014,a) Anzeigequote bei physischer Gewalt,16 bis unter 25 Jahre,,Raub,,,,,5.0
2015,a) Anzeigequote bei physischer Gewalt,16 bis unter 25 Jahre,,Raub,,,,,6.0
