Year,Value,Units,Series
2020,1.0,"ja=1, nein=0","3) countries that have legislative, administrative and policy framework or measures reported through the online reporting system on compliance of the international treaty on pgrfa"
2021,1.0,"ja=1, nein=0","3) countries that have legislative, administrative and policy framework or measures reported through the online reporting system on compliance of the international treaty on pgrfa"
2022,1.0,"ja=1, nein=0","3) countries that have legislative, administrative and policy framework or measures reported through the online reporting system on compliance of the international treaty on pgrfa"
2023,1.0,"ja=1, nein=0","3) countries that have legislative, administrative and policy framework or measures reported through the online reporting system on compliance of the international treaty on pgrfa"
2010,1.0,"ja=1, nein=0","4) countries that have legislative, administrative and policy framework or measures reported to the abs clearing-house"
2011,1.0,"ja=1, nein=0","4) countries that have legislative, administrative and policy framework or measures reported to the abs clearing-house"
2012,1.0,"ja=1, nein=0","4) countries that have legislative, administrative and policy framework or measures reported to the abs clearing-house"
2013,1.0,"ja=1, nein=0","4) countries that have legislative, administrative and policy framework or measures reported to the abs clearing-house"
2014,1.0,"ja=1, nein=0","4) countries that have legislative, administrative and policy framework or measures reported to the abs clearing-house"
2015,1.0,"ja=1, nein=0","4) countries that have legislative, administrative and policy framework or measures reported to the abs clearing-house"
2016,1.0,"ja=1, nein=0","4) countries that have legislative, administrative and policy framework or measures reported to the abs clearing-house"
2017,1.0,"ja=1, nein=0","4) countries that have legislative, administrative and policy framework or measures reported to the abs clearing-house"
2018,1.0,"ja=1, nein=0","4) countries that have legislative, administrative and policy framework or measures reported to the abs clearing-house"
2019,1.0,"ja=1, nein=0","4) countries that have legislative, administrative and policy framework or measures reported to the abs clearing-house"
2020,1.0,"ja=1, nein=0","4) countries that have legislative, administrative and policy framework or measures reported to the abs clearing-house"
2021,1.0,"ja=1, nein=0","4) countries that have legislative, administrative and policy framework or measures reported to the abs clearing-house"
2022,1.0,"ja=1, nein=0","4) countries that have legislative, administrative and policy framework or measures reported to the abs clearing-house"
2023,1.0,"ja=1, nein=0","4) countries that have legislative, administrative and policy framework or measures reported to the abs clearing-house"
2010,,Anzahl,5) total reported number of smtas transferring pgrfa to germany
2011,,Anzahl,5) total reported number of smtas transferring pgrfa to germany
2012,3898.0,Anzahl,5) total reported number of smtas transferring pgrfa to germany
2013,5012.0,Anzahl,5) total reported number of smtas transferring pgrfa to germany
2014,6068.0,Anzahl,5) total reported number of smtas transferring pgrfa to germany
2015,7292.0,Anzahl,5) total reported number of smtas transferring pgrfa to germany
2016,8347.0,Anzahl,5) total reported number of smtas transferring pgrfa to germany
2017,8728.0,Anzahl,5) total reported number of smtas transferring pgrfa to germany
2018,9120.0,Anzahl,5) total reported number of smtas transferring pgrfa to germany
2019,9711.0,Anzahl,5) total reported number of smtas transferring pgrfa to germany
2020,10239.0,Anzahl,5) total reported number of smtas transferring pgrfa to germany
2021,10797.0,Anzahl,5) total reported number of smtas transferring pgrfa to germany
2022,11332.0,Anzahl,5) total reported number of smtas transferring pgrfa to germany
2023,11821.0,Anzahl,5) total reported number of smtas transferring pgrfa to germany
