Year,Units,Type of flow,COMMENT_OBS_0,COMMENT_OBS_1,COMMENT_OBS_2,Value
2012,"Million USD, constant prices (2023)",,,,,7.8
2013,"Million USD, constant prices (2023)",,,,,7.2
2014,"Million USD, constant prices (2023)",,,,,8.2
2015,"Million USD, constant prices (2023)",,,,,7.8
2016,"Million USD, constant prices (2023)",,,,,7.8
2017,"Million USD, constant prices (2023)",,,,,6.9
2018,"Million USD, constant prices (2023)",,,,,7.6
2019,"Million USD, constant prices (2023)",,,,,5.7
2020,"Million USD, constant prices (2023)",,|,,,9.9
2021,"Million USD, constant prices (2023)",,,,,9.3
2022,"Million USD, constant prices (2023)",,,,,7.5
2023,"Million USD, constant prices (2023)",,,,,7.5
2024,"Million USD, constant prices (2023)",,,,,7.8
2010,"Million USD, constant prices (2023)",ODA (net disbursements),,,,9.8
2011,"Million USD, constant prices (2023)",ODA (net disbursements),,,,10.8
2012,"Million USD, constant prices (2023)",ODA (net disbursements),,,,10.4
2013,"Million USD, constant prices (2023)",ODA (net disbursements),,,,10.5
2014,"Million USD, constant prices (2023)",ODA (net disbursements),,,,11.5
2015,"Million USD, constant prices (2023)",ODA (net disbursements),,,,11.3
2016,"Million USD, constant prices (2023)",ODA (net disbursements),,,,10.4
2017,"Million USD, constant prices (2023)",ODA (net disbursements),,,,10.2
2018,"Million USD, constant prices (2023)",ODA (net disbursements),,,,10.4
2019,"Million USD, constant prices (2023)",ODA (net disbursements),,,,9.6
2020,"Million USD, constant prices (2023)",ODA (net disbursements),|,,,9.9
2021,"Million USD, constant prices (2023)",ODA (net disbursements),,,,9.4
2022,"Million USD, constant prices (2023)",ODA (net disbursements),,,,8.2
2023,"Million USD, constant prices (2023)",ODA (net disbursements),,,,8.1
2024,"Million USD, constant prices (2023)",ODA (net disbursements),,,,8.9
2010,"Million USD, constant prices (2023)",OOF (net disbursements),,,,7.0
2011,"Million USD, constant prices (2023)",OOF (net disbursements),,,,7.3
2012,"Million USD, constant prices (2023)",OOF (net disbursements),,,,8.4
2013,"Million USD, constant prices (2023)",OOF (net disbursements),,,,8.0
2014,"Million USD, constant prices (2023)",OOF (net disbursements),,,,9.1
2015,"Million USD, constant prices (2023)",OOF (net disbursements),,,,9.0
2016,"Million USD, constant prices (2023)",OOF (net disbursements),,,,9.4
2017,"Million USD, constant prices (2023)",OOF (net disbursements),,,,9.2
2018,"Million USD, constant prices (2023)",OOF (net disbursements),,,,9.7
2019,"Million USD, constant prices (2023)",OOF (net disbursements),,,,9.8
2020,"Million USD, constant prices (2023)",OOF (net disbursements),|,,,11.5
2021,"Million USD, constant prices (2023)",OOF (net disbursements),,,,11.8
2022,"Million USD, constant prices (2023)",OOF (net disbursements),,,,10.0
2023,"Million USD, constant prices (2023)",OOF (net disbursements),,,,9.6
2024,"Million USD, constant prices (2023)",OOF (net disbursements),,,,10.4
2010,"Million USD, constant prices (2023)",Officially supported export credits (net disbursements),,,,9.3
2011,"Million USD, constant prices (2023)",Officially supported export credits (net disbursements),,,,9.9
2012,"Million USD, constant prices (2023)",Officially supported export credits (net disbursements),,,,10.1
2013,"Million USD, constant prices (2023)",Officially supported export credits (net disbursements),,,,9.9
2014,"Million USD, constant prices (2023)",Officially supported export credits (net disbursements),,,,10.7
2015,"Million USD, constant prices (2023)",Officially supported export credits (net disbursements),,,,10.3
2016,"Million USD, constant prices (2023)",Officially supported export credits (net disbursements),,,,10.1
2017,"Million USD, constant prices (2023)",Officially supported export credits (net disbursements),,,,9.6
2018,"Million USD, constant prices (2023)",Officially supported export credits (net disbursements),,,,10.0
2019,"Million USD, constant prices (2023)",Officially supported export credits (net disbursements),,,,9.4
2020,"Million USD, constant prices (2023)",Officially supported export credits (net disbursements),|,,,10.6
2021,"Million USD, constant prices (2023)",Officially supported export credits (net disbursements),,,,10.1
2022,"Million USD, constant prices (2023)",Officially supported export credits (net disbursements),,,,8.9
2023,"Million USD, constant prices (2023)",Officially supported export credits (net disbursements),,,,8.7
2024,"Million USD, constant prices (2023)",Officially supported export credits (net disbursements),,,,9.3
2010,"Million USD, constant prices (2023)",Private sector flows at market terms (net disbursement),,,,9.0
2011,"Million USD, constant prices (2023)",Private sector flows at market terms (net disbursement),,,,9.4
2012,"Million USD, constant prices (2023)",Private sector flows at market terms (net disbursement),,,,9.0
2013,"Million USD, constant prices (2023)",Private sector flows at market terms (net disbursement),,,,8.9
2014,"Million USD, constant prices (2023)",Private sector flows at market terms (net disbursement),,,,10.2
2015,"Million USD, constant prices (2023)",Private sector flows at market terms (net disbursement),,,,10.1
2016,"Million USD, constant prices (2023)",Private sector flows at market terms (net disbursement),,,,9.3
2017,"Million USD, constant prices (2023)",Private sector flows at market terms (net disbursement),,,,9.3
2018,"Million USD, constant prices (2023)",Private sector flows at market terms (net disbursement),,,,9.6
2019,"Million USD, constant prices (2023)",Private sector flows at market terms (net disbursement),,,,8.5
2020,"Million USD, constant prices (2023)",Private sector flows at market terms (net disbursement),|,,,9.9
2021,"Million USD, constant prices (2023)",Private sector flows at market terms (net disbursement),,,,9.6
2022,"Million USD, constant prices (2023)",Private sector flows at market terms (net disbursement),,,,8.0
2023,"Million USD, constant prices (2023)",Private sector flows at market terms (net disbursement),,,,7.9
2024,"Million USD, constant prices (2023)",Private sector flows at market terms (net disbursement),,,,8.7
2010,"Million USD, constant prices (2023)",Private concessional flows (net disbursements),.,,,
2011,"Million USD, constant prices (2023)",Private concessional flows (net disbursements),.,,,
2012,"Million USD, constant prices (2023)",Private concessional flows (net disbursements),.,,,
2013,"Million USD, constant prices (2023)",Private concessional flows (net disbursements),.,,,
2014,"Million USD, constant prices (2023)",Private concessional flows (net disbursements),.,,,
2015,"Million USD, constant prices (2023)",Private concessional flows (net disbursements),,,,13.0
2016,"Million USD, constant prices (2023)",Private concessional flows (net disbursements),.,,,
2017,"Million USD, constant prices (2023)",Private concessional flows (net disbursements),,,,10.0
2018,"Million USD, constant prices (2023)",Private concessional flows (net disbursements),.,,,
2019,"Million USD, constant prices (2023)",Private concessional flows (net disbursements),,,,9.0
2020,"Million USD, constant prices (2023)",Private concessional flows (net disbursements),.,,,
2021,"Million USD, constant prices (2023)",Private concessional flows (net disbursements),,,,8.0
2022,"Million USD, constant prices (2023)",Private concessional flows (net disbursements),.,,,
2023,"Million USD, constant prices (2023)",Private concessional flows (net disbursements),,,,11.0
2024,"Million USD, constant prices (2023)",Private concessional flows (net disbursements),,,,
