Year,Units,Zeitreihe,Wirtschaftszweig,Value
2017,2010 = 100,Veränderung der Wassernutzungseffizienz,Dienstleistungen,7.5
2018,2010 = 100,Veränderung der Wassernutzungseffizienz,Dienstleistungen,4.4
2019,2010 = 100,Veränderung der Wassernutzungseffizienz,Dienstleistungen,5.3
2010,Euro pro m³,Wassernutzungseffizienz,,63.3
2011,Euro pro m³,Wassernutzungseffizienz,,69.4
2012,Euro pro m³,Wassernutzungseffizienz,,74.9
2013,Euro pro m³,Wassernutzungseffizienz,,80.4
2014,Euro pro m³,Wassernutzungseffizienz,,82.7
2015,Euro pro m³,Wassernutzungseffizienz,,88.7
2016,Euro pro m³,Wassernutzungseffizienz,,94.0
2017,Euro pro m³,Wassernutzungseffizienz,,105.6
2018,Euro pro m³,Wassernutzungseffizienz,,112.2
2019,Euro pro m³,Wassernutzungseffizienz,,120.9
2010,Euro pro m³,Wassernutzungseffizienz,"Land- und Forstwirtschaft, Fischerei",3.5
2011,Euro pro m³,Wassernutzungseffizienz,"Land- und Forstwirtschaft, Fischerei",4.3
2012,Euro pro m³,Wassernutzungseffizienz,"Land- und Forstwirtschaft, Fischerei",4.5
2013,Euro pro m³,Wassernutzungseffizienz,"Land- und Forstwirtschaft, Fischerei",4.8
2014,Euro pro m³,Wassernutzungseffizienz,"Land- und Forstwirtschaft, Fischerei",5.1
2015,Euro pro m³,Wassernutzungseffizienz,"Land- und Forstwirtschaft, Fischerei",4.6
2016,Euro pro m³,Wassernutzungseffizienz,"Land- und Forstwirtschaft, Fischerei",5.0
2017,Euro pro m³,Wassernutzungseffizienz,"Land- und Forstwirtschaft, Fischerei",5.2
2018,Euro pro m³,Wassernutzungseffizienz,"Land- und Forstwirtschaft, Fischerei",4.1
2019,Euro pro m³,Wassernutzungseffizienz,"Land- und Forstwirtschaft, Fischerei",3.5
2010,Euro pro m³,Wassernutzungseffizienz,MIMEC,26.0
2011,Euro pro m³,Wassernutzungseffizienz,MIMEC,29.3
2012,Euro pro m³,Wassernutzungseffizienz,MIMEC,32.6
2013,Euro pro m³,Wassernutzungseffizienz,MIMEC,35.4
2014,Euro pro m³,Wassernutzungseffizienz,MIMEC,36.2
2015,Euro pro m³,Wassernutzungseffizienz,MIMEC,39.5
2016,Euro pro m³,Wassernutzungseffizienz,MIMEC,42.8
2017,Euro pro m³,Wassernutzungseffizienz,MIMEC,49.7
2018,Euro pro m³,Wassernutzungseffizienz,MIMEC,53.9
2019,Euro pro m³,Wassernutzungseffizienz,MIMEC,58.7
2010,Euro pro m³,Wassernutzungseffizienz,Dienstleistungen,282.6
2011,Euro pro m³,Wassernutzungseffizienz,Dienstleistungen,301.5
2012,Euro pro m³,Wassernutzungseffizienz,Dienstleistungen,310.3
2013,Euro pro m³,Wassernutzungseffizienz,Dienstleistungen,315.4
2014,Euro pro m³,Wassernutzungseffizienz,Dienstleistungen,334.1
2015,Euro pro m³,Wassernutzungseffizienz,Dienstleistungen,352.6
2016,Euro pro m³,Wassernutzungseffizienz,Dienstleistungen,366.2
2017,Euro pro m³,Wassernutzungseffizienz,Dienstleistungen,393.7
2018,Euro pro m³,Wassernutzungseffizienz,Dienstleistungen,411.0
2019,Euro pro m³,Wassernutzungseffizienz,Dienstleistungen,432.7
