Year,Units,Type of biomass,COMMENT_OBS_0,COMMENT_OBS_1,COMMENT_OBS_2,Series,Value
2017,Percentage,,,,,Forest area under an independently verified forest management certification scheme,13.4
2018,Percentage,,,,,Forest area under an independently verified forest management certification scheme,13.4
2019,Percentage,,,,,Forest area under an independently verified forest management certification scheme,13.2
2010,Million tonnes carbon,Standig wood,.,,,Above-ground biomass stock in forest,
2011,Million tonnes carbon,Standig wood,.,,,Above-ground biomass stock in forest,
2012,Million tonnes carbon,Standig wood,.,,,Above-ground biomass stock in forest,
2013,Million tonnes carbon,Standig wood,,,,Above-ground biomass stock in forest,3.42
2014,Million tonnes carbon,Standig wood,,,,Above-ground biomass stock in forest,5.13
2015,Million tonnes carbon,Standig wood,,,,Above-ground biomass stock in forest,7.41
2016,Million tonnes carbon,Standig wood,,,,Above-ground biomass stock in forest,8.53
2017,Million tonnes carbon,Standig wood,,,,Above-ground biomass stock in forest,6.73
2018,Million tonnes carbon,Standig wood,,,,Above-ground biomass stock in forest,6.61
2019,Million tonnes carbon,Standig wood,,,,Above-ground biomass stock in forest,6.81
2020,Million tonnes carbon,Standig wood,,,,Above-ground biomass stock in forest,7.64
2021,Million tonnes carbon,Standig wood,,,,Above-ground biomass stock in forest,7.93
2022,Million tonnes carbon,Standig wood,,,,Above-ground biomass stock in forest,9.96
2023,Million tonnes carbon,Standig wood,,,,Above-ground biomass stock in forest,9.94
2010,Million tonnes carbon,Other woody biomass,.,,,Above-ground biomass stock in forest,
2011,Million tonnes carbon,Other woody biomass,.,,,Above-ground biomass stock in forest,
2012,Million tonnes carbon,Other woody biomass,.,,,Above-ground biomass stock in forest,
2013,Million tonnes carbon,Other woody biomass,,,,Above-ground biomass stock in forest,113.0
2014,Million tonnes carbon,Other woody biomass,,,,Above-ground biomass stock in forest,112.2
2015,Million tonnes carbon,Other woody biomass,,,,Above-ground biomass stock in forest,83.25
2016,Million tonnes carbon,Other woody biomass,,,,Above-ground biomass stock in forest,60.5
2017,Million tonnes carbon,Other woody biomass,,,,Above-ground biomass stock in forest,63.0
2018,Million tonnes carbon,Other woody biomass,,,,Above-ground biomass stock in forest,62.0
2019,Million tonnes carbon,Other woody biomass,,,,Above-ground biomass stock in forest,57.0
2020,Million tonnes carbon,Other woody biomass,,,,Above-ground biomass stock in forest,55.5
2021,Million tonnes carbon,Other woody biomass,,,,Above-ground biomass stock in forest,43.5
2022,Million tonnes carbon,Other woody biomass,,,,Above-ground biomass stock in forest,57.5
2023,Million tonnes carbon,Other woody biomass,,,,Above-ground biomass stock in forest,45.5
2010,Million tonnes carbon,Other biomass in forests,,,,Above-ground biomass stock in forest,61.6
2011,Million tonnes carbon,Other biomass in forests,,,,Above-ground biomass stock in forest,61.4
2012,Million tonnes carbon,Other biomass in forests,,,,Above-ground biomass stock in forest,56.6
2013,Million tonnes carbon,Other biomass in forests,,,,Above-ground biomass stock in forest,56.4
2014,Million tonnes carbon,Other biomass in forests,,,,Above-ground biomass stock in forest,59.5
2015,Million tonnes carbon,Other biomass in forests,,,,Above-ground biomass stock in forest,59.0
2016,Million tonnes carbon,Other biomass in forests,,,,Above-ground biomass stock in forest,59.1
2017,Million tonnes carbon,Other biomass in forests,,,,Above-ground biomass stock in forest,58.9
2018,Million tonnes carbon,Other biomass in forests,,,,Above-ground biomass stock in forest,55.8
2019,Million tonnes carbon,Other biomass in forests,,,,Above-ground biomass stock in forest,51.2
2020,Million tonnes carbon,Other biomass in forests,,,,Above-ground biomass stock in forest,50.0
2021,Million tonnes carbon,Other biomass in forests,,,,Above-ground biomass stock in forest,48.5
