Year,Units,type of waste treatment,COMMENT_OBS_0,COMMENT_OBS_1,COMMENT_OBS_2,Series,Value
2020,percentage,energy recovery,,,,b) hazardous waste treated,3.3
2021,percentage,energy recovery,|,,,b) hazardous waste treated,3.3
2022,percentage,energy recovery,,,,b) hazardous waste treated,3.6
2023,percentage,energy recovery,,,,b) hazardous waste treated,4.1
2024,percentage,energy recovery,|,,,b) hazardous waste treated,4.7
2010,percentage,incineration,.,,,b) hazardous waste treated,
2011,percentage,incineration,.,,,b) hazardous waste treated,
2012,percentage,incineration,‒,,,b) hazardous waste treated,0.0
2013,percentage,incineration,‒,,,b) hazardous waste treated,0.0
2014,percentage,incineration,‒,,,b) hazardous waste treated,0.0
2015,percentage,incineration,‒,,,b) hazardous waste treated,0.0
2016,percentage,incineration,‒,,,b) hazardous waste treated,0.0
2017,percentage,incineration,‒,,,b) hazardous waste treated,0.0
2018,percentage,incineration,‒,,,b) hazardous waste treated,0.0
2019,percentage,incineration,‒,,,b) hazardous waste treated,0.0
2020,percentage,incineration,‒,,,b) hazardous waste treated,0.0
2021,percentage,incineration,|,,,b) hazardous waste treated,0.4
2022,percentage,incineration,,,,b) hazardous waste treated,1.3
2023,percentage,incineration,,,,b) hazardous waste treated,1.2
2024,percentage,incineration,|,,,b) hazardous waste treated,1.3
2010,percentage,recovery other than energy recovery,.,,,b) hazardous waste treated,
2011,percentage,recovery other than energy recovery,.,,,b) hazardous waste treated,
2012,percentage,recovery other than energy recovery,‒,,,b) hazardous waste treated,0.0
2013,percentage,recovery other than energy recovery,‒,,,b) hazardous waste treated,0.0
2014,percentage,recovery other than energy recovery,‒,,,b) hazardous waste treated,0.0
2015,percentage,recovery other than energy recovery,‒,,,b) hazardous waste treated,0.0
2016,percentage,recovery other than energy recovery,‒,,,b) hazardous waste treated,0.0
2017,percentage,recovery other than energy recovery,‒,,,b) hazardous waste treated,0.0
2018,percentage,recovery other than energy recovery,‒,,,b) hazardous waste treated,0.0
2019,percentage,recovery other than energy recovery,‒,,,b) hazardous waste treated,0.0
2020,percentage,recovery other than energy recovery,‒,,,b) hazardous waste treated,0.0
2021,percentage,recovery other than energy recovery,|,,,b) hazardous waste treated,0.6
2022,percentage,recovery other than energy recovery,,,,b) hazardous waste treated,2.2
2023,percentage,recovery other than energy recovery,,,,b) hazardous waste treated,2.0
2024,percentage,recovery other than energy recovery,|,,,b) hazardous waste treated,1.7
2010,percentage,deposit onto or into land and land treatment and release into water bodies,.,,,b) hazardous waste treated,
2011,percentage,deposit onto or into land and land treatment and release into water bodies,.,,,b) hazardous waste treated,
2012,percentage,deposit onto or into land and land treatment and release into water bodies,‒,,,b) hazardous waste treated,0.0
2013,percentage,deposit onto or into land and land treatment and release into water bodies,‒,,,b) hazardous waste treated,0.0
2014,percentage,deposit onto or into land and land treatment and release into water bodies,‒,,,b) hazardous waste treated,0.0
2015,percentage,deposit onto or into land and land treatment and release into water bodies,‒,,,b) hazardous waste treated,0.0
2016,percentage,deposit onto or into land and land treatment and release into water bodies,‒,,,b) hazardous waste treated,0.0
2017,percentage,deposit onto or into land and land treatment and release into water bodies,‒,,,b) hazardous waste treated,0.0
2018,percentage,deposit onto or into land and land treatment and release into water bodies,‒,,,b) hazardous waste treated,0.0
2019,percentage,deposit onto or into land and land treatment and release into water bodies,‒,,,b) hazardous waste treated,0.0
2020,percentage,deposit onto or into land and land treatment and release into water bodies,‒,,,b) hazardous waste treated,0.0
2021,percentage,deposit onto or into land and land treatment and release into water bodies,|,,,b) hazardous waste treated,0.3
2022,percentage,deposit onto or into land and land treatment and release into water bodies,,,,b) hazardous waste treated,0.5
2023,percentage,deposit onto or into land and land treatment and release into water bodies,,,,b) hazardous waste treated,0.4
2024,percentage,deposit onto or into land and land treatment and release into water bodies,|,,,b) hazardous waste treated,0.9
