Year,Time series,Sex,Economic activity,COMMENT_OBS_0,COMMENT_OBS_1,COMMENT_OBS_2,Value
2023,Fatal occupational accidents,Male,,,,,1.3
2024,Fatal occupational accidents,Male,,,,,1.1
2010,Fatal occupational accidents,,"Agriculture, forestry and fishing (Section A)",.,,,
2011,Fatal occupational accidents,,"Agriculture, forestry and fishing (Section A)",.,,,
2012,Fatal occupational accidents,,"Agriculture, forestry and fishing (Section A)",.,,,
2013,Fatal occupational accidents,,"Agriculture, forestry and fishing (Section A)",.,,,
2014,Fatal occupational accidents,,"Agriculture, forestry and fishing (Section A)",,,,2.9
2015,Fatal occupational accidents,,"Agriculture, forestry and fishing (Section A)",,,,2.2
2016,Fatal occupational accidents,,"Agriculture, forestry and fishing (Section A)",,,,2.3
2017,Fatal occupational accidents,,"Agriculture, forestry and fishing (Section A)",|,,,2.3
2018,Fatal occupational accidents,,"Agriculture, forestry and fishing (Section A)",,,,2.6
2019,Fatal occupational accidents,,"Agriculture, forestry and fishing (Section A)",,,,3.3
2020,Fatal occupational accidents,,"Agriculture, forestry and fishing (Section A)",|,,,2.2
2021,Fatal occupational accidents,,"Agriculture, forestry and fishing (Section A)",,,,2.5
2022,Fatal occupational accidents,,"Agriculture, forestry and fishing (Section A)",,,,2.3
2023,Fatal occupational accidents,,"Agriculture, forestry and fishing (Section A)",,,,2.6
2024,Fatal occupational accidents,,"Agriculture, forestry and fishing (Section A)",,,,1.9
2010,Fatal occupational accidents,,Manufacturing (Section C),.,,,
2011,Fatal occupational accidents,,Manufacturing (Section C),.,,,
2012,Fatal occupational accidents,,Manufacturing (Section C),.,,,
2013,Fatal occupational accidents,,Manufacturing (Section C),.,,,
2014,Fatal occupational accidents,,Manufacturing (Section C),,,,0.9
2015,Fatal occupational accidents,,Manufacturing (Section C),,,,1.0
2016,Fatal occupational accidents,,Manufacturing (Section C),,,,0.8
2017,Fatal occupational accidents,,Manufacturing (Section C),|,,,0.8
2018,Fatal occupational accidents,,Manufacturing (Section C),,,,0.7
2019,Fatal occupational accidents,,Manufacturing (Section C),,,,0.7
2020,Fatal occupational accidents,,Manufacturing (Section C),|,,,0.6
2021,Fatal occupational accidents,,Manufacturing (Section C),,,,0.6
2022,Fatal occupational accidents,,Manufacturing (Section C),,,,0.7
2023,Fatal occupational accidents,,Manufacturing (Section C),,,,0.6
2024,Fatal occupational accidents,,Manufacturing (Section C),,,,0.5
2010,Fatal occupational accidents,,Construction (Section F),.,,,
2011,Fatal occupational accidents,,Construction (Section F),.,,,
2012,Fatal occupational accidents,,Construction (Section F),.,,,
2013,Fatal occupational accidents,,Construction (Section F),.,,,
2014,Fatal occupational accidents,,Construction (Section F),,,,4.3
2015,Fatal occupational accidents,,Construction (Section F),,,,3.8
2016,Fatal occupational accidents,,Construction (Section F),,,,3.1
2017,Fatal occupational accidents,,Construction (Section F),|,,,3.6
2018,Fatal occupational accidents,,Construction (Section F),,,,3.5
2019,Fatal occupational accidents,,Construction (Section F),,,,2.6
2020,Fatal occupational accidents,,Construction (Section F),|,,,3.6
2021,Fatal occupational accidents,,Construction (Section F),,,,3.2
2022,Fatal occupational accidents,,Construction (Section F),,,,2.9
2023,Fatal occupational accidents,,Construction (Section F),,,,2.9
2024,Fatal occupational accidents,,Construction (Section F),,,,2.9
2010,Fatal occupational accidents,,Wholesale and retail trade; repair of motor vehicles and motorcycles (Section G),.,,,
2011,Fatal occupational accidents,,Wholesale and retail trade; repair of motor vehicles and motorcycles (Section G),.,,,
2012,Fatal occupational accidents,,Wholesale and retail trade; repair of motor vehicles and motorcycles (Section G),.,,,
2013,Fatal occupational accidents,,Wholesale and retail trade; repair of motor vehicles and motorcycles (Section G),.,,,
2014,Fatal occupational accidents,,Wholesale and retail trade; repair of motor vehicles and motorcycles (Section G),,,,0.8
2015,Fatal occupational accidents,,Wholesale and retail trade; repair of motor vehicles and motorcycles (Section G),,,,0.6
2016,Fatal occupational accidents,,Wholesale and retail trade; repair of motor vehicles and motorcycles (Section G),,,,0.6
2017,Fatal occupational accidents,,Wholesale and retail trade; repair of motor vehicles and motorcycles (Section G),|,,,0.6
2018,Fatal occupational accidents,,Wholesale and retail trade; repair of motor vehicles and motorcycles (Section G),,,,0.4
2019,Fatal occupational accidents,,Wholesale and retail trade; repair of motor vehicles and motorcycles (Section G),,,,0.5
2020,Fatal occupational accidents,,Wholesale and retail trade; repair of motor vehicles and motorcycles (Section G),|,,,0.4
2021,Fatal occupational accidents,,Wholesale and retail trade; repair of motor vehicles and motorcycles (Section G),,,,0.5
2022,Fatal occupational accidents,,Wholesale and retail trade; repair of motor vehicles and motorcycles (Section G),,,,0.5
2023,Fatal occupational accidents,,Wholesale and retail trade; repair of motor vehicles and motorcycles (Section G),,,,0.3
2024,Fatal occupational accidents,,Wholesale and retail trade; repair of motor vehicles and motorcycles (Section G),,,,0.4
2010,Fatal occupational accidents,,Verkehr und Lagerei (Section H),.,,,
2011,Fatal occupational accidents,,Verkehr und Lagerei (Section H),.,,,
2012,Fatal occupational accidents,,Verkehr und Lagerei (Section H),.,,,
2013,Fatal occupational accidents,,Verkehr und Lagerei (Section H),.,,,
2014,Fatal occupational accidents,,Verkehr und Lagerei (Section H),,,,3.8
2015,Fatal occupational accidents,,Verkehr und Lagerei (Section H),,,,4.2
2016,Fatal occupational accidents,,Verkehr und Lagerei (Section H),,,,3.3
2017,Fatal occupational accidents,,Verkehr und Lagerei (Section H),|,,,3.2
2018,Fatal occupational accidents,,Verkehr und Lagerei (Section H),,,,2.5
2019,Fatal occupational accidents,,Verkehr und Lagerei (Section H),,,,2.8
2020,Fatal occupational accidents,,Verkehr und Lagerei (Section H),|,,,1.8
2021,Fatal occupational accidents,,Verkehr und Lagerei (Section H),,,,3.3
2022,Fatal occupational accidents,,Verkehr und Lagerei (Section H),,,,2.5
2023,Fatal occupational accidents,,Verkehr und Lagerei (Section H),,,,2.6
2024,Fatal occupational accidents,,Verkehr und Lagerei (Section H),,,,2.0
2010,Non-fatal occupational accidents,,,,,,1976.1
2011,Non-fatal occupational accidents,,,,,,2058.3
2012,Non-fatal occupational accidents,,,,,,1956.3
2013,Non-fatal occupational accidents,,,,,,2025.4
2014,Non-fatal occupational accidents,,,,,,1977.3
2015,Non-fatal occupational accidents,,,,,,1930.6
2016,Non-fatal occupational accidents,,,,,,1950.9
2017,Non-fatal occupational accidents,,,|,,,1819.6
2018,Non-fatal occupational accidents,,,,,,1721.6
2019,Non-fatal occupational accidents,,,,,,1650.8
2020,Non-fatal occupational accidents,,,|,,,1504.7
2021,Non-fatal occupational accidents,,,,,,1573.4
2022,Non-fatal occupational accidents,,,,,,1484.0
2023,Non-fatal occupational accidents,,,,,,1396.8
2024,Non-fatal occupational accidents,,,,,,1347.6
2010,Non-fatal occupational accidents,Female,,,,,1022.7
2011,Non-fatal occupational accidents,Female,,,,,1004.4
2012,Non-fatal occupational accidents,Female,,,,,998.3
2013,Non-fatal occupational accidents,Female,,,,,1121.9
2014,Non-fatal occupational accidents,Female,,,,,1098.4
2015,Non-fatal occupational accidents,Female,,,,,1094.0
2016,Non-fatal occupational accidents,Female,,,,,1097.3
2017,Non-fatal occupational accidents,Female,,|,,,987.7
2018,Non-fatal occupational accidents,Female,,,,,920.1
2019,Non-fatal occupational accidents,Female,,,,,905.1
2020,Non-fatal occupational accidents,Female,,|,,,807.7
2021,Non-fatal occupational accidents,Female,,,,,844.4
2022,Non-fatal occupational accidents,Female,,,,,810.2
2023,Non-fatal occupational accidents,Female,,,,,797.1
2024,Non-fatal occupational accidents,Female,,,,,766.9
2010,Non-fatal occupational accidents,Male,,,,,2806.8
2011,Non-fatal occupational accidents,Male,,,,,3015.8
2012,Non-fatal occupational accidents,Male,,,,,2820.5
2013,Non-fatal occupational accidents,Male,,,,,2856.5
2014,Non-fatal occupational accidents,Male,,,,,2780.6
2015,Non-fatal occupational accidents,Male,,,,,2694.4
2016,Non-fatal occupational accidents,Male,,,,,2734.3
2017,Non-fatal occupational accidents,Male,,|,,,2578.2
2018,Non-fatal occupational accidents,Male,,,,,2453.0
2019,Non-fatal occupational accidents,Male,,,,,2332.3
2020,Non-fatal occupational accidents,Male,,|,,,2145.4
2021,Non-fatal occupational accidents,Male,,,,,2238.4
2022,Non-fatal occupational accidents,Male,,,,,2109.7
2023,Non-fatal occupational accidents,Male,,,,,1950.7
2024,Non-fatal occupational accidents,Male,,,,,1884.0
2010,Non-fatal occupational accidents,,"Agriculture, forestry and fishing (Section A)",.,,,
2011,Non-fatal occupational accidents,,"Agriculture, forestry and fishing (Section A)",.,,,
2012,Non-fatal occupational accidents,,"Agriculture, forestry and fishing (Section A)",.,,,
2013,Non-fatal occupational accidents,,"Agriculture, forestry and fishing (Section A)",.,,,
2014,Non-fatal occupational accidents,,"Agriculture, forestry and fishing (Section A)",,,,2009.1
2015,Non-fatal occupational accidents,,"Agriculture, forestry and fishing (Section A)",,,,1885.9
2016,Non-fatal occupational accidents,,"Agriculture, forestry and fishing (Section A)",,,,1977.8
2017,Non-fatal occupational accidents,,"Agriculture, forestry and fishing (Section A)",|,,,1816.1
2018,Non-fatal occupational accidents,,"Agriculture, forestry and fishing (Section A)",,,,1637.2
2019,Non-fatal occupational accidents,,"Agriculture, forestry and fishing (Section A)",,,,1536.5
2020,Non-fatal occupational accidents,,"Agriculture, forestry and fishing (Section A)",|,,,1368.5
2021,Non-fatal occupational accidents,,"Agriculture, forestry and fishing (Section A)",,,,1320.6
2022,Non-fatal occupational accidents,,"Agriculture, forestry and fishing (Section A)",,,,1269.2
2023,Non-fatal occupational accidents,,"Agriculture, forestry and fishing (Section A)",,,,1253.3
2024,Non-fatal occupational accidents,,"Agriculture, forestry and fishing (Section A)",,,,1105.8
2010,Non-fatal occupational accidents,,Manufacturing (Section C),.,,,
2011,Non-fatal occupational accidents,,Manufacturing (Section C),.,,,
2012,Non-fatal occupational accidents,,Manufacturing (Section C),.,,,
2013,Non-fatal occupational accidents,,Manufacturing (Section C),.,,,
2014,Non-fatal occupational accidents,,Manufacturing (Section C),,,,2502.6
2015,Non-fatal occupational accidents,,Manufacturing (Section C),,,,2473.6
2016,Non-fatal occupational accidents,,Manufacturing (Section C),,,,2486.5
2017,Non-fatal occupational accidents,,Manufacturing (Section C),|,,,2247.3
2018,Non-fatal occupational accidents,,Manufacturing (Section C),,,,2215.2
2019,Non-fatal occupational accidents,,Manufacturing (Section C),,,,2121.2
2020,Non-fatal occupational accidents,,Manufacturing (Section C),|,,,2038.9
2021,Non-fatal occupational accidents,,Manufacturing (Section C),,,,2156.1
2022,Non-fatal occupational accidents,,Manufacturing (Section C),,,,2144.4
2023,Non-fatal occupational accidents,,Manufacturing (Section C),,,,1920.7
2024,Non-fatal occupational accidents,,Manufacturing (Section C),,,,1919.3
2010,Non-fatal occupational accidents,,Construction (Section F),.,,,
2011,Non-fatal occupational accidents,,Construction (Section F),.,,,
2012,Non-fatal occupational accidents,,Construction (Section F),.,,,
2013,Non-fatal occupational accidents,,Construction (Section F),.,,,
2014,Non-fatal occupational accidents,,Construction (Section F),,,,5003.4
2015,Non-fatal occupational accidents,,Construction (Section F),,,,4850.3
2016,Non-fatal occupational accidents,,Construction (Section F),,,,4936.5
2017,Non-fatal occupational accidents,,Construction (Section F),|,,,4784.4
2018,Non-fatal occupational accidents,,Construction (Section F),,,,4595.3
2019,Non-fatal occupational accidents,,Construction (Section F),,,,4373.2
2020,Non-fatal occupational accidents,,Construction (Section F),|,,,4386.9
2021,Non-fatal occupational accidents,,Construction (Section F),,,,4305.5
2022,Non-fatal occupational accidents,,Construction (Section F),,,,4067.0
2023,Non-fatal occupational accidents,,Construction (Section F),,,,3846.2
2024,Non-fatal occupational accidents,,Construction (Section F),,,,3819.3
2010,Non-fatal occupational accidents,,Wholesale and retail trade; repair of motor vehicles and motorcycles (Section G),.,,,
2011,Non-fatal occupational accidents,,Wholesale and retail trade; repair of motor vehicles and motorcycles (Section G),.,,,
2012,Non-fatal occupational accidents,,Wholesale and retail trade; repair of motor vehicles and motorcycles (Section G),.,,,
2013,Non-fatal occupational accidents,,Wholesale and retail trade; repair of motor vehicles and motorcycles (Section G),.,,,
2014,Non-fatal occupational accidents,,Wholesale and retail trade; repair of motor vehicles and motorcycles (Section G),,,,1823.6
2015,Non-fatal occupational accidents,,Wholesale and retail trade; repair of motor vehicles and motorcycles (Section G),,,,1814.8
2016,Non-fatal occupational accidents,,Wholesale and retail trade; repair of motor vehicles and motorcycles (Section G),,,,1800.4
2017,Non-fatal occupational accidents,,Wholesale and retail trade; repair of motor vehicles and motorcycles (Section G),|,,,1622.6
2018,Non-fatal occupational accidents,,Wholesale and retail trade; repair of motor vehicles and motorcycles (Section G),,,,1555.2
2019,Non-fatal occupational accidents,,Wholesale and retail trade; repair of motor vehicles and motorcycles (Section G),,,,1565.6
2020,Non-fatal occupational accidents,,Wholesale and retail trade; repair of motor vehicles and motorcycles (Section G),|,,,1435.6
2021,Non-fatal occupational accidents,,Wholesale and retail trade; repair of motor vehicles and motorcycles (Section G),,,,1489.6
2022,Non-fatal occupational accidents,,Wholesale and retail trade; repair of motor vehicles and motorcycles (Section G),,,,1389.1
2023,Non-fatal occupational accidents,,Wholesale and retail trade; repair of motor vehicles and motorcycles (Section G),,,,1307.8
2024,Non-fatal occupational accidents,,Wholesale and retail trade; repair of motor vehicles and motorcycles (Section G),,,,1275.1
2010,Non-fatal occupational accidents,,Verkehr und Lagerei (Section H),.,,,
2011,Non-fatal occupational accidents,,Verkehr und Lagerei (Section H),.,,,
2012,Non-fatal occupational accidents,,Verkehr und Lagerei (Section H),.,,,
2013,Non-fatal occupational accidents,,Verkehr und Lagerei (Section H),.,,,
2014,Non-fatal occupational accidents,,Verkehr und Lagerei (Section H),,,,2943.8
2015,Non-fatal occupational accidents,,Verkehr und Lagerei (Section H),,,,3027.3
2016,Non-fatal occupational accidents,,Verkehr und Lagerei (Section H),,,,2766.3
2017,Non-fatal occupational accidents,,Verkehr und Lagerei (Section H),|,,,3460.1
2018,Non-fatal occupational accidents,,Verkehr und Lagerei (Section H),,,,3327.8
2019,Non-fatal occupational accidents,,Verkehr und Lagerei (Section H),,,,3182.3
2020,Non-fatal occupational accidents,,Verkehr und Lagerei (Section H),|,,,2842.2
2021,Non-fatal occupational accidents,,Verkehr und Lagerei (Section H),,,,3163.4
2022,Non-fatal occupational accidents,,Verkehr und Lagerei (Section H),,,,2882.9
2023,Non-fatal occupational accidents,,Verkehr und Lagerei (Section H),,,,2768.5
2024,Non-fatal occupational accidents,,Verkehr und Lagerei (Section H),,,,2680.4
