Year,form of abuse,age group,sex,COMMENT_OBS_0,COMMENT_OBS_1,COMMENT_OBS_2,Value
2020,,15 to under 18 years,male,,,,
2021,,15 to under 18 years,male,,,,
2022,,15 to under 18 years,male,,,,
2023,,15 to under 18 years,male,,,,
2024,,15 to under 18 years,male,,,,
2010,physical abuse,1 to under 18 years,,.,,,
2011,physical abuse,1 to under 18 years,,.,,,
2012,physical abuse,1 to under 18 years,,,,,0.04
2013,physical abuse,1 to under 18 years,,,,,0.04
2014,physical abuse,1 to under 18 years,,,,,0.04
2015,physical abuse,1 to under 18 years,,,,,0.04
2016,physical abuse,1 to under 18 years,,,,,0.05
2017,physical abuse,1 to under 18 years,,,,,0.05
2018,physical abuse,1 to under 18 years,,,,,0.06
2019,physical abuse,1 to under 18 years,,,,,0.07
2020,physical abuse,1 to under 18 years,,,,,0.07
2021,physical abuse,1 to under 18 years,,,,,0.07
2022,physical abuse,1 to under 18 years,,,,,0.08
2023,physical abuse,1 to under 18 years,,,,,0.08
2024,physical abuse,1 to under 18 years,,,,,0.1
2010,physical abuse,1 to under 18 years,female,.,,,
2011,physical abuse,1 to under 18 years,female,.,,,
2012,physical abuse,1 to under 18 years,female,,,,0.04
2013,physical abuse,1 to under 18 years,female,,,,0.04
2014,physical abuse,1 to under 18 years,female,,,,0.04
2015,physical abuse,1 to under 18 years,female,,,,0.04
2016,physical abuse,1 to under 18 years,female,,,,0.05
2017,physical abuse,1 to under 18 years,female,,,,0.05
2018,physical abuse,1 to under 18 years,female,,,,0.06
2019,physical abuse,1 to under 18 years,female,,,,0.07
2020,physical abuse,1 to under 18 years,female,,,,0.07
2021,physical abuse,1 to under 18 years,female,,,,0.07
2022,physical abuse,1 to under 18 years,female,,,,0.08
2023,physical abuse,1 to under 18 years,female,,,,0.08
2024,physical abuse,1 to under 18 years,female,,,,0.1
2010,physical abuse,1 to under 18 years,male,.,,,
2011,physical abuse,1 to under 18 years,male,.,,,
2012,physical abuse,1 to under 18 years,male,,,,0.03
2013,physical abuse,1 to under 18 years,male,,,,0.03
2014,physical abuse,1 to under 18 years,male,,,,0.04
2015,physical abuse,1 to under 18 years,male,,,,0.04
2016,physical abuse,1 to under 18 years,male,,,,0.04
2017,physical abuse,1 to under 18 years,male,,,,0.05
2018,physical abuse,1 to under 18 years,male,r,,,0.06
2019,physical abuse,1 to under 18 years,male,r,,,0.07
2020,physical abuse,1 to under 18 years,male,r,,,0.07
2021,physical abuse,1 to under 18 years,male,,,,0.06
2022,physical abuse,1 to under 18 years,male,,,,0.07
2023,physical abuse,1 to under 18 years,male,r,,,0.08
2024,physical abuse,1 to under 18 years,male,,,,0.09
2010,physical abuse,1 to under 15 years,,,,,
2011,physical abuse,1 to under 15 years,,,,,
2012,physical abuse,1 to under 15 years,,,,,
2013,physical abuse,1 to under 15 years,,,,,
2014,physical abuse,1 to under 15 years,,,,,
2015,physical abuse,1 to under 15 years,,,,,
2016,physical abuse,1 to under 15 years,,,,,
2017,physical abuse,1 to under 15 years,,,,,
2018,physical abuse,1 to under 15 years,,,,,
2019,physical abuse,1 to under 15 years,,,,,
2020,physical abuse,1 to under 15 years,,,,,
2021,physical abuse,1 to under 15 years,,,,,
2022,physical abuse,1 to under 15 years,,,,,
2023,physical abuse,1 to under 15 years,,,,,
2024,physical abuse,1 to under 15 years,,,,,
2010,physical abuse,1 to under 15 years,female,,,,
2011,physical abuse,1 to under 15 years,female,,,,
2012,physical abuse,1 to under 15 years,female,,,,
2013,physical abuse,1 to under 15 years,female,,,,
2014,physical abuse,1 to under 15 years,female,,,,
2015,physical abuse,1 to under 15 years,female,,,,
2016,physical abuse,1 to under 15 years,female,,,,
2017,physical abuse,1 to under 15 years,female,,,,
2018,physical abuse,1 to under 15 years,female,,,,
2019,physical abuse,1 to under 15 years,female,,,,
2020,physical abuse,1 to under 15 years,female,,,,
2021,physical abuse,1 to under 15 years,female,,,,
2022,physical abuse,1 to under 15 years,female,,,,
2023,physical abuse,1 to under 15 years,female,,,,
2024,physical abuse,1 to under 15 years,female,,,,
2010,physical abuse,1 to under 15 years,male,,,,
2011,physical abuse,1 to under 15 years,male,,,,
2012,physical abuse,1 to under 15 years,male,,,,
2013,physical abuse,1 to under 15 years,male,,,,
2014,physical abuse,1 to under 15 years,male,,,,
2015,physical abuse,1 to under 15 years,male,,,,
2016,physical abuse,1 to under 15 years,male,,,,
2017,physical abuse,1 to under 15 years,male,,,,
2018,physical abuse,1 to under 15 years,male,,,,
2019,physical abuse,1 to under 15 years,male,,,,
2020,physical abuse,1 to under 15 years,male,,,,
2021,physical abuse,1 to under 15 years,male,,,,
2022,physical abuse,1 to under 15 years,male,,,,
2023,physical abuse,1 to under 15 years,male,,,,
2024,physical abuse,1 to under 15 years,male,,,,
2010,physical abuse,15 to under 18 years,,,,,
2011,physical abuse,15 to under 18 years,,,,,
2012,physical abuse,15 to under 18 years,,,,,
2013,physical abuse,15 to under 18 years,,,,,
2014,physical abuse,15 to under 18 years,,,,,
2015,physical abuse,15 to under 18 years,,,,,
2016,physical abuse,15 to under 18 years,,,,,
2017,physical abuse,15 to under 18 years,,,,,
2018,physical abuse,15 to under 18 years,,,,,
2019,physical abuse,15 to under 18 years,,,,,
2020,physical abuse,15 to under 18 years,,,,,
2021,physical abuse,15 to under 18 years,,,,,
2022,physical abuse,15 to under 18 years,,,,,
2023,physical abuse,15 to under 18 years,,,,,
2024,physical abuse,15 to under 18 years,,,,,
2010,physical abuse,15 to under 18 years,female,,,,
2011,physical abuse,15 to under 18 years,female,,,,
2012,physical abuse,15 to under 18 years,female,,,,
2013,physical abuse,15 to under 18 years,female,,,,
2014,physical abuse,15 to under 18 years,female,,,,
2015,physical abuse,15 to under 18 years,female,,,,
2016,physical abuse,15 to under 18 years,female,,,,
2017,physical abuse,15 to under 18 years,female,,,,
2018,physical abuse,15 to under 18 years,female,,,,
2019,physical abuse,15 to under 18 years,female,,,,
2020,physical abuse,15 to under 18 years,female,,,,
2021,physical abuse,15 to under 18 years,female,,,,
2022,physical abuse,15 to under 18 years,female,,,,
2023,physical abuse,15 to under 18 years,female,,,,
2024,physical abuse,15 to under 18 years,female,,,,
2010,physical abuse,15 to under 18 years,male,,,,
2011,physical abuse,15 to under 18 years,male,,,,
2012,physical abuse,15 to under 18 years,male,,,,
2013,physical abuse,15 to under 18 years,male,,,,
2014,physical abuse,15 to under 18 years,male,,,,
2015,physical abuse,15 to under 18 years,male,,,,
2016,physical abuse,15 to under 18 years,male,,,,
2017,physical abuse,15 to under 18 years,male,,,,
2018,physical abuse,15 to under 18 years,male,,,,
2019,physical abuse,15 to under 18 years,male,,,,
2020,physical abuse,15 to under 18 years,male,,,,
2021,physical abuse,15 to under 18 years,male,,,,
2022,physical abuse,15 to under 18 years,male,,,,
2023,physical abuse,15 to under 18 years,male,,,,
2024,physical abuse,15 to under 18 years,male,,,,
2010,psychological abuse,1 to under 18 years,,.,,,
2011,psychological abuse,1 to under 18 years,,.,,,
2012,psychological abuse,1 to under 18 years,,,,,0.03
2013,psychological abuse,1 to under 18 years,,,,,0.03
2014,psychological abuse,1 to under 18 years,,,,,0.04
2015,psychological abuse,1 to under 18 years,,,,,0.04
2016,psychological abuse,1 to under 18 years,,,,,0.05
2017,psychological abuse,1 to under 18 years,,,,,0.05
2018,psychological abuse,1 to under 18 years,,,,,0.06
2019,psychological abuse,1 to under 18 years,,,,,0.07
2020,psychological abuse,1 to under 18 years,,r,,,0.08
2021,psychological abuse,1 to under 18 years,,,,,0.08
2022,psychological abuse,1 to under 18 years,,,,,0.09
2023,psychological abuse,1 to under 18 years,,,,,0.09
2024,psychological abuse,1 to under 18 years,,,,,0.11
2010,psychological abuse,1 to under 18 years,female,.,,,
2011,psychological abuse,1 to under 18 years,female,.,,,
2012,psychological abuse,1 to under 18 years,female,,,,0.04
2013,psychological abuse,1 to under 18 years,female,,,,0.04
2014,psychological abuse,1 to under 18 years,female,,,,0.04
2015,psychological abuse,1 to under 18 years,female,,,,0.05
2016,psychological abuse,1 to under 18 years,female,,,,0.05
2017,psychological abuse,1 to under 18 years,female,,,,0.05
2018,psychological abuse,1 to under 18 years,female,,,,0.06
2019,psychological abuse,1 to under 18 years,female,,,,0.07
2020,psychological abuse,1 to under 18 years,female,,,,0.08
2021,psychological abuse,1 to under 18 years,female,,,,0.09
2022,psychological abuse,1 to under 18 years,female,,,,0.09
2023,psychological abuse,1 to under 18 years,female,,,,0.09
2024,psychological abuse,1 to under 18 years,female,,,,0.12
2010,psychological abuse,1 to under 18 years,male,.,,,
2011,psychological abuse,1 to under 18 years,male,.,,,
2012,psychological abuse,1 to under 18 years,male,,,,0.03
2013,psychological abuse,1 to under 18 years,male,,,,0.03
2014,psychological abuse,1 to under 18 years,male,,,,0.04
2015,psychological abuse,1 to under 18 years,male,,,,0.04
2016,psychological abuse,1 to under 18 years,male,,,,0.04
2017,psychological abuse,1 to under 18 years,male,,,,0.05
2018,psychological abuse,1 to under 18 years,male,,,,0.06
2019,psychological abuse,1 to under 18 years,male,,,,0.06
2020,psychological abuse,1 to under 18 years,male,,,,0.07
2021,psychological abuse,1 to under 18 years,male,,,,0.07
2022,psychological abuse,1 to under 18 years,male,,,,0.08
2023,psychological abuse,1 to under 18 years,male,,,,0.09
2024,psychological abuse,1 to under 18 years,male,,,,0.1
2010,psychological abuse,1 to under 15 years,,,,,
2011,psychological abuse,1 to under 15 years,,,,,
2012,psychological abuse,1 to under 15 years,,,,,
2013,psychological abuse,1 to under 15 years,,,,,
2014,psychological abuse,1 to under 15 years,,,,,
2015,psychological abuse,1 to under 15 years,,,,,
2016,psychological abuse,1 to under 15 years,,,,,
2017,psychological abuse,1 to under 15 years,,,,,
2018,psychological abuse,1 to under 15 years,,,,,
2019,psychological abuse,1 to under 15 years,,,,,
2020,psychological abuse,1 to under 15 years,,,,,
2021,psychological abuse,1 to under 15 years,,,,,
2022,psychological abuse,1 to under 15 years,,,,,
2023,psychological abuse,1 to under 15 years,,,,,
2024,psychological abuse,1 to under 15 years,,,,,
2010,psychological abuse,1 to under 15 years,female,,,,
2011,psychological abuse,1 to under 15 years,female,,,,
2012,psychological abuse,1 to under 15 years,female,,,,
2013,psychological abuse,1 to under 15 years,female,,,,
2014,psychological abuse,1 to under 15 years,female,,,,
2015,psychological abuse,1 to under 15 years,female,,,,
2016,psychological abuse,1 to under 15 years,female,,,,
2017,psychological abuse,1 to under 15 years,female,,,,
2018,psychological abuse,1 to under 15 years,female,,,,
2019,psychological abuse,1 to under 15 years,female,,,,
2020,psychological abuse,1 to under 15 years,female,,,,
2021,psychological abuse,1 to under 15 years,female,,,,
2022,psychological abuse,1 to under 15 years,female,,,,
2023,psychological abuse,1 to under 15 years,female,,,,
2024,psychological abuse,1 to under 15 years,female,,,,
2010,psychological abuse,1 to under 15 years,male,,,,
2011,psychological abuse,1 to under 15 years,male,,,,
2012,psychological abuse,1 to under 15 years,male,,,,
2013,psychological abuse,1 to under 15 years,male,,,,
2014,psychological abuse,1 to under 15 years,male,,,,
2015,psychological abuse,1 to under 15 years,male,,,,
2016,psychological abuse,1 to under 15 years,male,,,,
2017,psychological abuse,1 to under 15 years,male,,,,
2018,psychological abuse,1 to under 15 years,male,,,,
2019,psychological abuse,1 to under 15 years,male,,,,
2020,psychological abuse,1 to under 15 years,male,,,,
2021,psychological abuse,1 to under 15 years,male,,,,
2022,psychological abuse,1 to under 15 years,male,,,,
2023,psychological abuse,1 to under 15 years,male,,,,
2024,psychological abuse,1 to under 15 years,male,,,,
2010,psychological abuse,15 to under 18 years,,,,,
2011,psychological abuse,15 to under 18 years,,,,,
2012,psychological abuse,15 to under 18 years,,,,,
2013,psychological abuse,15 to under 18 years,,,,,
2014,psychological abuse,15 to under 18 years,,,,,
2015,psychological abuse,15 to under 18 years,,,,,
2016,psychological abuse,15 to under 18 years,,,,,
2017,psychological abuse,15 to under 18 years,,,,,
2018,psychological abuse,15 to under 18 years,,,,,
2019,psychological abuse,15 to under 18 years,,,,,
2020,psychological abuse,15 to under 18 years,,,,,
2021,psychological abuse,15 to under 18 years,,,,,
2022,psychological abuse,15 to under 18 years,,,,,
2023,psychological abuse,15 to under 18 years,,,,,
2024,psychological abuse,15 to under 18 years,,,,,
2010,psychological abuse,15 to under 18 years,female,,,,
2011,psychological abuse,15 to under 18 years,female,,,,
2012,psychological abuse,15 to under 18 years,female,,,,
2013,psychological abuse,15 to under 18 years,female,,,,
2014,psychological abuse,15 to under 18 years,female,,,,
2015,psychological abuse,15 to under 18 years,female,,,,
2016,psychological abuse,15 to under 18 years,female,,,,
2017,psychological abuse,15 to under 18 years,female,,,,
2018,psychological abuse,15 to under 18 years,female,,,,
2019,psychological abuse,15 to under 18 years,female,,,,
2020,psychological abuse,15 to under 18 years,female,,,,
2021,psychological abuse,15 to under 18 years,female,,,,
2022,psychological abuse,15 to under 18 years,female,,,,
2023,psychological abuse,15 to under 18 years,female,,,,
2024,psychological abuse,15 to under 18 years,female,,,,
2010,psychological abuse,15 to under 18 years,male,,,,
2011,psychological abuse,15 to under 18 years,male,,,,
2012,psychological abuse,15 to under 18 years,male,,,,
2013,psychological abuse,15 to under 18 years,male,,,,
2014,psychological abuse,15 to under 18 years,male,,,,
2015,psychological abuse,15 to under 18 years,male,,,,
2016,psychological abuse,15 to under 18 years,male,,,,
2017,psychological abuse,15 to under 18 years,male,,,,
2018,psychological abuse,15 to under 18 years,male,,,,
2019,psychological abuse,15 to under 18 years,male,,,,
2020,psychological abuse,15 to under 18 years,male,,,,
2021,psychological abuse,15 to under 18 years,male,,,,
2022,psychological abuse,15 to under 18 years,male,,,,
2023,psychological abuse,15 to under 18 years,male,,,,
2024,psychological abuse,15 to under 18 years,male,,,,
