Year,Units,Domain,Field of work,Level of court,Series,Value
2017,Percentage,Bundesrat (Upper chamber),,,Proportion of women,39.1
2018,Percentage,Bundesrat (Upper chamber),,,Proportion of women,39.1
2019,Percentage,Bundesrat (Upper chamber),,,Proportion of women,36.2
2020,Percentage,Bundesrat (Upper chamber),,,Proportion of women,34.8
2021,Percentage,Bundesrat (Upper chamber),,,Proportion of women,33.3
2022,Percentage,Bundesrat (Upper chamber),,,Proportion of women,31.9
2010,Percentage,Public service,,,Proportion of women,50.5
2011,Percentage,Public service,,,Proportion of women,50.2
2012,Percentage,Public service,,,Proportion of women,50.7
2013,Percentage,Public service,,,Proportion of women,51.1
2014,Percentage,Public service,,,Proportion of women,51.5
2015,Percentage,Public service,,,Proportion of women,51.9
2016,Percentage,Public service,,,Proportion of women,52.3
2017,Percentage,Public service,,,Proportion of women,52.6
2018,Percentage,Public service,,,Proportion of women,52.9
2019,Percentage,Public service,,,Proportion of women,53.3
2020,Percentage,Public service,,,Proportion of women,53.6
2021,Percentage,Public service,,,Proportion of women,
2022,Percentage,Public service,,,Proportion of women,
2010,Percentage,Public service,"Political leadership and central administration, foreign affairs",,Proportion of women,48.8
2011,Percentage,Public service,"Political leadership and central administration, foreign affairs",,Proportion of women,49.2
2012,Percentage,Public service,"Political leadership and central administration, foreign affairs",,Proportion of women,49.7
2013,Percentage,Public service,"Political leadership and central administration, foreign affairs",,Proportion of women,50.2
2014,Percentage,Public service,"Political leadership and central administration, foreign affairs",,Proportion of women,50.5
2015,Percentage,Public service,"Political leadership and central administration, foreign affairs",,Proportion of women,50.9
2016,Percentage,Public service,"Political leadership and central administration, foreign affairs",,Proportion of women,51.6
2017,Percentage,Public service,"Political leadership and central administration, foreign affairs",,Proportion of women,52.1
2018,Percentage,Public service,"Political leadership and central administration, foreign affairs",,Proportion of women,52.4
2019,Percentage,Public service,"Political leadership and central administration, foreign affairs",,Proportion of women,52.6
2020,Percentage,Public service,"Political leadership and central administration, foreign affairs",,Proportion of women,52.9
2021,Percentage,Public service,"Political leadership and central administration, foreign affairs",,Proportion of women,
2022,Percentage,Public service,"Political leadership and central administration, foreign affairs",,Proportion of women,
2010,Percentage,Public service,Police,,Proportion of women,22.7
2011,Percentage,Public service,Police,,Proportion of women,22.4
2012,Percentage,Public service,Police,,Proportion of women,22.9
2013,Percentage,Public service,Police,,Proportion of women,23.3
2014,Percentage,Public service,Police,,Proportion of women,23.7
2015,Percentage,Public service,Police,,Proportion of women,24.2
2016,Percentage,Public service,Police,,Proportion of women,24.8
2017,Percentage,Public service,Police,,Proportion of women,25.6
2018,Percentage,Public service,Police,,Proportion of women,26.5
2019,Percentage,Public service,Police,,Proportion of women,27.4
2020,Percentage,Public service,Police,,Proportion of women,28.4
2021,Percentage,Public service,Police,,Proportion of women,
2022,Percentage,Public service,Police,,Proportion of women,
2010,Percentage,Public service,"Education, science, research, cultural affairs",,Proportion of women,60.6
2011,Percentage,Public service,"Education, science, research, cultural affairs",,Proportion of women,61.0
2012,Percentage,Public service,"Education, science, research, cultural affairs",,Proportion of women,61.4
2013,Percentage,Public service,"Education, science, research, cultural affairs",,Proportion of women,61.7
2014,Percentage,Public service,"Education, science, research, cultural affairs",,Proportion of women,61.9
2015,Percentage,Public service,"Education, science, research, cultural affairs",,Proportion of women,62.2
2016,Percentage,Public service,"Education, science, research, cultural affairs",,Proportion of women,62.5
2017,Percentage,Public service,"Education, science, research, cultural affairs",,Proportion of women,62.7
2018,Percentage,Public service,"Education, science, research, cultural affairs",,Proportion of women,62.8
2019,Percentage,Public service,"Education, science, research, cultural affairs",,Proportion of women,63.0
2020,Percentage,Public service,"Education, science, research, cultural affairs",,Proportion of women,63.1
2021,Percentage,Public service,"Education, science, research, cultural affairs",,Proportion of women,
2022,Percentage,Public service,"Education, science, research, cultural affairs",,Proportion of women,
2010,Percentage,Public service,"Health, environment, sports and recreation",,Proportion of women,57.0
2011,Percentage,Public service,"Health, environment, sports and recreation",,Proportion of women,57.4
2012,Percentage,Public service,"Health, environment, sports and recreation",,Proportion of women,57.0
2013,Percentage,Public service,"Health, environment, sports and recreation",,Proportion of women,56.9
2014,Percentage,Public service,"Health, environment, sports and recreation",,Proportion of women,58.1
2015,Percentage,Public service,"Health, environment, sports and recreation",,Proportion of women,58.4
2016,Percentage,Public service,"Health, environment, sports and recreation",,Proportion of women,58.6
2017,Percentage,Public service,"Health, environment, sports and recreation",,Proportion of women,53.6
2018,Percentage,Public service,"Health, environment, sports and recreation",,Proportion of women,57.3
2019,Percentage,Public service,"Health, environment, sports and recreation",,Proportion of women,57.9
2020,Percentage,Public service,"Health, environment, sports and recreation",,Proportion of women,58.6
2021,Percentage,Public service,"Health, environment, sports and recreation",,Proportion of women,
2022,Percentage,Public service,"Health, environment, sports and recreation",,Proportion of women,
2010,Percentage,Judiciary,,,Proportion of women,38.5
2011,Percentage,Judiciary,,,Proportion of women,39.3
2012,Percentage,Judiciary,,,Proportion of women,40.2
2013,Percentage,Judiciary,,,Proportion of women,41.1
2014,Percentage,Judiciary,,,Proportion of women,41.4
2015,Percentage,Judiciary,,,Proportion of women,43.4
2016,Percentage,Judiciary,,,Proportion of women,44.5
2017,Percentage,Judiciary,,,Proportion of women,45.4
2018,Percentage,Judiciary,,,Proportion of women,45.7
2019,Percentage,Judiciary,,,Proportion of women,46.5
2020,Percentage,Judiciary,,,Proportion of women,47.5
2021,Percentage,Judiciary,,,Proportion of women,
2022,Percentage,Judiciary,,,Proportion of women,
2010,Percentage,Judiciary,,Supreme/Constitutional courts,Proportion of women,23.0
2011,Percentage,Judiciary,,Supreme/Constitutional courts,Proportion of women,23.0
2012,Percentage,Judiciary,,Supreme/Constitutional courts,Proportion of women,25.5
2013,Percentage,Judiciary,,Supreme/Constitutional courts,Proportion of women,24.3
2014,Percentage,Judiciary,,Supreme/Constitutional courts,Proportion of women,27.2
2015,Percentage,Judiciary,,Supreme/Constitutional courts,Proportion of women,27.2
2016,Percentage,Judiciary,,Supreme/Constitutional courts,Proportion of women,31.7
2017,Percentage,Judiciary,,Supreme/Constitutional courts,Proportion of women,31.7
2018,Percentage,Judiciary,,Supreme/Constitutional courts,Proportion of women,34.6
2019,Percentage,Judiciary,,Supreme/Constitutional courts,Proportion of women,34.6
2020,Percentage,Judiciary,,Supreme/Constitutional courts,Proportion of women,39.0
2021,Percentage,Judiciary,,Supreme/Constitutional courts,Proportion of women,
2022,Percentage,Judiciary,,Supreme/Constitutional courts,Proportion of women,
2010,Percentage,Judiciary,,Higher-level courts,Proportion of women,29.3
2011,Percentage,Judiciary,,Higher-level courts,Proportion of women,30.5
2012,Percentage,Judiciary,,Higher-level courts,Proportion of women,31.1
2013,Percentage,Judiciary,,Higher-level courts,Proportion of women,31.7
2014,Percentage,Judiciary,,Higher-level courts,Proportion of women,32.5
2015,Percentage,Judiciary,,Higher-level courts,Proportion of women,34.1
2016,Percentage,Judiciary,,Higher-level courts,Proportion of women,35.3
2017,Percentage,Judiciary,,Higher-level courts,Proportion of women,36.6
2018,Percentage,Judiciary,,Higher-level courts,Proportion of women,37.1
2019,Percentage,Judiciary,,Higher-level courts,Proportion of women,37.8
2020,Percentage,Judiciary,,Higher-level courts,Proportion of women,39.0
2021,Percentage,Judiciary,,Higher-level courts,Proportion of women,
2022,Percentage,Judiciary,,Higher-level courts,Proportion of women,
2010,Percentage,Judiciary,,Lower-level courts,Proportion of women,40.7
2011,Percentage,Judiciary,,Lower-level courts,Proportion of women,41.5
2012,Percentage,Judiciary,,Lower-level courts,Proportion of women,42.4
2013,Percentage,Judiciary,,Lower-level courts,Proportion of women,43.5
2014,Percentage,Judiciary,,Lower-level courts,Proportion of women,43.6
2015,Percentage,Judiciary,,Lower-level courts,Proportion of women,45.7
2016,Percentage,Judiciary,,Lower-level courts,Proportion of women,46.7
2017,Percentage,Judiciary,,Lower-level courts,Proportion of women,47.5
2018,Percentage,Judiciary,,Lower-level courts,Proportion of women,47.7
2019,Percentage,Judiciary,,Lower-level courts,Proportion of women,48.5
2020,Percentage,Judiciary,,Lower-level courts,Proportion of women,49.4
2021,Percentage,Judiciary,,Lower-level courts,Proportion of women,
2022,Percentage,Judiciary,,Lower-level courts,Proportion of women,
2010,No unit,Bundestag (Lower chamber),,,Ratio of women,0.66
2011,No unit,Bundestag (Lower chamber),,,Ratio of women,0.67
2012,No unit,Bundestag (Lower chamber),,,Ratio of women,0.66
2013,No unit,Bundestag (Lower chamber),,,Ratio of women,0.66
2014,No unit,Bundestag (Lower chamber),,,Ratio of women,0.73
2015,No unit,Bundestag (Lower chamber),,,Ratio of women,0.73
2016,No unit,Bundestag (Lower chamber),,,Ratio of women,0.75
2017,No unit,Bundestag (Lower chamber),,,Ratio of women,0.75
2018,No unit,Bundestag (Lower chamber),,,Ratio of women,0.63
2019,No unit,Bundestag (Lower chamber),,,Ratio of women,0.63
2020,No unit,Bundestag (Lower chamber),,,Ratio of women,0.63
2021,No unit,Bundestag (Lower chamber),,,Ratio of women,0.64
2022,No unit,Bundestag (Lower chamber),,,Ratio of women,0.71
2010,No unit,Bundesrat (Upper chamber),,,Ratio of women,0.38
2011,No unit,Bundesrat (Upper chamber),,,Ratio of women,0.5
2012,No unit,Bundesrat (Upper chamber),,,Ratio of women,0.55
2013,No unit,Bundesrat (Upper chamber),,,Ratio of women,0.58
2014,No unit,Bundesrat (Upper chamber),,,Ratio of women,0.7
2015,No unit,Bundesrat (Upper chamber),,,Ratio of women,0.82
2016,No unit,Bundesrat (Upper chamber),,,Ratio of women,0.76
2017,No unit,Bundesrat (Upper chamber),,,Ratio of women,0.79
2018,No unit,Bundesrat (Upper chamber),,,Ratio of women,0.79
2019,No unit,Bundesrat (Upper chamber),,,Ratio of women,0.73
2020,No unit,Bundesrat (Upper chamber),,,Ratio of women,0.7
2021,No unit,Bundesrat (Upper chamber),,,Ratio of women,0.68
2022,No unit,Bundesrat (Upper chamber),,,Ratio of women,0.65
2010,No unit,Public service,,,Ratio of women,1.02
2011,No unit,Public service,,,Ratio of women,1.01
2012,No unit,Public service,,,Ratio of women,1.02
2013,No unit,Public service,,,Ratio of women,1.03
2014,No unit,Public service,,,Ratio of women,1.04
2015,No unit,Public service,,,Ratio of women,1.05
2016,No unit,Public service,,,Ratio of women,1.06
2017,No unit,Public service,,,Ratio of women,1.07
2018,No unit,Public service,,,Ratio of women,1.07
2019,No unit,Public service,,,Ratio of women,1.08
2020,No unit,Public service,,,Ratio of women,1.09
2021,No unit,Public service,,,Ratio of women,
2022,No unit,Public service,,,Ratio of women,
2010,No unit,Public service,"Political leadership and central administration, foreign affairs",,Ratio of women,0.99
2011,No unit,Public service,"Political leadership and central administration, foreign affairs",,Ratio of women,0.99
2012,No unit,Public service,"Political leadership and central administration, foreign affairs",,Ratio of women,1.0
2013,No unit,Public service,"Political leadership and central administration, foreign affairs",,Ratio of women,1.01
2014,No unit,Public service,"Political leadership and central administration, foreign affairs",,Ratio of women,1.02
2015,No unit,Public service,"Political leadership and central administration, foreign affairs",,Ratio of women,1.03
2016,No unit,Public service,"Political leadership and central administration, foreign affairs",,Ratio of women,1.05
2017,No unit,Public service,"Political leadership and central administration, foreign affairs",,Ratio of women,1.06
2018,No unit,Public service,"Political leadership and central administration, foreign affairs",,Ratio of women,1.06
2019,No unit,Public service,"Political leadership and central administration, foreign affairs",,Ratio of women,1.07
2020,No unit,Public service,"Political leadership and central administration, foreign affairs",,Ratio of women,1.07
2021,No unit,Public service,"Political leadership and central administration, foreign affairs",,Ratio of women,
2022,No unit,Public service,"Political leadership and central administration, foreign affairs",,Ratio of women,
2010,No unit,Public service,Police,,Ratio of women,0.46
2011,No unit,Public service,Police,,Ratio of women,0.45
2012,No unit,Public service,Police,,Ratio of women,0.46
2013,No unit,Public service,Police,,Ratio of women,0.47
2014,No unit,Public service,Police,,Ratio of women,0.48
2015,No unit,Public service,Police,,Ratio of women,0.49
2016,No unit,Public service,Police,,Ratio of women,0.5
2017,No unit,Public service,Police,,Ratio of women,0.52
2018,No unit,Public service,Police,,Ratio of women,0.54
2019,No unit,Public service,Police,,Ratio of women,0.56
2020,No unit,Public service,Police,,Ratio of women,0.58
2021,No unit,Public service,Police,,Ratio of women,
2022,No unit,Public service,Police,,Ratio of women,
2010,No unit,Public service,"Education, science, research, cultural affairs",,Ratio of women,1.22
2011,No unit,Public service,"Education, science, research, cultural affairs",,Ratio of women,1.22
2012,No unit,Public service,"Education, science, research, cultural affairs",,Ratio of women,1.23
2013,No unit,Public service,"Education, science, research, cultural affairs",,Ratio of women,1.24
2014,No unit,Public service,"Education, science, research, cultural affairs",,Ratio of women,1.25
2015,No unit,Public service,"Education, science, research, cultural affairs",,Ratio of women,1.26
2016,No unit,Public service,"Education, science, research, cultural affairs",,Ratio of women,1.27
2017,No unit,Public service,"Education, science, research, cultural affairs",,Ratio of women,1.27
2018,No unit,Public service,"Education, science, research, cultural affairs",,Ratio of women,1.27
2019,No unit,Public service,"Education, science, research, cultural affairs",,Ratio of women,1.28
2020,No unit,Public service,"Education, science, research, cultural affairs",,Ratio of women,1.28
2021,No unit,Public service,"Education, science, research, cultural affairs",,Ratio of women,
2022,No unit,Public service,"Education, science, research, cultural affairs",,Ratio of women,
2010,No unit,Public service,"Health, environment, sports and recreation",,Ratio of women,1.15
2011,No unit,Public service,"Health, environment, sports and recreation",,Ratio of women,1.15
2012,No unit,Public service,"Health, environment, sports and recreation",,Ratio of women,1.15
2013,No unit,Public service,"Health, environment, sports and recreation",,Ratio of women,1.15
2014,No unit,Public service,"Health, environment, sports and recreation",,Ratio of women,1.17
2015,No unit,Public service,"Health, environment, sports and recreation",,Ratio of women,1.18
2016,No unit,Public service,"Health, environment, sports and recreation",,Ratio of women,1.19
2017,No unit,Public service,"Health, environment, sports and recreation",,Ratio of women,1.09
2018,No unit,Public service,"Health, environment, sports and recreation",,Ratio of women,1.16
2019,No unit,Public service,"Health, environment, sports and recreation",,Ratio of women,1.17
2020,No unit,Public service,"Health, environment, sports and recreation",,Ratio of women,1.19
2021,No unit,Public service,"Health, environment, sports and recreation",,Ratio of women,
2022,No unit,Public service,"Health, environment, sports and recreation",,Ratio of women,
2010,No unit,Judiciary,,,Ratio of women,0.78
2011,No unit,Judiciary,,,Ratio of women,0.79
2012,No unit,Judiciary,,,Ratio of women,0.81
2013,No unit,Judiciary,,,Ratio of women,0.83
2014,No unit,Judiciary,,,Ratio of women,0.83
2015,No unit,Judiciary,,,Ratio of women,0.88
2016,No unit,Judiciary,,,Ratio of women,0.9
2017,No unit,Judiciary,,,Ratio of women,0.92
2018,No unit,Judiciary,,,Ratio of women,0.93
2019,No unit,Judiciary,,,Ratio of women,0.94
2020,No unit,Judiciary,,,Ratio of women,0.96
2021,No unit,Judiciary,,,Ratio of women,
2022,No unit,Judiciary,,,Ratio of women,
2010,No unit,Judiciary,,Supreme/Constitutional courts,Ratio of women,0.47
2011,No unit,Judiciary,,Supreme/Constitutional courts,Ratio of women,0.46
2012,No unit,Judiciary,,Supreme/Constitutional courts,Ratio of women,0.51
2013,No unit,Judiciary,,Supreme/Constitutional courts,Ratio of women,0.49
2014,No unit,Judiciary,,Supreme/Constitutional courts,Ratio of women,0.55
2015,No unit,Judiciary,,Supreme/Constitutional courts,Ratio of women,0.55
2016,No unit,Judiciary,,Supreme/Constitutional courts,Ratio of women,0.64
2017,No unit,Judiciary,,Supreme/Constitutional courts,Ratio of women,0.64
2018,No unit,Judiciary,,Supreme/Constitutional courts,Ratio of women,0.7
2019,No unit,Judiciary,,Supreme/Constitutional courts,Ratio of women,0.7
2020,No unit,Judiciary,,Supreme/Constitutional courts,Ratio of women,0.79
2021,No unit,Judiciary,,Supreme/Constitutional courts,Ratio of women,
2022,No unit,Judiciary,,Supreme/Constitutional courts,Ratio of women,
2010,No unit,Judiciary,,Higher-level courts,Ratio of women,0.59
2011,No unit,Judiciary,,Higher-level courts,Ratio of women,0.61
2012,No unit,Judiciary,,Higher-level courts,Ratio of women,0.63
2013,No unit,Judiciary,,Higher-level courts,Ratio of women,0.64
2014,No unit,Judiciary,,Higher-level courts,Ratio of women,0.66
2015,No unit,Judiciary,,Higher-level courts,Ratio of women,0.69
2016,No unit,Judiciary,,Higher-level courts,Ratio of women,0.71
2017,No unit,Judiciary,,Higher-level courts,Ratio of women,0.74
2018,No unit,Judiciary,,Higher-level courts,Ratio of women,0.75
2019,No unit,Judiciary,,Higher-level courts,Ratio of women,0.77
2020,No unit,Judiciary,,Higher-level courts,Ratio of women,0.79
2021,No unit,Judiciary,,Higher-level courts,Ratio of women,
2022,No unit,Judiciary,,Higher-level courts,Ratio of women,
2010,No unit,Judiciary,,Lower-level courts,Ratio of women,0.82
2011,No unit,Judiciary,,Lower-level courts,Ratio of women,0.83
2012,No unit,Judiciary,,Lower-level courts,Ratio of women,0.85
2013,No unit,Judiciary,,Lower-level courts,Ratio of women,0.88
2014,No unit,Judiciary,,Lower-level courts,Ratio of women,0.88
2015,No unit,Judiciary,,Lower-level courts,Ratio of women,0.93
2016,No unit,Judiciary,,Lower-level courts,Ratio of women,0.94
2017,No unit,Judiciary,,Lower-level courts,Ratio of women,0.96
2018,No unit,Judiciary,,Lower-level courts,Ratio of women,0.97
2019,No unit,Judiciary,,Lower-level courts,Ratio of women,0.98
2020,No unit,Judiciary,,Lower-level courts,Ratio of women,1.0
2021,No unit,Judiciary,,Lower-level courts,Ratio of women,
2022,No unit,Judiciary,,Lower-level courts,Ratio of women,
