Year,Units,Art des Finanzstroms,Art der öffentlichen Entwicklungsleistung,COMMENT_OBS_0,COMMENT_OBS_1,COMMENT_OBS_2,Value
2012,"Millionen USD, konstante Preise (2024)",Sonstige öffentliche Leistungen,Bruttoauszahlungen,,,,999
2013,"Millionen USD, konstante Preise (2024)",Sonstige öffentliche Leistungen,Bruttoauszahlungen,,,,999
2014,"Millionen USD, konstante Preise (2024)",Sonstige öffentliche Leistungen,Bruttoauszahlungen,,,,999
2015,"Millionen USD, konstante Preise (2024)",Sonstige öffentliche Leistungen,Bruttoauszahlungen,,,,999
2016,"Millionen USD, konstante Preise (2024)",Sonstige öffentliche Leistungen,Bruttoauszahlungen,,,,999
2017,"Millionen USD, konstante Preise (2024)",Sonstige öffentliche Leistungen,Bruttoauszahlungen,,,,999
2018,"Millionen USD, konstante Preise (2024)",Sonstige öffentliche Leistungen,Bruttoauszahlungen,,,,999
2019,"Millionen USD, konstante Preise (2024)",Sonstige öffentliche Leistungen,Bruttoauszahlungen,,,,999
2020,"Millionen USD, konstante Preise (2024)",Sonstige öffentliche Leistungen,Bruttoauszahlungen,,,,999
2021,"Millionen USD, konstante Preise (2024)",Sonstige öffentliche Leistungen,Bruttoauszahlungen,,,,999
2022,"Millionen USD, konstante Preise (2024)",Sonstige öffentliche Leistungen,Bruttoauszahlungen,,,,999
2023,"Millionen USD, konstante Preise (2024)",Sonstige öffentliche Leistungen,Bruttoauszahlungen,,,,999
2024,"Millionen USD, konstante Preise (2024)",Sonstige öffentliche Leistungen,Bruttoauszahlungen,,,,999
