Year,Series,substance,sex,border,Value
2019,inpatient treatment of substance use disorders,b) alcohol and other psychoactive substances,,,159421.0
2010,inpatient treatment of substance use disorders,b) alcohol and other psychoactive substances,female,,49139.0
2011,inpatient treatment of substance use disorders,b) alcohol and other psychoactive substances,female,,50796.0
2012,inpatient treatment of substance use disorders,b) alcohol and other psychoactive substances,female,,52487.0
2013,inpatient treatment of substance use disorders,b) alcohol and other psychoactive substances,female,,51211.0
2014,inpatient treatment of substance use disorders,b) alcohol and other psychoactive substances,female,,49460.0
2015,inpatient treatment of substance use disorders,b) alcohol and other psychoactive substances,female,,46377.0
2016,inpatient treatment of substance use disorders,b) alcohol and other psychoactive substances,female,,44589.0
2017,inpatient treatment of substance use disorders,b) alcohol and other psychoactive substances,female,,43574.0
2018,inpatient treatment of substance use disorders,b) alcohol and other psychoactive substances,female,,42716.0
2019,inpatient treatment of substance use disorders,b) alcohol and other psychoactive substances,female,,42158.0
2010,inpatient treatment of substance use disorders,b) alcohol and other psychoactive substances,male,,142373.0
2011,inpatient treatment of substance use disorders,b) alcohol and other psychoactive substances,male,,141363.0
2012,inpatient treatment of substance use disorders,b) alcohol and other psychoactive substances,male,,143488.0
2013,inpatient treatment of substance use disorders,b) alcohol and other psychoactive substances,male,,143201.0
2014,inpatient treatment of substance use disorders,b) alcohol and other psychoactive substances,male,,135845.0
2015,inpatient treatment of substance use disorders,b) alcohol and other psychoactive substances,male,,129808.0
2016,inpatient treatment of substance use disorders,b) alcohol and other psychoactive substances,male,,125878.0
2017,inpatient treatment of substance use disorders,b) alcohol and other psychoactive substances,male,,122260.0
2018,inpatient treatment of substance use disorders,b) alcohol and other psychoactive substances,male,,118531.0
2019,inpatient treatment of substance use disorders,b) alcohol and other psychoactive substances,male,,117263.0
2010,inpatient treatment of substance use disorders,b) alcohol and other psychoactive substances,unknown,,
2011,inpatient treatment of substance use disorders,b) alcohol and other psychoactive substances,unknown,,
2012,inpatient treatment of substance use disorders,b) alcohol and other psychoactive substances,unknown,,1.0
2013,inpatient treatment of substance use disorders,b) alcohol and other psychoactive substances,unknown,,
2014,inpatient treatment of substance use disorders,b) alcohol and other psychoactive substances,unknown,,
2015,inpatient treatment of substance use disorders,b) alcohol and other psychoactive substances,unknown,,
2016,inpatient treatment of substance use disorders,b) alcohol and other psychoactive substances,unknown,,
2017,inpatient treatment of substance use disorders,b) alcohol and other psychoactive substances,unknown,,
2018,inpatient treatment of substance use disorders,b) alcohol and other psychoactive substances,unknown,,
2019,inpatient treatment of substance use disorders,b) alcohol and other psychoactive substances,unknown,,
2010,"estimate of high risk use (based on treatment entrants) of the substances opioids, cocaine and other stimulants in the age group 15 to under 65 years",,,min,215078.0
2011,"estimate of high risk use (based on treatment entrants) of the substances opioids, cocaine and other stimulants in the age group 15 to under 65 years",,,min,231052.0
2012,"estimate of high risk use (based on treatment entrants) of the substances opioids, cocaine and other stimulants in the age group 15 to under 65 years",,,min,218360.0
2013,"estimate of high risk use (based on treatment entrants) of the substances opioids, cocaine and other stimulants in the age group 15 to under 65 years",,,min,215436.0
2014,"estimate of high risk use (based on treatment entrants) of the substances opioids, cocaine and other stimulants in the age group 15 to under 65 years",,,min,230672.0
2015,"estimate of high risk use (based on treatment entrants) of the substances opioids, cocaine and other stimulants in the age group 15 to under 65 years",,,min,225471.0
2016,"estimate of high risk use (based on treatment entrants) of the substances opioids, cocaine and other stimulants in the age group 15 to under 65 years",,,min,225324.0
2017,"estimate of high risk use (based on treatment entrants) of the substances opioids, cocaine and other stimulants in the age group 15 to under 65 years",,,min,217220.0
2018,"estimate of high risk use (based on treatment entrants) of the substances opioids, cocaine and other stimulants in the age group 15 to under 65 years",,,min,204906.0
2010,"estimate of high risk use (based on treatment entrants) of the substances opioids, cocaine and other stimulants in the age group 15 to under 65 years",,,max,255405.0
2011,"estimate of high risk use (based on treatment entrants) of the substances opioids, cocaine and other stimulants in the age group 15 to under 65 years",,,max,274374.0
2012,"estimate of high risk use (based on treatment entrants) of the substances opioids, cocaine and other stimulants in the age group 15 to under 65 years",,,max,259303.0
2013,"estimate of high risk use (based on treatment entrants) of the substances opioids, cocaine and other stimulants in the age group 15 to under 65 years",,,max,255830.0
2014,"estimate of high risk use (based on treatment entrants) of the substances opioids, cocaine and other stimulants in the age group 15 to under 65 years",,,max,273923.0
2015,"estimate of high risk use (based on treatment entrants) of the substances opioids, cocaine and other stimulants in the age group 15 to under 65 years",,,max,267747.0
2016,"estimate of high risk use (based on treatment entrants) of the substances opioids, cocaine and other stimulants in the age group 15 to under 65 years",,,max,267572.0
2017,"estimate of high risk use (based on treatment entrants) of the substances opioids, cocaine and other stimulants in the age group 15 to under 65 years",,,max,257949.0
2018,"estimate of high risk use (based on treatment entrants) of the substances opioids, cocaine and other stimulants in the age group 15 to under 65 years",,,max,243326.0
