Year,Zeitreihe,Verstädterungsgrad,Geschlecht,Series,Value
2015,Überbelegungsquote,Ländliche Gebiete,,Wohnverhältnisse,3.9
2016,Überbelegungsquote,Ländliche Gebiete,,Wohnverhältnisse,3.5
2017,Überbelegungsquote,Ländliche Gebiete,,Wohnverhältnisse,3.9
2018,Überbelegungsquote,Ländliche Gebiete,,Wohnverhältnisse,4.2
2019,Überbelegungsquote,Ländliche Gebiete,,Wohnverhältnisse,4.0
2020,Überbelegungsquote,Ländliche Gebiete,,Wohnverhältnisse,5.8
2010,housing cost overburden rate,Städte,,Wohnverhältnisse,16.2
2011,housing cost overburden rate,Städte,,Wohnverhältnisse,18.0
2012,housing cost overburden rate,Städte,,Wohnverhältnisse,19.8
2013,housing cost overburden rate,Städte,,Wohnverhältnisse,18.9
2014,housing cost overburden rate,Städte,,Wohnverhältnisse,19.3
2015,housing cost overburden rate,Städte,,Wohnverhältnisse,19.1
2016,housing cost overburden rate,Städte,,Wohnverhältnisse,19.6
2017,housing cost overburden rate,Städte,,Wohnverhältnisse,17.9
2018,housing cost overburden rate,Städte,,Wohnverhältnisse,17.6
2019,housing cost overburden rate,Städte,,Wohnverhältnisse,16.2
2020,housing cost overburden rate,Städte,,Wohnverhältnisse,22.2
2010,housing cost overburden rate,Kleinere Städte und Vororte,,Wohnverhältnisse,13.0
2011,housing cost overburden rate,Kleinere Städte und Vororte,,Wohnverhältnisse,14.5
2012,housing cost overburden rate,Kleinere Städte und Vororte,,Wohnverhältnisse,15.5
2013,housing cost overburden rate,Kleinere Städte und Vororte,,Wohnverhältnisse,16.1
2014,housing cost overburden rate,Kleinere Städte und Vororte,,Wohnverhältnisse,14.9
2015,housing cost overburden rate,Kleinere Städte und Vororte,,Wohnverhältnisse,14.5
2016,housing cost overburden rate,Kleinere Städte und Vororte,,Wohnverhältnisse,14.5
2017,housing cost overburden rate,Kleinere Städte und Vororte,,Wohnverhältnisse,13.4
2018,housing cost overburden rate,Kleinere Städte und Vororte,,Wohnverhältnisse,13.3
2019,housing cost overburden rate,Kleinere Städte und Vororte,,Wohnverhältnisse,12.7
2020,housing cost overburden rate,Kleinere Städte und Vororte,,Wohnverhältnisse,18.8
2010,housing cost overburden rate,Ländliche Gebiete,,Wohnverhältnisse,12.3
2011,housing cost overburden rate,Ländliche Gebiete,,Wohnverhältnisse,13.6
2012,housing cost overburden rate,Ländliche Gebiete,,Wohnverhältnisse,13.9
2013,housing cost overburden rate,Ländliche Gebiete,,Wohnverhältnisse,13.3
2014,housing cost overburden rate,Ländliche Gebiete,,Wohnverhältnisse,12.7
2015,housing cost overburden rate,Ländliche Gebiete,,Wohnverhältnisse,12.0
2016,housing cost overburden rate,Ländliche Gebiete,,Wohnverhältnisse,12.2
2017,housing cost overburden rate,Ländliche Gebiete,,Wohnverhältnisse,11.0
2018,housing cost overburden rate,Ländliche Gebiete,,Wohnverhältnisse,10.4
2019,housing cost overburden rate,Ländliche Gebiete,,Wohnverhältnisse,12.4
2020,housing cost overburden rate,Ländliche Gebiete,,Wohnverhältnisse,17.6
2010,"population living in a dwelling with a leaking roof, damp walls, floors or foundation, or rot in window frames or floor",,,Deprivation der Unterkunft,13.3
2011,"population living in a dwelling with a leaking roof, damp walls, floors or foundation, or rot in window frames or floor",,,Deprivation der Unterkunft,13.7
2012,"population living in a dwelling with a leaking roof, damp walls, floors or foundation, or rot in window frames or floor",,,Deprivation der Unterkunft,13.5
2013,"population living in a dwelling with a leaking roof, damp walls, floors or foundation, or rot in window frames or floor",,,Deprivation der Unterkunft,13.1
2014,"population living in a dwelling with a leaking roof, damp walls, floors or foundation, or rot in window frames or floor",,,Deprivation der Unterkunft,12.3
2015,"population living in a dwelling with a leaking roof, damp walls, floors or foundation, or rot in window frames or floor",,,Deprivation der Unterkunft,12.8
2016,"population living in a dwelling with a leaking roof, damp walls, floors or foundation, or rot in window frames or floor",,,Deprivation der Unterkunft,13.1
2017,"population living in a dwelling with a leaking roof, damp walls, floors or foundation, or rot in window frames or floor",,,Deprivation der Unterkunft,12.5
2018,"population living in a dwelling with a leaking roof, damp walls, floors or foundation, or rot in window frames or floor",,,Deprivation der Unterkunft,13.4
2019,"population living in a dwelling with a leaking roof, damp walls, floors or foundation, or rot in window frames or floor",,,Deprivation der Unterkunft,12.0
2020,"population living in a dwelling with a leaking roof, damp walls, floors or foundation, or rot in window frames or floor",,,Deprivation der Unterkunft,12.0
2010,"population living in a dwelling with a leaking roof, damp walls, floors or foundation, or rot in window frames or floor",,Weiblich,Deprivation der Unterkunft,13.7
2011,"population living in a dwelling with a leaking roof, damp walls, floors or foundation, or rot in window frames or floor",,Weiblich,Deprivation der Unterkunft,14.1
2012,"population living in a dwelling with a leaking roof, damp walls, floors or foundation, or rot in window frames or floor",,Weiblich,Deprivation der Unterkunft,13.7
2013,"population living in a dwelling with a leaking roof, damp walls, floors or foundation, or rot in window frames or floor",,Weiblich,Deprivation der Unterkunft,13.1
2014,"population living in a dwelling with a leaking roof, damp walls, floors or foundation, or rot in window frames or floor",,Weiblich,Deprivation der Unterkunft,12.6
2015,"population living in a dwelling with a leaking roof, damp walls, floors or foundation, or rot in window frames or floor",,Weiblich,Deprivation der Unterkunft,13.1
2016,"population living in a dwelling with a leaking roof, damp walls, floors or foundation, or rot in window frames or floor",,Weiblich,Deprivation der Unterkunft,13.5
2017,"population living in a dwelling with a leaking roof, damp walls, floors or foundation, or rot in window frames or floor",,Weiblich,Deprivation der Unterkunft,12.7
2018,"population living in a dwelling with a leaking roof, damp walls, floors or foundation, or rot in window frames or floor",,Weiblich,Deprivation der Unterkunft,13.7
2019,"population living in a dwelling with a leaking roof, damp walls, floors or foundation, or rot in window frames or floor",,Weiblich,Deprivation der Unterkunft,12.3
2020,"population living in a dwelling with a leaking roof, damp walls, floors or foundation, or rot in window frames or floor",,Weiblich,Deprivation der Unterkunft,12.1
2010,"population living in a dwelling with a leaking roof, damp walls, floors or foundation, or rot in window frames or floor",,Männlich,Deprivation der Unterkunft,13.0
2011,"population living in a dwelling with a leaking roof, damp walls, floors or foundation, or rot in window frames or floor",,Männlich,Deprivation der Unterkunft,13.4
2012,"population living in a dwelling with a leaking roof, damp walls, floors or foundation, or rot in window frames or floor",,Männlich,Deprivation der Unterkunft,13.2
2013,"population living in a dwelling with a leaking roof, damp walls, floors or foundation, or rot in window frames or floor",,Männlich,Deprivation der Unterkunft,13.1
2014,"population living in a dwelling with a leaking roof, damp walls, floors or foundation, or rot in window frames or floor",,Männlich,Deprivation der Unterkunft,12.1
2015,"population living in a dwelling with a leaking roof, damp walls, floors or foundation, or rot in window frames or floor",,Männlich,Deprivation der Unterkunft,12.4
2016,"population living in a dwelling with a leaking roof, damp walls, floors or foundation, or rot in window frames or floor",,Männlich,Deprivation der Unterkunft,12.7
2017,"population living in a dwelling with a leaking roof, damp walls, floors or foundation, or rot in window frames or floor",,Männlich,Deprivation der Unterkunft,12.2
2018,"population living in a dwelling with a leaking roof, damp walls, floors or foundation, or rot in window frames or floor",,Männlich,Deprivation der Unterkunft,13.2
2019,"population living in a dwelling with a leaking roof, damp walls, floors or foundation, or rot in window frames or floor",,Männlich,Deprivation der Unterkunft,11.7
2020,"population living in a dwelling with a leaking roof, damp walls, floors or foundation, or rot in window frames or floor",,Männlich,Deprivation der Unterkunft,11.8
2010,"population having neither a bath, nor a shower in their dwelling",,,Deprivation der Unterkunft,0.5
2011,"population having neither a bath, nor a shower in their dwelling",,,Deprivation der Unterkunft,0.1
2012,"population having neither a bath, nor a shower in their dwelling",,,Deprivation der Unterkunft,0.1
2013,"population having neither a bath, nor a shower in their dwelling",,,Deprivation der Unterkunft,0.0
2014,"population having neither a bath, nor a shower in their dwelling",,,Deprivation der Unterkunft,0.0
2015,"population having neither a bath, nor a shower in their dwelling",,,Deprivation der Unterkunft,0.0
2016,"population having neither a bath, nor a shower in their dwelling",,,Deprivation der Unterkunft,0.0
2017,"population having neither a bath, nor a shower in their dwelling",,,Deprivation der Unterkunft,0.0
2018,"population having neither a bath, nor a shower in their dwelling",,,Deprivation der Unterkunft,0.0
2019,"population having neither a bath, nor a shower in their dwelling",,,Deprivation der Unterkunft,0.0
2020,"population having neither a bath, nor a shower in their dwelling",,,Deprivation der Unterkunft,
2010,"population having neither a bath, nor a shower in their dwelling",,Weiblich,Deprivation der Unterkunft,0.5
2011,"population having neither a bath, nor a shower in their dwelling",,Weiblich,Deprivation der Unterkunft,0.1
2012,"population having neither a bath, nor a shower in their dwelling",,Weiblich,Deprivation der Unterkunft,0.1
2013,"population having neither a bath, nor a shower in their dwelling",,Weiblich,Deprivation der Unterkunft,0.0
2014,"population having neither a bath, nor a shower in their dwelling",,Weiblich,Deprivation der Unterkunft,0.0
2015,"population having neither a bath, nor a shower in their dwelling",,Weiblich,Deprivation der Unterkunft,0.0
2016,"population having neither a bath, nor a shower in their dwelling",,Weiblich,Deprivation der Unterkunft,0.0
2017,"population having neither a bath, nor a shower in their dwelling",,Weiblich,Deprivation der Unterkunft,0.0
2018,"population having neither a bath, nor a shower in their dwelling",,Weiblich,Deprivation der Unterkunft,0.0
2019,"population having neither a bath, nor a shower in their dwelling",,Weiblich,Deprivation der Unterkunft,0.0
2020,"population having neither a bath, nor a shower in their dwelling",,Weiblich,Deprivation der Unterkunft,
2010,"population having neither a bath, nor a shower in their dwelling",,Männlich,Deprivation der Unterkunft,0.6
2011,"population having neither a bath, nor a shower in their dwelling",,Männlich,Deprivation der Unterkunft,0.1
2012,"population having neither a bath, nor a shower in their dwelling",,Männlich,Deprivation der Unterkunft,0.1
2013,"population having neither a bath, nor a shower in their dwelling",,Männlich,Deprivation der Unterkunft,0.0
2014,"population having neither a bath, nor a shower in their dwelling",,Männlich,Deprivation der Unterkunft,0.0
2015,"population having neither a bath, nor a shower in their dwelling",,Männlich,Deprivation der Unterkunft,0.0
2016,"population having neither a bath, nor a shower in their dwelling",,Männlich,Deprivation der Unterkunft,0.0
2017,"population having neither a bath, nor a shower in their dwelling",,Männlich,Deprivation der Unterkunft,0.0
2018,"population having neither a bath, nor a shower in their dwelling",,Männlich,Deprivation der Unterkunft,0.0
2019,"population having neither a bath, nor a shower in their dwelling",,Männlich,Deprivation der Unterkunft,0.0
2020,"population having neither a bath, nor a shower in their dwelling",,Männlich,Deprivation der Unterkunft,
2010,population not having indoor flushing toilet for the sole use of their household,,,Deprivation der Unterkunft,1.6
2011,population not having indoor flushing toilet for the sole use of their household,,,Deprivation der Unterkunft,0.9
2012,population not having indoor flushing toilet for the sole use of their household,,,Deprivation der Unterkunft,0.9
2013,population not having indoor flushing toilet for the sole use of their household,,,Deprivation der Unterkunft,0.1
2014,population not having indoor flushing toilet for the sole use of their household,,,Deprivation der Unterkunft,0.0
2015,population not having indoor flushing toilet for the sole use of their household,,,Deprivation der Unterkunft,0.1
2016,population not having indoor flushing toilet for the sole use of their household,,,Deprivation der Unterkunft,0.1
2017,population not having indoor flushing toilet for the sole use of their household,,,Deprivation der Unterkunft,0.1
2018,population not having indoor flushing toilet for the sole use of their household,,,Deprivation der Unterkunft,0.0
2019,population not having indoor flushing toilet for the sole use of their household,,,Deprivation der Unterkunft,0.2
2020,population not having indoor flushing toilet for the sole use of their household,,,Deprivation der Unterkunft,
2010,population not having indoor flushing toilet for the sole use of their household,,Weiblich,Deprivation der Unterkunft,1.7
2011,population not having indoor flushing toilet for the sole use of their household,,Weiblich,Deprivation der Unterkunft,0.9
2012,population not having indoor flushing toilet for the sole use of their household,,Weiblich,Deprivation der Unterkunft,1.0
2013,population not having indoor flushing toilet for the sole use of their household,,Weiblich,Deprivation der Unterkunft,0.2
2014,population not having indoor flushing toilet for the sole use of their household,,Weiblich,Deprivation der Unterkunft,0.0
2015,population not having indoor flushing toilet for the sole use of their household,,Weiblich,Deprivation der Unterkunft,0.1
2016,population not having indoor flushing toilet for the sole use of their household,,Weiblich,Deprivation der Unterkunft,0.1
2017,population not having indoor flushing toilet for the sole use of their household,,Weiblich,Deprivation der Unterkunft,0.1
2018,population not having indoor flushing toilet for the sole use of their household,,Weiblich,Deprivation der Unterkunft,0.1
2019,population not having indoor flushing toilet for the sole use of their household,,Weiblich,Deprivation der Unterkunft,0.2
2020,population not having indoor flushing toilet for the sole use of their household,,Weiblich,Deprivation der Unterkunft,
2010,population not having indoor flushing toilet for the sole use of their household,,Männlich,Deprivation der Unterkunft,1.6
2011,population not having indoor flushing toilet for the sole use of their household,,Männlich,Deprivation der Unterkunft,0.8
2012,population not having indoor flushing toilet for the sole use of their household,,Männlich,Deprivation der Unterkunft,0.9
2013,population not having indoor flushing toilet for the sole use of their household,,Männlich,Deprivation der Unterkunft,0.1
2014,population not having indoor flushing toilet for the sole use of their household,,Männlich,Deprivation der Unterkunft,0.0
2015,population not having indoor flushing toilet for the sole use of their household,,Männlich,Deprivation der Unterkunft,0.1
2016,population not having indoor flushing toilet for the sole use of their household,,Männlich,Deprivation der Unterkunft,0.1
2017,population not having indoor flushing toilet for the sole use of their household,,Männlich,Deprivation der Unterkunft,0.1
2018,population not having indoor flushing toilet for the sole use of their household,,Männlich,Deprivation der Unterkunft,0.0
2019,population not having indoor flushing toilet for the sole use of their household,,Männlich,Deprivation der Unterkunft,0.3
2020,population not having indoor flushing toilet for the sole use of their household,,Männlich,Deprivation der Unterkunft,
2010,"Bevölkerung, deren Wohnung/Haus zu wenig Tageslicht bietet",,,Deprivation der Unterkunft,4.2
2011,"Bevölkerung, deren Wohnung/Haus zu wenig Tageslicht bietet",,,Deprivation der Unterkunft,4.1
2012,"Bevölkerung, deren Wohnung/Haus zu wenig Tageslicht bietet",,,Deprivation der Unterkunft,3.9
2013,"Bevölkerung, deren Wohnung/Haus zu wenig Tageslicht bietet",,,Deprivation der Unterkunft,4.4
2014,"Bevölkerung, deren Wohnung/Haus zu wenig Tageslicht bietet",,,Deprivation der Unterkunft,4.4
2015,"Bevölkerung, deren Wohnung/Haus zu wenig Tageslicht bietet",,,Deprivation der Unterkunft,4.0
2016,"Bevölkerung, deren Wohnung/Haus zu wenig Tageslicht bietet",,,Deprivation der Unterkunft,3.9
2017,"Bevölkerung, deren Wohnung/Haus zu wenig Tageslicht bietet",,,Deprivation der Unterkunft,4.0
2018,"Bevölkerung, deren Wohnung/Haus zu wenig Tageslicht bietet",,,Deprivation der Unterkunft,4.4
2019,"Bevölkerung, deren Wohnung/Haus zu wenig Tageslicht bietet",,,Deprivation der Unterkunft,4.0
2020,"Bevölkerung, deren Wohnung/Haus zu wenig Tageslicht bietet",,,Deprivation der Unterkunft,
2010,"Bevölkerung, deren Wohnung/Haus zu wenig Tageslicht bietet",,Weiblich,Deprivation der Unterkunft,3.9
2011,"Bevölkerung, deren Wohnung/Haus zu wenig Tageslicht bietet",,Weiblich,Deprivation der Unterkunft,3.9
2012,"Bevölkerung, deren Wohnung/Haus zu wenig Tageslicht bietet",,Weiblich,Deprivation der Unterkunft,3.9
2013,"Bevölkerung, deren Wohnung/Haus zu wenig Tageslicht bietet",,Weiblich,Deprivation der Unterkunft,4.5
2014,"Bevölkerung, deren Wohnung/Haus zu wenig Tageslicht bietet",,Weiblich,Deprivation der Unterkunft,4.3
2015,"Bevölkerung, deren Wohnung/Haus zu wenig Tageslicht bietet",,Weiblich,Deprivation der Unterkunft,3.9
2016,"Bevölkerung, deren Wohnung/Haus zu wenig Tageslicht bietet",,Weiblich,Deprivation der Unterkunft,3.8
2017,"Bevölkerung, deren Wohnung/Haus zu wenig Tageslicht bietet",,Weiblich,Deprivation der Unterkunft,3.9
2018,"Bevölkerung, deren Wohnung/Haus zu wenig Tageslicht bietet",,Weiblich,Deprivation der Unterkunft,4.4
2019,"Bevölkerung, deren Wohnung/Haus zu wenig Tageslicht bietet",,Weiblich,Deprivation der Unterkunft,4.2
2020,"Bevölkerung, deren Wohnung/Haus zu wenig Tageslicht bietet",,Weiblich,Deprivation der Unterkunft,
2010,"Bevölkerung, deren Wohnung/Haus zu wenig Tageslicht bietet",,Männlich,Deprivation der Unterkunft,4.5
2011,"Bevölkerung, deren Wohnung/Haus zu wenig Tageslicht bietet",,Männlich,Deprivation der Unterkunft,4.2
2012,"Bevölkerung, deren Wohnung/Haus zu wenig Tageslicht bietet",,Männlich,Deprivation der Unterkunft,3.9
2013,"Bevölkerung, deren Wohnung/Haus zu wenig Tageslicht bietet",,Männlich,Deprivation der Unterkunft,4.3
2014,"Bevölkerung, deren Wohnung/Haus zu wenig Tageslicht bietet",,Männlich,Deprivation der Unterkunft,4.5
2015,"Bevölkerung, deren Wohnung/Haus zu wenig Tageslicht bietet",,Männlich,Deprivation der Unterkunft,4.1
2016,"Bevölkerung, deren Wohnung/Haus zu wenig Tageslicht bietet",,Männlich,Deprivation der Unterkunft,3.9
2017,"Bevölkerung, deren Wohnung/Haus zu wenig Tageslicht bietet",,Männlich,Deprivation der Unterkunft,4.0
2018,"Bevölkerung, deren Wohnung/Haus zu wenig Tageslicht bietet",,Männlich,Deprivation der Unterkunft,4.4
2019,"Bevölkerung, deren Wohnung/Haus zu wenig Tageslicht bietet",,Männlich,Deprivation der Unterkunft,3.8
2020,"Bevölkerung, deren Wohnung/Haus zu wenig Tageslicht bietet",,Männlich,Deprivation der Unterkunft,
