Year,Geschlecht,Altersklasse,Migrationsstatus,Einkommensquintil,Verstädterungsgrad,Ausbildungsgrad,Herkunftsland,Familienstand,Value
2017,,,,,,Keine Angabe,,,13
2019,,,,,,Keine Angabe,,,21
2015,,,,,,,Deutschland,,12
2017,,,,,,,Deutschland,,10
2019,,,,,,,Deutschland,,8
2015,,,,,,,Anderes EU Land,,23
2017,,,,,,,Anderes EU Land,,24
2019,,,,,,,Anderes EU Land,,16
2015,,,,,,,Anderes nicht-EU Land,,25
2017,,,,,,,Anderes nicht-EU Land,,13
2019,,,,,,,Anderes nicht-EU Land,,23
2015,,,,,,,Mehrere Staatsbürgerschaften,,23
2017,,,,,,,Mehrere Staatsbürgerschaften,,7
2019,,,,,,,Mehrere Staatsbürgerschaften,,12
2015,,,,,,,Keine Angabe,,16
2017,,,,,,,Keine Angabe,,1
2019,,,,,,,Keine Angabe,,37
2015,,,,,,,,Alleinstehend,11
2017,,,,,,,,Alleinstehend,7
2019,,,,,,,,Alleinstehend,7
2015,,,,,,,,Verheiratet,11
2017,,,,,,,,Verheiratet,8
2019,,,,,,,,Verheiratet,6
2015,,,,,,,,Lebensgemeinschaft,8
2017,,,,,,,,Lebensgemeinschaft,8
2019,,,,,,,,Lebensgemeinschaft,10
2015,,,,,,,,Getrennt,13
2017,,,,,,,,Getrennt,12
2019,,,,,,,,Getrennt,18
2015,,,,,,,,Geschieden,19
2017,,,,,,,,Geschieden,15
2019,,,,,,,,Geschieden,12
2015,,,,,,,,Verwitwet,18
2017,,,,,,,,Verwitwet,14
2019,,,,,,,,Verwitwet,11
2015,,,,,,,,Keine Angabe,15
2017,,,,,,,,Keine Angabe,11
2019,,,,,,,,Keine Angabe,13
