Year,sex,age group,feelings of insecurity,Series,Value
2019,,35 to under 45 years,very unsafe,feeling of (in)security of the population in its neighbourhood (after dark),
2020,,35 to under 45 years,very unsafe,feeling of (in)security of the population in its neighbourhood (after dark),25.0
2021,,35 to under 45 years,very unsafe,feeling of (in)security of the population in its neighbourhood (after dark),
2019,,45 to under 55 years,very safe,feeling of (in)security of the population in its neighbourhood (after dark),
2020,,45 to under 55 years,very safe,feeling of (in)security of the population in its neighbourhood (after dark),25.0
2021,,45 to under 55 years,very safe,feeling of (in)security of the population in its neighbourhood (after dark),
2019,,45 to under 55 years,safe,feeling of (in)security of the population in its neighbourhood (after dark),
2020,,45 to under 55 years,safe,feeling of (in)security of the population in its neighbourhood (after dark),25.0
2021,,45 to under 55 years,safe,feeling of (in)security of the population in its neighbourhood (after dark),
2019,,45 to under 55 years,unsafe,feeling of (in)security of the population in its neighbourhood (after dark),
2020,,45 to under 55 years,unsafe,feeling of (in)security of the population in its neighbourhood (after dark),25.0
2021,,45 to under 55 years,unsafe,feeling of (in)security of the population in its neighbourhood (after dark),
2019,,45 to under 55 years,very unsafe,feeling of (in)security of the population in its neighbourhood (after dark),
2020,,45 to under 55 years,very unsafe,feeling of (in)security of the population in its neighbourhood (after dark),25.0
2021,,45 to under 55 years,very unsafe,feeling of (in)security of the population in its neighbourhood (after dark),
2019,,55 to under 65 years,very safe,feeling of (in)security of the population in its neighbourhood (after dark),
2020,,55 to under 65 years,very safe,feeling of (in)security of the population in its neighbourhood (after dark),25.0
2021,,55 to under 65 years,very safe,feeling of (in)security of the population in its neighbourhood (after dark),
2019,,55 to under 65 years,safe,feeling of (in)security of the population in its neighbourhood (after dark),
2020,,55 to under 65 years,safe,feeling of (in)security of the population in its neighbourhood (after dark),25.0
2021,,55 to under 65 years,safe,feeling of (in)security of the population in its neighbourhood (after dark),
2019,,55 to under 65 years,unsafe,feeling of (in)security of the population in its neighbourhood (after dark),
2020,,55 to under 65 years,unsafe,feeling of (in)security of the population in its neighbourhood (after dark),25.0
2021,,55 to under 65 years,unsafe,feeling of (in)security of the population in its neighbourhood (after dark),
2019,,55 to under 65 years,very unsafe,feeling of (in)security of the population in its neighbourhood (after dark),
2020,,55 to under 65 years,very unsafe,feeling of (in)security of the population in its neighbourhood (after dark),25.0
2021,,55 to under 65 years,very unsafe,feeling of (in)security of the population in its neighbourhood (after dark),
2019,,65 to under 75 years,very safe,feeling of (in)security of the population in its neighbourhood (after dark),
2020,,65 to under 75 years,very safe,feeling of (in)security of the population in its neighbourhood (after dark),25.0
2021,,65 to under 75 years,very safe,feeling of (in)security of the population in its neighbourhood (after dark),
2019,,65 to under 75 years,safe,feeling of (in)security of the population in its neighbourhood (after dark),
2020,,65 to under 75 years,safe,feeling of (in)security of the population in its neighbourhood (after dark),25.0
2021,,65 to under 75 years,safe,feeling of (in)security of the population in its neighbourhood (after dark),
2019,,65 to under 75 years,unsafe,feeling of (in)security of the population in its neighbourhood (after dark),
2020,,65 to under 75 years,unsafe,feeling of (in)security of the population in its neighbourhood (after dark),25.0
2021,,65 to under 75 years,unsafe,feeling of (in)security of the population in its neighbourhood (after dark),
2019,,65 to under 75 years,very unsafe,feeling of (in)security of the population in its neighbourhood (after dark),
2020,,65 to under 75 years,very unsafe,feeling of (in)security of the population in its neighbourhood (after dark),25.0
2021,,65 to under 75 years,very unsafe,feeling of (in)security of the population in its neighbourhood (after dark),
2019,,75 years and older,very safe,feeling of (in)security of the population in its neighbourhood (after dark),
2020,,75 years and older,very safe,feeling of (in)security of the population in its neighbourhood (after dark),25.0
2021,,75 years and older,very safe,feeling of (in)security of the population in its neighbourhood (after dark),
2019,,75 years and older,safe,feeling of (in)security of the population in its neighbourhood (after dark),
2020,,75 years and older,safe,feeling of (in)security of the population in its neighbourhood (after dark),25.0
2021,,75 years and older,safe,feeling of (in)security of the population in its neighbourhood (after dark),
2019,,75 years and older,unsafe,feeling of (in)security of the population in its neighbourhood (after dark),
2020,,75 years and older,unsafe,feeling of (in)security of the population in its neighbourhood (after dark),25.0
2021,,75 years and older,unsafe,feeling of (in)security of the population in its neighbourhood (after dark),
2019,,75 years and older,very unsafe,feeling of (in)security of the population in its neighbourhood (after dark),
2020,,75 years and older,very unsafe,feeling of (in)security of the population in its neighbourhood (after dark),25.0
2021,,75 years and older,very unsafe,feeling of (in)security of the population in its neighbourhood (after dark),
2019,,,very safe,feeling of (in)security of the population in its neighbourhood (during the day),
2020,,,very safe,feeling of (in)security of the population in its neighbourhood (during the day),25.0
2021,,,very safe,feeling of (in)security of the population in its neighbourhood (during the day),
2019,,,safe,feeling of (in)security of the population in its neighbourhood (during the day),
2020,,,safe,feeling of (in)security of the population in its neighbourhood (during the day),25.0
2021,,,safe,feeling of (in)security of the population in its neighbourhood (during the day),
2019,,,unsafe,feeling of (in)security of the population in its neighbourhood (during the day),
2020,,,unsafe,feeling of (in)security of the population in its neighbourhood (during the day),25.0
2021,,,unsafe,feeling of (in)security of the population in its neighbourhood (during the day),
2019,,,very unsafe,feeling of (in)security of the population in its neighbourhood (during the day),
2020,,,very unsafe,feeling of (in)security of the population in its neighbourhood (during the day),25.0
2021,,,very unsafe,feeling of (in)security of the population in its neighbourhood (during the day),
2019,female,,very safe,feeling of (in)security of the population in its neighbourhood (during the day),
2020,female,,very safe,feeling of (in)security of the population in its neighbourhood (during the day),25.0
2021,female,,very safe,feeling of (in)security of the population in its neighbourhood (during the day),
2019,female,,safe,feeling of (in)security of the population in its neighbourhood (during the day),
2020,female,,safe,feeling of (in)security of the population in its neighbourhood (during the day),25.0
2021,female,,safe,feeling of (in)security of the population in its neighbourhood (during the day),
2019,female,,unsafe,feeling of (in)security of the population in its neighbourhood (during the day),
2020,female,,unsafe,feeling of (in)security of the population in its neighbourhood (during the day),25.0
2021,female,,unsafe,feeling of (in)security of the population in its neighbourhood (during the day),
2019,female,,very unsafe,feeling of (in)security of the population in its neighbourhood (during the day),
2020,female,,very unsafe,feeling of (in)security of the population in its neighbourhood (during the day),25.0
2021,female,,very unsafe,feeling of (in)security of the population in its neighbourhood (during the day),
2019,male,,very safe,feeling of (in)security of the population in its neighbourhood (during the day),
2020,male,,very safe,feeling of (in)security of the population in its neighbourhood (during the day),25.0
2021,male,,very safe,feeling of (in)security of the population in its neighbourhood (during the day),
2019,male,,safe,feeling of (in)security of the population in its neighbourhood (during the day),
2020,male,,safe,feeling of (in)security of the population in its neighbourhood (during the day),25.0
2021,male,,safe,feeling of (in)security of the population in its neighbourhood (during the day),
2019,male,,unsafe,feeling of (in)security of the population in its neighbourhood (during the day),
2020,male,,unsafe,feeling of (in)security of the population in its neighbourhood (during the day),25.0
2021,male,,unsafe,feeling of (in)security of the population in its neighbourhood (during the day),
2019,male,,very unsafe,feeling of (in)security of the population in its neighbourhood (during the day),
2020,male,,very unsafe,feeling of (in)security of the population in its neighbourhood (during the day),25.0
2021,male,,very unsafe,feeling of (in)security of the population in its neighbourhood (during the day),
2019,,16 to under 25 years,very safe,feeling of (in)security of the population in its neighbourhood (during the day),
2020,,16 to under 25 years,very safe,feeling of (in)security of the population in its neighbourhood (during the day),25.0
2021,,16 to under 25 years,very safe,feeling of (in)security of the population in its neighbourhood (during the day),
2019,,16 to under 25 years,safe,feeling of (in)security of the population in its neighbourhood (during the day),
2020,,16 to under 25 years,safe,feeling of (in)security of the population in its neighbourhood (during the day),25.0
2021,,16 to under 25 years,safe,feeling of (in)security of the population in its neighbourhood (during the day),
2019,,16 to under 25 years,unsafe,feeling of (in)security of the population in its neighbourhood (during the day),
2020,,16 to under 25 years,unsafe,feeling of (in)security of the population in its neighbourhood (during the day),25.0
2021,,16 to under 25 years,unsafe,feeling of (in)security of the population in its neighbourhood (during the day),
2019,,16 to under 25 years,very unsafe,feeling of (in)security of the population in its neighbourhood (during the day),
2020,,16 to under 25 years,very unsafe,feeling of (in)security of the population in its neighbourhood (during the day),25.0
2021,,16 to under 25 years,very unsafe,feeling of (in)security of the population in its neighbourhood (during the day),
2019,,25 to under 35 years,very safe,feeling of (in)security of the population in its neighbourhood (during the day),
2020,,25 to under 35 years,very safe,feeling of (in)security of the population in its neighbourhood (during the day),25.0
2021,,25 to under 35 years,very safe,feeling of (in)security of the population in its neighbourhood (during the day),
2019,,25 to under 35 years,safe,feeling of (in)security of the population in its neighbourhood (during the day),
2020,,25 to under 35 years,safe,feeling of (in)security of the population in its neighbourhood (during the day),25.0
2021,,25 to under 35 years,safe,feeling of (in)security of the population in its neighbourhood (during the day),
2019,,25 to under 35 years,unsafe,feeling of (in)security of the population in its neighbourhood (during the day),
2020,,25 to under 35 years,unsafe,feeling of (in)security of the population in its neighbourhood (during the day),25.0
2021,,25 to under 35 years,unsafe,feeling of (in)security of the population in its neighbourhood (during the day),
2019,,25 to under 35 years,very unsafe,feeling of (in)security of the population in its neighbourhood (during the day),
2020,,25 to under 35 years,very unsafe,feeling of (in)security of the population in its neighbourhood (during the day),25.0
2021,,25 to under 35 years,very unsafe,feeling of (in)security of the population in its neighbourhood (during the day),
2019,,35 to under 45 years,very safe,feeling of (in)security of the population in its neighbourhood (during the day),
2020,,35 to under 45 years,very safe,feeling of (in)security of the population in its neighbourhood (during the day),25.0
2021,,35 to under 45 years,very safe,feeling of (in)security of the population in its neighbourhood (during the day),
2019,,35 to under 45 years,safe,feeling of (in)security of the population in its neighbourhood (during the day),
2020,,35 to under 45 years,safe,feeling of (in)security of the population in its neighbourhood (during the day),25.0
2021,,35 to under 45 years,safe,feeling of (in)security of the population in its neighbourhood (during the day),
2019,,35 to under 45 years,unsafe,feeling of (in)security of the population in its neighbourhood (during the day),
2020,,35 to under 45 years,unsafe,feeling of (in)security of the population in its neighbourhood (during the day),25.0
2021,,35 to under 45 years,unsafe,feeling of (in)security of the population in its neighbourhood (during the day),
2019,,35 to under 45 years,very unsafe,feeling of (in)security of the population in its neighbourhood (during the day),
2020,,35 to under 45 years,very unsafe,feeling of (in)security of the population in its neighbourhood (during the day),25.0
2021,,35 to under 45 years,very unsafe,feeling of (in)security of the population in its neighbourhood (during the day),
2019,,45 to under 55 years,very safe,feeling of (in)security of the population in its neighbourhood (during the day),
2020,,45 to under 55 years,very safe,feeling of (in)security of the population in its neighbourhood (during the day),25.0
2021,,45 to under 55 years,very safe,feeling of (in)security of the population in its neighbourhood (during the day),
2019,,45 to under 55 years,safe,feeling of (in)security of the population in its neighbourhood (during the day),
2020,,45 to under 55 years,safe,feeling of (in)security of the population in its neighbourhood (during the day),25.0
2021,,45 to under 55 years,safe,feeling of (in)security of the population in its neighbourhood (during the day),
2019,,45 to under 55 years,unsafe,feeling of (in)security of the population in its neighbourhood (during the day),
2020,,45 to under 55 years,unsafe,feeling of (in)security of the population in its neighbourhood (during the day),25.0
2021,,45 to under 55 years,unsafe,feeling of (in)security of the population in its neighbourhood (during the day),
2019,,45 to under 55 years,very unsafe,feeling of (in)security of the population in its neighbourhood (during the day),
2020,,45 to under 55 years,very unsafe,feeling of (in)security of the population in its neighbourhood (during the day),25.0
2021,,45 to under 55 years,very unsafe,feeling of (in)security of the population in its neighbourhood (during the day),
2019,,55 to under 65 years,very safe,feeling of (in)security of the population in its neighbourhood (during the day),
2020,,55 to under 65 years,very safe,feeling of (in)security of the population in its neighbourhood (during the day),25.0
2021,,55 to under 65 years,very safe,feeling of (in)security of the population in its neighbourhood (during the day),
2019,,55 to under 65 years,safe,feeling of (in)security of the population in its neighbourhood (during the day),
2020,,55 to under 65 years,safe,feeling of (in)security of the population in its neighbourhood (during the day),25.0
2021,,55 to under 65 years,safe,feeling of (in)security of the population in its neighbourhood (during the day),
2019,,55 to under 65 years,unsafe,feeling of (in)security of the population in its neighbourhood (during the day),
2020,,55 to under 65 years,unsafe,feeling of (in)security of the population in its neighbourhood (during the day),25.0
2021,,55 to under 65 years,unsafe,feeling of (in)security of the population in its neighbourhood (during the day),
2019,,55 to under 65 years,very unsafe,feeling of (in)security of the population in its neighbourhood (during the day),
2020,,55 to under 65 years,very unsafe,feeling of (in)security of the population in its neighbourhood (during the day),25.0
2021,,55 to under 65 years,very unsafe,feeling of (in)security of the population in its neighbourhood (during the day),
2019,,65 to under 75 years,very safe,feeling of (in)security of the population in its neighbourhood (during the day),
2020,,65 to under 75 years,very safe,feeling of (in)security of the population in its neighbourhood (during the day),25.0
2021,,65 to under 75 years,very safe,feeling of (in)security of the population in its neighbourhood (during the day),
2019,,65 to under 75 years,safe,feeling of (in)security of the population in its neighbourhood (during the day),
2020,,65 to under 75 years,safe,feeling of (in)security of the population in its neighbourhood (during the day),25.0
2021,,65 to under 75 years,safe,feeling of (in)security of the population in its neighbourhood (during the day),
2019,,65 to under 75 years,unsafe,feeling of (in)security of the population in its neighbourhood (during the day),
2020,,65 to under 75 years,unsafe,feeling of (in)security of the population in its neighbourhood (during the day),25.0
2021,,65 to under 75 years,unsafe,feeling of (in)security of the population in its neighbourhood (during the day),
2019,,65 to under 75 years,very unsafe,feeling of (in)security of the population in its neighbourhood (during the day),
2020,,65 to under 75 years,very unsafe,feeling of (in)security of the population in its neighbourhood (during the day),25.0
2021,,65 to under 75 years,very unsafe,feeling of (in)security of the population in its neighbourhood (during the day),
2019,,75 years and older,very safe,feeling of (in)security of the population in its neighbourhood (during the day),
2020,,75 years and older,very safe,feeling of (in)security of the population in its neighbourhood (during the day),25.0
2021,,75 years and older,very safe,feeling of (in)security of the population in its neighbourhood (during the day),
2019,,75 years and older,safe,feeling of (in)security of the population in its neighbourhood (during the day),
2020,,75 years and older,safe,feeling of (in)security of the population in its neighbourhood (during the day),25.0
2021,,75 years and older,safe,feeling of (in)security of the population in its neighbourhood (during the day),
2019,,75 years and older,unsafe,feeling of (in)security of the population in its neighbourhood (during the day),
2020,,75 years and older,unsafe,feeling of (in)security of the population in its neighbourhood (during the day),25.0
2021,,75 years and older,unsafe,feeling of (in)security of the population in its neighbourhood (during the day),
2019,,75 years and older,very unsafe,feeling of (in)security of the population in its neighbourhood (during the day),
2020,,75 years and older,very unsafe,feeling of (in)security of the population in its neighbourhood (during the day),25.0
2021,,75 years and older,very unsafe,feeling of (in)security of the population in its neighbourhood (during the day),
