Year,Units,Art der öffentlichen Entwicklungsleistung,Art des Finanzstroms,COMMENT_OBS_0,COMMENT_OBS_1,COMMENT_OBS_2,Value
2024,"Millionen USD, konstante Preise (2024)",Bruttoentwicklungsausgaben,Öffentliche Entwicklungsleistungen,,,,3780.526
2010,"Millionen USD, konstante Preise (2024)",Zusagen,Sonstige öffentliche Leistungen,,,,0.0
2011,"Millionen USD, konstante Preise (2024)",Zusagen,Sonstige öffentliche Leistungen,,,,0.0
2012,"Millionen USD, konstante Preise (2024)",Zusagen,Sonstige öffentliche Leistungen,,,,0.0
2013,"Millionen USD, konstante Preise (2024)",Zusagen,Sonstige öffentliche Leistungen,,,,0.0
2014,"Millionen USD, konstante Preise (2024)",Zusagen,Sonstige öffentliche Leistungen,,,,0.0
2015,"Millionen USD, konstante Preise (2024)",Zusagen,Sonstige öffentliche Leistungen,,,,0.0
2016,"Millionen USD, konstante Preise (2024)",Zusagen,Sonstige öffentliche Leistungen,,,,0.0
2017,"Millionen USD, konstante Preise (2024)",Zusagen,Sonstige öffentliche Leistungen,,,,0.0
2018,"Millionen USD, konstante Preise (2024)",Zusagen,Sonstige öffentliche Leistungen,,,,504.602
2019,"Millionen USD, konstante Preise (2024)",Zusagen,Sonstige öffentliche Leistungen,,,,206.098
2020,"Millionen USD, konstante Preise (2024)",Zusagen,Sonstige öffentliche Leistungen,,,,236.909
2021,"Millionen USD, konstante Preise (2024)",Zusagen,Sonstige öffentliche Leistungen,,,,66.69
2022,"Millionen USD, konstante Preise (2024)",Zusagen,Sonstige öffentliche Leistungen,,,,59.491
2023,"Millionen USD, konstante Preise (2024)",Zusagen,Sonstige öffentliche Leistungen,,,,0.0
2024,"Millionen USD, konstante Preise (2024)",Zusagen,Sonstige öffentliche Leistungen,,,,0.0
2010,"Millionen USD, konstante Preise (2024)",Bruttoentwicklungsausgaben,Sonstige öffentliche Leistungen,,,,0.0
2011,"Millionen USD, konstante Preise (2024)",Bruttoentwicklungsausgaben,Sonstige öffentliche Leistungen,,,,0.0
2012,"Millionen USD, konstante Preise (2024)",Bruttoentwicklungsausgaben,Sonstige öffentliche Leistungen,,,,0.0
2013,"Millionen USD, konstante Preise (2024)",Bruttoentwicklungsausgaben,Sonstige öffentliche Leistungen,,,,0.0
2014,"Millionen USD, konstante Preise (2024)",Bruttoentwicklungsausgaben,Sonstige öffentliche Leistungen,,,,0.0
2015,"Millionen USD, konstante Preise (2024)",Bruttoentwicklungsausgaben,Sonstige öffentliche Leistungen,,,,0.0
2016,"Millionen USD, konstante Preise (2024)",Bruttoentwicklungsausgaben,Sonstige öffentliche Leistungen,,,,0.0
2017,"Millionen USD, konstante Preise (2024)",Bruttoentwicklungsausgaben,Sonstige öffentliche Leistungen,,,,0.0
2018,"Millionen USD, konstante Preise (2024)",Bruttoentwicklungsausgaben,Sonstige öffentliche Leistungen,,,,504.602
2019,"Millionen USD, konstante Preise (2024)",Bruttoentwicklungsausgaben,Sonstige öffentliche Leistungen,,,,206.098
2020,"Millionen USD, konstante Preise (2024)",Bruttoentwicklungsausgaben,Sonstige öffentliche Leistungen,,,,236.909
2021,"Millionen USD, konstante Preise (2024)",Bruttoentwicklungsausgaben,Sonstige öffentliche Leistungen,,,,66.69
2022,"Millionen USD, konstante Preise (2024)",Bruttoentwicklungsausgaben,Sonstige öffentliche Leistungen,,,,59.491
2023,"Millionen USD, konstante Preise (2024)",Bruttoentwicklungsausgaben,Sonstige öffentliche Leistungen,,,,0.0
2024,"Millionen USD, konstante Preise (2024)",Bruttoentwicklungsausgaben,Sonstige öffentliche Leistungen,,,,0.0
