Year,Series,Substanz,Geschlecht,Grenze,Value
2015,Stationäre Behandlung bei Störungen durch Substanzgebrauch,Drogen,Männlich,,38689.0
2016,Stationäre Behandlung bei Störungen durch Substanzgebrauch,Drogen,Männlich,,39318.0
2017,Stationäre Behandlung bei Störungen durch Substanzgebrauch,Drogen,Männlich,,38925.0
2018,Stationäre Behandlung bei Störungen durch Substanzgebrauch,Drogen,Männlich,,39522.0
2019,Stationäre Behandlung bei Störungen durch Substanzgebrauch,Drogen,Männlich,,40569.0
2010,Stationäre Behandlung bei Störungen durch Substanzgebrauch,Drogen,Unbekannt,,
2011,Stationäre Behandlung bei Störungen durch Substanzgebrauch,Drogen,Unbekannt,,
2012,Stationäre Behandlung bei Störungen durch Substanzgebrauch,Drogen,Unbekannt,,
2013,Stationäre Behandlung bei Störungen durch Substanzgebrauch,Drogen,Unbekannt,,
2014,Stationäre Behandlung bei Störungen durch Substanzgebrauch,Drogen,Unbekannt,,
2015,Stationäre Behandlung bei Störungen durch Substanzgebrauch,Drogen,Unbekannt,,
2016,Stationäre Behandlung bei Störungen durch Substanzgebrauch,Drogen,Unbekannt,,
2017,Stationäre Behandlung bei Störungen durch Substanzgebrauch,Drogen,Unbekannt,,
2018,Stationäre Behandlung bei Störungen durch Substanzgebrauch,Drogen,Unbekannt,,
2019,Stationäre Behandlung bei Störungen durch Substanzgebrauch,Drogen,Unbekannt,,
2010,Stationäre Behandlung bei Störungen durch Substanzgebrauch,Alkohol und andere psychoaktive Substanzen,,,191512.0
2011,Stationäre Behandlung bei Störungen durch Substanzgebrauch,Alkohol und andere psychoaktive Substanzen,,,192159.0
2012,Stationäre Behandlung bei Störungen durch Substanzgebrauch,Alkohol und andere psychoaktive Substanzen,,,195976.0
2013,Stationäre Behandlung bei Störungen durch Substanzgebrauch,Alkohol und andere psychoaktive Substanzen,,,194412.0
2014,Stationäre Behandlung bei Störungen durch Substanzgebrauch,Alkohol und andere psychoaktive Substanzen,,,185305.0
2015,Stationäre Behandlung bei Störungen durch Substanzgebrauch,Alkohol und andere psychoaktive Substanzen,,,176185.0
2016,Stationäre Behandlung bei Störungen durch Substanzgebrauch,Alkohol und andere psychoaktive Substanzen,,,170467.0
2017,Stationäre Behandlung bei Störungen durch Substanzgebrauch,Alkohol und andere psychoaktive Substanzen,,,165834.0
2018,Stationäre Behandlung bei Störungen durch Substanzgebrauch,Alkohol und andere psychoaktive Substanzen,,,161247.0
2019,Stationäre Behandlung bei Störungen durch Substanzgebrauch,Alkohol und andere psychoaktive Substanzen,,,159421.0
2010,Stationäre Behandlung bei Störungen durch Substanzgebrauch,Alkohol und andere psychoaktive Substanzen,Weiblich,,49139.0
2011,Stationäre Behandlung bei Störungen durch Substanzgebrauch,Alkohol und andere psychoaktive Substanzen,Weiblich,,50796.0
2012,Stationäre Behandlung bei Störungen durch Substanzgebrauch,Alkohol und andere psychoaktive Substanzen,Weiblich,,52487.0
2013,Stationäre Behandlung bei Störungen durch Substanzgebrauch,Alkohol und andere psychoaktive Substanzen,Weiblich,,51211.0
2014,Stationäre Behandlung bei Störungen durch Substanzgebrauch,Alkohol und andere psychoaktive Substanzen,Weiblich,,49460.0
2015,Stationäre Behandlung bei Störungen durch Substanzgebrauch,Alkohol und andere psychoaktive Substanzen,Weiblich,,46377.0
2016,Stationäre Behandlung bei Störungen durch Substanzgebrauch,Alkohol und andere psychoaktive Substanzen,Weiblich,,44589.0
2017,Stationäre Behandlung bei Störungen durch Substanzgebrauch,Alkohol und andere psychoaktive Substanzen,Weiblich,,43574.0
2018,Stationäre Behandlung bei Störungen durch Substanzgebrauch,Alkohol und andere psychoaktive Substanzen,Weiblich,,42716.0
2019,Stationäre Behandlung bei Störungen durch Substanzgebrauch,Alkohol und andere psychoaktive Substanzen,Weiblich,,42158.0
2010,Stationäre Behandlung bei Störungen durch Substanzgebrauch,Alkohol und andere psychoaktive Substanzen,Männlich,,142373.0
2011,Stationäre Behandlung bei Störungen durch Substanzgebrauch,Alkohol und andere psychoaktive Substanzen,Männlich,,141363.0
2012,Stationäre Behandlung bei Störungen durch Substanzgebrauch,Alkohol und andere psychoaktive Substanzen,Männlich,,143488.0
2013,Stationäre Behandlung bei Störungen durch Substanzgebrauch,Alkohol und andere psychoaktive Substanzen,Männlich,,143201.0
2014,Stationäre Behandlung bei Störungen durch Substanzgebrauch,Alkohol und andere psychoaktive Substanzen,Männlich,,135845.0
2015,Stationäre Behandlung bei Störungen durch Substanzgebrauch,Alkohol und andere psychoaktive Substanzen,Männlich,,129808.0
2016,Stationäre Behandlung bei Störungen durch Substanzgebrauch,Alkohol und andere psychoaktive Substanzen,Männlich,,125878.0
2017,Stationäre Behandlung bei Störungen durch Substanzgebrauch,Alkohol und andere psychoaktive Substanzen,Männlich,,122260.0
2018,Stationäre Behandlung bei Störungen durch Substanzgebrauch,Alkohol und andere psychoaktive Substanzen,Männlich,,118531.0
2019,Stationäre Behandlung bei Störungen durch Substanzgebrauch,Alkohol und andere psychoaktive Substanzen,Männlich,,117263.0
2010,Stationäre Behandlung bei Störungen durch Substanzgebrauch,Alkohol und andere psychoaktive Substanzen,Unbekannt,,
2011,Stationäre Behandlung bei Störungen durch Substanzgebrauch,Alkohol und andere psychoaktive Substanzen,Unbekannt,,
2012,Stationäre Behandlung bei Störungen durch Substanzgebrauch,Alkohol und andere psychoaktive Substanzen,Unbekannt,,1.0
2013,Stationäre Behandlung bei Störungen durch Substanzgebrauch,Alkohol und andere psychoaktive Substanzen,Unbekannt,,
2014,Stationäre Behandlung bei Störungen durch Substanzgebrauch,Alkohol und andere psychoaktive Substanzen,Unbekannt,,
2015,Stationäre Behandlung bei Störungen durch Substanzgebrauch,Alkohol und andere psychoaktive Substanzen,Unbekannt,,
2016,Stationäre Behandlung bei Störungen durch Substanzgebrauch,Alkohol und andere psychoaktive Substanzen,Unbekannt,,
2017,Stationäre Behandlung bei Störungen durch Substanzgebrauch,Alkohol und andere psychoaktive Substanzen,Unbekannt,,
2018,Stationäre Behandlung bei Störungen durch Substanzgebrauch,Alkohol und andere psychoaktive Substanzen,Unbekannt,,
2019,Stationäre Behandlung bei Störungen durch Substanzgebrauch,Alkohol und andere psychoaktive Substanzen,Unbekannt,,
2010,"Schätzung des riskanten Konsums (auf Basis von Zugängen zu Behandlung) der Substanzen Opioide, Kokain und anderer Stimulanzien im Alter von 15 bis unter 65 Jahren",,,min,215078.0
2011,"Schätzung des riskanten Konsums (auf Basis von Zugängen zu Behandlung) der Substanzen Opioide, Kokain und anderer Stimulanzien im Alter von 15 bis unter 65 Jahren",,,min,231052.0
2012,"Schätzung des riskanten Konsums (auf Basis von Zugängen zu Behandlung) der Substanzen Opioide, Kokain und anderer Stimulanzien im Alter von 15 bis unter 65 Jahren",,,min,218360.0
2013,"Schätzung des riskanten Konsums (auf Basis von Zugängen zu Behandlung) der Substanzen Opioide, Kokain und anderer Stimulanzien im Alter von 15 bis unter 65 Jahren",,,min,215436.0
2014,"Schätzung des riskanten Konsums (auf Basis von Zugängen zu Behandlung) der Substanzen Opioide, Kokain und anderer Stimulanzien im Alter von 15 bis unter 65 Jahren",,,min,230672.0
2015,"Schätzung des riskanten Konsums (auf Basis von Zugängen zu Behandlung) der Substanzen Opioide, Kokain und anderer Stimulanzien im Alter von 15 bis unter 65 Jahren",,,min,225471.0
2016,"Schätzung des riskanten Konsums (auf Basis von Zugängen zu Behandlung) der Substanzen Opioide, Kokain und anderer Stimulanzien im Alter von 15 bis unter 65 Jahren",,,min,225324.0
2017,"Schätzung des riskanten Konsums (auf Basis von Zugängen zu Behandlung) der Substanzen Opioide, Kokain und anderer Stimulanzien im Alter von 15 bis unter 65 Jahren",,,min,217220.0
2018,"Schätzung des riskanten Konsums (auf Basis von Zugängen zu Behandlung) der Substanzen Opioide, Kokain und anderer Stimulanzien im Alter von 15 bis unter 65 Jahren",,,min,204906.0
2010,"Schätzung des riskanten Konsums (auf Basis von Zugängen zu Behandlung) der Substanzen Opioide, Kokain und anderer Stimulanzien im Alter von 15 bis unter 65 Jahren",,,max,255405.0
2011,"Schätzung des riskanten Konsums (auf Basis von Zugängen zu Behandlung) der Substanzen Opioide, Kokain und anderer Stimulanzien im Alter von 15 bis unter 65 Jahren",,,max,274374.0
2012,"Schätzung des riskanten Konsums (auf Basis von Zugängen zu Behandlung) der Substanzen Opioide, Kokain und anderer Stimulanzien im Alter von 15 bis unter 65 Jahren",,,max,259303.0
2013,"Schätzung des riskanten Konsums (auf Basis von Zugängen zu Behandlung) der Substanzen Opioide, Kokain und anderer Stimulanzien im Alter von 15 bis unter 65 Jahren",,,max,255830.0
2014,"Schätzung des riskanten Konsums (auf Basis von Zugängen zu Behandlung) der Substanzen Opioide, Kokain und anderer Stimulanzien im Alter von 15 bis unter 65 Jahren",,,max,273923.0
2015,"Schätzung des riskanten Konsums (auf Basis von Zugängen zu Behandlung) der Substanzen Opioide, Kokain und anderer Stimulanzien im Alter von 15 bis unter 65 Jahren",,,max,267747.0
2016,"Schätzung des riskanten Konsums (auf Basis von Zugängen zu Behandlung) der Substanzen Opioide, Kokain und anderer Stimulanzien im Alter von 15 bis unter 65 Jahren",,,max,267572.0
2017,"Schätzung des riskanten Konsums (auf Basis von Zugängen zu Behandlung) der Substanzen Opioide, Kokain und anderer Stimulanzien im Alter von 15 bis unter 65 Jahren",,,max,257949.0
2018,"Schätzung des riskanten Konsums (auf Basis von Zugängen zu Behandlung) der Substanzen Opioide, Kokain und anderer Stimulanzien im Alter von 15 bis unter 65 Jahren",,,max,243326.0
