Year,Units,Type of official development assistance,Type of flow,COMMENT_OBS_0,COMMENT_OBS_1,COMMENT_OBS_2,Value
2020,"Million USD, constant prices (2024)",Gross disbursements,Official development assistance,,,,2877.684
2021,"Million USD, constant prices (2024)",Gross disbursements,Official development assistance,,,,2992.223
2022,"Million USD, constant prices (2024)",Gross disbursements,Official development assistance,,,,3273.526
2023,"Million USD, constant prices (2024)",Gross disbursements,Official development assistance,,,,2590.122
2024,"Million USD, constant prices (2024)",Gross disbursements,Official development assistance,,,,3780.526
2010,"Million USD, constant prices (2024)",Commitments,Other official flows,,,,0.0
2011,"Million USD, constant prices (2024)",Commitments,Other official flows,,,,0.0
2012,"Million USD, constant prices (2024)",Commitments,Other official flows,,,,0.0
2013,"Million USD, constant prices (2024)",Commitments,Other official flows,,,,0.0
2014,"Million USD, constant prices (2024)",Commitments,Other official flows,,,,0.0
2015,"Million USD, constant prices (2024)",Commitments,Other official flows,,,,0.0
2016,"Million USD, constant prices (2024)",Commitments,Other official flows,,,,0.0
2017,"Million USD, constant prices (2024)",Commitments,Other official flows,,,,0.0
2018,"Million USD, constant prices (2024)",Commitments,Other official flows,,,,504.602
2019,"Million USD, constant prices (2024)",Commitments,Other official flows,,,,206.098
2020,"Million USD, constant prices (2024)",Commitments,Other official flows,,,,236.909
2021,"Million USD, constant prices (2024)",Commitments,Other official flows,,,,66.69
2022,"Million USD, constant prices (2024)",Commitments,Other official flows,,,,59.491
2023,"Million USD, constant prices (2024)",Commitments,Other official flows,,,,0.0
2024,"Million USD, constant prices (2024)",Commitments,Other official flows,,,,0.0
2010,"Million USD, constant prices (2024)",Gross disbursements,Other official flows,,,,0.0
2011,"Million USD, constant prices (2024)",Gross disbursements,Other official flows,,,,0.0
2012,"Million USD, constant prices (2024)",Gross disbursements,Other official flows,,,,0.0
2013,"Million USD, constant prices (2024)",Gross disbursements,Other official flows,,,,0.0
2014,"Million USD, constant prices (2024)",Gross disbursements,Other official flows,,,,0.0
2015,"Million USD, constant prices (2024)",Gross disbursements,Other official flows,,,,0.0
2016,"Million USD, constant prices (2024)",Gross disbursements,Other official flows,,,,0.0
2017,"Million USD, constant prices (2024)",Gross disbursements,Other official flows,,,,0.0
2018,"Million USD, constant prices (2024)",Gross disbursements,Other official flows,,,,504.602
2019,"Million USD, constant prices (2024)",Gross disbursements,Other official flows,,,,206.098
2020,"Million USD, constant prices (2024)",Gross disbursements,Other official flows,,,,236.909
2021,"Million USD, constant prices (2024)",Gross disbursements,Other official flows,,,,66.69
2022,"Million USD, constant prices (2024)",Gross disbursements,Other official flows,,,,59.491
2023,"Million USD, constant prices (2024)",Gross disbursements,Other official flows,,,,0.0
2024,"Million USD, constant prices (2024)",Gross disbursements,Other official flows,,,,0.0
