Year,Units,age group,sex,victim-suspect relationship,COMMENT_OBS_0,COMMENT_OBS_1,COMMENT_OBS_2,Value
2018,"per 100,000 inhabitants",13 years and younger,,,,,,0.67
2019,"per 100,000 inhabitants",13 years and younger,,,,,,0.43
2020,"per 100,000 inhabitants",13 years and younger,,,,,,0.74
2021,"per 100,000 inhabitants",13 years and younger,,,,,,0.77
2022,"per 100,000 inhabitants",13 years and younger,,,,,,0.48
2023,"per 100,000 inhabitants",13 years and younger,,,,,,0.66
2024,"per 100,000 inhabitants",13 years and younger,,,…,,,
2010,"per 100,000 inhabitants",14 to under 18 years,,,.,,,
2011,"per 100,000 inhabitants",14 to under 18 years,,,,,,0.85
2012,"per 100,000 inhabitants",14 to under 18 years,,,,,,0.19
2013,"per 100,000 inhabitants",14 to under 18 years,,,,,,0.37
2014,"per 100,000 inhabitants",14 to under 18 years,,,,,,0.47
2015,"per 100,000 inhabitants",14 to under 18 years,,,,,,0.44
2016,"per 100,000 inhabitants",14 to under 18 years,,,,,,1.1
2017,"per 100,000 inhabitants",14 to under 18 years,,,,,,0.13
2018,"per 100,000 inhabitants",14 to under 18 years,,,,,,0.45
2019,"per 100,000 inhabitants",14 to under 18 years,,,,,,0.36
2020,"per 100,000 inhabitants",14 to under 18 years,,,,,,0.4
2021,"per 100,000 inhabitants",14 to under 18 years,,,,,,0.47
2022,"per 100,000 inhabitants",14 to under 18 years,,,,,,0.46
2023,"per 100,000 inhabitants",14 to under 18 years,,,,,,0.55
2024,"per 100,000 inhabitants",14 to under 18 years,,,…,,,
2010,"per 100,000 inhabitants",18 to under 21 years,,,.,,,
2011,"per 100,000 inhabitants",18 to under 21 years,,,,,,1.12
2012,"per 100,000 inhabitants",18 to under 21 years,,,,,,0.92
2013,"per 100,000 inhabitants",18 to under 21 years,,,,,,0.61
2014,"per 100,000 inhabitants",18 to under 21 years,,,,,,0.81
2015,"per 100,000 inhabitants",18 to under 21 years,,,,,,0.71
2016,"per 100,000 inhabitants",18 to under 21 years,,,,,,1.64
2017,"per 100,000 inhabitants",18 to under 21 years,,,,,,0.61
2018,"per 100,000 inhabitants",18 to under 21 years,,,,,,1.0
2019,"per 100,000 inhabitants",18 to under 21 years,,,,,,0.63
2020,"per 100,000 inhabitants",18 to under 21 years,,,,,,0.84
2021,"per 100,000 inhabitants",18 to under 21 years,,,,,,0.78
2022,"per 100,000 inhabitants",18 to under 21 years,,,,,,0.98
2023,"per 100,000 inhabitants",18 to under 21 years,,,,,,0.75
2024,"per 100,000 inhabitants",18 to under 21 years,,,…,,,
2010,"per 100,000 inhabitants",21 to under 60 years,,,.,,,
2011,"per 100,000 inhabitants",21 to under 60 years,,,,,,0.98
2012,"per 100,000 inhabitants",21 to under 60 years,,,,,,0.83
2013,"per 100,000 inhabitants",21 to under 60 years,,,,,,0.87
2014,"per 100,000 inhabitants",21 to under 60 years,,,,,,0.93
2015,"per 100,000 inhabitants",21 to under 60 years,,,,,,0.79
2016,"per 100,000 inhabitants",21 to under 60 years,,,,,,1.21
2017,"per 100,000 inhabitants",21 to under 60 years,,,,,,0.95
2018,"per 100,000 inhabitants",21 to under 60 years,,,,,,1.02
2019,"per 100,000 inhabitants",21 to under 60 years,,,,,,0.81
2020,"per 100,000 inhabitants",21 to under 60 years,,,,,,0.88
2021,"per 100,000 inhabitants",21 to under 60 years,,,,,,0.79
2022,"per 100,000 inhabitants",21 to under 60 years,,,,,,0.79
2023,"per 100,000 inhabitants",21 to under 60 years,,,,,,1.02
2024,"per 100,000 inhabitants",21 to under 60 years,,,…,,,
2010,"per 100,000 inhabitants",60 years and older,,,.,,,
2011,"per 100,000 inhabitants",60 years and older,,,,,,0.87
2012,"per 100,000 inhabitants",60 years and older,,,,,,0.84
2013,"per 100,000 inhabitants",60 years and older,,,,,,0.97
2014,"per 100,000 inhabitants",60 years and older,,,,,,0.96
2015,"per 100,000 inhabitants",60 years and older,,,,,,1.1
2016,"per 100,000 inhabitants",60 years and older,,,,,,1.28
2017,"per 100,000 inhabitants",60 years and older,,,,,,1.36
2018,"per 100,000 inhabitants",60 years and older,,,,,,1.0
2019,"per 100,000 inhabitants",60 years and older,,,,,,0.85
2020,"per 100,000 inhabitants",60 years and older,,,,,,1.22
2021,"per 100,000 inhabitants",60 years and older,,,,,,1.0
2022,"per 100,000 inhabitants",60 years and older,,,,,,1.08
2023,"per 100,000 inhabitants",60 years and older,,,,,,0.94
2024,"per 100,000 inhabitants",60 years and older,,,…,,,
2010,"per 100,000 inhabitants",,female,,.,,,
2011,"per 100,000 inhabitants",,female,,,,,0.82
2012,"per 100,000 inhabitants",,female,,,,,0.72
2013,"per 100,000 inhabitants",,female,,,,,0.8
2014,"per 100,000 inhabitants",,female,,,,,0.82
2015,"per 100,000 inhabitants",,female,,,,,0.79
2016,"per 100,000 inhabitants",,female,,,,,1.12
2017,"per 100,000 inhabitants",,female,,,,,0.91
2018,"per 100,000 inhabitants",,female,,,,,0.87
2019,"per 100,000 inhabitants",,female,,,,,0.66
2020,"per 100,000 inhabitants",,female,,,,,0.85
2021,"per 100,000 inhabitants",,female,,,,,0.8
2022,"per 100,000 inhabitants",,female,,,,,0.83
2023,"per 100,000 inhabitants",,female,,,,,0.89
2024,"per 100,000 inhabitants",,female,,…,,,
2010,"per 100,000 inhabitants",,male,,.,,,
2011,"per 100,000 inhabitants",,male,,,,,1.02
2012,"per 100,000 inhabitants",,male,,,,,0.92
2013,"per 100,000 inhabitants",,male,,,,,0.9
2014,"per 100,000 inhabitants",,male,,,,,0.95
2015,"per 100,000 inhabitants",,male,,,,,0.88
2016,"per 100,000 inhabitants",,male,,,,,1.22
2017,"per 100,000 inhabitants",,male,,,,,1.06
2018,"per 100,000 inhabitants",,male,,,,,1.03
2019,"per 100,000 inhabitants",,male,,,,,0.85
2020,"per 100,000 inhabitants",,male,,,,,1.04
2021,"per 100,000 inhabitants",,male,,,,,0.87
2022,"per 100,000 inhabitants",,male,,,,,0.83
2023,"per 100,000 inhabitants",,male,,,,,0.96
2024,"per 100,000 inhabitants",,male,,…,,,
2010,"per 100,000 inhabitants",13 years and younger,female,,.,,,
2011,"per 100,000 inhabitants",13 years and younger,female,,,,,0.49
2012,"per 100,000 inhabitants",13 years and younger,female,,,,,0.81
2013,"per 100,000 inhabitants",13 years and younger,female,,,,,0.77
2014,"per 100,000 inhabitants",13 years and younger,female,,,,,0.5
2015,"per 100,000 inhabitants",13 years and younger,female,,,,,0.51
2016,"per 100,000 inhabitants",13 years and younger,female,,,,,0.6
2017,"per 100,000 inhabitants",13 years and younger,female,,,,,0.56
2018,"per 100,000 inhabitants",13 years and younger,female,,,,,0.59
2019,"per 100,000 inhabitants",13 years and younger,female,,,,,0.33
2020,"per 100,000 inhabitants",13 years and younger,female,,,,,0.83
2021,"per 100,000 inhabitants",13 years and younger,female,,,,,0.82
2022,"per 100,000 inhabitants",13 years and younger,female,,,,,0.52
