Year,Units,Zeitreihe,COMMENT_OBS_0,COMMENT_OBS_1,COMMENT_OBS_2,Value
2015,Milliarden EUR,Konsum privater Haushalte,,,,91.98
2016,Milliarden EUR,Konsum privater Haushalte,.,,,
2017,Milliarden EUR,Konsum privater Haushalte,,,,92.78
2018,Milliarden EUR,Konsum privater Haushalte,.,,,
2019,Milliarden EUR,Konsum privater Haushalte,,,,94.33
2020,Milliarden EUR,Konsum privater Haushalte,.,,,
2021,Milliarden EUR,Konsum privater Haushalte,,,,93.87
2022,Milliarden EUR,Konsum privater Haushalte,.,,,
2023,Milliarden EUR,Konsum privater Haushalte,,,,90.76
2024,Milliarden EUR,Konsum privater Haushalte,…,,,
2010,Milliarden EUR,Schulden des Öffentlichen Gesamthaushalts,.,,,
2011,Milliarden EUR,Schulden des Öffentlichen Gesamthaushalts,.,,,
2012,Milliarden EUR,Schulden des Öffentlichen Gesamthaushalts,.,,,
2013,Milliarden EUR,Schulden des Öffentlichen Gesamthaushalts,.,,,
2014,Milliarden EUR,Schulden des Öffentlichen Gesamthaushalts,.,,,
2015,Milliarden EUR,Schulden des Öffentlichen Gesamthaushalts,.,,,
2016,Milliarden EUR,Schulden des Öffentlichen Gesamthaushalts,.,,,
2017,Milliarden EUR,Schulden des Öffentlichen Gesamthaushalts,.,,,
2018,Milliarden EUR,Schulden des Öffentlichen Gesamthaushalts,.,,,
2019,Milliarden EUR,Schulden des Öffentlichen Gesamthaushalts,,,,90.02
2020,Milliarden EUR,Schulden des Öffentlichen Gesamthaushalts,.,,,
2021,Milliarden EUR,Schulden des Öffentlichen Gesamthaushalts,,,,96.04
2022,Milliarden EUR,Schulden des Öffentlichen Gesamthaushalts,.,,,
2023,Milliarden EUR,Schulden des Öffentlichen Gesamthaushalts,,,,94.62
2024,Milliarden EUR,Schulden des Öffentlichen Gesamthaushalts,…,,,
2010,Milliarden EUR,Finanzierungssaldo des Staates,s,,,100.0
2011,Milliarden EUR,Finanzierungssaldo des Staates,s,,,100.0
2012,Milliarden EUR,Finanzierungssaldo des Staates,s,,,100.0
2013,Milliarden EUR,Finanzierungssaldo des Staates,s,,,100.0
2014,Milliarden EUR,Finanzierungssaldo des Staates,s,,,100.0
2015,Milliarden EUR,Finanzierungssaldo des Staates,s,,,100.0
2016,Milliarden EUR,Finanzierungssaldo des Staates,s,,,100.0
2017,Milliarden EUR,Finanzierungssaldo des Staates,s,,,100.0
2018,Milliarden EUR,Finanzierungssaldo des Staates,s,,,100.0
2019,Milliarden EUR,Finanzierungssaldo des Staates,s,,,100.0
2020,Milliarden EUR,Finanzierungssaldo des Staates,s,,,100.0
2021,Milliarden EUR,Finanzierungssaldo des Staates,s,,,100.0
2022,Milliarden EUR,Finanzierungssaldo des Staates,s,,,100.0
2023,Milliarden EUR,Finanzierungssaldo des Staates,s,,,100.0
2024,Milliarden EUR,Finanzierungssaldo des Staates,s,,,100.0
2010,Milliarden EUR,Bruttoanlageinvestitionen,.,,,
2011,Milliarden EUR,Bruttoanlageinvestitionen,.,,,
2012,Milliarden EUR,Bruttoanlageinvestitionen,.,,,
2013,Milliarden EUR,Bruttoanlageinvestitionen,.,,,
2014,Milliarden EUR,Bruttoanlageinvestitionen,.,,,
2015,Milliarden EUR,Bruttoanlageinvestitionen,.,,,
2016,Milliarden EUR,Bruttoanlageinvestitionen,.,,,
2017,Milliarden EUR,Bruttoanlageinvestitionen,.,,,
2018,Milliarden EUR,Bruttoanlageinvestitionen,.,,,
2019,Milliarden EUR,Bruttoanlageinvestitionen,.,,,
2020,Milliarden EUR,Bruttoanlageinvestitionen,,,,8.0
2021,Milliarden EUR,Bruttoanlageinvestitionen,,,,8.0
2022,Milliarden EUR,Bruttoanlageinvestitionen,,,,8.0
2023,Milliarden EUR,Bruttoanlageinvestitionen,,,,8.0
2024,Milliarden EUR,Bruttoanlageinvestitionen,,,,8.0
2010,Millionen Stunden,Geleistete Arbeitsstunden der Arbeitnehmer,,,,1.0
2011,Millionen Stunden,Geleistete Arbeitsstunden der Arbeitnehmer,,,,1.0
2012,Millionen Stunden,Geleistete Arbeitsstunden der Arbeitnehmer,,,,1.0
2013,Millionen Stunden,Geleistete Arbeitsstunden der Arbeitnehmer,,,,1.0
2014,Millionen Stunden,Geleistete Arbeitsstunden der Arbeitnehmer,,,,1.0
2015,Millionen Stunden,Geleistete Arbeitsstunden der Arbeitnehmer,,,,1.0
2016,Millionen Stunden,Geleistete Arbeitsstunden der Arbeitnehmer,,,,1.0
2017,Millionen Stunden,Geleistete Arbeitsstunden der Arbeitnehmer,,,,1.0
2018,Millionen Stunden,Geleistete Arbeitsstunden der Arbeitnehmer,,,,1.0
2019,Millionen Stunden,Geleistete Arbeitsstunden der Arbeitnehmer,,,,1.0
2020,Millionen Stunden,Geleistete Arbeitsstunden der Arbeitnehmer,,,,1.0
2021,Millionen Stunden,Geleistete Arbeitsstunden der Arbeitnehmer,,,,1.0
2022,Millionen Stunden,Geleistete Arbeitsstunden der Arbeitnehmer,,,,1.0
2023,Millionen Stunden,Geleistete Arbeitsstunden der Arbeitnehmer,,,,1.0
2024,Millionen Stunden,Geleistete Arbeitsstunden der Arbeitnehmer,,,,1.0
2010,Millionen Stunden,Geleistete Arbeitsstunden der Erwerbstätigen,,,,43.7
2011,Millionen Stunden,Geleistete Arbeitsstunden der Erwerbstätigen,,,,44.4
2012,Millionen Stunden,Geleistete Arbeitsstunden der Erwerbstätigen,,,,45.0
2013,Millionen Stunden,Geleistete Arbeitsstunden der Erwerbstätigen,,,,45.3
2014,Millionen Stunden,Geleistete Arbeitsstunden der Erwerbstätigen,,,,45.2
2015,Millionen Stunden,Geleistete Arbeitsstunden der Erwerbstätigen,,,,45.4
2016,Millionen Stunden,Geleistete Arbeitsstunden der Erwerbstätigen,,,,45.9
2017,Millionen Stunden,Geleistete Arbeitsstunden der Erwerbstätigen,,,,45.9
2018,Millionen Stunden,Geleistete Arbeitsstunden der Erwerbstätigen,,,,46.6
2019,Millionen Stunden,Geleistete Arbeitsstunden der Erwerbstätigen,,,,46.9
2020,Millionen Stunden,Geleistete Arbeitsstunden der Erwerbstätigen,,,,46.7
2021,Millionen Stunden,Geleistete Arbeitsstunden der Erwerbstätigen,p,,,47.5
2022,Millionen Stunden,Geleistete Arbeitsstunden der Erwerbstätigen,p,,,46.9
2023,Millionen Stunden,Geleistete Arbeitsstunden der Erwerbstätigen,p,,,45.9
2024,Millionen Stunden,Geleistete Arbeitsstunden der Erwerbstätigen,p,,,47.0
2010,2020 = 100,Arbeitsproduktivität je geleisteter Arbeitnehmerstunde,,,,45.1
2011,2020 = 100,Arbeitsproduktivität je geleisteter Arbeitnehmerstunde,,,,49.5
2012,2020 = 100,Arbeitsproduktivität je geleisteter Arbeitnehmerstunde,,,,50.9
2013,2020 = 100,Arbeitsproduktivität je geleisteter Arbeitnehmerstunde,,,,51.5
2014,2020 = 100,Arbeitsproduktivität je geleisteter Arbeitnehmerstunde,,,,52.0
2015,2020 = 100,Arbeitsproduktivität je geleisteter Arbeitnehmerstunde,,,,52.5
2016,2020 = 100,Arbeitsproduktivität je geleisteter Arbeitnehmerstunde,,,,52.9
2017,2020 = 100,Arbeitsproduktivität je geleisteter Arbeitnehmerstunde,,,,53.4
2018,2020 = 100,Arbeitsproduktivität je geleisteter Arbeitnehmerstunde,,,,53.9
2019,2020 = 100,Arbeitsproduktivität je geleisteter Arbeitnehmerstunde,,,,52.9
2020,2020 = 100,Arbeitsproduktivität je geleisteter Arbeitnehmerstunde,,,,45.4
2021,2020 = 100,Arbeitsproduktivität je geleisteter Arbeitnehmerstunde,p,,,48.1
2022,2020 = 100,Arbeitsproduktivität je geleisteter Arbeitnehmerstunde,p,,,49.6
2023,2020 = 100,Arbeitsproduktivität je geleisteter Arbeitnehmerstunde,p,,,47.5
2024,2020 = 100,Arbeitsproduktivität je geleisteter Arbeitnehmerstunde,p,,,46.5
2010,2020 = 100,Arbeitsproduktivität je geleisteter Erwerbstätigenstunde,,,,79.0
2011,2020 = 100,Arbeitsproduktivität je geleisteter Erwerbstätigenstunde,,,,85.0
2012,2020 = 100,Arbeitsproduktivität je geleisteter Erwerbstätigenstunde,,,,86.9
2013,2020 = 100,Arbeitsproduktivität je geleisteter Erwerbstätigenstunde,,,,87.4
2014,2020 = 100,Arbeitsproduktivität je geleisteter Erwerbstätigenstunde,,,,88.4
2015,2020 = 100,Arbeitsproduktivität je geleisteter Erwerbstätigenstunde,,,,89.0
2016,2020 = 100,Arbeitsproduktivität je geleisteter Erwerbstätigenstunde,,,,89.6
2017,2020 = 100,Arbeitsproduktivität je geleisteter Erwerbstätigenstunde,,,,90.4
2018,2020 = 100,Arbeitsproduktivität je geleisteter Erwerbstätigenstunde,,,,91.2
2019,2020 = 100,Arbeitsproduktivität je geleisteter Erwerbstätigenstunde,,,,90.1
2020,2020 = 100,Arbeitsproduktivität je geleisteter Erwerbstätigenstunde,,,,79.8
2021,2020 = 100,Arbeitsproduktivität je geleisteter Erwerbstätigenstunde,p,,,82.1
2022,2020 = 100,Arbeitsproduktivität je geleisteter Erwerbstätigenstunde,p,,,84.0
2023,2020 = 100,Arbeitsproduktivität je geleisteter Erwerbstätigenstunde,p,,,82.5
2024,2020 = 100,Arbeitsproduktivität je geleisteter Erwerbstätigenstunde,p,,,81.9
2010,Anzahl in 1 000,Erwerbstätige,,,,0.37
2011,Anzahl in 1 000,Erwerbstätige,,,,0.36
2012,Anzahl in 1 000,Erwerbstätige,,,,0.35
2013,Anzahl in 1 000,Erwerbstätige,,,,0.37
2014,Anzahl in 1 000,Erwerbstätige,,,,0.41
2015,Anzahl in 1 000,Erwerbstätige,,,,0.51
2016,Anzahl in 1 000,Erwerbstätige,,,,0.68
2017,Anzahl in 1 000,Erwerbstätige,,,,0.65
2018,Anzahl in 1 000,Erwerbstätige,,,,0.61
2019,Anzahl in 1 000,Erwerbstätige,,,,0.59
2020,Anzahl in 1 000,Erwerbstätige,,,,0.73
2021,Anzahl in 1 000,Erwerbstätige,p,,,0.72
2022,Anzahl in 1 000,Erwerbstätige,p,,,0.85
2023,Anzahl in 1 000,Erwerbstätige,p,,,0.88
2024,Anzahl in 1 000,Erwerbstätige,…,,,
2010,2020 = 100,Reales BIP pro Kopf,,,,0.1
2011,2020 = 100,Reales BIP pro Kopf,,,,0.09
2012,2020 = 100,Reales BIP pro Kopf,,,,0.1
2013,2020 = 100,Reales BIP pro Kopf,,,,0.09
2014,2020 = 100,Reales BIP pro Kopf,,,,0.09
2015,2020 = 100,Reales BIP pro Kopf,,,,0.07
2016,2020 = 100,Reales BIP pro Kopf,,,,0.1
2017,2020 = 100,Reales BIP pro Kopf,,,,0.11
2018,2020 = 100,Reales BIP pro Kopf,,,,0.12
2019,2020 = 100,Reales BIP pro Kopf,,,,0.11
2020,2020 = 100,Reales BIP pro Kopf,,,,0.14
2021,2020 = 100,Reales BIP pro Kopf,p,,,0.14
2022,2020 = 100,Reales BIP pro Kopf,p,,,0.11
2023,2020 = 100,Reales BIP pro Kopf,p,,,0.21
2024,2020 = 100,Reales BIP pro Kopf,…,,,
2010,Milliarden EUR,Außenbeitrag,,,,4.0
2011,Milliarden EUR,Außenbeitrag,,,,3.0
2012,Milliarden EUR,Außenbeitrag,‒,,,0.0
2013,Milliarden EUR,Außenbeitrag,‒,,,0.0
2014,Milliarden EUR,Außenbeitrag,,,,1.0
2015,Milliarden EUR,Außenbeitrag,‒,,,0.0
2016,Milliarden EUR,Außenbeitrag,,,,2.0
2017,Milliarden EUR,Außenbeitrag,,,,1.0
2018,Milliarden EUR,Außenbeitrag,,,,3.0
2019,Milliarden EUR,Außenbeitrag,,,,2.0
2020,Milliarden EUR,Außenbeitrag,,,,2.0
2021,Milliarden EUR,Außenbeitrag,‒,,,0.0
2022,Milliarden EUR,Außenbeitrag,,,,1.0
2023,Milliarden EUR,Außenbeitrag,‒,,,0.0
2024,Milliarden EUR,Außenbeitrag,,,,
