Year,Units,region,GeoCode,Value
2017,proportion of r&d expenditures to gdp (%),lower saxony,8.0,
2018,proportion of r&d expenditures to gdp (%),lower saxony,8.0,
2010,proportion of r&d expenditures to gdp (%),mecklenburg western pomerania,9.0,1.97007707593006
2011,proportion of r&d expenditures to gdp (%),mecklenburg western pomerania,9.0,2.04800583441499
2012,proportion of r&d expenditures to gdp (%),mecklenburg western pomerania,9.0,2.09721634289095
2013,proportion of r&d expenditures to gdp (%),mecklenburg western pomerania,9.0,1.80091538485864
2014,proportion of r&d expenditures to gdp (%),mecklenburg western pomerania,9.0,1.87781252607161
2015,proportion of r&d expenditures to gdp (%),mecklenburg western pomerania,9.0,1.87383525100519
2016,proportion of r&d expenditures to gdp (%),mecklenburg western pomerania,9.0,1.85
2017,proportion of r&d expenditures to gdp (%),mecklenburg western pomerania,9.0,
2018,proportion of r&d expenditures to gdp (%),mecklenburg western pomerania,9.0,
2010,proportion of r&d expenditures to gdp (%),north rhine-westphalia,3.0,1.9435861818579598
2011,proportion of r&d expenditures to gdp (%),north rhine-westphalia,3.0,1.9626748038928101
2012,proportion of r&d expenditures to gdp (%),north rhine-westphalia,3.0,2.04393775177843
2013,proportion of r&d expenditures to gdp (%),north rhine-westphalia,3.0,1.92785027993425
2014,proportion of r&d expenditures to gdp (%),north rhine-westphalia,3.0,1.98787223069899
2015,proportion of r&d expenditures to gdp (%),north rhine-westphalia,3.0,1.9560146349323202
2016,proportion of r&d expenditures to gdp (%),north rhine-westphalia,3.0,1.98
2017,proportion of r&d expenditures to gdp (%),north rhine-westphalia,3.0,
2018,proportion of r&d expenditures to gdp (%),north rhine-westphalia,3.0,
2010,proportion of r&d expenditures to gdp (%),rhineland palatinate,10.0,2.01446653044041
2011,proportion of r&d expenditures to gdp (%),rhineland palatinate,10.0,1.99579872772923
2012,proportion of r&d expenditures to gdp (%),rhineland palatinate,10.0,2.00869639051211
2013,proportion of r&d expenditures to gdp (%),rhineland palatinate,10.0,2.12127594428088
2014,proportion of r&d expenditures to gdp (%),rhineland palatinate,10.0,2.13672037988596
2015,proportion of r&d expenditures to gdp (%),rhineland palatinate,10.0,2.35383783560975
2016,proportion of r&d expenditures to gdp (%),rhineland palatinate,10.0,2.44
2017,proportion of r&d expenditures to gdp (%),rhineland palatinate,10.0,
2018,proportion of r&d expenditures to gdp (%),rhineland palatinate,10.0,
2010,proportion of r&d expenditures to gdp (%),saarland,1.0,1.2898699905326698
2011,proportion of r&d expenditures to gdp (%),saarland,1.0,1.47330877511999
2012,proportion of r&d expenditures to gdp (%),saarland,1.0,1.4557151099118901
2013,proportion of r&d expenditures to gdp (%),saarland,1.0,1.4410638918899
2014,proportion of r&d expenditures to gdp (%),saarland,1.0,1.4152073104913798
2015,proportion of r&d expenditures to gdp (%),saarland,1.0,1.54426347838314
2016,proportion of r&d expenditures to gdp (%),saarland,1.0,1.55
2017,proportion of r&d expenditures to gdp (%),saarland,1.0,
2018,proportion of r&d expenditures to gdp (%),saarland,1.0,
2010,proportion of r&d expenditures to gdp (%),saxony,21.0,2.77921466522237
2011,proportion of r&d expenditures to gdp (%),saxony,21.0,2.80073135167381
2012,proportion of r&d expenditures to gdp (%),saxony,21.0,2.7956426150518103
2013,proportion of r&d expenditures to gdp (%),saxony,21.0,2.7586795674541302
2014,proportion of r&d expenditures to gdp (%),saxony,21.0,2.66979072490592
2015,proportion of r&d expenditures to gdp (%),saxony,21.0,2.7289225186326003
2016,proportion of r&d expenditures to gdp (%),saxony,21.0,2.71
2017,proportion of r&d expenditures to gdp (%),saxony,21.0,
2018,proportion of r&d expenditures to gdp (%),saxony,21.0,
2010,proportion of r&d expenditures to gdp (%),saxony-anhalt,22.0,1.40107648125701
2011,proportion of r&d expenditures to gdp (%),saxony-anhalt,22.0,1.47995368450775
2012,proportion of r&d expenditures to gdp (%),saxony-anhalt,22.0,1.39865938953463
2013,proportion of r&d expenditures to gdp (%),saxony-anhalt,22.0,1.4153868015579099
2014,proportion of r&d expenditures to gdp (%),saxony-anhalt,22.0,1.45579609679901
2015,proportion of r&d expenditures to gdp (%),saxony-anhalt,22.0,1.3999443894409698
2016,proportion of r&d expenditures to gdp (%),saxony-anhalt,22.0,1.46
2017,proportion of r&d expenditures to gdp (%),saxony-anhalt,22.0,
2018,proportion of r&d expenditures to gdp (%),saxony-anhalt,22.0,
2010,proportion of r&d expenditures to gdp (%),schleswig-holstein,26.0,1.3004052979866598
2011,proportion of r&d expenditures to gdp (%),schleswig-holstein,26.0,1.40973657053183
2012,proportion of r&d expenditures to gdp (%),schleswig-holstein,26.0,1.42750899309982
2013,proportion of r&d expenditures to gdp (%),schleswig-holstein,26.0,1.47268498110049
2014,proportion of r&d expenditures to gdp (%),schleswig-holstein,26.0,1.53471032131163
2015,proportion of r&d expenditures to gdp (%),schleswig-holstein,26.0,1.47215090246939
2016,proportion of r&d expenditures to gdp (%),schleswig-holstein,26.0,1.49
2017,proportion of r&d expenditures to gdp (%),schleswig-holstein,26.0,
2018,proportion of r&d expenditures to gdp (%),schleswig-holstein,26.0,
2010,proportion of r&d expenditures to gdp (%),thuringia,31.0,2.1587247903566498
2011,proportion of r&d expenditures to gdp (%),thuringia,31.0,2.12353714894878
2012,proportion of r&d expenditures to gdp (%),thuringia,31.0,2.18950608014883
2013,proportion of r&d expenditures to gdp (%),thuringia,31.0,2.16028983743132
2014,proportion of r&d expenditures to gdp (%),thuringia,31.0,2.1284858552451102
2015,proportion of r&d expenditures to gdp (%),thuringia,31.0,2.01208711491091
2016,proportion of r&d expenditures to gdp (%),thuringia,31.0,2.05
2017,proportion of r&d expenditures to gdp (%),thuringia,31.0,
2018,proportion of r&d expenditures to gdp (%),thuringia,31.0,
