Year,Units,'time series ',type of receiver/provider,COMMENT_OBS_0,COMMENT_OBS_1,COMMENT_OBS_2,Series,Value
2026,cumulative number,smta received by germany,,p,,,(5) number of smtas,16677
2010,cumulative number,smta received by germany,commercial company,‒,,,(5) number of smtas,0
2011,cumulative number,smta received by germany,commercial company,‒,,,(5) number of smtas,0
2012,cumulative number,smta received by germany,commercial company,‒,,,(5) number of smtas,0
2013,cumulative number,smta received by germany,commercial company,‒,,,(5) number of smtas,0
2014,cumulative number,smta received by germany,commercial company,‒,,,(5) number of smtas,0
2015,cumulative number,smta received by germany,commercial company,‒,,,(5) number of smtas,0
2016,cumulative number,smta received by germany,commercial company,,,,(5) number of smtas,5
2017,cumulative number,smta received by germany,commercial company,,,,(5) number of smtas,6
2018,cumulative number,smta received by germany,commercial company,,,,(5) number of smtas,19
2019,cumulative number,smta received by germany,commercial company,,,,(5) number of smtas,30
2020,cumulative number,smta received by germany,commercial company,,,,(5) number of smtas,38
2021,cumulative number,smta received by germany,commercial company,,,,(5) number of smtas,38
2022,cumulative number,smta received by germany,commercial company,,,,(5) number of smtas,38
2023,cumulative number,smta received by germany,commercial company,,,,(5) number of smtas,38
2024,cumulative number,smta received by germany,commercial company,,,,(5) number of smtas,41
2025,cumulative number,smta received by germany,commercial company,,,,(5) number of smtas,44
2026,cumulative number,smta received by germany,commercial company,p,,,(5) number of smtas,44
2010,cumulative number,smta received by germany,gene bank,‒,,,(5) number of smtas,0
2011,cumulative number,smta received by germany,gene bank,‒,,,(5) number of smtas,0
2012,cumulative number,smta received by germany,gene bank,‒,,,(5) number of smtas,0
2013,cumulative number,smta received by germany,gene bank,‒,,,(5) number of smtas,0
2014,cumulative number,smta received by germany,gene bank,‒,,,(5) number of smtas,0
2015,cumulative number,smta received by germany,gene bank,‒,,,(5) number of smtas,0
2016,cumulative number,smta received by germany,gene bank,‒,,,(5) number of smtas,0
2017,cumulative number,smta received by germany,gene bank,‒,,,(5) number of smtas,0
2018,cumulative number,smta received by germany,gene bank,‒,,,(5) number of smtas,0
2019,cumulative number,smta received by germany,gene bank,,,,(5) number of smtas,1
2020,cumulative number,smta received by germany,gene bank,,,,(5) number of smtas,3
2021,cumulative number,smta received by germany,gene bank,,,,(5) number of smtas,4
2022,cumulative number,smta received by germany,gene bank,,,,(5) number of smtas,4
2023,cumulative number,smta received by germany,gene bank,,,,(5) number of smtas,5
2024,cumulative number,smta received by germany,gene bank,,,,(5) number of smtas,7
2025,cumulative number,smta received by germany,gene bank,,,,(5) number of smtas,10
2026,cumulative number,smta received by germany,gene bank,p,,,(5) number of smtas,10
2010,cumulative number,smta received by germany,national agricultural research centre,‒,,,(5) number of smtas,0
2011,cumulative number,smta received by germany,national agricultural research centre,‒,,,(5) number of smtas,0
2012,cumulative number,smta received by germany,national agricultural research centre,‒,,,(5) number of smtas,0
2013,cumulative number,smta received by germany,national agricultural research centre,‒,,,(5) number of smtas,0
2014,cumulative number,smta received by germany,national agricultural research centre,,,,(5) number of smtas,1
2015,cumulative number,smta received by germany,national agricultural research centre,,,,(5) number of smtas,1
2016,cumulative number,smta received by germany,national agricultural research centre,,,,(5) number of smtas,1
2017,cumulative number,smta received by germany,national agricultural research centre,,,,(5) number of smtas,1
2018,cumulative number,smta received by germany,national agricultural research centre,,,,(5) number of smtas,1
2019,cumulative number,smta received by germany,national agricultural research centre,,,,(5) number of smtas,1
2020,cumulative number,smta received by germany,national agricultural research centre,,,,(5) number of smtas,2
2021,cumulative number,smta received by germany,national agricultural research centre,,,,(5) number of smtas,2
2022,cumulative number,smta received by germany,national agricultural research centre,,,,(5) number of smtas,2
2023,cumulative number,smta received by germany,national agricultural research centre,,,,(5) number of smtas,4
2024,cumulative number,smta received by germany,national agricultural research centre,,,,(5) number of smtas,4
2025,cumulative number,smta received by germany,national agricultural research centre,,,,(5) number of smtas,5
2026,cumulative number,smta received by germany,national agricultural research centre,p,,,(5) number of smtas,5
2010,cumulative number,smta received by germany,non-governmental organization,‒,,,(5) number of smtas,0
2011,cumulative number,smta received by germany,non-governmental organization,‒,,,(5) number of smtas,0
2012,cumulative number,smta received by germany,non-governmental organization,‒,,,(5) number of smtas,0
2013,cumulative number,smta received by germany,non-governmental organization,‒,,,(5) number of smtas,0
2014,cumulative number,smta received by germany,non-governmental organization,‒,,,(5) number of smtas,0
2015,cumulative number,smta received by germany,non-governmental organization,‒,,,(5) number of smtas,0
2016,cumulative number,smta received by germany,non-governmental organization,‒,,,(5) number of smtas,0
2017,cumulative number,smta received by germany,non-governmental organization,‒,,,(5) number of smtas,0
2018,cumulative number,smta received by germany,non-governmental organization,‒,,,(5) number of smtas,0
2019,cumulative number,smta received by germany,non-governmental organization,‒,,,(5) number of smtas,0
2020,cumulative number,smta received by germany,non-governmental organization,,,,(5) number of smtas,1
2021,cumulative number,smta received by germany,non-governmental organization,,,,(5) number of smtas,1
2022,cumulative number,smta received by germany,non-governmental organization,,,,(5) number of smtas,1
2023,cumulative number,smta received by germany,non-governmental organization,,,,(5) number of smtas,1
2024,cumulative number,smta received by germany,non-governmental organization,,,,(5) number of smtas,1
2025,cumulative number,smta received by germany,non-governmental organization,,,,(5) number of smtas,6
2026,cumulative number,smta received by germany,non-governmental organization,p,,,(5) number of smtas,6
2010,cumulative number,smta received by germany,other,‒,,,(5) number of smtas,0
2011,cumulative number,smta received by germany,other,‒,,,(5) number of smtas,0
2012,cumulative number,smta received by germany,other,‒,,,(5) number of smtas,0
2013,cumulative number,smta received by germany,other,‒,,,(5) number of smtas,0
2014,cumulative number,smta received by germany,other,‒,,,(5) number of smtas,0
2015,cumulative number,smta received by germany,other,‒,,,(5) number of smtas,0
2016,cumulative number,smta received by germany,other,,,,(5) number of smtas,2
2017,cumulative number,smta received by germany,other,,,,(5) number of smtas,3
2018,cumulative number,smta received by germany,other,,,,(5) number of smtas,3
2019,cumulative number,smta received by germany,other,,,,(5) number of smtas,3
2020,cumulative number,smta received by germany,other,,,,(5) number of smtas,4
2021,cumulative number,smta received by germany,other,,,,(5) number of smtas,4
2022,cumulative number,smta received by germany,other,,,,(5) number of smtas,4
2023,cumulative number,smta received by germany,other,,,,(5) number of smtas,4
2024,cumulative number,smta received by germany,other,,,,(5) number of smtas,5
2025,cumulative number,smta received by germany,other,,,,(5) number of smtas,5
2026,cumulative number,smta received by germany,other,p,,,(5) number of smtas,5
2010,cumulative number,smta received by germany,university,‒,,,(5) number of smtas,0
2011,cumulative number,smta received by germany,university,‒,,,(5) number of smtas,0
2012,cumulative number,smta received by germany,university,‒,,,(5) number of smtas,0
2013,cumulative number,smta received by germany,university,‒,,,(5) number of smtas,0
2014,cumulative number,smta received by germany,university,,,,(5) number of smtas,1
2015,cumulative number,smta received by germany,university,,,,(5) number of smtas,3
2016,cumulative number,smta received by germany,university,,,,(5) number of smtas,5
2017,cumulative number,smta received by germany,university,,,,(5) number of smtas,8
2018,cumulative number,smta received by germany,university,,,,(5) number of smtas,8
2019,cumulative number,smta received by germany,university,,,,(5) number of smtas,8
2020,cumulative number,smta received by germany,university,,,,(5) number of smtas,8
2021,cumulative number,smta received by germany,university,,,,(5) number of smtas,9
2022,cumulative number,smta received by germany,university,,,,(5) number of smtas,9
2023,cumulative number,smta received by germany,university,,,,(5) number of smtas,11
2024,cumulative number,smta received by germany,university,,,,(5) number of smtas,13
2025,cumulative number,smta received by germany,university,,,,(5) number of smtas,13
2026,cumulative number,smta received by germany,university,p,,,(5) number of smtas,13
2010,cumulative number,smta received by germany,individual,,,,(5) number of smtas,84
2011,cumulative number,smta received by germany,individual,,,,(5) number of smtas,382
2012,cumulative number,smta received by germany,individual,,,,(5) number of smtas,1299
2013,cumulative number,smta received by germany,individual,,,,(5) number of smtas,2107
2014,cumulative number,smta received by germany,individual,,,,(5) number of smtas,2843
2015,cumulative number,smta received by germany,individual,,,,(5) number of smtas,3604
2016,cumulative number,smta received by germany,individual,,,,(5) number of smtas,4214
2017,cumulative number,smta received by germany,individual,,,,(5) number of smtas,4328
2018,cumulative number,smta received by germany,individual,,,,(5) number of smtas,4441
2019,cumulative number,smta received by germany,individual,,,,(5) number of smtas,4575
2020,cumulative number,smta received by germany,individual,,,,(5) number of smtas,4678
2021,cumulative number,smta received by germany,individual,,,,(5) number of smtas,4800
2022,cumulative number,smta received by germany,individual,,,,(5) number of smtas,4877
2023,cumulative number,smta received by germany,individual,,,,(5) number of smtas,4918
2024,cumulative number,smta received by germany,individual,,,,(5) number of smtas,4932
2025,cumulative number,smta received by germany,individual,,,,(5) number of smtas,4935
2026,cumulative number,smta received by germany,individual,p,,,(5) number of smtas,4935
2010,cumulative number,smta received by germany,increase project,‒,,,(5) number of smtas,0
2011,cumulative number,smta received by germany,increase project,‒,,,(5) number of smtas,0
2012,cumulative number,smta received by germany,increase project,‒,,,(5) number of smtas,0
2013,cumulative number,smta received by germany,increase project,‒,,,(5) number of smtas,0
2014,cumulative number,smta received by germany,increase project,‒,,,(5) number of smtas,0
2015,cumulative number,smta received by germany,increase project,‒,,,(5) number of smtas,0
2016,cumulative number,smta received by germany,increase project,‒,,,(5) number of smtas,0
2017,cumulative number,smta received by germany,increase project,‒,,,(5) number of smtas,0
2018,cumulative number,smta received by germany,increase project,‒,,,(5) number of smtas,0
2019,cumulative number,smta received by germany,increase project,‒,,,(5) number of smtas,0
2020,cumulative number,smta received by germany,increase project,‒,,,(5) number of smtas,0
2021,cumulative number,smta received by germany,increase project,,,,(5) number of smtas,226
2022,cumulative number,smta received by germany,increase project,,,,(5) number of smtas,706
2023,cumulative number,smta received by germany,increase project,,,,(5) number of smtas,2396
2024,cumulative number,smta received by germany,increase project,,,,(5) number of smtas,4291
2025,cumulative number,smta received by germany,increase project,,,,(5) number of smtas,5655
2026,cumulative number,smta received by germany,increase project,p,,,(5) number of smtas,5758
2010,cumulative number,smta received by germany,unknown,,,,(5) number of smtas,1411
2011,cumulative number,smta received by germany,unknown,,,,(5) number of smtas,2305
2012,cumulative number,smta received by germany,unknown,,,,(5) number of smtas,2617
2013,cumulative number,smta received by germany,unknown,,,,(5) number of smtas,2927
2014,cumulative number,smta received by germany,unknown,,,,(5) number of smtas,3244
2015,cumulative number,smta received by germany,unknown,,,,(5) number of smtas,3703
2016,cumulative number,smta received by germany,unknown,,,,(5) number of smtas,4140
2017,cumulative number,smta received by germany,unknown,,,,(5) number of smtas,4408
2018,cumulative number,smta received by germany,unknown,,,,(5) number of smtas,4681
2019,cumulative number,smta received by germany,unknown,,,,(5) number of smtas,4900
2020,cumulative number,smta received by germany,unknown,,,,(5) number of smtas,5169
2021,cumulative number,smta received by germany,unknown,,,,(5) number of smtas,5480
2022,cumulative number,smta received by germany,unknown,,,,(5) number of smtas,5757
2023,cumulative number,smta received by germany,unknown,,,,(5) number of smtas,5884
2024,cumulative number,smta received by germany,unknown,,,,(5) number of smtas,5901
2025,cumulative number,smta received by germany,unknown,,,,(5) number of smtas,5901
2026,cumulative number,smta received by germany,unknown,p,,,(5) number of smtas,5901
2010,cumulative number,smta sent by germany,,,,,(5) number of smtas,2132
2011,cumulative number,smta sent by germany,,,,,(5) number of smtas,3566
2012,cumulative number,smta sent by germany,,,,,(5) number of smtas,5022
2013,cumulative number,smta sent by germany,,,,,(5) number of smtas,6314
2014,cumulative number,smta sent by germany,,,,,(5) number of smtas,7675
2015,cumulative number,smta sent by germany,,,,,(5) number of smtas,9241
2016,cumulative number,smta sent by germany,,,,,(5) number of smtas,10567
2017,cumulative number,smta sent by germany,,,,,(5) number of smtas,11135
2018,cumulative number,smta sent by germany,,,,,(5) number of smtas,11709
2019,cumulative number,smta sent by germany,,,,,(5) number of smtas,12296
2020,cumulative number,smta sent by germany,,,,,(5) number of smtas,12812
2021,cumulative number,smta sent by germany,,,,,(5) number of smtas,13415
2022,cumulative number,smta sent by germany,,,,,(5) number of smtas,13908
2023,cumulative number,smta sent by germany,,,,,(5) number of smtas,14176
2024,cumulative number,smta sent by germany,,,,,(5) number of smtas,14332
2025,cumulative number,smta sent by germany,,,,,(5) number of smtas,14490
2026,cumulative number,smta sent by germany,,p,,,(5) number of smtas,14610
2010,cumulative number,smta sent by germany,commercial company,‒,,,(5) number of smtas,0
2011,cumulative number,smta sent by germany,commercial company,‒,,,(5) number of smtas,0
2012,cumulative number,smta sent by germany,commercial company,‒,,,(5) number of smtas,0
2013,cumulative number,smta sent by germany,commercial company,‒,,,(5) number of smtas,0
2014,cumulative number,smta sent by germany,commercial company,‒,,,(5) number of smtas,0
2015,cumulative number,smta sent by germany,commercial company,‒,,,(5) number of smtas,0
2016,cumulative number,smta sent by germany,commercial company,‒,,,(5) number of smtas,0
2017,cumulative number,smta sent by germany,commercial company,‒,,,(5) number of smtas,0
2018,cumulative number,smta sent by germany,commercial company,‒,,,(5) number of smtas,0
2019,cumulative number,smta sent by germany,commercial company,‒,,,(5) number of smtas,0
2020,cumulative number,smta sent by germany,commercial company,‒,,,(5) number of smtas,0
2021,cumulative number,smta sent by germany,commercial company,‒,,,(5) number of smtas,0
2022,cumulative number,smta sent by germany,commercial company,‒,,,(5) number of smtas,0
2023,cumulative number,smta sent by germany,commercial company,‒,,,(5) number of smtas,0
2024,cumulative number,smta sent by germany,commercial company,‒,,,(5) number of smtas,0
2025,cumulative number,smta sent by germany,commercial company,,,,(5) number of smtas,1
2026,cumulative number,smta sent by germany,commercial company,p,,,(5) number of smtas,4
2010,cumulative number,smta sent by germany,gene bank,,,,(5) number of smtas,2132
2011,cumulative number,smta sent by germany,gene bank,,,,(5) number of smtas,3566
2012,cumulative number,smta sent by germany,gene bank,,,,(5) number of smtas,5022
2013,cumulative number,smta sent by germany,gene bank,,,,(5) number of smtas,6314
2014,cumulative number,smta sent by germany,gene bank,,,,(5) number of smtas,7675
2015,cumulative number,smta sent by germany,gene bank,,,,(5) number of smtas,9241
2016,cumulative number,smta sent by germany,gene bank,,,,(5) number of smtas,10560
2017,cumulative number,smta sent by germany,gene bank,,,,(5) number of smtas,11126
2018,cumulative number,smta sent by germany,gene bank,,,,(5) number of smtas,11685
2019,cumulative number,smta sent by germany,gene bank,,,,(5) number of smtas,12256
2020,cumulative number,smta sent by germany,gene bank,,,,(5) number of smtas,12761
2021,cumulative number,smta sent by germany,gene bank,,,,(5) number of smtas,13364
2022,cumulative number,smta sent by germany,gene bank,,,,(5) number of smtas,13850
2023,cumulative number,smta sent by germany,gene bank,,,,(5) number of smtas,14100
2024,cumulative number,smta sent by germany,gene bank,,,,(5) number of smtas,14100
2025,cumulative number,smta sent by germany,gene bank,,,,(5) number of smtas,14100
2026,cumulative number,smta sent by germany,gene bank,p,,,(5) number of smtas,14100
2010,cumulative number,smta sent by germany,national agricultural research centre,‒,,,(5) number of smtas,0
2011,cumulative number,smta sent by germany,national agricultural research centre,‒,,,(5) number of smtas,0
2012,cumulative number,smta sent by germany,national agricultural research centre,‒,,,(5) number of smtas,0
2013,cumulative number,smta sent by germany,national agricultural research centre,‒,,,(5) number of smtas,0
2014,cumulative number,smta sent by germany,national agricultural research centre,‒,,,(5) number of smtas,0
2015,cumulative number,smta sent by germany,national agricultural research centre,‒,,,(5) number of smtas,0
2016,cumulative number,smta sent by germany,national agricultural research centre,,,,(5) number of smtas,3
2017,cumulative number,smta sent by germany,national agricultural research centre,,,,(5) number of smtas,3
2018,cumulative number,smta sent by germany,national agricultural research centre,,,,(5) number of smtas,18
2019,cumulative number,smta sent by germany,national agricultural research centre,,,,(5) number of smtas,34
2020,cumulative number,smta sent by germany,national agricultural research centre,,,,(5) number of smtas,44
2021,cumulative number,smta sent by germany,national agricultural research centre,,,,(5) number of smtas,44
2022,cumulative number,smta sent by germany,national agricultural research centre,,,,(5) number of smtas,44
2023,cumulative number,smta sent by germany,national agricultural research centre,,,,(5) number of smtas,44
2024,cumulative number,smta sent by germany,national agricultural research centre,,,,(5) number of smtas,44
2025,cumulative number,smta sent by germany,national agricultural research centre,,,,(5) number of smtas,44
2026,cumulative number,smta sent by germany,national agricultural research centre,p,,,(5) number of smtas,44
2010,cumulative number,smta sent by germany,other,‒,,,(5) number of smtas,0
2011,cumulative number,smta sent by germany,other,‒,,,(5) number of smtas,0
2012,cumulative number,smta sent by germany,other,‒,,,(5) number of smtas,0
2013,cumulative number,smta sent by germany,other,‒,,,(5) number of smtas,0
2014,cumulative number,smta sent by germany,other,‒,,,(5) number of smtas,0
2015,cumulative number,smta sent by germany,other,‒,,,(5) number of smtas,0
2016,cumulative number,smta sent by germany,other,,,,(5) number of smtas,4
2017,cumulative number,smta sent by germany,other,,,,(5) number of smtas,6
2018,cumulative number,smta sent by germany,other,,,,(5) number of smtas,6
2019,cumulative number,smta sent by germany,other,,,,(5) number of smtas,6
2020,cumulative number,smta sent by germany,other,,,,(5) number of smtas,6
2021,cumulative number,smta sent by germany,other,,,,(5) number of smtas,6
2022,cumulative number,smta sent by germany,other,,,,(5) number of smtas,6
2023,cumulative number,smta sent by germany,other,,,,(5) number of smtas,6
2024,cumulative number,smta sent by germany,other,,,,(5) number of smtas,6
2025,cumulative number,smta sent by germany,other,,,,(5) number of smtas,6
2026,cumulative number,smta sent by germany,other,p,,,(5) number of smtas,6
2010,cumulative number,smta sent by germany,regional organization,‒,,,(5) number of smtas,0
2011,cumulative number,smta sent by germany,regional organization,‒,,,(5) number of smtas,0
2012,cumulative number,smta sent by germany,regional organization,‒,,,(5) number of smtas,0
2013,cumulative number,smta sent by germany,regional organization,‒,,,(5) number of smtas,0
2014,cumulative number,smta sent by germany,regional organization,‒,,,(5) number of smtas,0
2015,cumulative number,smta sent by germany,regional organization,‒,,,(5) number of smtas,0
2016,cumulative number,smta sent by germany,regional organization,‒,,,(5) number of smtas,0
2017,cumulative number,smta sent by germany,regional organization,‒,,,(5) number of smtas,0
2018,cumulative number,smta sent by germany,regional organization,‒,,,(5) number of smtas,0
2019,cumulative number,smta sent by germany,regional organization,‒,,,(5) number of smtas,0
2020,cumulative number,smta sent by germany,regional organization,,,,(5) number of smtas,1
2021,cumulative number,smta sent by germany,regional organization,,,,(5) number of smtas,1
2022,cumulative number,smta sent by germany,regional organization,,,,(5) number of smtas,1
2023,cumulative number,smta sent by germany,regional organization,,,,(5) number of smtas,1
2024,cumulative number,smta sent by germany,regional organization,,,,(5) number of smtas,1
2025,cumulative number,smta sent by germany,regional organization,,,,(5) number of smtas,1
2026,cumulative number,smta sent by germany,regional organization,p,,,(5) number of smtas,1
