Year,Units,age group,sex,COMMENT_OBS_0,COMMENT_OBS_1,COMMENT_OBS_2,Value
2015,"per 100,000 inhabitants",14 to under 18 years,female,,,,5.1
2016,"per 100,000 inhabitants",14 to under 18 years,female,,,,6.5
2017,"per 100,000 inhabitants",14 to under 18 years,female,|,,,3.2
2018,"per 100,000 inhabitants",14 to under 18 years,female,,,,6.4
2019,"per 100,000 inhabitants",14 to under 18 years,female,,,,5.0
2020,"per 100,000 inhabitants",14 to under 18 years,female,,,,4.2
2021,"per 100,000 inhabitants",14 to under 18 years,female,,,,4.4
2022,"per 100,000 inhabitants",14 to under 18 years,female,,,,4.9
2023,"per 100,000 inhabitants",14 to under 18 years,female,,,,4.1
2024,"per 100,000 inhabitants",14 to under 18 years,female,|,,,3.7
2010,"per 100,000 inhabitants",14 to under 18 years,male,,,,0.7
2011,"per 100,000 inhabitants",14 to under 18 years,male,,,,0.8
2012,"per 100,000 inhabitants",14 to under 18 years,male,,,,0.4
2013,"per 100,000 inhabitants",14 to under 18 years,male,|,,,0.8
2014,"per 100,000 inhabitants",14 to under 18 years,male,,,,0.6
2015,"per 100,000 inhabitants",14 to under 18 years,male,,,,0.4
2016,"per 100,000 inhabitants",14 to under 18 years,male,,,,0.7
2017,"per 100,000 inhabitants",14 to under 18 years,male,|,,,0.2
2018,"per 100,000 inhabitants",14 to under 18 years,male,,,,1.0
2019,"per 100,000 inhabitants",14 to under 18 years,male,,,,1.0
2020,"per 100,000 inhabitants",14 to under 18 years,male,,,,1.5
2021,"per 100,000 inhabitants",14 to under 18 years,male,,,,1.2
2022,"per 100,000 inhabitants",14 to under 18 years,male,,,,0.9
2023,"per 100,000 inhabitants",14 to under 18 years,male,,,,0.4
2024,"per 100,000 inhabitants",14 to under 18 years,male,|,,,0.9
2010,"per 100,000 inhabitants",,,,,,3.4
2011,"per 100,000 inhabitants",,,,,,3.3
2012,"per 100,000 inhabitants",,,,,,3.2
2013,"per 100,000 inhabitants",,,|,,,3.1
2014,"per 100,000 inhabitants",,,,,,2.6
2015,"per 100,000 inhabitants",,,,,,2.9
2016,"per 100,000 inhabitants",,,,,,3.8
2017,"per 100,000 inhabitants",,,|,,,2.3
2018,"per 100,000 inhabitants",,,,,,3.8
2019,"per 100,000 inhabitants",,,,,,3.1
2020,"per 100,000 inhabitants",,,,,,3.1
2021,"per 100,000 inhabitants",,,,,,3.1
2022,"per 100,000 inhabitants",,,,,,3.0
2023,"per 100,000 inhabitants",,,,,,2.3
2024,"per 100,000 inhabitants",,,|,,,2.4
2010,"per 100,000 inhabitants",,female,,,,6.2
2011,"per 100,000 inhabitants",,female,,,,5.5
2012,"per 100,000 inhabitants",,female,,,,4.5
2013,"per 100,000 inhabitants",,female,|,,,5.2
2014,"per 100,000 inhabitants",,female,,,,4.4
2015,"per 100,000 inhabitants",,female,,,,5.3
2016,"per 100,000 inhabitants",,female,,,,6.8
2017,"per 100,000 inhabitants",,female,|,,,3.5
2018,"per 100,000 inhabitants",,female,,,,6.6
2019,"per 100,000 inhabitants",,female,,,,5.2
2020,"per 100,000 inhabitants",,female,,,,4.4
2021,"per 100,000 inhabitants",,female,,,,4.7
2022,"per 100,000 inhabitants",,female,,,,5.2
2023,"per 100,000 inhabitants",,female,,,,4.2
2024,"per 100,000 inhabitants",,female,|,,,3.9
2010,"per 100,000 inhabitants",,male,,,,0.8
2011,"per 100,000 inhabitants",,male,,,,1.1
2012,"per 100,000 inhabitants",,male,,,,0.5
2013,"per 100,000 inhabitants",,male,|,,,1.0
2014,"per 100,000 inhabitants",,male,,,,0.9
2015,"per 100,000 inhabitants",,male,,,,0.7
2016,"per 100,000 inhabitants",,male,,,,1.1
2017,"per 100,000 inhabitants",,male,|,,,1.2
2018,"per 100,000 inhabitants",,male,,,,1.2
2019,"per 100,000 inhabitants",,male,,,,1.1
2020,"per 100,000 inhabitants",,male,,,,1.9
2021,"per 100,000 inhabitants",,male,,,,1.5
2022,"per 100,000 inhabitants",,male,,,,1.0
2023,"per 100,000 inhabitants",,male,,,,0.5
2024,"per 100,000 inhabitants",,male,|,,,1.0
2010,percentage,13 years and younger,,0,,,0.000
2011,percentage,13 years and younger,,0,,,0.000
2012,percentage,13 years and younger,,0,,,0.000
2013,percentage,13 years and younger,,0,,,0.000
2014,percentage,13 years and younger,,0,,,0.000
2015,percentage,13 years and younger,,0,,,0.000
2016,percentage,13 years and younger,,0,,,0.000
2017,percentage,13 years and younger,,|,,,0.001
2018,percentage,13 years and younger,,0,,,0.000
2019,percentage,13 years and younger,,0,,,0.000
2020,percentage,13 years and younger,,0,,,0.000
2021,percentage,13 years and younger,,0,,,0.000
2022,percentage,13 years and younger,,0,,,0.000
2023,percentage,13 years and younger,,0,,,0.000
2024,percentage,13 years and younger,,0,,,0.000
2010,percentage,13 years and younger,female,0,,,0
2011,percentage,13 years and younger,female,0,,,0
2012,percentage,13 years and younger,female,0,,,0
2013,percentage,13 years and younger,female,0,,,0
2014,percentage,13 years and younger,female,0,,,0
2015,percentage,13 years and younger,female,0,,,0
2016,percentage,13 years and younger,female,0,,,0
2017,percentage,13 years and younger,female,|,0,,0
2018,percentage,13 years and younger,female,0,,,0
2019,percentage,13 years and younger,female,0,,,0
2020,percentage,13 years and younger,female,0,,,0
2021,percentage,13 years and younger,female,0,,,0
2022,percentage,13 years and younger,female,0,,,0
2023,percentage,13 years and younger,female,0,,,0
2024,percentage,13 years and younger,female,0,,,0
2010,percentage,13 years and younger,male,0,,,0.000
2011,percentage,13 years and younger,male,0,,,0.000
2012,percentage,13 years and younger,male,0,,,0.000
2013,percentage,13 years and younger,male,0,,,0.000
2014,percentage,13 years and younger,male,0,,,0.000
2015,percentage,13 years and younger,male,0,,,0.000
2016,percentage,13 years and younger,male,0,,,0.000
2017,percentage,13 years and younger,male,|,,,0.001
2018,percentage,13 years and younger,male,0,,,0.000
2019,percentage,13 years and younger,male,0,,,0.000
2020,percentage,13 years and younger,male,0,,,0.000
2021,percentage,13 years and younger,male,0,,,0.000
2022,percentage,13 years and younger,male,0,,,0.000
2023,percentage,13 years and younger,male,0,,,0.000
2024,percentage,13 years and younger,male,0,,,0.000
2010,percentage,14 to under 18 years,,,,,0.003
2011,percentage,14 to under 18 years,,,,,0.002
2012,percentage,14 to under 18 years,,,,,0.002
2013,percentage,14 to under 18 years,,,,,0.002
2014,percentage,14 to under 18 years,,,,,0.002
2015,percentage,14 to under 18 years,,,,,0.002
2016,percentage,14 to under 18 years,,,,,0.003
2017,percentage,14 to under 18 years,,|,,,0.001
2018,percentage,14 to under 18 years,,,,,0.003
2019,percentage,14 to under 18 years,,,,,0.002
2020,percentage,14 to under 18 years,,,,,0.002
2021,percentage,14 to under 18 years,,,,,0.002
2022,percentage,14 to under 18 years,,,,,0.003
2023,percentage,14 to under 18 years,,,,,0.002
2024,percentage,14 to under 18 years,,,,,0.002
2010,percentage,14 to under 18 years,female,,,,0.006
2011,percentage,14 to under 18 years,female,,,,0.004
2012,percentage,14 to under 18 years,female,,,,0.005
2013,percentage,14 to under 18 years,female,,,,0.004
2014,percentage,14 to under 18 years,female,,,,0.003
2015,percentage,14 to under 18 years,female,,,,0.004
2016,percentage,14 to under 18 years,female,,,,0.005
2017,percentage,14 to under 18 years,female,|,,,0.003
2018,percentage,14 to under 18 years,female,,,,0.005
2019,percentage,14 to under 18 years,female,,,,0.004
2020,percentage,14 to under 18 years,female,,,,0.003
2021,percentage,14 to under 18 years,female,,,,0.004
2022,percentage,14 to under 18 years,female,,,,0.005
2023,percentage,14 to under 18 years,female,,,,0.004
2024,percentage,14 to under 18 years,female,,,,0.004
2010,percentage,14 to under 18 years,male,,,,0.001
2011,percentage,14 to under 18 years,male,,,,0.001
2012,percentage,14 to under 18 years,male,0,,,0.000
2013,percentage,14 to under 18 years,male,,,,0.001
2014,percentage,14 to under 18 years,male,0,,,0.000
2015,percentage,14 to under 18 years,male,0,,,0.000
2016,percentage,14 to under 18 years,male,,,,0.001
2017,percentage,14 to under 18 years,male,|,0,,0.000
2018,percentage,14 to under 18 years,male,,,,0.001
2019,percentage,14 to under 18 years,male,,,,0.001
2020,percentage,14 to under 18 years,male,,,,0.001
2021,percentage,14 to under 18 years,male,,,,0.001
2022,percentage,14 to under 18 years,male,,,,0.001
2023,percentage,14 to under 18 years,male,0,,,0.000
2024,percentage,14 to under 18 years,male,,,,0.001
2010,percentage,,,,,,0.001
2011,percentage,,,,,,0.001
2012,percentage,,,,,,0.001
2013,percentage,,,,,,0.001
2014,percentage,,,,,,0.001
2015,percentage,,,,,,0.001
2016,percentage,,,,,,0.001
2017,percentage,,,|,,,0.001
2018,percentage,,,,,,0.001
2019,percentage,,,,,,0.001
2020,percentage,,,,,,0.001
2021,percentage,,,,,,0.001
2022,percentage,,,,,,0.001
2023,percentage,,,,,,0.001
2024,percentage,,,,,,0.001
2010,percentage,,female,,,,0.002
2011,percentage,,female,,,,0.001
2012,percentage,,female,,,,0.002
2013,percentage,,female,,,,0.001
2014,percentage,,female,,,,0.001
2015,percentage,,female,,,,0.001
2016,percentage,,female,,,,0.002
2017,percentage,,female,|,,,0.001
2018,percentage,,female,,,,0.002
2019,percentage,,female,,,,0.001
2020,percentage,,female,,,,0.001
2021,percentage,,female,,,,0.001
2022,percentage,,female,,,,0.001
2023,percentage,,female,,,,0.001
2024,percentage,,female,,,,0.001
2010,percentage,,male,0,,,0.000
2011,percentage,,male,0,,,0.000
2012,percentage,,male,0,,,0.000
2013,percentage,,male,0,,,0.000
2014,percentage,,male,0,,,0.000
2015,percentage,,male,0,,,0.000
2016,percentage,,male,0,,,0.000
2017,percentage,,male,|,,,0.001
2018,percentage,,male,0,,,0.000
2019,percentage,,male,0,,,0.000
2020,percentage,,male,,,,0.001
2021,percentage,,male,,,,0.001
2022,percentage,,male,0,,,0.000
2023,percentage,,male,0,,,0.000
2024,percentage,,male,0,,,0.000
