Year,Units,timeseries,fields of work,level of court,Value,COMMENT_OBS_0,COMMENT_OBS_1,COMMENT_OBS_2
2010,percentage,public service,,,18.15,,,
2011,percentage,public service,,,18.50,,,
2012,percentage,public service,,,18.73,,,
2013,percentage,public service,,,19.51,,,
2014,percentage,public service,,,20.45,,,
2015,percentage,public service,,,21.80,,,
2016,percentage,public service,,,22.86,,,
2017,percentage,public service,,,24.08,,,
2018,percentage,public service,,,23.99,,,
2019,percentage,public service,,,23.14,,,
2020,percentage,public service,,,23.52,,,
2021,percentage,public service,,,22.76,,,
2022,percentage,public service,,,24.18,r,,
2023,percentage,public service,,,26.48,,,
2010,percentage,public service,"political leadership and central administration, foreign affairs",,,.,,
2011,percentage,public service,"political leadership and central administration, foreign affairs",,,.,,
2012,percentage,public service,"political leadership and central administration, foreign affairs",,,.,,
2013,percentage,public service,"political leadership and central administration, foreign affairs",,,.,,
2014,percentage,public service,"political leadership and central administration, foreign affairs",,,.,,
2015,percentage,public service,"political leadership and central administration, foreign affairs",,,.,,
2016,percentage,public service,"political leadership and central administration, foreign affairs",,61694,,,
2017,percentage,public service,"political leadership and central administration, foreign affairs",,68538,,,
2018,percentage,public service,"political leadership and central administration, foreign affairs",,88196,,,
2019,percentage,public service,"political leadership and central administration, foreign affairs",,78533,,,
2020,percentage,public service,"political leadership and central administration, foreign affairs",,100349,,,
2021,percentage,public service,"political leadership and central administration, foreign affairs",,83997,,,
2022,percentage,public service,"political leadership and central administration, foreign affairs",,,…,,
2023,percentage,public service,"political leadership and central administration, foreign affairs",,,…,,
2010,percentage,public service,police,,,.,,
2011,percentage,public service,police,,,.,,
2012,percentage,public service,police,,,.,,
2013,percentage,public service,police,,,.,,
2014,percentage,public service,police,,,.,,
2015,percentage,public service,police,,,.,,
2016,percentage,public service,police,,66220,,,
2017,percentage,public service,police,,70423,,,
2018,percentage,public service,police,,69477,,,
2019,percentage,public service,police,,82684,,,
2020,percentage,public service,police,,89597,,,
2021,percentage,public service,police,,87166,,,
2022,percentage,public service,police,,,…,,
2023,percentage,public service,police,,,…,,
2010,percentage,public service,"education, science, research, cultural affairs",,,.,,
2011,percentage,public service,"education, science, research, cultural affairs",,,.,,
2012,percentage,public service,"education, science, research, cultural affairs",,,.,,
2013,percentage,public service,"education, science, research, cultural affairs",,,.,,
2014,percentage,public service,"education, science, research, cultural affairs",,,.,,
2015,percentage,public service,"education, science, research, cultural affairs",,,.,,
2016,percentage,public service,"education, science, research, cultural affairs",,53012,,,
2017,percentage,public service,"education, science, research, cultural affairs",,57413,,,
2018,percentage,public service,"education, science, research, cultural affairs",,51859,,,
2019,percentage,public service,"education, science, research, cultural affairs",,65444,,,
2020,percentage,public service,"education, science, research, cultural affairs",,75206,,,
2021,percentage,public service,"education, science, research, cultural affairs",,70654,,,
2022,percentage,public service,"education, science, research, cultural affairs",,,…,,
2023,percentage,public service,"education, science, research, cultural affairs",,,…,,
2010,percentage,public service,"health, environment, sports and recreation",,,.,,
2011,percentage,public service,"health, environment, sports and recreation",,,.,,
2012,percentage,public service,"health, environment, sports and recreation",,,.,,
2013,percentage,public service,"health, environment, sports and recreation",,,.,,
2014,percentage,public service,"health, environment, sports and recreation",,,.,,
2015,percentage,public service,"health, environment, sports and recreation",,,.,,
2016,percentage,public service,"health, environment, sports and recreation",,13208,,,
2017,percentage,public service,"health, environment, sports and recreation",,13010,,,
2018,percentage,public service,"health, environment, sports and recreation",,17618,,,
2019,percentage,public service,"health, environment, sports and recreation",,17240,,,
2020,percentage,public service,"health, environment, sports and recreation",,14391,,,
2021,percentage,public service,"health, environment, sports and recreation",,16512,,,
2022,percentage,public service,"health, environment, sports and recreation",,,…,,
2023,percentage,public service,"health, environment, sports and recreation",,,…,,
2010,percentage,judiciary,,,12868,,,
2011,percentage,judiciary,,,,…,,
2012,percentage,judiciary,,,,…,,
2013,percentage,judiciary,,,,…,,
2014,percentage,judiciary,,,,…,,
2015,percentage,judiciary,,,,…,,
2016,percentage,judiciary,,,,…,,
2017,percentage,judiciary,,,,…,,
2018,percentage,judiciary,,,,…,,
2019,percentage,judiciary,,,,…,,
2020,percentage,judiciary,,,,…,,
2021,percentage,judiciary,,,,…,,
2022,percentage,judiciary,,,,…,,
2023,percentage,judiciary,,,,…,,
2010,percentage,judiciary,,supreme/constitutional courts,,.,,
2011,percentage,judiciary,,supreme/constitutional courts,,.,,
2012,percentage,judiciary,,supreme/constitutional courts,,.,,
2013,percentage,judiciary,,supreme/constitutional courts,,.,,
2014,percentage,judiciary,,supreme/constitutional courts,,.,,
2015,percentage,judiciary,,supreme/constitutional courts,4.65,,,
2016,percentage,judiciary,,supreme/constitutional courts,,.,,
2017,percentage,judiciary,,supreme/constitutional courts,3.66,,,
2018,percentage,judiciary,,supreme/constitutional courts,,.,,
2019,percentage,judiciary,,supreme/constitutional courts,4.67,,,
2020,percentage,judiciary,,supreme/constitutional courts,,.,,
2021,percentage,judiciary,,supreme/constitutional courts,3.86,,,
2022,percentage,judiciary,,supreme/constitutional courts,,.,,
2023,percentage,judiciary,,supreme/constitutional courts,11.56,,,
2010,percentage,judiciary,,higher-level courts,,.,,
2011,percentage,judiciary,,higher-level courts,,.,,
2012,percentage,judiciary,,higher-level courts,,.,,
2013,percentage,judiciary,,higher-level courts,,.,,
2014,percentage,judiciary,,higher-level courts,,.,,
2015,percentage,judiciary,,higher-level courts,4.89,,,
2016,percentage,judiciary,,higher-level courts,,.,,
2017,percentage,judiciary,,higher-level courts,3.75,,,
2018,percentage,judiciary,,higher-level courts,,.,,
2019,percentage,judiciary,,higher-level courts,4.62,,,
2020,percentage,judiciary,,higher-level courts,,.,,
2021,percentage,judiciary,,higher-level courts,3.04,,,
2022,percentage,judiciary,,higher-level courts,,.,,
2023,percentage,judiciary,,higher-level courts,10.20,,,
2010,percentage,judiciary,,lower-level courts,,.,,
2011,percentage,judiciary,,lower-level courts,,.,,
2012,percentage,judiciary,,lower-level courts,,.,,
2013,percentage,judiciary,,lower-level courts,,.,,
2014,percentage,judiciary,,lower-level courts,,.,,
2015,percentage,judiciary,,lower-level courts,4.36,,,
2016,percentage,judiciary,,lower-level courts,,.,,
2017,percentage,judiciary,,lower-level courts,3.57,,,
2018,percentage,judiciary,,lower-level courts,,.,,
2019,percentage,judiciary,,lower-level courts,4.56,,,
2020,percentage,judiciary,,lower-level courts,,.,,
2021,percentage,judiciary,,lower-level courts,4.68,,,
2022,percentage,judiciary,,lower-level courts,,.,,
2023,percentage,judiciary,,lower-level courts,12.94,,,
2010,no unit,german bundestag (lower chamber),,,,.,,
2011,no unit,german bundestag (lower chamber),,,,.,,
2012,no unit,german bundestag (lower chamber),,,,.,,
2013,no unit,german bundestag (lower chamber),,,,.,,
2014,no unit,german bundestag (lower chamber),,,,.,,
2015,no unit,german bundestag (lower chamber),,,,.,,
2016,no unit,german bundestag (lower chamber),,,,.,,
2017,no unit,german bundestag (lower chamber),,,,.,,
2018,no unit,german bundestag (lower chamber),,,,.,,
2019,no unit,german bundestag (lower chamber),,,28.00,,,
2020,no unit,german bundestag (lower chamber),,,,.,,
2021,no unit,german bundestag (lower chamber),,,31.19,,,
2022,no unit,german bundestag (lower chamber),,,,.,,
2023,no unit,german bundestag (lower chamber),,,20.85,,,
2010,no unit,bundesrat (upper chamber),,,354,s,,
2011,no unit,bundesrat (upper chamber),,,295,,,
2012,no unit,bundesrat (upper chamber),,,163,,,
2013,no unit,bundesrat (upper chamber),,,222,,,
2014,no unit,bundesrat (upper chamber),,,121,,,
2015,no unit,bundesrat (upper chamber),,,148,,,
2016,no unit,bundesrat (upper chamber),,,,.,,
2017,no unit,bundesrat (upper chamber),,,,.,,
2018,no unit,bundesrat (upper chamber),,,,.,,
2019,no unit,bundesrat (upper chamber),,,,.,,
2020,no unit,bundesrat (upper chamber),,,,.,,
2021,no unit,bundesrat (upper chamber),,,,.,,
2022,no unit,bundesrat (upper chamber),,,,.,,
2023,no unit,bundesrat (upper chamber),,,,.,,
2010,no unit,public service,,,,.,,
2011,no unit,public service,,,,.,,
2012,no unit,public service,,,,.,,
2013,no unit,public service,,,,.,,
2014,no unit,public service,,,,.,,
2015,no unit,public service,,,3.60,,,
2016,no unit,public service,,,,.,,
2017,no unit,public service,,,2.41,,,
2018,no unit,public service,,,,.,,
2019,no unit,public service,,,4.00,,,
2020,no unit,public service,,,,.,,
2021,no unit,public service,,,4.00,,,
2022,no unit,public service,,,,.,,
2023,no unit,public service,,,3.40,,,
2010,no unit,public service,"political leadership and central administration, foreign affairs",,95.1,,,
2011,no unit,public service,"political leadership and central administration, foreign affairs",,97.0,,,
2012,no unit,public service,"political leadership and central administration, foreign affairs",,98.6,,,
2013,no unit,public service,"political leadership and central administration, foreign affairs",,99.4,,,
2014,no unit,public service,"political leadership and central administration, foreign affairs",,99.8,,,
2015,no unit,public service,"political leadership and central administration, foreign affairs",,101.6,,,
2016,no unit,public service,"political leadership and central administration, foreign affairs",,100.2,,,
2017,no unit,public service,"political leadership and central administration, foreign affairs",,100.6,,,
2018,no unit,public service,"political leadership and central administration, foreign affairs",,101.4,,,
2019,no unit,public service,"political leadership and central administration, foreign affairs",,100.2,,,
2020,no unit,public service,"political leadership and central administration, foreign affairs",,87.2,,,
2021,no unit,public service,"political leadership and central administration, foreign affairs",,97.3,,,
2022,no unit,public service,"political leadership and central administration, foreign affairs",,97.1,,,
2023,no unit,public service,"political leadership and central administration, foreign affairs",,99.2,,,
2010,no unit,public service,police,,,.,,
2011,no unit,public service,police,,,.,,
2012,no unit,public service,police,,101.6,,,
2013,no unit,public service,police,,99.6,,,
2014,no unit,public service,police,,100.2,,,
2015,no unit,public service,police,,100.5,,,
2016,no unit,public service,police,,100.9,,,
2017,no unit,public service,police,,99.0,,,
2018,no unit,public service,police,,98.3,,,
2019,no unit,public service,police,,98.0,,,
2020,no unit,public service,police,,97.4,,,
2021,no unit,public service,police,,96.6,,,
2022,no unit,public service,police,,98.8,,,
2023,no unit,public service,police,,102.4,,,
2010,no unit,public service,"education, science, research, cultural affairs",,,.,,
2011,no unit,public service,"education, science, research, cultural affairs",,,.,,
2012,no unit,public service,"education, science, research, cultural affairs",,98.2,,,
2013,no unit,public service,"education, science, research, cultural affairs",,98.6,,,
2014,no unit,public service,"education, science, research, cultural affairs",,97.5,,,
2015,no unit,public service,"education, science, research, cultural affairs",,97.7,,,
2016,no unit,public service,"education, science, research, cultural affairs",,97.8,,,
2017,no unit,public service,"education, science, research, cultural affairs",,96.0,,,
2018,no unit,public service,"education, science, research, cultural affairs",,95.3,,,
2019,no unit,public service,"education, science, research, cultural affairs",,92.7,,,
2020,no unit,public service,"education, science, research, cultural affairs",,94.5,,,
2021,no unit,public service,"education, science, research, cultural affairs",,91.1,,,
2022,no unit,public service,"education, science, research, cultural affairs",,87.0,,,
2023,no unit,public service,"education, science, research, cultural affairs",,88.0,,,
2010,no unit,public service,"health, environment, sports and recreation",,,.,,
2011,no unit,public service,"health, environment, sports and recreation",,,.,,
2012,no unit,public service,"health, environment, sports and recreation",,94.6,,,
2013,no unit,public service,"health, environment, sports and recreation",,85.0,,,
2014,no unit,public service,"health, environment, sports and recreation",,97.5,,,
2015,no unit,public service,"health, environment, sports and recreation",,98.1,,,
2016,no unit,public service,"health, environment, sports and recreation",,72.4,,,
2017,no unit,public service,"health, environment, sports and recreation",,69.5,,,
2018,no unit,public service,"health, environment, sports and recreation",,78.7,,,
2019,no unit,public service,"health, environment, sports and recreation",,78.9,,,
2020,no unit,public service,"health, environment, sports and recreation",,35.8,,,
2021,no unit,public service,"health, environment, sports and recreation",,39.0,,,
2022,no unit,public service,"health, environment, sports and recreation",,58.3,,,
2023,no unit,public service,"health, environment, sports and recreation",,70.6,,,
2010,no unit,judiciary,,,,.,,
2011,no unit,judiciary,,,,.,,
2012,no unit,judiciary,,,95.0,,,
2013,no unit,judiciary,,,92.8,,,
2014,no unit,judiciary,,,89.8,,,
2015,no unit,judiciary,,,87.0,,,
2016,no unit,judiciary,,,84.4,,,
2017,no unit,judiciary,,,85.5,,,
2018,no unit,judiciary,,,88.1,,,
2019,no unit,judiciary,,,88.7,,,
2020,no unit,judiciary,,,71.8,,,
2021,no unit,judiciary,,,74.8,,,
2022,no unit,judiciary,,,78.8,,,
2023,no unit,judiciary,,,80.7,,,
2010,no unit,judiciary,,supreme/constitutional courts,,.,,
2011,no unit,judiciary,,supreme/constitutional courts,,.,,
2012,no unit,judiciary,,supreme/constitutional courts,,.,,
2013,no unit,judiciary,,supreme/constitutional courts,98.6,,,
2014,no unit,judiciary,,supreme/constitutional courts,99.3,,,
2015,no unit,judiciary,,supreme/constitutional courts,116.8,,,
2016,no unit,judiciary,,supreme/constitutional courts,112.7,,,
2017,no unit,judiciary,,supreme/constitutional courts,132.1,,,
2018,no unit,judiciary,,supreme/constitutional courts,131.3,,,
2019,no unit,judiciary,,supreme/constitutional courts,136.9,,,
2020,no unit,judiciary,,supreme/constitutional courts,99.3,,,
2021,no unit,judiciary,,supreme/constitutional courts,122.6,,,
2022,no unit,judiciary,,supreme/constitutional courts,89.5,,,
2023,no unit,judiciary,,supreme/constitutional courts,114.9,,,
2010,no unit,judiciary,,higher-level courts,,.,,
2011,no unit,judiciary,,higher-level courts,,.,,
2012,no unit,judiciary,,higher-level courts,90.3,,,
2013,no unit,judiciary,,higher-level courts,93.8,,,
2014,no unit,judiciary,,higher-level courts,94.1,,,
2015,no unit,judiciary,,higher-level courts,93.8,,,
2016,no unit,judiciary,,higher-level courts,89.7,,,
2017,no unit,judiciary,,higher-level courts,99.1,,,
2018,no unit,judiciary,,higher-level courts,86.7,,,
2019,no unit,judiciary,,higher-level courts,79.8,,,
2020,no unit,judiciary,,higher-level courts,75.2,,,
2021,no unit,judiciary,,higher-level courts,67.5,,,
2022,no unit,judiciary,,higher-level courts,89.3,,,
2023,no unit,judiciary,,higher-level courts,69.5,,,
2010,no unit,judiciary,,lower-level courts,,.,,
2011,no unit,judiciary,,lower-level courts,,.,,
2012,no unit,judiciary,,lower-level courts,,.,,
2013,no unit,judiciary,,lower-level courts,100.4,,,
2014,no unit,judiciary,,lower-level courts,100.6,,,
2015,no unit,judiciary,,lower-level courts,99.6,,,
2016,no unit,judiciary,,lower-level courts,99.4,,,
2017,no unit,judiciary,,lower-level courts,99.0,,,
2018,no unit,judiciary,,lower-level courts,99.5,,,
2019,no unit,judiciary,,lower-level courts,98.7,,,
2020,no unit,judiciary,,lower-level courts,85.5,,,
2021,no unit,judiciary,,lower-level courts,98.8,,,
2022,no unit,judiciary,,lower-level courts,102.1,,,
2023,no unit,judiciary,,lower-level courts,100.5,,,
