Year,Units,type of official development assistance,type of flow,COMMENT_OBS_0,COMMENT_OBS_1,COMMENT_OBS_2,Value
2015,"million usd, constant prices (2024)",commitments,other official flows,,,,0.000
2016,"million usd, constant prices (2024)",commitments,other official flows,,,,0.000
2017,"million usd, constant prices (2024)",commitments,other official flows,,,,0.000
2018,"million usd, constant prices (2024)",commitments,other official flows,,,,504.602
2019,"million usd, constant prices (2024)",commitments,other official flows,,,,206.098
2020,"million usd, constant prices (2024)",commitments,other official flows,,,,236.909
2021,"million usd, constant prices (2024)",commitments,other official flows,,,,66.690
2022,"million usd, constant prices (2024)",commitments,other official flows,,,,59.491
2023,"million usd, constant prices (2024)",commitments,other official flows,,,,0.000
2024,"million usd, constant prices (2024)",commitments,other official flows,,,,0.000
2010,"million usd, constant prices (2024)",gross disbursements,other official flows,,,,0.000
2011,"million usd, constant prices (2024)",gross disbursements,other official flows,,,,0.000
2012,"million usd, constant prices (2024)",gross disbursements,other official flows,,,,0.000
2013,"million usd, constant prices (2024)",gross disbursements,other official flows,,,,0.000
2014,"million usd, constant prices (2024)",gross disbursements,other official flows,,,,0.000
2015,"million usd, constant prices (2024)",gross disbursements,other official flows,,,,0.000
2016,"million usd, constant prices (2024)",gross disbursements,other official flows,,,,0.000
2017,"million usd, constant prices (2024)",gross disbursements,other official flows,,,,0.000
2018,"million usd, constant prices (2024)",gross disbursements,other official flows,,,,504.602
2019,"million usd, constant prices (2024)",gross disbursements,other official flows,,,,206.098
2020,"million usd, constant prices (2024)",gross disbursements,other official flows,,,,236.909
2021,"million usd, constant prices (2024)",gross disbursements,other official flows,,,,66.690
2022,"million usd, constant prices (2024)",gross disbursements,other official flows,,,,59.491
2023,"million usd, constant prices (2024)",gross disbursements,other official flows,,,,0.000
2024,"million usd, constant prices (2024)",gross disbursements,other official flows,,,,0.000
