Year,timeseries,legislation,Value
2014,national legislation and policy relevant to ias,convention on international trade in endangered species,1
2015,national legislation and policy relevant to ias,convention on international trade in endangered species,1
2016,national legislation and policy relevant to ias,convention on international trade in endangered species,1
2017,national legislation and policy relevant to ias,convention on international trade in endangered species,1
2018,national legislation and policy relevant to ias,convention on international trade in endangered species,1
2019,national legislation and policy relevant to ias,convention on international trade in endangered species,1
2020,national legislation and policy relevant to ias,convention on international trade in endangered species,1
2021,national legislation and policy relevant to ias,convention on international trade in endangered species,1
2022,national legislation and policy relevant to ias,convention on international trade in endangered species,1
2010,national legislation and policy relevant to ias,ramsar convention,1
2011,national legislation and policy relevant to ias,ramsar convention,1
2012,national legislation and policy relevant to ias,ramsar convention,1
2013,national legislation and policy relevant to ias,ramsar convention,1
2014,national legislation and policy relevant to ias,ramsar convention,1
2015,national legislation and policy relevant to ias,ramsar convention,1
2016,national legislation and policy relevant to ias,ramsar convention,1
2017,national legislation and policy relevant to ias,ramsar convention,1
2018,national legislation and policy relevant to ias,ramsar convention,1
2019,national legislation and policy relevant to ias,ramsar convention,1
2020,national legislation and policy relevant to ias,ramsar convention,1
2021,national legislation and policy relevant to ias,ramsar convention,1
2022,national legislation and policy relevant to ias,ramsar convention,1
2010,national legislation and policy relevant to ias,convention on the conservation of migratory species of wild animals,1
2011,national legislation and policy relevant to ias,convention on the conservation of migratory species of wild animals,1
2012,national legislation and policy relevant to ias,convention on the conservation of migratory species of wild animals,1
2013,national legislation and policy relevant to ias,convention on the conservation of migratory species of wild animals,1
2014,national legislation and policy relevant to ias,convention on the conservation of migratory species of wild animals,1
2015,national legislation and policy relevant to ias,convention on the conservation of migratory species of wild animals,1
2016,national legislation and policy relevant to ias,convention on the conservation of migratory species of wild animals,1
2017,national legislation and policy relevant to ias,convention on the conservation of migratory species of wild animals,1
2018,national legislation and policy relevant to ias,convention on the conservation of migratory species of wild animals,1
2019,national legislation and policy relevant to ias,convention on the conservation of migratory species of wild animals,1
2020,national legislation and policy relevant to ias,convention on the conservation of migratory species of wild animals,1
2021,national legislation and policy relevant to ias,convention on the conservation of migratory species of wild animals,1
2022,national legislation and policy relevant to ias,convention on the conservation of migratory species of wild animals,1
2010,national legislation and policy relevant to ias,world heritage convention,1
2011,national legislation and policy relevant to ias,world heritage convention,1
2012,national legislation and policy relevant to ias,world heritage convention,1
2013,national legislation and policy relevant to ias,world heritage convention,1
2014,national legislation and policy relevant to ias,world heritage convention,1
2015,national legislation and policy relevant to ias,world heritage convention,1
2016,national legislation and policy relevant to ias,world heritage convention,1
2017,national legislation and policy relevant to ias,world heritage convention,1
2018,national legislation and policy relevant to ias,world heritage convention,1
2019,national legislation and policy relevant to ias,world heritage convention,1
2020,national legislation and policy relevant to ias,world heritage convention,1
2021,national legislation and policy relevant to ias,world heritage convention,1
2022,national legislation and policy relevant to ias,world heritage convention,1
2010,national legislation and policy relevant to ias,international convention for the control and management of ship's ballast water and sediments,1
2011,national legislation and policy relevant to ias,international convention for the control and management of ship's ballast water and sediments,1
2012,national legislation and policy relevant to ias,international convention for the control and management of ship's ballast water and sediments,1
2013,national legislation and policy relevant to ias,international convention for the control and management of ship's ballast water and sediments,1
2014,national legislation and policy relevant to ias,international convention for the control and management of ship's ballast water and sediments,1
2015,national legislation and policy relevant to ias,international convention for the control and management of ship's ballast water and sediments,1
2016,national legislation and policy relevant to ias,international convention for the control and management of ship's ballast water and sediments,1
2017,national legislation and policy relevant to ias,international convention for the control and management of ship's ballast water and sediments,1
2018,national legislation and policy relevant to ias,international convention for the control and management of ship's ballast water and sediments,1
2019,national legislation and policy relevant to ias,international convention for the control and management of ship's ballast water and sediments,1
2020,national legislation and policy relevant to ias,international convention for the control and management of ship's ballast water and sediments,1
2021,national legislation and policy relevant to ias,international convention for the control and management of ship's ballast water and sediments,1
2022,national legislation and policy relevant to ias,international convention for the control and management of ship's ballast water and sediments,1
2010,align the nbsap targets with aichi target 9 of the strategic plan for biodiversity,,1
2011,align the nbsap targets with aichi target 9 of the strategic plan for biodiversity,,1
2012,align the nbsap targets with aichi target 9 of the strategic plan for biodiversity,,1
2013,align the nbsap targets with aichi target 9 of the strategic plan for biodiversity,,1
2014,align the nbsap targets with aichi target 9 of the strategic plan for biodiversity,,1
2015,align the nbsap targets with aichi target 9 of the strategic plan for biodiversity,,1
2016,align the nbsap targets with aichi target 9 of the strategic plan for biodiversity,,1
2017,align the nbsap targets with aichi target 9 of the strategic plan for biodiversity,,1
2018,align the nbsap targets with aichi target 9 of the strategic plan for biodiversity,,1
2019,align the nbsap targets with aichi target 9 of the strategic plan for biodiversity,,1
2020,align the nbsap targets with aichi target 9 of the strategic plan for biodiversity,,1
2021,align the nbsap targets with aichi target 9 of the strategic plan for biodiversity,,1
2022,align the nbsap targets with aichi target 9 of the strategic plan for biodiversity,,1
