Year,Units,purpose,type of official development assistance,COMMENT_OBS_0,COMMENT_OBS_1,COMMENT_OBS_2,Value
2018,"million usd, constant prices (2024)",biodiversity,gross disbursements,,,,1642.0
2019,"million usd, constant prices (2024)",biodiversity,gross disbursements,,,,1918.4
2020,"million usd, constant prices (2024)",biodiversity,gross disbursements,,,,2324.6
2021,"million usd, constant prices (2024)",biodiversity,gross disbursements,,,,2668.6
2022,"million usd, constant prices (2024)",biodiversity,gross disbursements,,,,3391.2
2023,"million usd, constant prices (2024)",biodiversity,gross disbursements,,,,
2024,"million usd, constant prices (2024)",biodiversity,gross disbursements,,,,
2010,"million usd, constant prices (2024)",forestry sector,gross disbursements,,,,74.5
2011,"million usd, constant prices (2024)",forestry sector,gross disbursements,,,,69.7
2012,"million usd, constant prices (2024)",forestry sector,gross disbursements,,,,115.1
2013,"million usd, constant prices (2024)",forestry sector,gross disbursements,,,,105.3
2014,"million usd, constant prices (2024)",forestry sector,gross disbursements,,,,88.2
2015,"million usd, constant prices (2024)",forestry sector,gross disbursements,,,,88.3
2016,"million usd, constant prices (2024)",forestry sector,gross disbursements,,,,83.8
2017,"million usd, constant prices (2024)",forestry sector,gross disbursements,,,,94.8
2018,"million usd, constant prices (2024)",forestry sector,gross disbursements,,,,141.6
2019,"million usd, constant prices (2024)",forestry sector,gross disbursements,,,,142.5
2020,"million usd, constant prices (2024)",forestry sector,gross disbursements,,,,254.1
2021,"million usd, constant prices (2024)",forestry sector,gross disbursements,,,,305.5
2022,"million usd, constant prices (2024)",forestry sector,gross disbursements,,,,283.9
2023,"million usd, constant prices (2024)",forestry sector,gross disbursements,,,,280.0
2024,"million usd, constant prices (2024)",forestry sector,gross disbursements,,,,227.6
