Year,Units,type of disease,COMMENT_OBS_0,COMMENT_OBS_1,COMMENT_OBS_2,Series,Value
2022,attributable deaths,stroke,,,,attributable deaths due to long-term exposure to fine particulate matter (pm2.5) in the population aged 25 years and older by type of disease,1777
2023,attributable deaths,stroke,,,,attributable deaths due to long-term exposure to fine particulate matter (pm2.5) in the population aged 25 years and older by type of disease,1312
2010,attributable deaths,ischemic heart diseases,r,,,attributable deaths due to long-term exposure to fine particulate matter (pm2.5) in the population aged 25 years and older by type of disease,20954
2011,attributable deaths,ischemic heart diseases,r,,,attributable deaths due to long-term exposure to fine particulate matter (pm2.5) in the population aged 25 years and older by type of disease,19059
2012,attributable deaths,ischemic heart diseases,r,,,attributable deaths due to long-term exposure to fine particulate matter (pm2.5) in the population aged 25 years and older by type of disease,15135
2013,attributable deaths,ischemic heart diseases,r,,,attributable deaths due to long-term exposure to fine particulate matter (pm2.5) in the population aged 25 years and older by type of disease,16453
2014,attributable deaths,ischemic heart diseases,r,,,attributable deaths due to long-term exposure to fine particulate matter (pm2.5) in the population aged 25 years and older by type of disease,15225
2015,attributable deaths,ischemic heart diseases,r,,,attributable deaths due to long-term exposure to fine particulate matter (pm2.5) in the population aged 25 years and older by type of disease,14205
2016,attributable deaths,ischemic heart diseases,r,,,attributable deaths due to long-term exposure to fine particulate matter (pm2.5) in the population aged 25 years and older by type of disease,13053
2017,attributable deaths,ischemic heart diseases,r,,,attributable deaths due to long-term exposure to fine particulate matter (pm2.5) in the population aged 25 years and older by type of disease,12653
2018,attributable deaths,ischemic heart diseases,r,,,attributable deaths due to long-term exposure to fine particulate matter (pm2.5) in the population aged 25 years and older by type of disease,13080
2019,attributable deaths,ischemic heart diseases,r,,,attributable deaths due to long-term exposure to fine particulate matter (pm2.5) in the population aged 25 years and older by type of disease,9607
2020,attributable deaths,ischemic heart diseases,r,,,attributable deaths due to long-term exposure to fine particulate matter (pm2.5) in the population aged 25 years and older by type of disease,8687
2021,attributable deaths,ischemic heart diseases,r,,,attributable deaths due to long-term exposure to fine particulate matter (pm2.5) in the population aged 25 years and older by type of disease,9628
2022,attributable deaths,ischemic heart diseases,,,,attributable deaths due to long-term exposure to fine particulate matter (pm2.5) in the population aged 25 years and older by type of disease,8771
2023,attributable deaths,ischemic heart diseases,,,,attributable deaths due to long-term exposure to fine particulate matter (pm2.5) in the population aged 25 years and older by type of disease,6104
2010,attributable deaths,diabetes mellitus type 2,r,,,attributable deaths due to long-term exposure to fine particulate matter (pm2.5) in the population aged 25 years and older by type of disease,3461
2011,attributable deaths,diabetes mellitus type 2,r,,,attributable deaths due to long-term exposure to fine particulate matter (pm2.5) in the population aged 25 years and older by type of disease,3418
2012,attributable deaths,diabetes mellitus type 2,r,,,attributable deaths due to long-term exposure to fine particulate matter (pm2.5) in the population aged 25 years and older by type of disease,2937
2013,attributable deaths,diabetes mellitus type 2,r,,,attributable deaths due to long-term exposure to fine particulate matter (pm2.5) in the population aged 25 years and older by type of disease,3158
2014,attributable deaths,diabetes mellitus type 2,r,,,attributable deaths due to long-term exposure to fine particulate matter (pm2.5) in the population aged 25 years and older by type of disease,2921
2015,attributable deaths,diabetes mellitus type 2,r,,,attributable deaths due to long-term exposure to fine particulate matter (pm2.5) in the population aged 25 years and older by type of disease,2873
2016,attributable deaths,diabetes mellitus type 2,r,,,attributable deaths due to long-term exposure to fine particulate matter (pm2.5) in the population aged 25 years and older by type of disease,2627
2017,attributable deaths,diabetes mellitus type 2,r,,,attributable deaths due to long-term exposure to fine particulate matter (pm2.5) in the population aged 25 years and older by type of disease,2728
2018,attributable deaths,diabetes mellitus type 2,r,,,attributable deaths due to long-term exposure to fine particulate matter (pm2.5) in the population aged 25 years and older by type of disease,2798
2019,attributable deaths,diabetes mellitus type 2,r,,,attributable deaths due to long-term exposure to fine particulate matter (pm2.5) in the population aged 25 years and older by type of disease,2130
2020,attributable deaths,diabetes mellitus type 2,r,,,attributable deaths due to long-term exposure to fine particulate matter (pm2.5) in the population aged 25 years and older by type of disease,2073
2021,attributable deaths,diabetes mellitus type 2,r,,,attributable deaths due to long-term exposure to fine particulate matter (pm2.5) in the population aged 25 years and older by type of disease,2299
2022,attributable deaths,diabetes mellitus type 2,,,,attributable deaths due to long-term exposure to fine particulate matter (pm2.5) in the population aged 25 years and older by type of disease,1886
2023,attributable deaths,diabetes mellitus type 2,,,,attributable deaths due to long-term exposure to fine particulate matter (pm2.5) in the population aged 25 years and older by type of disease,1329
2010,dalys,,r,,,dalys due to long-term exposure to fine particulate matter (pm2.5) in the population aged 25 years and older,569664
2011,dalys,,r,,,dalys due to long-term exposure to fine particulate matter (pm2.5) in the population aged 25 years and older,530867
2012,dalys,,r,,,dalys due to long-term exposure to fine particulate matter (pm2.5) in the population aged 25 years and older,420885
2013,dalys,,r,,,dalys due to long-term exposure to fine particulate matter (pm2.5) in the population aged 25 years and older,463638
2014,dalys,,r,,,dalys due to long-term exposure to fine particulate matter (pm2.5) in the population aged 25 years and older,441793
2015,dalys,,r,,,dalys due to long-term exposure to fine particulate matter (pm2.5) in the population aged 25 years and older,407680
2016,dalys,,r,,,dalys due to long-term exposure to fine particulate matter (pm2.5) in the population aged 25 years and older,385002
2017,dalys,,r,,,dalys due to long-term exposure to fine particulate matter (pm2.5) in the population aged 25 years and older,370220
2018,dalys,,r,,,dalys due to long-term exposure to fine particulate matter (pm2.5) in the population aged 25 years and older,395679
2019,dalys,,r,,,dalys due to long-term exposure to fine particulate matter (pm2.5) in the population aged 25 years and older,292504
2020,dalys,,r,,,dalys due to long-term exposure to fine particulate matter (pm2.5) in the population aged 25 years and older,259962
2021,dalys,,r,,,dalys due to long-term exposure to fine particulate matter (pm2.5) in the population aged 25 years and older,284414
2022,dalys,,,,,dalys due to long-term exposure to fine particulate matter (pm2.5) in the population aged 25 years and older,252864
2023,dalys,,,,,dalys due to long-term exposure to fine particulate matter (pm2.5) in the population aged 25 years and older,184165
2010,dalys,chronic obstructive pulmonary disease (copd),r,,,dalys due to long-term exposure to fine particulate matter (pm2.5) in the population aged 25 years and older by type of disease,66424
2011,dalys,chronic obstructive pulmonary disease (copd),r,,,dalys due to long-term exposure to fine particulate matter (pm2.5) in the population aged 25 years and older by type of disease,63077
2012,dalys,chronic obstructive pulmonary disease (copd),r,,,dalys due to long-term exposure to fine particulate matter (pm2.5) in the population aged 25 years and older by type of disease,47972
2013,dalys,chronic obstructive pulmonary disease (copd),r,,,dalys due to long-term exposure to fine particulate matter (pm2.5) in the population aged 25 years and older by type of disease,56426
2014,dalys,chronic obstructive pulmonary disease (copd),r,,,dalys due to long-term exposure to fine particulate matter (pm2.5) in the population aged 25 years and older by type of disease,53325
2015,dalys,chronic obstructive pulmonary disease (copd),r,,,dalys due to long-term exposure to fine particulate matter (pm2.5) in the population aged 25 years and older by type of disease,51205
2016,dalys,chronic obstructive pulmonary disease (copd),r,,,dalys due to long-term exposure to fine particulate matter (pm2.5) in the population aged 25 years and older by type of disease,48305
2017,dalys,chronic obstructive pulmonary disease (copd),r,,,dalys due to long-term exposure to fine particulate matter (pm2.5) in the population aged 25 years and older by type of disease,48406
2018,dalys,chronic obstructive pulmonary disease (copd),r,,,dalys due to long-term exposure to fine particulate matter (pm2.5) in the population aged 25 years and older by type of disease,51739
2019,dalys,chronic obstructive pulmonary disease (copd),r,,,dalys due to long-term exposure to fine particulate matter (pm2.5) in the population aged 25 years and older by type of disease,38537
2020,dalys,chronic obstructive pulmonary disease (copd),r,,,dalys due to long-term exposure to fine particulate matter (pm2.5) in the population aged 25 years and older by type of disease,32168
2021,dalys,chronic obstructive pulmonary disease (copd),r,,,dalys due to long-term exposure to fine particulate matter (pm2.5) in the population aged 25 years and older by type of disease,35278
2022,dalys,chronic obstructive pulmonary disease (copd),,,,dalys due to long-term exposure to fine particulate matter (pm2.5) in the population aged 25 years and older by type of disease,33261
2023,dalys,chronic obstructive pulmonary disease (copd),,,,dalys due to long-term exposure to fine particulate matter (pm2.5) in the population aged 25 years and older by type of disease,24924
2010,dalys,lung cancer,r,,,dalys due to long-term exposure to fine particulate matter (pm2.5) in the population aged 25 years and older by type of disease,94139
2011,dalys,lung cancer,r,,,dalys due to long-term exposure to fine particulate matter (pm2.5) in the population aged 25 years and older by type of disease,91468
2012,dalys,lung cancer,r,,,dalys due to long-term exposure to fine particulate matter (pm2.5) in the population aged 25 years and older by type of disease,71168
2013,dalys,lung cancer,r,,,dalys due to long-term exposure to fine particulate matter (pm2.5) in the population aged 25 years and older by type of disease,78925
2014,dalys,lung cancer,r,,,dalys due to long-term exposure to fine particulate matter (pm2.5) in the population aged 25 years and older by type of disease,77413
2015,dalys,lung cancer,r,,,dalys due to long-term exposure to fine particulate matter (pm2.5) in the population aged 25 years and older by type of disease,68534
2016,dalys,lung cancer,r,,,dalys due to long-term exposure to fine particulate matter (pm2.5) in the population aged 25 years and older by type of disease,66403
2017,dalys,lung cancer,r,,,dalys due to long-term exposure to fine particulate matter (pm2.5) in the population aged 25 years and older by type of disease,61698
2018,dalys,lung cancer,r,,,dalys due to long-term exposure to fine particulate matter (pm2.5) in the population aged 25 years and older by type of disease,64046
2019,dalys,lung cancer,r,,,dalys due to long-term exposure to fine particulate matter (pm2.5) in the population aged 25 years and older by type of disease,43246
2020,dalys,lung cancer,r,,,dalys due to long-term exposure to fine particulate matter (pm2.5) in the population aged 25 years and older by type of disease,37771
2021,dalys,lung cancer,r,,,dalys due to long-term exposure to fine particulate matter (pm2.5) in the population aged 25 years and older by type of disease,41526
2022,dalys,lung cancer,,,,dalys due to long-term exposure to fine particulate matter (pm2.5) in the population aged 25 years and older by type of disease,36083
2023,dalys,lung cancer,,,,dalys due to long-term exposure to fine particulate matter (pm2.5) in the population aged 25 years and older by type of disease,26021
2010,dalys,stroke,r,,,dalys due to long-term exposure to fine particulate matter (pm2.5) in the population aged 25 years and older by type of disease,66616
2011,dalys,stroke,r,,,dalys due to long-term exposure to fine particulate matter (pm2.5) in the population aged 25 years and older by type of disease,62435
2012,dalys,stroke,r,,,dalys due to long-term exposure to fine particulate matter (pm2.5) in the population aged 25 years and older by type of disease,48512
2013,dalys,stroke,r,,,dalys due to long-term exposure to fine particulate matter (pm2.5) in the population aged 25 years and older by type of disease,52989
2014,dalys,stroke,r,,,dalys due to long-term exposure to fine particulate matter (pm2.5) in the population aged 25 years and older by type of disease,51339
2015,dalys,stroke,r,,,dalys due to long-term exposure to fine particulate matter (pm2.5) in the population aged 25 years and older by type of disease,46528
2016,dalys,stroke,r,,,dalys due to long-term exposure to fine particulate matter (pm2.5) in the population aged 25 years and older by type of disease,45160
2017,dalys,stroke,r,,,dalys due to long-term exposure to fine particulate matter (pm2.5) in the population aged 25 years and older by type of disease,42271
2018,dalys,stroke,r,,,dalys due to long-term exposure to fine particulate matter (pm2.5) in the population aged 25 years and older by type of disease,47695
2019,dalys,stroke,r,,,dalys due to long-term exposure to fine particulate matter (pm2.5) in the population aged 25 years and older by type of disease,36242
2020,dalys,stroke,r,,,dalys due to long-term exposure to fine particulate matter (pm2.5) in the population aged 25 years and older by type of disease,31966
2021,dalys,stroke,r,,,dalys due to long-term exposure to fine particulate matter (pm2.5) in the population aged 25 years and older by type of disease,34077
2022,dalys,stroke,,,,dalys due to long-term exposure to fine particulate matter (pm2.5) in the population aged 25 years and older by type of disease,31025
2023,dalys,stroke,,,,dalys due to long-term exposure to fine particulate matter (pm2.5) in the population aged 25 years and older by type of disease,22952
2010,dalys,ischemic heart diseases,r,,,dalys due to long-term exposure to fine particulate matter (pm2.5) in the population aged 25 years and older by type of disease,245246
2011,dalys,ischemic heart diseases,r,,,dalys due to long-term exposure to fine particulate matter (pm2.5) in the population aged 25 years and older by type of disease,220119
2012,dalys,ischemic heart diseases,r,,,dalys due to long-term exposure to fine particulate matter (pm2.5) in the population aged 25 years and older by type of disease,174295
2013,dalys,ischemic heart diseases,r,,,dalys due to long-term exposure to fine particulate matter (pm2.5) in the population aged 25 years and older by type of disease,189410
2014,dalys,ischemic heart diseases,r,,,dalys due to long-term exposure to fine particulate matter (pm2.5) in the population aged 25 years and older by type of disease,176540
2015,dalys,ischemic heart diseases,r,,,dalys due to long-term exposure to fine particulate matter (pm2.5) in the population aged 25 years and older by type of disease,163375
2016,dalys,ischemic heart diseases,r,,,dalys due to long-term exposure to fine particulate matter (pm2.5) in the population aged 25 years and older by type of disease,150936
2017,dalys,ischemic heart diseases,r,,,dalys due to long-term exposure to fine particulate matter (pm2.5) in the population aged 25 years and older by type of disease,144459
2018,dalys,ischemic heart diseases,r,,,dalys due to long-term exposure to fine particulate matter (pm2.5) in the population aged 25 years and older by type of disease,151706
2019,dalys,ischemic heart diseases,r,,,dalys due to long-term exposure to fine particulate matter (pm2.5) in the population aged 25 years and older by type of disease,111394
2020,dalys,ischemic heart diseases,r,,,dalys due to long-term exposure to fine particulate matter (pm2.5) in the population aged 25 years and older by type of disease,100090
2021,dalys,ischemic heart diseases,r,,,dalys due to long-term exposure to fine particulate matter (pm2.5) in the population aged 25 years and older by type of disease,109710
2022,dalys,ischemic heart diseases,,,,dalys due to long-term exposure to fine particulate matter (pm2.5) in the population aged 25 years and older by type of disease,97540
2023,dalys,ischemic heart diseases,,,,dalys due to long-term exposure to fine particulate matter (pm2.5) in the population aged 25 years and older by type of disease,69579
2010,dalys,diabetes mellitus type 2,r,,,dalys due to long-term exposure to fine particulate matter (pm2.5) in the population aged 25 years and older by type of disease,97239
2011,dalys,diabetes mellitus type 2,r,,,dalys due to long-term exposure to fine particulate matter (pm2.5) in the population aged 25 years and older by type of disease,93768
2012,dalys,diabetes mellitus type 2,r,,,dalys due to long-term exposure to fine particulate matter (pm2.5) in the population aged 25 years and older by type of disease,78938
2013,dalys,diabetes mellitus type 2,r,,,dalys due to long-term exposure to fine particulate matter (pm2.5) in the population aged 25 years and older by type of disease,85888
2014,dalys,diabetes mellitus type 2,r,,,dalys due to long-term exposure to fine particulate matter (pm2.5) in the population aged 25 years and older by type of disease,83176
2015,dalys,diabetes mellitus type 2,r,,,dalys due to long-term exposure to fine particulate matter (pm2.5) in the population aged 25 years and older by type of disease,78038
2016,dalys,diabetes mellitus type 2,r,,,dalys due to long-term exposure to fine particulate matter (pm2.5) in the population aged 25 years and older by type of disease,74198
2017,dalys,diabetes mellitus type 2,r,,,dalys due to long-term exposure to fine particulate matter (pm2.5) in the population aged 25 years and older by type of disease,73386
2018,dalys,diabetes mellitus type 2,r,,,dalys due to long-term exposure to fine particulate matter (pm2.5) in the population aged 25 years and older by type of disease,80493
2019,dalys,diabetes mellitus type 2,r,,,dalys due to long-term exposure to fine particulate matter (pm2.5) in the population aged 25 years and older by type of disease,63085
2020,dalys,diabetes mellitus type 2,r,,,dalys due to long-term exposure to fine particulate matter (pm2.5) in the population aged 25 years and older by type of disease,57967
2021,dalys,diabetes mellitus type 2,r,,,dalys due to long-term exposure to fine particulate matter (pm2.5) in the population aged 25 years and older by type of disease,63823
2022,dalys,diabetes mellitus type 2,,,,dalys due to long-term exposure to fine particulate matter (pm2.5) in the population aged 25 years and older by type of disease,54955
2023,dalys,diabetes mellitus type 2,,,,dalys due to long-term exposure to fine particulate matter (pm2.5) in the population aged 25 years and older by type of disease,40689
2010,"dalys per 100,000 inhabitants",chronic obstructive pulmonary disease (copd),,,,dalys due to long-term exposure to fine particulate matter (pm2.5) in the population aged 25 years and older by type of disease,107.9
2011,"dalys per 100,000 inhabitants",chronic obstructive pulmonary disease (copd),,,,dalys due to long-term exposure to fine particulate matter (pm2.5) in the population aged 25 years and older by type of disease,104.2
2012,"dalys per 100,000 inhabitants",chronic obstructive pulmonary disease (copd),,,,dalys due to long-term exposure to fine particulate matter (pm2.5) in the population aged 25 years and older by type of disease,78.8
2013,"dalys per 100,000 inhabitants",chronic obstructive pulmonary disease (copd),,,,dalys due to long-term exposure to fine particulate matter (pm2.5) in the population aged 25 years and older by type of disease,92.1
2014,"dalys per 100,000 inhabitants",chronic obstructive pulmonary disease (copd),,,,dalys due to long-term exposure to fine particulate matter (pm2.5) in the population aged 25 years and older by type of disease,86.5
2015,"dalys per 100,000 inhabitants",chronic obstructive pulmonary disease (copd),,,,dalys due to long-term exposure to fine particulate matter (pm2.5) in the population aged 25 years and older by type of disease,82.3
2016,"dalys per 100,000 inhabitants",chronic obstructive pulmonary disease (copd),,,,dalys due to long-term exposure to fine particulate matter (pm2.5) in the population aged 25 years and older by type of disease,77.1
2017,"dalys per 100,000 inhabitants",chronic obstructive pulmonary disease (copd),,,,dalys due to long-term exposure to fine particulate matter (pm2.5) in the population aged 25 years and older by type of disease,77.0
2018,"dalys per 100,000 inhabitants",chronic obstructive pulmonary disease (copd),,,,dalys due to long-term exposure to fine particulate matter (pm2.5) in the population aged 25 years and older by type of disease,82.1
2019,"dalys per 100,000 inhabitants",chronic obstructive pulmonary disease (copd),,,,dalys due to long-term exposure to fine particulate matter (pm2.5) in the population aged 25 years and older by type of disease,61.0
2020,"dalys per 100,000 inhabitants",chronic obstructive pulmonary disease (copd),,,,dalys due to long-term exposure to fine particulate matter (pm2.5) in the population aged 25 years and older by type of disease,50.9
2021,"dalys per 100,000 inhabitants",chronic obstructive pulmonary disease (copd),,,,dalys due to long-term exposure to fine particulate matter (pm2.5) in the population aged 25 years and older by type of disease,55.8
2022,"dalys per 100,000 inhabitants",chronic obstructive pulmonary disease (copd),,,,dalys due to long-term exposure to fine particulate matter (pm2.5) in the population aged 25 years and older by type of disease,52.9
2023,"dalys per 100,000 inhabitants",chronic obstructive pulmonary disease (copd),,,,dalys due to long-term exposure to fine particulate matter (pm2.5) in the population aged 25 years and older by type of disease,39.3
2010,"dalys per 100,000 inhabitants",lung cancer,,,,dalys due to long-term exposure to fine particulate matter (pm2.5) in the population aged 25 years and older by type of disease,152.9
2011,"dalys per 100,000 inhabitants",lung cancer,,,,dalys due to long-term exposure to fine particulate matter (pm2.5) in the population aged 25 years and older by type of disease,151.0
2012,"dalys per 100,000 inhabitants",lung cancer,,,,dalys due to long-term exposure to fine particulate matter (pm2.5) in the population aged 25 years and older by type of disease,116.9
2013,"dalys per 100,000 inhabitants",lung cancer,,,,dalys due to long-term exposure to fine particulate matter (pm2.5) in the population aged 25 years and older by type of disease,128.9
2014,"dalys per 100,000 inhabitants",lung cancer,,,,dalys due to long-term exposure to fine particulate matter (pm2.5) in the population aged 25 years and older by type of disease,125.6
2015,"dalys per 100,000 inhabitants",lung cancer,,,,dalys due to long-term exposure to fine particulate matter (pm2.5) in the population aged 25 years and older by type of disease,110.2
2016,"dalys per 100,000 inhabitants",lung cancer,,,,dalys due to long-term exposure to fine particulate matter (pm2.5) in the population aged 25 years and older by type of disease,106.0
2017,"dalys per 100,000 inhabitants",lung cancer,,,,dalys due to long-term exposure to fine particulate matter (pm2.5) in the population aged 25 years and older by type of disease,98.2
2018,"dalys per 100,000 inhabitants",lung cancer,,,,dalys due to long-term exposure to fine particulate matter (pm2.5) in the population aged 25 years and older by type of disease,101.6
2019,"dalys per 100,000 inhabitants",lung cancer,,,,dalys due to long-term exposure to fine particulate matter (pm2.5) in the population aged 25 years and older by type of disease,68.5
2020,"dalys per 100,000 inhabitants",lung cancer,,,,dalys due to long-term exposure to fine particulate matter (pm2.5) in the population aged 25 years and older by type of disease,59.7
2021,"dalys per 100,000 inhabitants",lung cancer,,,,dalys due to long-term exposure to fine particulate matter (pm2.5) in the population aged 25 years and older by type of disease,65.6
2022,"dalys per 100,000 inhabitants",lung cancer,,,,dalys due to long-term exposure to fine particulate matter (pm2.5) in the population aged 25 years and older by type of disease,57.4
2023,"dalys per 100,000 inhabitants",lung cancer,,,,dalys due to long-term exposure to fine particulate matter (pm2.5) in the population aged 25 years and older by type of disease,41.1
2010,"dalys per 100,000 inhabitants",stroke,,,,dalys due to long-term exposure to fine particulate matter (pm2.5) in the population aged 25 years and older by type of disease,108.2
2011,"dalys per 100,000 inhabitants",stroke,,,,dalys due to long-term exposure to fine particulate matter (pm2.5) in the population aged 25 years and older by type of disease,103.1
2012,"dalys per 100,000 inhabitants",stroke,,,,dalys due to long-term exposure to fine particulate matter (pm2.5) in the population aged 25 years and older by type of disease,79.7
