Year,sex,age group,feelings of insecurity,COMMENT_OBS_0,COMMENT_OBS_1,COMMENT_OBS_2,Series,Value
2019,,16 to under 25 years,very unsafe,.,,,feeling of (in)security of the population in its neighbourhood (after dark),
2020,,16 to under 25 years,very unsafe,,,,feeling of (in)security of the population in its neighbourhood (after dark),3.9
2021,,16 to under 25 years,very unsafe,…,,,feeling of (in)security of the population in its neighbourhood (after dark),
2019,,25 to under 35 years,very safe,.,,,feeling of (in)security of the population in its neighbourhood (after dark),
2020,,25 to under 35 years,very safe,,,,feeling of (in)security of the population in its neighbourhood (after dark),1.6
2021,,25 to under 35 years,very safe,…,,,feeling of (in)security of the population in its neighbourhood (after dark),
2019,,25 to under 35 years,safe,.,,,feeling of (in)security of the population in its neighbourhood (after dark),
2020,,25 to under 35 years,safe,,,,feeling of (in)security of the population in its neighbourhood (after dark),0.4
2021,,25 to under 35 years,safe,…,,,feeling of (in)security of the population in its neighbourhood (after dark),
2019,,25 to under 35 years,unsafe,.,,,feeling of (in)security of the population in its neighbourhood (after dark),
2020,,25 to under 35 years,unsafe,,,,feeling of (in)security of the population in its neighbourhood (after dark),0.3
2021,,25 to under 35 years,unsafe,…,,,feeling of (in)security of the population in its neighbourhood (after dark),
2019,,35 to under 45 years,safe,.,,,feeling of (in)security of the population in its neighbourhood (after dark),
2020,,35 to under 45 years,safe,,,,feeling of (in)security of the population in its neighbourhood (after dark),3.6
2021,,35 to under 45 years,safe,…,,,feeling of (in)security of the population in its neighbourhood (after dark),
2019,,35 to under 45 years,unsafe,.,,,feeling of (in)security of the population in its neighbourhood (after dark),
2020,,35 to under 45 years,unsafe,,,,feeling of (in)security of the population in its neighbourhood (after dark),0.3
2021,,35 to under 45 years,unsafe,…,,,feeling of (in)security of the population in its neighbourhood (after dark),
2019,,35 to under 45 years,very unsafe,.,,,feeling of (in)security of the population in its neighbourhood (after dark),
2020,,35 to under 45 years,very unsafe,,,,feeling of (in)security of the population in its neighbourhood (after dark),2.1
2021,,35 to under 45 years,very unsafe,…,,,feeling of (in)security of the population in its neighbourhood (after dark),
2019,,45 to under 55 years,very safe,.,,,feeling of (in)security of the population in its neighbourhood (after dark),
2020,,45 to under 55 years,very safe,,,,feeling of (in)security of the population in its neighbourhood (after dark),8.7
2021,,45 to under 55 years,very safe,…,,,feeling of (in)security of the population in its neighbourhood (after dark),
2019,,45 to under 55 years,safe,.,,,feeling of (in)security of the population in its neighbourhood (after dark),
2020,,45 to under 55 years,safe,,,,feeling of (in)security of the population in its neighbourhood (after dark),3.9
2021,,45 to under 55 years,safe,…,,,feeling of (in)security of the population in its neighbourhood (after dark),
2019,,45 to under 55 years,unsafe,.,,,feeling of (in)security of the population in its neighbourhood (after dark),
2020,,45 to under 55 years,unsafe,,,,feeling of (in)security of the population in its neighbourhood (after dark),1.6
2021,,45 to under 55 years,unsafe,…,,,feeling of (in)security of the population in its neighbourhood (after dark),
2019,,45 to under 55 years,very unsafe,.,,,feeling of (in)security of the population in its neighbourhood (after dark),
2020,,45 to under 55 years,very unsafe,,,,feeling of (in)security of the population in its neighbourhood (after dark),0.4
2021,,45 to under 55 years,very unsafe,…,,,feeling of (in)security of the population in its neighbourhood (after dark),
2019,,55 to under 65 years,very safe,.,,,feeling of (in)security of the population in its neighbourhood (after dark),
2020,,55 to under 65 years,very safe,,,,feeling of (in)security of the population in its neighbourhood (after dark),0.3
2021,,55 to under 65 years,very safe,…,,,feeling of (in)security of the population in its neighbourhood (after dark),
2019,,55 to under 65 years,very unsafe,.,,,feeling of (in)security of the population in its neighbourhood (after dark),
2020,,55 to under 65 years,very unsafe,,,,feeling of (in)security of the population in its neighbourhood (after dark),3.6
2021,,55 to under 65 years,very unsafe,…,,,feeling of (in)security of the population in its neighbourhood (after dark),
2019,,65 to under 75 years,very safe,.,,,feeling of (in)security of the population in its neighbourhood (after dark),
2020,,65 to under 75 years,very safe,,,,feeling of (in)security of the population in its neighbourhood (after dark),0.3
2021,,65 to under 75 years,very safe,…,,,feeling of (in)security of the population in its neighbourhood (after dark),
2012,,65 to under 75 years,safe,r,,,feeling of (in)security of the population in its neighbourhood (after dark),41.6
2017,,65 to under 75 years,safe,,,,feeling of (in)security of the population in its neighbourhood (after dark),36.7
2020,,65 to under 75 years,safe,|,,,feeling of (in)security of the population in its neighbourhood (after dark),25.8
2012,,65 to under 75 years,unsafe,r,,,feeling of (in)security of the population in its neighbourhood (after dark),41.3
2017,,65 to under 75 years,unsafe,,,,feeling of (in)security of the population in its neighbourhood (after dark),41.9
2020,,65 to under 75 years,unsafe,|,,,feeling of (in)security of the population in its neighbourhood (after dark),46.3
2012,,65 to under 75 years,very unsafe,r,,,feeling of (in)security of the population in its neighbourhood (after dark),12.4
2017,,65 to under 75 years,very unsafe,,,,feeling of (in)security of the population in its neighbourhood (after dark),15.2
2020,,65 to under 75 years,very unsafe,|,,,feeling of (in)security of the population in its neighbourhood (after dark),22.2
2012,,75 years and older,very safe,r,,,feeling of (in)security of the population in its neighbourhood (after dark),4.7
2017,,75 years and older,very safe,,,,feeling of (in)security of the population in its neighbourhood (after dark),6.3
2020,,75 years and older,very safe,|,,,feeling of (in)security of the population in its neighbourhood (after dark),5.7
2012,,75 years and older,safe,,,,feeling of (in)security of the population in its neighbourhood (after dark),54.7
2017,,75 years and older,safe,,,,feeling of (in)security of the population in its neighbourhood (after dark),24.4
2020,,75 years and older,safe,|,,,feeling of (in)security of the population in its neighbourhood (after dark),15.8
2012,,75 years and older,unsafe,,,,feeling of (in)security of the population in its neighbourhood (after dark),37.3
2017,,75 years and older,unsafe,,,,feeling of (in)security of the population in its neighbourhood (after dark),43.7
2020,,75 years and older,unsafe,|,,,feeling of (in)security of the population in its neighbourhood (after dark),45.5
2012,,75 years and older,very unsafe,,,,feeling of (in)security of the population in its neighbourhood (after dark),6.1
2017,,75 years and older,very unsafe,,,,feeling of (in)security of the population in its neighbourhood (after dark),22.0
2020,,75 years and older,very unsafe,|,,,feeling of (in)security of the population in its neighbourhood (after dark),30.1
2012,,,very safe,,,,feeling of (in)security of the population in its neighbourhood (during the day),1.9
2017,,,very safe,,,,feeling of (in)security of the population in its neighbourhood (during the day),9.9
2020,,,very safe,|,,,feeling of (in)security of the population in its neighbourhood (during the day),8.6
2012,,,safe,,,,feeling of (in)security of the population in its neighbourhood (during the day),29.0
2017,,,safe,,,,feeling of (in)security of the population in its neighbourhood (during the day),49.4
2020,,,safe,|,,,feeling of (in)security of the population in its neighbourhood (during the day),36.2
2012,,,unsafe,,,,feeling of (in)security of the population in its neighbourhood (during the day),45.1
2017,,,unsafe,,,,feeling of (in)security of the population in its neighbourhood (during the day),40.0
2020,,,unsafe,|,,,feeling of (in)security of the population in its neighbourhood (during the day),47.1
2012,,,very unsafe,,,,feeling of (in)security of the population in its neighbourhood (during the day),18.4
2017,,,very unsafe,,,,feeling of (in)security of the population in its neighbourhood (during the day),8.1
2020,,,very unsafe,|,,,feeling of (in)security of the population in its neighbourhood (during the day),14.0
2012,female,,very safe,,,,feeling of (in)security of the population in its neighbourhood (during the day),7.4
2017,female,,very safe,,,,feeling of (in)security of the population in its neighbourhood (during the day),2.6
2020,female,,very safe,|,,,feeling of (in)security of the population in its neighbourhood (during the day),2.7
2012,female,,safe,,,,feeling of (in)security of the population in its neighbourhood (during the day),40.3
2017,female,,safe,,,,feeling of (in)security of the population in its neighbourhood (during the day),38.8
2020,female,,safe,|,,,feeling of (in)security of the population in its neighbourhood (during the day),32.5
2012,female,,unsafe,,,,feeling of (in)security of the population in its neighbourhood (during the day),39.2
2017,female,,unsafe,,,,feeling of (in)security of the population in its neighbourhood (during the day),40.7
2020,female,,unsafe,|,,,feeling of (in)security of the population in its neighbourhood (during the day),38.2
2012,female,,very unsafe,,,,feeling of (in)security of the population in its neighbourhood (during the day),15.1
2017,female,,very unsafe,,,,feeling of (in)security of the population in its neighbourhood (during the day),15.0
2020,female,,very unsafe,|,,,feeling of (in)security of the population in its neighbourhood (during the day),20.9
2012,male,,very safe,,,,feeling of (in)security of the population in its neighbourhood (during the day),5.4
2017,male,,very safe,,,,feeling of (in)security of the population in its neighbourhood (during the day),5.5
2020,male,,very safe,|,,,feeling of (in)security of the population in its neighbourhood (during the day),8.3
2012,male,,safe,,,,feeling of (in)security of the population in its neighbourhood (during the day),43.6
2017,male,,safe,,,,feeling of (in)security of the population in its neighbourhood (during the day),39.2
2020,male,,safe,|,,,feeling of (in)security of the population in its neighbourhood (during the day),32.3
2012,male,,unsafe,,,,feeling of (in)security of the population in its neighbourhood (during the day),43.2
2017,male,,unsafe,,,,feeling of (in)security of the population in its neighbourhood (during the day),42.9
2020,male,,unsafe,|,,,feeling of (in)security of the population in its neighbourhood (during the day),43.0
2012,male,,very unsafe,,,,feeling of (in)security of the population in its neighbourhood (during the day),9.4
2017,male,,very unsafe,,,,feeling of (in)security of the population in its neighbourhood (during the day),12.9
2020,male,,very unsafe,|,,,feeling of (in)security of the population in its neighbourhood (during the day),19.2
2012,,16 to under 25 years,very safe,,,,feeling of (in)security of the population in its neighbourhood (during the day),3.8
2017,,16 to under 25 years,very safe,,,,feeling of (in)security of the population in its neighbourhood (during the day),5.0
2020,,16 to under 25 years,very safe,|,,,feeling of (in)security of the population in its neighbourhood (during the day),5.4
2012,,16 to under 25 years,safe,,,,feeling of (in)security of the population in its neighbourhood (during the day),46.7
2017,,16 to under 25 years,safe,,,,feeling of (in)security of the population in its neighbourhood (during the day),40.1
2020,,16 to under 25 years,safe,|,,,feeling of (in)security of the population in its neighbourhood (during the day),31.3
2012,,16 to under 25 years,unsafe,,,,feeling of (in)security of the population in its neighbourhood (during the day),41.7
2017,,16 to under 25 years,unsafe,,,,feeling of (in)security of the population in its neighbourhood (during the day),41.4
2020,,16 to under 25 years,unsafe,|,,,feeling of (in)security of the population in its neighbourhood (during the day),45.5
2012,,16 to under 25 years,very unsafe,,,,feeling of (in)security of the population in its neighbourhood (during the day),8.6
2017,,16 to under 25 years,very unsafe,,,,feeling of (in)security of the population in its neighbourhood (during the day),13.3
2020,,16 to under 25 years,very unsafe,|,,,feeling of (in)security of the population in its neighbourhood (during the day),18.9
2012,,25 to under 35 years,very safe,,,,feeling of (in)security of the population in its neighbourhood (during the day),3.1
2017,,25 to under 35 years,very safe,,,,feeling of (in)security of the population in its neighbourhood (during the day),5.2
2020,,25 to under 35 years,very safe,|,,,feeling of (in)security of the population in its neighbourhood (during the day),4.3
2012,,25 to under 35 years,safe,,,,feeling of (in)security of the population in its neighbourhood (during the day),45.6
2017,,25 to under 35 years,safe,,,,feeling of (in)security of the population in its neighbourhood (during the day),39.9
2020,,25 to under 35 years,safe,|,,,feeling of (in)security of the population in its neighbourhood (during the day),28.3
2012,,25 to under 35 years,unsafe,,,,feeling of (in)security of the population in its neighbourhood (during the day),43.1
2017,,25 to under 35 years,unsafe,,,,feeling of (in)security of the population in its neighbourhood (during the day),42.6
2020,,25 to under 35 years,unsafe,|,,,feeling of (in)security of the population in its neighbourhood (during the day),46.9
2012,,25 to under 35 years,very unsafe,,,,feeling of (in)security of the population in its neighbourhood (during the day),8.4
2017,,25 to under 35 years,very unsafe,,,,feeling of (in)security of the population in its neighbourhood (during the day),12.0
2020,,25 to under 35 years,very unsafe,|,,,feeling of (in)security of the population in its neighbourhood (during the day),20.0
2012,,35 to under 45 years,very safe,,,,feeling of (in)security of the population in its neighbourhood (during the day),2.9
2017,,35 to under 45 years,very safe,,,,feeling of (in)security of the population in its neighbourhood (during the day),5.5
2020,,35 to under 45 years,very safe,|,,,feeling of (in)security of the population in its neighbourhood (during the day),4.8
2012,,35 to under 45 years,safe,,,,feeling of (in)security of the population in its neighbourhood (during the day),41.7
2017,,35 to under 45 years,safe,,,,feeling of (in)security of the population in its neighbourhood (during the day),37.6
2020,,35 to under 45 years,safe,|,,,feeling of (in)security of the population in its neighbourhood (during the day),24.1
2012,,35 to under 45 years,unsafe,,,,feeling of (in)security of the population in its neighbourhood (during the day),43.2
2017,,35 to under 45 years,unsafe,,,,feeling of (in)security of the population in its neighbourhood (during the day),42.9
2020,,35 to under 45 years,unsafe,|,,,feeling of (in)security of the population in its neighbourhood (during the day),50.3
2012,,35 to under 45 years,very unsafe,,,,feeling of (in)security of the population in its neighbourhood (during the day),11.1
2017,,35 to under 45 years,very unsafe,,,,feeling of (in)security of the population in its neighbourhood (during the day),13.9
2020,,35 to under 45 years,very unsafe,|,,,feeling of (in)security of the population in its neighbourhood (during the day),20.8
2012,,45 to under 55 years,very safe,,,,feeling of (in)security of the population in its neighbourhood (during the day),4.1
2017,,45 to under 55 years,very safe,,,,feeling of (in)security of the population in its neighbourhood (during the day),5.6
2020,,45 to under 55 years,very safe,|,,,feeling of (in)security of the population in its neighbourhood (during the day),4.8
2012,,45 to under 55 years,safe,,,,feeling of (in)security of the population in its neighbourhood (during the day),35.1
2017,,45 to under 55 years,safe,,,,feeling of (in)security of the population in its neighbourhood (during the day),32.8
2020,,45 to under 55 years,safe,|,,,feeling of (in)security of the population in its neighbourhood (during the day),18.9
2012,,45 to under 55 years,unsafe,,,,feeling of (in)security of the population in its neighbourhood (during the day),42.3
2017,,45 to under 55 years,unsafe,,,,feeling of (in)security of the population in its neighbourhood (during the day),41.4
2020,,45 to under 55 years,unsafe,|,,,feeling of (in)security of the population in its neighbourhood (during the day),49.4
2012,,45 to under 55 years,very unsafe,,,,feeling of (in)security of the population in its neighbourhood (during the day),16.6
2017,,45 to under 55 years,very unsafe,,,,feeling of (in)security of the population in its neighbourhood (during the day),18.4
2020,,45 to under 55 years,very unsafe,|,,,feeling of (in)security of the population in its neighbourhood (during the day),26.1
2012,,55 to under 65 years,very safe,,,,feeling of (in)security of the population in its neighbourhood (during the day),6.1
2017,,55 to under 65 years,very safe,,,,feeling of (in)security of the population in its neighbourhood (during the day),7.3
2020,,55 to under 65 years,very safe,|,,,feeling of (in)security of the population in its neighbourhood (during the day),5.7
2012,,55 to under 65 years,safe,,,,feeling of (in)security of the population in its neighbourhood (during the day),26.4
2017,,55 to under 65 years,safe,,,,feeling of (in)security of the population in its neighbourhood (during the day),25.9
2020,,55 to under 65 years,safe,|,,,feeling of (in)security of the population in its neighbourhood (during the day),11.6
2012,,55 to under 65 years,unsafe,,,,feeling of (in)security of the population in its neighbourhood (during the day),38.0
2017,,55 to under 65 years,unsafe,,,,feeling of (in)security of the population in its neighbourhood (during the day),40.3
2020,,55 to under 65 years,unsafe,|,,,feeling of (in)security of the population in its neighbourhood (during the day),48.4
2012,,55 to under 65 years,very unsafe,,,,feeling of (in)security of the population in its neighbourhood (during the day),24.5
2017,,55 to under 65 years,very unsafe,,,,feeling of (in)security of the population in its neighbourhood (during the day),23.1
2020,,55 to under 65 years,very unsafe,|,,,feeling of (in)security of the population in its neighbourhood (during the day),31.8
2012,,65 to under 75 years,very safe,,,,feeling of (in)security of the population in its neighbourhood (during the day),11.1
2017,,65 to under 75 years,very safe,,,,feeling of (in)security of the population in its neighbourhood (during the day),10.7
2020,,65 to under 75 years,very safe,,,,feeling of (in)security of the population in its neighbourhood (during the day),8.2
2019,,65 to under 75 years,safe,.,,,feeling of (in)security of the population in its neighbourhood (during the day),
2020,,65 to under 75 years,safe,,,,feeling of (in)security of the population in its neighbourhood (during the day),63.2
2021,,65 to under 75 years,safe,…,,,feeling of (in)security of the population in its neighbourhood (during the day),
2019,,65 to under 75 years,unsafe,.,,,feeling of (in)security of the population in its neighbourhood (during the day),
2020,,65 to under 75 years,unsafe,,,,feeling of (in)security of the population in its neighbourhood (during the day),34.1
2021,,65 to under 75 years,unsafe,…,,,feeling of (in)security of the population in its neighbourhood (during the day),
2019,,65 to under 75 years,very unsafe,.,,,feeling of (in)security of the population in its neighbourhood (during the day),
2020,,65 to under 75 years,very unsafe,,,,feeling of (in)security of the population in its neighbourhood (during the day),2.4
2021,,65 to under 75 years,very unsafe,…,,,feeling of (in)security of the population in its neighbourhood (during the day),
2019,,75 years and older,very safe,.,,,feeling of (in)security of the population in its neighbourhood (during the day),
2020,,75 years and older,very safe,,,,feeling of (in)security of the population in its neighbourhood (during the day),0.3
2021,,75 years and older,very safe,…,,,feeling of (in)security of the population in its neighbourhood (during the day),
2019,,75 years and older,safe,.,,,feeling of (in)security of the population in its neighbourhood (during the day),
2020,,75 years and older,safe,,,,feeling of (in)security of the population in its neighbourhood (during the day),60.9
2021,,75 years and older,safe,…,,,feeling of (in)security of the population in its neighbourhood (during the day),
2019,,75 years and older,unsafe,.,,,feeling of (in)security of the population in its neighbourhood (during the day),
2020,,75 years and older,unsafe,,,,feeling of (in)security of the population in its neighbourhood (during the day),36.3
2021,,75 years and older,unsafe,…,,,feeling of (in)security of the population in its neighbourhood (during the day),
2019,,75 years and older,very unsafe,.,,,feeling of (in)security of the population in its neighbourhood (during the day),
2020,,75 years and older,very unsafe,,,,feeling of (in)security of the population in its neighbourhood (during the day),2.6
2021,,75 years and older,very unsafe,…,,,feeling of (in)security of the population in its neighbourhood (during the day),
2019,,,,.,,,"population not living in an area with crime, violence or vandalism",
2020,,,,,,,"population not living in an area with crime, violence or vandalism",0.3
2021,,,,…,,,"population not living in an area with crime, violence or vandalism",
