Year,Units,type of flow,COMMENT_OBS_0,COMMENT_OBS_1,COMMENT_OBS_2,Value
2022,"million usd, constant prices (2023)",,,,,7.5
2023,"million usd, constant prices (2023)",,,,,7.5
2024,"million usd, constant prices (2023)",,,,,7.8
2010,"million usd, constant prices (2023)",oda (net disbursements),,,,9.8
2011,"million usd, constant prices (2023)",oda (net disbursements),,,,10.8
2012,"million usd, constant prices (2023)",oda (net disbursements),,,,10.4
2013,"million usd, constant prices (2023)",oda (net disbursements),,,,10.5
2014,"million usd, constant prices (2023)",oda (net disbursements),,,,11.5
2015,"million usd, constant prices (2023)",oda (net disbursements),,,,11.3
2016,"million usd, constant prices (2023)",oda (net disbursements),,,,10.4
2017,"million usd, constant prices (2023)",oda (net disbursements),,,,10.2
2018,"million usd, constant prices (2023)",oda (net disbursements),,,,10.4
2019,"million usd, constant prices (2023)",oda (net disbursements),,,,9.6
2020,"million usd, constant prices (2023)",oda (net disbursements),|,,,9.9
2021,"million usd, constant prices (2023)",oda (net disbursements),,,,9.4
2022,"million usd, constant prices (2023)",oda (net disbursements),,,,8.2
2023,"million usd, constant prices (2023)",oda (net disbursements),,,,8.1
2024,"million usd, constant prices (2023)",oda (net disbursements),,,,8.9
2010,"million usd, constant prices (2023)",oof (net disbursements),,,,7.0
2011,"million usd, constant prices (2023)",oof (net disbursements),,,,7.3
2012,"million usd, constant prices (2023)",oof (net disbursements),,,,8.4
2013,"million usd, constant prices (2023)",oof (net disbursements),,,,8.0
2014,"million usd, constant prices (2023)",oof (net disbursements),,,,9.1
2015,"million usd, constant prices (2023)",oof (net disbursements),,,,9.0
2016,"million usd, constant prices (2023)",oof (net disbursements),,,,9.4
2017,"million usd, constant prices (2023)",oof (net disbursements),,,,9.2
2018,"million usd, constant prices (2023)",oof (net disbursements),,,,9.7
2019,"million usd, constant prices (2023)",oof (net disbursements),,,,9.8
2020,"million usd, constant prices (2023)",oof (net disbursements),|,,,11.5
2021,"million usd, constant prices (2023)",oof (net disbursements),,,,11.8
2022,"million usd, constant prices (2023)",oof (net disbursements),,,,10.0
2023,"million usd, constant prices (2023)",oof (net disbursements),,,,9.6
2024,"million usd, constant prices (2023)",oof (net disbursements),,,,10.4
2010,"million usd, constant prices (2023)",officially supported export credits (net disbursements),,,,9.3
2011,"million usd, constant prices (2023)",officially supported export credits (net disbursements),,,,9.9
2012,"million usd, constant prices (2023)",officially supported export credits (net disbursements),,,,10.1
2013,"million usd, constant prices (2023)",officially supported export credits (net disbursements),,,,9.9
2014,"million usd, constant prices (2023)",officially supported export credits (net disbursements),,,,10.7
2015,"million usd, constant prices (2023)",officially supported export credits (net disbursements),,,,10.3
2016,"million usd, constant prices (2023)",officially supported export credits (net disbursements),,,,10.1
2017,"million usd, constant prices (2023)",officially supported export credits (net disbursements),,,,9.6
2018,"million usd, constant prices (2023)",officially supported export credits (net disbursements),,,,10.0
2019,"million usd, constant prices (2023)",officially supported export credits (net disbursements),,,,9.4
2020,"million usd, constant prices (2023)",officially supported export credits (net disbursements),|,,,10.6
2021,"million usd, constant prices (2023)",officially supported export credits (net disbursements),,,,10.1
2022,"million usd, constant prices (2023)",officially supported export credits (net disbursements),,,,8.9
2023,"million usd, constant prices (2023)",officially supported export credits (net disbursements),,,,8.7
2024,"million usd, constant prices (2023)",officially supported export credits (net disbursements),,,,9.3
2010,"million usd, constant prices (2023)",private sector flows at market terms (net disbursement),,,,9.0
2011,"million usd, constant prices (2023)",private sector flows at market terms (net disbursement),,,,9.4
2012,"million usd, constant prices (2023)",private sector flows at market terms (net disbursement),,,,9.0
2013,"million usd, constant prices (2023)",private sector flows at market terms (net disbursement),,,,8.9
2014,"million usd, constant prices (2023)",private sector flows at market terms (net disbursement),,,,10.2
2015,"million usd, constant prices (2023)",private sector flows at market terms (net disbursement),,,,10.1
2016,"million usd, constant prices (2023)",private sector flows at market terms (net disbursement),,,,9.3
2017,"million usd, constant prices (2023)",private sector flows at market terms (net disbursement),,,,9.3
2018,"million usd, constant prices (2023)",private sector flows at market terms (net disbursement),,,,9.6
2019,"million usd, constant prices (2023)",private sector flows at market terms (net disbursement),,,,8.5
2020,"million usd, constant prices (2023)",private sector flows at market terms (net disbursement),|,,,9.9
2021,"million usd, constant prices (2023)",private sector flows at market terms (net disbursement),,,,9.6
2022,"million usd, constant prices (2023)",private sector flows at market terms (net disbursement),,,,8.0
2023,"million usd, constant prices (2023)",private sector flows at market terms (net disbursement),,,,7.9
2024,"million usd, constant prices (2023)",private sector flows at market terms (net disbursement),,,,8.7
2010,"million usd, constant prices (2023)",private concessional flows (net disbursements),.,,,
2011,"million usd, constant prices (2023)",private concessional flows (net disbursements),.,,,
2012,"million usd, constant prices (2023)",private concessional flows (net disbursements),.,,,
2013,"million usd, constant prices (2023)",private concessional flows (net disbursements),.,,,
2014,"million usd, constant prices (2023)",private concessional flows (net disbursements),.,,,
2015,"million usd, constant prices (2023)",private concessional flows (net disbursements),,,,13
2016,"million usd, constant prices (2023)",private concessional flows (net disbursements),.,,,
2017,"million usd, constant prices (2023)",private concessional flows (net disbursements),,,,10
2018,"million usd, constant prices (2023)",private concessional flows (net disbursements),.,,,
2019,"million usd, constant prices (2023)",private concessional flows (net disbursements),,,,9
2020,"million usd, constant prices (2023)",private concessional flows (net disbursements),.,,,
2021,"million usd, constant prices (2023)",private concessional flows (net disbursements),,,,8
2022,"million usd, constant prices (2023)",private concessional flows (net disbursements),.,,,
2023,"million usd, constant prices (2023)",private concessional flows (net disbursements),,,,11
2024,"million usd, constant prices (2023)",private concessional flows (net disbursements),,,,
