Year,Units,timeseries,COMMENT_OBS_0,COMMENT_OBS_1,COMMENT_OBS_2,Value
2011,hectare,terrestrial and freshwater areas covered by effective protected areas,r,,,31.9
2012,hectare,terrestrial and freshwater areas covered by effective protected areas,r,,,31.9
2013,hectare,terrestrial and freshwater areas covered by effective protected areas,r,,,33.2
2014,hectare,terrestrial and freshwater areas covered by effective protected areas,r,,,31.1
2015,hectare,terrestrial and freshwater areas covered by effective protected areas,r,,,31.6
2016,hectare,terrestrial and freshwater areas covered by effective protected areas,r,,,31.9
2017,hectare,terrestrial and freshwater areas covered by effective protected areas,r,,,32.2
2018,hectare,terrestrial and freshwater areas covered by effective protected areas,r,,,31.3
2019,hectare,terrestrial and freshwater areas covered by effective protected areas,r,,,31.9
2020,hectare,terrestrial and freshwater areas covered by effective protected areas,r,,,31.1
2021,hectare,terrestrial and freshwater areas covered by effective protected areas,,,,31.2
2010,percentage,terrestrial and freshwater areas covered by effective protected areas,,,,20.4
2011,percentage,terrestrial and freshwater areas covered by effective protected areas,,,,22.0
2012,percentage,terrestrial and freshwater areas covered by effective protected areas,,,,22.6
2013,percentage,terrestrial and freshwater areas covered by effective protected areas,,,,23.7
2014,percentage,terrestrial and freshwater areas covered by effective protected areas,,,,21.6
2015,percentage,terrestrial and freshwater areas covered by effective protected areas,,,,22.4
2016,percentage,terrestrial and freshwater areas covered by effective protected areas,,,,17.8
2017,percentage,terrestrial and freshwater areas covered by effective protected areas,…,,,
2018,percentage,terrestrial and freshwater areas covered by effective protected areas,…,,,
2019,percentage,terrestrial and freshwater areas covered by effective protected areas,,,,13.4
2020,percentage,terrestrial and freshwater areas covered by effective protected areas,,,,12.3
2021,percentage,terrestrial and freshwater areas covered by effective protected areas,,,,14.4
