Year,Units,measurement parameter,COMMENT_OBS_0,COMMENT_OBS_1,COMMENT_OBS_2,Series,Value
2014,"million usd, constant prices (2024)",commitments,,,,commitments and gross disbursements of official development assistance for biodiversity,1331.3
2015,"million usd, constant prices (2024)",commitments,,,,commitments and gross disbursements of official development assistance for biodiversity,1484.6
2016,"million usd, constant prices (2024)",commitments,,,,commitments and gross disbursements of official development assistance for biodiversity,1402.0
2017,"million usd, constant prices (2024)",commitments,,,,commitments and gross disbursements of official development assistance for biodiversity,2203.0
2018,"million usd, constant prices (2024)",commitments,,,,commitments and gross disbursements of official development assistance for biodiversity,1823.0
2019,"million usd, constant prices (2024)",commitments,,,,commitments and gross disbursements of official development assistance for biodiversity,2633.6
2020,"million usd, constant prices (2024)",commitments,,,,commitments and gross disbursements of official development assistance for biodiversity,2711.0
2021,"million usd, constant prices (2024)",commitments,,,,commitments and gross disbursements of official development assistance for biodiversity,2668.6
2022,"million usd, constant prices (2024)",commitments,,,,commitments and gross disbursements of official development assistance for biodiversity,3391.2
2023,"million usd, constant prices (2024)",commitments,,,,commitments and gross disbursements of official development assistance for biodiversity,2409.8
2024,"million usd, constant prices (2024)",commitments,,,,commitments and gross disbursements of official development assistance for biodiversity,2590.0
2010,"million usd, constant prices (2024)",gross disbursements,,,,commitments and gross disbursements of official development assistance for biodiversity,488.8
2011,"million usd, constant prices (2024)",gross disbursements,,,,commitments and gross disbursements of official development assistance for biodiversity,667.8
2012,"million usd, constant prices (2024)",gross disbursements,,,,commitments and gross disbursements of official development assistance for biodiversity,898.8
2013,"million usd, constant prices (2024)",gross disbursements,,,,commitments and gross disbursements of official development assistance for biodiversity,902.9
2014,"million usd, constant prices (2024)",gross disbursements,,,,commitments and gross disbursements of official development assistance for biodiversity,1009.7
2015,"million usd, constant prices (2024)",gross disbursements,,,,commitments and gross disbursements of official development assistance for biodiversity,970.9
2016,"million usd, constant prices (2024)",gross disbursements,,,,commitments and gross disbursements of official development assistance for biodiversity,1304.6
2017,"million usd, constant prices (2024)",gross disbursements,,,,commitments and gross disbursements of official development assistance for biodiversity,1817.1
2018,"million usd, constant prices (2024)",gross disbursements,,,,commitments and gross disbursements of official development assistance for biodiversity,1642.0
2019,"million usd, constant prices (2024)",gross disbursements,,,,commitments and gross disbursements of official development assistance for biodiversity,1918.4
2020,"million usd, constant prices (2024)",gross disbursements,,,,commitments and gross disbursements of official development assistance for biodiversity,2324.6
2021,"million usd, constant prices (2024)",gross disbursements,,,,commitments and gross disbursements of official development assistance for biodiversity,2668.6
2022,"million usd, constant prices (2024)",gross disbursements,,,,commitments and gross disbursements of official development assistance for biodiversity,3391.2
