Year,Units,sex,age group,form of exploitation,COMMENT_OBS_0,COMMENT_OBS_1,COMMENT_OBS_2,Value
2015,"per 100,000 inhabitants",,,sexual exploitation,,,,0.51
2016,"per 100,000 inhabitants",,,sexual exploitation,,,,0.59
2017,"per 100,000 inhabitants",,,sexual exploitation,,,,0.59
2018,"per 100,000 inhabitants",,,sexual exploitation,,,,0.52
2019,"per 100,000 inhabitants",,,sexual exploitation,,,,0.51
2020,"per 100,000 inhabitants",,,sexual exploitation,,,,0.49
2021,"per 100,000 inhabitants",,,sexual exploitation,,,,0.50
2022,"per 100,000 inhabitants",,,sexual exploitation,,,,0.57
2023,"per 100,000 inhabitants",,,sexual exploitation,,,,0.51
2024,"per 100,000 inhabitants",,,sexual exploitation,|,,,0.56
2010,"per 100,000 inhabitants",,13 years and younger,sexual exploitation,,,,0.13
2011,"per 100,000 inhabitants",,13 years and younger,sexual exploitation,,,,0.13
2012,"per 100,000 inhabitants",,13 years and younger,sexual exploitation,,,,0.12
2013,"per 100,000 inhabitants",,13 years and younger,sexual exploitation,|,,,0.11
2014,"per 100,000 inhabitants",,13 years and younger,sexual exploitation,,,,0.05
2015,"per 100,000 inhabitants",,13 years and younger,sexual exploitation,,,,0.06
2016,"per 100,000 inhabitants",,13 years and younger,sexual exploitation,,,,0.12
2017,"per 100,000 inhabitants",,13 years and younger,sexual exploitation,,,,0.16
2018,"per 100,000 inhabitants",,13 years and younger,sexual exploitation,,,,0.04
2019,"per 100,000 inhabitants",,13 years and younger,sexual exploitation,,,,0.05
2020,"per 100,000 inhabitants",,13 years and younger,sexual exploitation,,,,0.12
2021,"per 100,000 inhabitants",,13 years and younger,sexual exploitation,,,,0.01
2022,"per 100,000 inhabitants",,13 years and younger,sexual exploitation,,,,0.06
2023,"per 100,000 inhabitants",,13 years and younger,sexual exploitation,,,,0.01
2024,"per 100,000 inhabitants",,13 years and younger,sexual exploitation,|,,,0.04
2010,"per 100,000 inhabitants",,14 to under 18 years,sexual exploitation,,,,2.44
2011,"per 100,000 inhabitants",,14 to under 18 years,sexual exploitation,,,,2.40
2012,"per 100,000 inhabitants",,14 to under 18 years,sexual exploitation,,,,2.74
2013,"per 100,000 inhabitants",,14 to under 18 years,sexual exploitation,|,,,1.91
2014,"per 100,000 inhabitants",,14 to under 18 years,sexual exploitation,,,,1.62
2015,"per 100,000 inhabitants",,14 to under 18 years,sexual exploitation,,,,2.21
2016,"per 100,000 inhabitants",,14 to under 18 years,sexual exploitation,,,,2.62
2017,"per 100,000 inhabitants",,14 to under 18 years,sexual exploitation,,,,1.45
2018,"per 100,000 inhabitants",,14 to under 18 years,sexual exploitation,,,,2.06
2019,"per 100,000 inhabitants",,14 to under 18 years,sexual exploitation,,,,1.83
2020,"per 100,000 inhabitants",,14 to under 18 years,sexual exploitation,,,,2.18
2021,"per 100,000 inhabitants",,14 to under 18 years,sexual exploitation,,,,1.77
2022,"per 100,000 inhabitants",,14 to under 18 years,sexual exploitation,,,,1.63
2023,"per 100,000 inhabitants",,14 to under 18 years,sexual exploitation,,,,2.09
2024,"per 100,000 inhabitants",,14 to under 18 years,sexual exploitation,|,,,1.42
2010,"per 100,000 inhabitants",,18 to under 21 years,sexual exploitation,,,,8.97
2011,"per 100,000 inhabitants",,18 to under 21 years,sexual exploitation,,,,9.82
2012,"per 100,000 inhabitants",,18 to under 21 years,sexual exploitation,,,,8.59
2013,"per 100,000 inhabitants",,18 to under 21 years,sexual exploitation,|,,,8.47
2014,"per 100,000 inhabitants",,18 to under 21 years,sexual exploitation,,,,8.60
2015,"per 100,000 inhabitants",,18 to under 21 years,sexual exploitation,,,,5.97
2016,"per 100,000 inhabitants",,18 to under 21 years,sexual exploitation,,,,4.52
2017,"per 100,000 inhabitants",,18 to under 21 years,sexual exploitation,,,,5.93
2018,"per 100,000 inhabitants",,18 to under 21 years,sexual exploitation,,,,4.94
2019,"per 100,000 inhabitants",,18 to under 21 years,sexual exploitation,,,,2.94
2020,"per 100,000 inhabitants",,18 to under 21 years,sexual exploitation,,,,3.48
2021,"per 100,000 inhabitants",,18 to under 21 years,sexual exploitation,,,,3.13
2022,"per 100,000 inhabitants",,18 to under 21 years,sexual exploitation,,,,4.00
2023,"per 100,000 inhabitants",,18 to under 21 years,sexual exploitation,,,,2.78
2024,"per 100,000 inhabitants",,18 to under 21 years,sexual exploitation,|,,,3.22
2010,"per 100,000 inhabitants",,21 to under 25 years,sexual exploitation,,,,3.21
2011,"per 100,000 inhabitants",,21 to under 25 years,sexual exploitation,,,,3.37
2012,"per 100,000 inhabitants",,21 to under 25 years,sexual exploitation,,,,3.03
2013,"per 100,000 inhabitants",,21 to under 25 years,sexual exploitation,|,,,2.77
2014,"per 100,000 inhabitants",,21 to under 25 years,sexual exploitation,,,,3.01
2015,"per 100,000 inhabitants",,21 to under 25 years,sexual exploitation,,,,1.81
2016,"per 100,000 inhabitants",,21 to under 25 years,sexual exploitation,,,,2.93
2017,"per 100,000 inhabitants",,21 to under 25 years,sexual exploitation,,,,2.99
2018,"per 100,000 inhabitants",,21 to under 25 years,sexual exploitation,,,,2.52
2019,"per 100,000 inhabitants",,21 to under 25 years,sexual exploitation,,,,2.13
2020,"per 100,000 inhabitants",,21 to under 25 years,sexual exploitation,,,,2.09
2021,"per 100,000 inhabitants",,21 to under 25 years,sexual exploitation,,,,2.24
2022,"per 100,000 inhabitants",,21 to under 25 years,sexual exploitation,,,,2.47
2023,"per 100,000 inhabitants",,21 to under 25 years,sexual exploitation,,,,2.11
2024,"per 100,000 inhabitants",,21 to under 25 years,sexual exploitation,|,,,1.81
2010,"per 100,000 inhabitants",,25 years and older,sexual exploitation,,,,0.21
2011,"per 100,000 inhabitants",,25 years and older,sexual exploitation,,,,0.22
2012,"per 100,000 inhabitants",,25 years and older,sexual exploitation,,,,0.25
2013,"per 100,000 inhabitants",,25 years and older,sexual exploitation,|,,,0.23
2014,"per 100,000 inhabitants",,25 years and older,sexual exploitation,,,,0.27
2015,"per 100,000 inhabitants",,25 years and older,sexual exploitation,,,,0.16
2016,"per 100,000 inhabitants",,25 years and older,sexual exploitation,,,,0.23
2017,"per 100,000 inhabitants",,25 years and older,sexual exploitation,,,,0.24
2018,"per 100,000 inhabitants",,25 years and older,sexual exploitation,,,,0.20
2019,"per 100,000 inhabitants",,25 years and older,sexual exploitation,,,,0.32
2020,"per 100,000 inhabitants",,25 years and older,sexual exploitation,,,,0.23
2021,"per 100,000 inhabitants",,25 years and older,sexual exploitation,,,,0.29
2022,"per 100,000 inhabitants",,25 years and older,sexual exploitation,,,,0.35
2023,"per 100,000 inhabitants",,25 years and older,sexual exploitation,,,,0.31
2024,"per 100,000 inhabitants",,25 years and older,sexual exploitation,|,,,0.40
2010,"per 100,000 inhabitants",,unknown age,sexual exploitation,.,,,
2011,"per 100,000 inhabitants",,unknown age,sexual exploitation,.,,,
2012,"per 100,000 inhabitants",,unknown age,sexual exploitation,.,,,
2013,"per 100,000 inhabitants",,unknown age,sexual exploitation,.,,,
2014,"per 100,000 inhabitants",,unknown age,sexual exploitation,.,,,
2015,"per 100,000 inhabitants",,unknown age,sexual exploitation,.,,,
2016,"per 100,000 inhabitants",,unknown age,sexual exploitation,.,,,
2017,"per 100,000 inhabitants",,unknown age,sexual exploitation,.,,,
2018,"per 100,000 inhabitants",,unknown age,sexual exploitation,.,,,
2019,"per 100,000 inhabitants",,unknown age,sexual exploitation,.,,,
2020,"per 100,000 inhabitants",,unknown age,sexual exploitation,.,,,
2021,"per 100,000 inhabitants",,unknown age,sexual exploitation,.,,,
2022,"per 100,000 inhabitants",,unknown age,sexual exploitation,.,,,
2023,"per 100,000 inhabitants",,unknown age,sexual exploitation,.,,,
2024,"per 100,000 inhabitants",,unknown age,sexual exploitation,.,,,
2010,"per 100,000 inhabitants",female,,sexual exploitation,,,,1.41
2011,"per 100,000 inhabitants",female,,sexual exploitation,,,,1.44
2012,"per 100,000 inhabitants",female,,sexual exploitation,,,,1.42
2013,"per 100,000 inhabitants",female,,sexual exploitation,|,,,1.26
2014,"per 100,000 inhabitants",female,,sexual exploitation,,,,1.29
2015,"per 100,000 inhabitants",female,,sexual exploitation,,,,0.96
2016,"per 100,000 inhabitants",female,,sexual exploitation,,,,1.12
2017,"per 100,000 inhabitants",female,,sexual exploitation,,,,1.16
2018,"per 100,000 inhabitants",female,,sexual exploitation,,,,0.98
2019,"per 100,000 inhabitants",female,,sexual exploitation,,,,0.96
2020,"per 100,000 inhabitants",female,,sexual exploitation,,,,0.90
2021,"per 100,000 inhabitants",female,,sexual exploitation,,,,0.92
2022,"per 100,000 inhabitants",female,,sexual exploitation,,,,1.07
2023,"per 100,000 inhabitants",female,,sexual exploitation,,,,0.95
2024,"per 100,000 inhabitants",female,,sexual exploitation,|,,,1.06
2010,"per 100,000 inhabitants",male,,sexual exploitation,,,,0.04
2011,"per 100,000 inhabitants",male,,sexual exploitation,,,,0.08
2012,"per 100,000 inhabitants",male,,sexual exploitation,,,,0.05
2013,"per 100,000 inhabitants",male,,sexual exploitation,|,,,0.06
2014,"per 100,000 inhabitants",male,,sexual exploitation,,,,0.07
2015,"per 100,000 inhabitants",male,,sexual exploitation,,,,0.03
2016,"per 100,000 inhabitants",male,,sexual exploitation,,,,0.04
2017,"per 100,000 inhabitants",male,,sexual exploitation,,,,0.01
2018,"per 100,000 inhabitants",male,,sexual exploitation,,,,0.03
2019,"per 100,000 inhabitants",male,,sexual exploitation,,,,0.05
2020,"per 100,000 inhabitants",male,,sexual exploitation,,,,0.06
2021,"per 100,000 inhabitants",male,,sexual exploitation,,,,0.06
2022,"per 100,000 inhabitants",male,,sexual exploitation,,,,0.04
2023,"per 100,000 inhabitants",male,,sexual exploitation,,,,0.03
2024,"per 100,000 inhabitants",male,,sexual exploitation,|,,,0.03
2010,"per 100,000 inhabitants",unknown,,sexual exploitation,.,,,
2011,"per 100,000 inhabitants",unknown,,sexual exploitation,.,,,
2012,"per 100,000 inhabitants",unknown,,sexual exploitation,.,,,
2013,"per 100,000 inhabitants",unknown,,sexual exploitation,.,,,
2014,"per 100,000 inhabitants",unknown,,sexual exploitation,.,,,
2015,"per 100,000 inhabitants",unknown,,sexual exploitation,.,,,
2016,"per 100,000 inhabitants",unknown,,sexual exploitation,.,,,
2017,"per 100,000 inhabitants",unknown,,sexual exploitation,.,,,
2018,"per 100,000 inhabitants",unknown,,sexual exploitation,.,,,
2019,"per 100,000 inhabitants",unknown,,sexual exploitation,.,,,
2020,"per 100,000 inhabitants",unknown,,sexual exploitation,.,,,
2021,"per 100,000 inhabitants",unknown,,sexual exploitation,.,,,
2022,"per 100,000 inhabitants",unknown,,sexual exploitation,.,,,
2023,"per 100,000 inhabitants",unknown,,sexual exploitation,.,,,
2024,"per 100,000 inhabitants",unknown,,sexual exploitation,.,,,
2010,"per 100,000 inhabitants",female,,,,,,1.43
2011,"per 100,000 inhabitants",female,,,,,,1.50
2012,"per 100,000 inhabitants",female,,,,,,1.43
2013,"per 100,000 inhabitants",female,,,|,,,1.29
2014,"per 100,000 inhabitants",female,,,,,,1.30
2015,"per 100,000 inhabitants",female,,,,,,0.98
2016,"per 100,000 inhabitants",female,,,,,,1.15
2017,"per 100,000 inhabitants",female,,,,,,1.22
2018,"per 100,000 inhabitants",female,,,,,,1.00
2019,"per 100,000 inhabitants",female,,,,,,1.01
2020,"per 100,000 inhabitants",female,,,,,,0.95
2021,"per 100,000 inhabitants",female,,,,,,1.09
2022,"per 100,000 inhabitants",female,,,,,,1.70
2023,"per 100,000 inhabitants",female,,,,,,1.07
2024,"per 100,000 inhabitants",female,,,|,,,1.12
2010,"per 100,000 inhabitants",male,,,,,,0.12
2011,"per 100,000 inhabitants",male,,,,,,0.10
2012,"per 100,000 inhabitants",male,,,,,,0.06
2013,"per 100,000 inhabitants",male,,,|,,,0.18
2014,"per 100,000 inhabitants",male,,,,,,0.12
2015,"per 100,000 inhabitants",male,,,,,,0.14
2016,"per 100,000 inhabitants",male,,,,,,0.13
2017,"per 100,000 inhabitants",male,,,,,,0.39
2018,"per 100,000 inhabitants",male,,,,,,0.17
2019,"per 100,000 inhabitants",male,,,,,,0.11
2020,"per 100,000 inhabitants",male,,,,,,0.19
2021,"per 100,000 inhabitants",male,,,,,,0.24
2022,"per 100,000 inhabitants",male,,,,,,1.86
2023,"per 100,000 inhabitants",male,,,,,,0.34
2024,"per 100,000 inhabitants",male,,,|,,,0.38
2010,number,,,,,,,651
2011,number,,,,,,,671
2012,number,,,,,,,626
2013,number,,,,,,,603
2014,number,,,,,,,583
2015,number,,,,,,,470
2016,number,,,,,,,536
2017,number,,,,,,,669
2018,number,,,,,,,493
2019,number,,,,,,,470
2020,number,,,,,,,479
2021,number,,,,,,,564
2022,number,,,,,,,1495
2023,number,,,,r,,,611
2024,number,,,,,,,636
2010,number,,,labour exploitation,,,,41
2011,number,,,labour exploitation,,,,32
2012,number,,,labour exploitation,,,,14
2013,number,,,labour exploitation,,,,61
2014,number,,,labour exploitation,,,,26
2015,number,,,labour exploitation,,,,54
2016,number,,,labour exploitation,,,,48
2017,number,,,labour exploitation,,,,180
2018,number,,,labour exploitation,,,,63
2019,number,,,labour exploitation,,,,43
2020,number,,,labour exploitation,,,,73
2021,number,,,labour exploitation,,,,147
2022,number,,,labour exploitation,,,,1019
2023,number,,,labour exploitation,,,,183
2024,number,,,labour exploitation,,,,171
2010,number,female,,labour exploitation,,,,10
2011,number,female,,labour exploitation,,,,24
2012,number,female,,labour exploitation,,,,7
2013,number,female,,labour exploitation,,,,13
2014,number,female,,labour exploitation,,,,4
2015,number,female,,labour exploitation,,,,8
2016,number,female,,labour exploitation,,,,13
2017,number,female,,labour exploitation,,,,25
2018,number,female,,labour exploitation,,,,8
2019,number,female,,labour exploitation,,,,19
2020,number,female,,labour exploitation,,,,18
2021,number,female,,labour exploitation,,,,72
2022,number,female,,labour exploitation,,,,266
2023,number,female,,labour exploitation,,,,53
2024,number,female,,labour exploitation,,,,25
2010,number,male,,labour exploitation,,,,31
2011,number,male,,labour exploitation,,,,8
2012,number,male,,labour exploitation,,,,5
2013,number,male,,labour exploitation,,,,47
2014,number,male,,labour exploitation,,,,22
2015,number,male,,labour exploitation,,,,44
2016,number,male,,labour exploitation,,,,34
2017,number,male,,labour exploitation,,,,154
2018,number,male,,labour exploitation,,,,54
2019,number,male,,labour exploitation,,,,24
2020,number,male,,labour exploitation,,,,55
2021,number,male,,labour exploitation,,,,74
2022,number,male,,labour exploitation,,,,747
2023,number,male,,labour exploitation,,,,129
2024,number,male,,labour exploitation,,,,145
2010,number,unknown,,labour exploitation,.,,,
2011,number,unknown,,labour exploitation,.,,,
2012,number,unknown,,labour exploitation,,,,2
2013,number,unknown,,labour exploitation,,,,1
2014,number,unknown,,labour exploitation,,,,0
2015,number,unknown,,labour exploitation,,,,2
2016,number,unknown,,labour exploitation,,,,1
2017,number,unknown,,labour exploitation,,,,1
2018,number,unknown,,labour exploitation,,,,1
2019,number,unknown,,labour exploitation,,,,0
2020,number,unknown,,labour exploitation,,,,0
2021,number,unknown,,labour exploitation,,,,1
2022,number,unknown,,labour exploitation,,,,6
2023,number,unknown,,labour exploitation,,,,1
2024,number,unknown,,labour exploitation,,,,1
2010,number,,,sexual exploitation,,,,610
2011,number,,,sexual exploitation,,,,639
2012,number,,,sexual exploitation,,,,612
2013,number,,,sexual exploitation,,,,542
2014,number,,,sexual exploitation,,,,557
2015,number,,,sexual exploitation,,,,416
2016,number,,,sexual exploitation,,,,488
2017,number,,,sexual exploitation,,,,489
2018,number,,,sexual exploitation,,,,430
2019,number,,,sexual exploitation,,,,427
2020,number,,,sexual exploitation,,,,406
2021,number,,,sexual exploitation,,,,417
2022,number,,,sexual exploitation,,,,476
2023,number,,,sexual exploitation,r,,,428
2024,number,,,sexual exploitation,,,,465
2010,number,,13 years and younger,sexual exploitation,,,,13
2011,number,,13 years and younger,sexual exploitation,,,,13
2012,number,,13 years and younger,sexual exploitation,,,,12
2013,number,,13 years and younger,sexual exploitation,,,,9
2014,number,,13 years and younger,sexual exploitation,,,,5
2015,number,,13 years and younger,sexual exploitation,,,,6
2016,number,,13 years and younger,sexual exploitation,,,,12
2017,number,,13 years and younger,sexual exploitation,,,,16
2018,number,,13 years and younger,sexual exploitation,,,,4
2019,number,,13 years and younger,sexual exploitation,,,,5
2020,number,,13 years and younger,sexual exploitation,,,,13
2021,number,,13 years and younger,sexual exploitation,,,,1
2022,number,,13 years and younger,sexual exploitation,,,,7
2023,number,,13 years and younger,sexual exploitation,,,,1
2024,number,,13 years and younger,sexual exploitation,,,,4
2010,number,,14 to under 18 years,sexual exploitation,,,,79
2011,number,,14 to under 18 years,sexual exploitation,,,,77
2012,number,,14 to under 18 years,sexual exploitation,,,,88
2013,number,,14 to under 18 years,sexual exploitation,,,,61
2014,number,,14 to under 18 years,sexual exploitation,,,,52
2015,number,,14 to under 18 years,sexual exploitation,,,,71
2016,number,,14 to under 18 years,sexual exploitation,,,,84
2017,number,,14 to under 18 years,sexual exploitation,,,,46
2018,number,,14 to under 18 years,sexual exploitation,,,,64
2019,number,,14 to under 18 years,sexual exploitation,,,,56
2020,number,,14 to under 18 years,sexual exploitation,,,,66
2021,number,,14 to under 18 years,sexual exploitation,,,,53
2022,number,,14 to under 18 years,sexual exploitation,,,,49
2023,number,,14 to under 18 years,sexual exploitation,r,,,65
2024,number,,14 to under 18 years,sexual exploitation,,,,44
2010,number,,18 to under 21 years,sexual exploitation,,,,254
2011,number,,18 to under 21 years,sexual exploitation,,,,268
2012,number,,18 to under 21 years,sexual exploitation,,,,223
2013,number,,18 to under 21 years,sexual exploitation,,,,209
2014,number,,18 to under 21 years,sexual exploitation,,,,209
2015,number,,18 to under 21 years,sexual exploitation,,,,148
2016,number,,18 to under 21 years,sexual exploitation,,,,118
2017,number,,18 to under 21 years,sexual exploitation,,,,157
2018,number,,18 to under 21 years,sexual exploitation,,,,130
2019,number,,18 to under 21 years,sexual exploitation,,,,76
2020,number,,18 to under 21 years,sexual exploitation,,,,88
2021,number,,18 to under 21 years,sexual exploitation,,,,77
2022,number,,18 to under 21 years,sexual exploitation,,,,96
2023,number,,18 to under 21 years,sexual exploitation,r,,,68
2024,number,,18 to under 21 years,sexual exploitation,,,,78
2010,number,,21 to under 25 years,sexual exploitation,,,,127
2011,number,,21 to under 25 years,sexual exploitation,,,,135
2012,number,,21 to under 25 years,sexual exploitation,,,,123
2013,number,,21 to under 25 years,sexual exploitation,,,,111
2014,number,,21 to under 25 years,sexual exploitation,,,,115
2015,number,,21 to under 25 years,sexual exploitation,,,,68
2016,number,,21 to under 25 years,sexual exploitation,,,,109
2017,number,,21 to under 25 years,sexual exploitation,,,,110
2018,number,,21 to under 25 years,sexual exploitation,,,,93
2019,number,,21 to under 25 years,sexual exploitation,,,,79
2020,number,,21 to under 25 years,sexual exploitation,,,,78
2021,number,,21 to under 25 years,sexual exploitation,,,,83
2022,number,,21 to under 25 years,sexual exploitation,,,,91
2023,number,,21 to under 25 years,sexual exploitation,,,,78
2024,number,,21 to under 25 years,sexual exploitation,,,,65
2010,number,,25 years and older,sexual exploitation,,,,129
2011,number,,25 years and older,sexual exploitation,,,,133
2012,number,,25 years and older,sexual exploitation,,,,156
2013,number,,25 years and older,sexual exploitation,,,,142
2014,number,,25 years and older,sexual exploitation,,,,164
2015,number,,25 years and older,sexual exploitation,,,,98
2016,number,,25 years and older,sexual exploitation,,,,142
2017,number,,25 years and older,sexual exploitation,,,,149
2018,number,,25 years and older,sexual exploitation,,,,126
2019,number,,25 years and older,sexual exploitation,,,,205
2020,number,,25 years and older,sexual exploitation,,,,146
2021,number,,25 years and older,sexual exploitation,,,,181
2022,number,,25 years and older,sexual exploitation,,,,223
2023,number,,25 years and older,sexual exploitation,r,,,196
2024,number,,25 years and older,sexual exploitation,,,,254
2010,number,,unknown age,sexual exploitation,,,,8
2011,number,,unknown age,sexual exploitation,,,,13
2012,number,,unknown age,sexual exploitation,,,,10
2013,number,,unknown age,sexual exploitation,,,,10
2014,number,,unknown age,sexual exploitation,,,,12
2015,number,,unknown age,sexual exploitation,,,,25
2016,number,,unknown age,sexual exploitation,,,,23
2017,number,,unknown age,sexual exploitation,,,,11
2018,number,,unknown age,sexual exploitation,,,,13
2019,number,,unknown age,sexual exploitation,,,,6
2020,number,,unknown age,sexual exploitation,,,,15
2021,number,,unknown age,sexual exploitation,,,,22
2022,number,,unknown age,sexual exploitation,,,,10
2023,number,,unknown age,sexual exploitation,,,,20
2024,number,,unknown age,sexual exploitation,,,,20
2010,number,female,,sexual exploitation,,,,588
2011,number,female,,sexual exploitation,,,,599
2012,number,female,,sexual exploitation,,,,590
2013,number,female,,sexual exploitation,,,,518
2014,number,female,,sexual exploitation,,,,531
2015,number,female,,sexual exploitation,,,,399
2016,number,female,,sexual exploitation,,,,466
2017,number,female,,sexual exploitation,,,,484
2018,number,female,,sexual exploitation,,,,413
2019,number,female,,sexual exploitation,,,,405
2020,number,female,,sexual exploitation,,,,381
2021,number,female,,sexual exploitation,,,,387
2022,number,female,,sexual exploitation,,,,453
2023,number,female,,sexual exploitation,r,,,407
2024,number,female,,sexual exploitation,,,,449
2010,number,male,,sexual exploitation,,,,17
2011,number,male,,sexual exploitation,,,,34
2012,number,male,,sexual exploitation,,,,19
2013,number,male,,sexual exploitation,,,,23
2014,number,male,,sexual exploitation,,,,26
2015,number,male,,sexual exploitation,,,,11
2016,number,male,,sexual exploitation,,,,17
2017,number,male,,sexual exploitation,,,,4
2018,number,male,,sexual exploitation,,,,14
2019,number,male,,sexual exploitation,,,,22
2020,number,male,,sexual exploitation,,,,23
2021,number,male,,sexual exploitation,,,,23
2022,number,male,,sexual exploitation,,,,16
2023,number,male,,sexual exploitation,,,,13
2024,number,male,,sexual exploitation,,,,12
2010,number,unknown,,sexual exploitation,,,,5
2011,number,unknown,,sexual exploitation,,,,6
2012,number,unknown,,sexual exploitation,,,,3
2013,number,unknown,,sexual exploitation,,,,1
2014,number,unknown,,sexual exploitation,,,,0
2015,number,unknown,,sexual exploitation,,,,6
2016,number,unknown,,sexual exploitation,,,,5
2017,number,unknown,,sexual exploitation,,,,1
2018,number,unknown,,sexual exploitation,,,,3
2019,number,unknown,,sexual exploitation,,,,0
2020,number,unknown,,sexual exploitation,,,,2
2021,number,unknown,,sexual exploitation,,,,7
2022,number,unknown,,sexual exploitation,,,,7
2023,number,unknown,,sexual exploitation,,,,8
2024,number,unknown,,sexual exploitation,,,,4
2010,number,female,,,,,,598
2011,number,female,,,,,,623
2012,number,female,,,,,,597
2013,number,female,,,,,,531
