Year,completeness of disaggregation,goal,Value,COMMENT_OBS_0,COMMENT_OBS_1,COMMENT_OBS_2
2025,partially disaggregated,8 - decent work and economic growth,,,,
2023,not disaggregated,8 - decent work and economic growth,,.,,
2024,not disaggregated,8 - decent work and economic growth,33,,,
2025,not disaggregated,8 - decent work and economic growth,,,,
2023,fully disaggregated,"9 - industry, innovation and infrastructure",,.,,
2024,fully disaggregated,"9 - industry, innovation and infrastructure",100,,,
2025,fully disaggregated,"9 - industry, innovation and infrastructure",,,,
2023,partially disaggregated,"9 - industry, innovation and infrastructure",,.,,
2024,partially disaggregated,"9 - industry, innovation and infrastructure",0,-,,
2025,partially disaggregated,"9 - industry, innovation and infrastructure",,,,
2023,not disaggregated,"9 - industry, innovation and infrastructure",,.,,
2024,not disaggregated,"9 - industry, innovation and infrastructure",0,-,,
2025,not disaggregated,"9 - industry, innovation and infrastructure",,,,
2023,fully disaggregated,10 - reduced inequalities,,.,,
2024,fully disaggregated,10 - reduced inequalities,33,,,
2025,fully disaggregated,10 - reduced inequalities,,,,
2023,partially disaggregated,10 - reduced inequalities,,.,,
2024,partially disaggregated,10 - reduced inequalities,67,,,
2025,partially disaggregated,10 - reduced inequalities,,,,
2023,not disaggregated,10 - reduced inequalities,,.,,
2024,not disaggregated,10 - reduced inequalities,0,-,,
2025,not disaggregated,10 - reduced inequalities,,,,
2023,fully disaggregated,11 - sustainable cities and communities,,.,,
2024,fully disaggregated,11 - sustainable cities and communities,0,-,,
2025,fully disaggregated,11 - sustainable cities and communities,,,,
2023,partially disaggregated,11 - sustainable cities and communities,,.,,
2024,partially disaggregated,11 - sustainable cities and communities,40,,,
2025,partially disaggregated,11 - sustainable cities and communities,,,,
2023,not disaggregated,11 - sustainable cities and communities,,.,,
2024,not disaggregated,11 - sustainable cities and communities,60,,,
2025,not disaggregated,11 - sustainable cities and communities,,,,
2023,fully disaggregated,12 - responsible consumption and production,,.,,
2024,fully disaggregated,12 - responsible consumption and production,100,,,
2025,fully disaggregated,12 - responsible consumption and production,,,,
2023,partially disaggregated,12 - responsible consumption and production,,.,,
2024,partially disaggregated,12 - responsible consumption and production,0,-,,
2025,partially disaggregated,12 - responsible consumption and production,,,,
2023,not disaggregated,12 - responsible consumption and production,,.,,
2024,not disaggregated,12 - responsible consumption and production,0,-,,
2025,not disaggregated,12 - responsible consumption and production,,,,
2023,fully disaggregated,15 - life on land,,.,,
2024,fully disaggregated,15 - life on land,0,-,,
2025,fully disaggregated,15 - life on land,,,,
2023,partially disaggregated,15 - life on land,,.,,
2024,partially disaggregated,15 - life on land,0,-,,
2025,partially disaggregated,15 - life on land,,,,
2023,not disaggregated,15 - life on land,,.,,
2024,not disaggregated,15 - life on land,100,,,
2025,not disaggregated,15 - life on land,,,,
2023,fully disaggregated,16 - peace and justice,,.,,
2024,fully disaggregated,16 - peace and justice,25,,,
2025,fully disaggregated,16 - peace and justice,,,,
2023,partially disaggregated,16 - peace and justice,,.,,
2024,partially disaggregated,16 - peace and justice,25,,,
2025,partially disaggregated,16 - peace and justice,,,,
2023,not disaggregated,16 - peace and justice,,.,,
2024,not disaggregated,16 - peace and justice,50,,,
2025,not disaggregated,16 - peace and justice,,,,
2023,fully disaggregated,17 - partnerships for the goals,,.,,
2024,fully disaggregated,17 - partnerships for the goals,50,,,
2025,fully disaggregated,17 - partnerships for the goals,,,,
2023,partially disaggregated,17 - partnerships for the goals,,.,,
2024,partially disaggregated,17 - partnerships for the goals,0,-,,
2025,partially disaggregated,17 - partnerships for the goals,,,,
2023,not disaggregated,17 - partnerships for the goals,,.,,
2024,not disaggregated,17 - partnerships for the goals,50,,,
2025,not disaggregated,17 - partnerships for the goals,,,,
